id,mapit
49_4,1189746
49_5,1189747
49_6,1189748
49_7,1189749
37_2,1189750
37_3,1189751
37_4,1189752
37_5,1189753
41_1,1189754
41_2,1189755
41_3,1189756
56_1,1189757
56_2,1189758
56_3,1189759
56_4,1189760
56_5,1189761
56_6,1189762
72_1,1189763
72_2,1189764
72_3,1189765
72_4,1189766
72_5,1189767
35_1,1189768
35_2,1189769
35_3,1189770
35_4,1189771
35_5,1189772
35_6,1189773
35_7,1189774
35_8,1189775
53_1,1189776
53_2,1189777
53_3,1189778
50_1,1189779
50_2,1189780
50_3,1189781
50_4,1189782
28_2,1189783
28_4,1189784
45_1,1189785
45_2,1189786
45_3,1189787
45_4,1189788
45_5,1189789
45_6,1189790
22_1,1189791
22_2,1189792
22_3,1189793
22_4,1189794
22_5,1189795
29_1,1189796
29_2,1189797
29_3,1189798
29_4,1189799
29_5,1189800
29_6,1189801
29_7,1189802
29_8,1189803
2A_1,1189804
2A_2,1189805
43_1,1189806
43_2,1189807
06_1,1189808
63_4,1189809
63_3,1189810
971_1,1189811
971_2,1189812
971_3,1189813
971_4,1189814
972_1,1189815
972_2,1189816
972_3,1189817
972_4,1189818
75_1,1189819
75_2,1189820
974_2,1189821
974_3,1189822
974_4,1189823
974_5,1189824
974_6,1189825
974_7,1189826
75_3,1189827
75_4,1189828
75_6,1189829
75_7,1189830
75_8,1189831
75_9,1189832
75_10,1189833
75_11,1189834
75_12,1189835
75_13,1189836
75_14,1189837
75_15,1189838
75_16,1189839
75_17,1189840
75_18,1189841
88_1,1189843
88_3,1189844
88_2,1189845
88_4,1189846
57_2,1189847
92_9,1189848
78_1,1189849
78_2,1189850
78_3,1189851
78_11,1189852
62_2,1189853
03_2,1189854
57_3,1189855
57_4,1189856
57_5,1189857
57_6,1189858
57_7,1189859
57_8,1189860
57_9,1189861
07_1,1189862
07_3,1189863
64_5,1189864
64_6,1189865
64_4,1189866
64_1,1189867
83_6,1189868
83_8,1189869
"",1189870
11_2,1189871
65_1,1189872
65_2,1189873
65_3,1189874
44_2,1189875
03_3,1189876
66_4,1189877
28_1,1189878
19_1,1189879
19_2,1189880
54_5,1189881
54_6,1189882
54_7,1189883
54_2,1189884
54_4,1189885
89_3,1189886
34_2,1189887
76_2,1189888
76_5,1189889
76_6,1189890
76_9,1189891
76_10,1189892
10_3,1189893
55_2,1189894
55_1,1189895
02_1,1189896
02_2,1189897
02_4,1189898
02_5,1189899
03_1,1189900
47_1,1189901
51_5,1189902
2B_1,1189903
2B_2,1189904
47_2,1189905
47_3,1189906
71_1,1189907
71_4,1189908
71_2,1189909
71_3,1189910
71_5,1189911
52_1,1189912
52_2,1189913
89_1,1189914
89_2,1189915
974_1,1190006
42_2,1190007
"",1189993
"",1189962
"",1190015
