id,name,area_id,area,party_id,party,term
,Jaime Villegas,"",Cortés,Q7140524,PAC,8
,Jari Herrera,"",Francisco Morazán,Q970952,Libre,8
,Jeffrey Flores,Q1123380,Yoro,Q1579466,Nacional,8
,Jerry Hynds,Q751725,Islas de la Bahía,Q538272,Liberal,8
,Jorge Pinto,Q843984, Copán,Q1579466,Nacional,8
,Jorge Vargas,Q262125,Intibucá,Q538272,Liberal,8
,José Cruz,"",Cortés,Q970952,Libre,8
,José Galdámez,"",Francisco Morazán,Q970952,Libre,8
,José Gauggel,Q843984, Copán,Q538272,Liberal,8
,José León,Q843984, Copán,Q1579466,Nacional,8
,José Martínez,Q823443,Comayagua,Q1579466,Nacional,8
Q20994878,José Oswaldo Ramos Soto,"",Francisco Morazán,Q1579466,Nacional,8
,José Portillo,Q1123380,Yoro,Q538272,Liberal,8
,José Rodríguez,Q843984, Copán,Q970952,Libre,8
,José Saavedra,"",Valle,Q538272,Liberal,8
,José Tomás Zambrano Molina,"",Valle,Q1579466,Nacional,8
,José Vásquez,Q262125,Intibucá,Q970952,Libre,8
,Juan Valenzuela,Q744138,Lempira,Q1579466,Nacional,8
,Juan Zelaya,"",Francisco Morazán,Q1579466,Nacional,8
,Kritza Pérez,Q622619,Atlántida,Q7140524,PAC,8
,Leda García,"",Cortés,Q1579466,Nacional,8
,Lena Gutiérrez,"",Francisco Morazán,Q1579466,Nacional,8
,Liberato Madrid,Q1123380,Yoro,Q7140524,PAC,8
,Lilian Villatoro,Q823443,Comayagua,Q7140524,PAC,8
,Lisandro Arias,Q843984, Copán,Q538272,Liberal,8
,Luis Oliva,"",Cortés,Q7140524,PAC,8
,Luis Redondo,"",Cortés,Q7140524,PAC,8
,Manuel Fiallos,Q866886,La Paz,Q538272,Liberal,8
Q191060,Manuel Zelaya,"",Olancho,Q970952,Libre,8
,Marco Andino,"",Francisco Morazán,Q538272,Liberal,8
,Marcos Velásquez,"",Valle,Q1579466,Nacional,8
,Mario Ayala,"",Olancho,Q970952,Libre,8
,Mario Pérez,Q591139,Santa Bárbara,Q1579466,Nacional,8
,Maritza Varela,Q1123380,Yoro,Q538272,Liberal,8
,Marlene Alvarenga,"",Francisco Morazán,Q7140524,PAC,8
,Marlón Lara,"",Cortés,Q538272,Liberal,8
,Martha Figueroa,Q591139,Santa Bárbara,Q1579466,Nacional,8
,María Bardales,Q899272,Choluteca,Q1579466,Nacional,8
,María Leiva,Q622619,Atlántida,Q538272,Liberal,8
Q15647114,Mauricio Oliva,Q899272,Choluteca,Q1579466,Nacional,8
,Midence Martínez,Q867117,Colón,Q538272,Liberal,8
,Miguel Martínez,Q823443,Comayagua,Q1579466,Nacional,8
,Miguel Navarro,"",Olancho,Q970952,Libre,8
,Miltón Puerto,Q1123380,Yoro,Q1579466,Nacional,8
,Nery Reyes,Q744138,Lempira,Q538272,Liberal,8
,Paula Duran,Q1123380,Yoro,Q970952,Libre,8
,Rafael Alegría,"",Francisco Morazán,Q970952,Libre,8
,Rafael Nodarse,"",Cortés,Q538272,Liberal,8
,Ramón Chacón,Q867108,El Paraíso,Q538272,Liberal,8
,Ramón Leiva,Q622619,Atlántida,Q1579466,Nacional,8
,Rasel Tome,"",Francisco Morazán,Q970952,Libre,8
Q16624771,Reinaldo Sánchez,"",Olancho,Q1579466,Nacional,8
,Renan Inestroza,"",Francisco Morazán,Q1579466,Nacional,8
,Rodolfo Irías Navas,Q622619,Atlántida,Q1579466,Nacional,8
,Rolando Dubón,Q591139,Santa Bárbara,Q1579466,Nacional,8
,Román Villeda,Q867084,Ocotepeque,Q1579466,Nacional,8
,Salvador Pineda,Q744138,Lempira,Q1579466,Nacional,8
,Samuel Reyes,Q744138,Lempira,Q1579466,Nacional,8
,Sara Medina,Q867108,El Paraíso,Q1579466,Nacional,8
,Scherly Arriaga,"",Cortés,Q970952,Libre,8
,Seth Wood,"",Gracias a Dios,Q538272,Liberal,8
,Tatiana Canales,Q867117,Colón,Q970952,Libre,8
,Teresa Cálix,"",Olancho,Q1579466,Nacional,8
,Virgilio Padilla,"",Francisco Morazán,Q7140524,PAC,8
,Víctor Sabillón,Q591139,Santa Bárbara,Q538272,Liberal,8
,Waldina Paz,"",Francisco Morazán,Q538272,Liberal,8
,Walter Banegas,"",Cortés,Q7140524,PAC,8
,Walter Chávez,Q867108,El Paraíso,Q1579466,Nacional,8
,Welsy Vásquez,"",Cortés,Q1579466,Nacional,8
,Wilfredo Paz,Q867117,Colón,Q970952,Libre,8
,Wilmer Velásquez,"",Francisco Morazán,Q1579466,Nacional,8
,Yadira Bendaña,"",Francisco Morazán,Q538272,Liberal,8
,Yaudet Burbara,"",Cortés,Q1579466,Nacional,8
,Yavhe Sabillón,Q823443,Comayagua,Q970952,Libre,8
,Yenny Murillo,"",Cortés,Q970952,Libre,8
,Yester Múñoz,Q744138,Lempira,Q970952,Libre,8
,Yuri Sabas,Q899272,Choluteca,Q538272,Liberal,8
,Ángel Banegas,"",Cortés,Q538272,Liberal,8
,Ángel Sandoval,Q899272,Choluteca,Q970952,Libre,8
,Óscar Najera,Q867117,Colón,Q1579466,Nacional,8
,Óscar Álvarez,"",Francisco Morazán,Q1579466,Nacional,8
