statement,id,name,constituency_id,constituency,party_id,party,start_date,end_date,term
Q296920-62F4A6C2-6766-4A88-8C2E-22DACE76471C,Q296920,Glyn Davies,Q6841063,Mid and West Wales,Q7981882,Welsh Conservative Party,2003-05-01,2007-03-28,2
Q333141-0259B64A-3F5D-443F-9F0D-4E2524E2187E,Q333141,Rhodri Morgan,Q5038486,Cardiff West,Q832685,Welsh Labour,2003-05-01,2007-03-28,2
Q333141-FAB64625-F2E2-4C92-93F6-BE0E7592E9FE,Q333141,Rhodri Morgan,Q5038486,Cardiff West,Q832685,Welsh Labour,1999-05-06,2003-04-02,1
Q333141-E2F912C9-1A27-4FB2-BF55-E712D4DF2406,Q333141,Rhodri Morgan,Q5038486,Cardiff West,Q832685,Welsh Labour,2007-05-03,2011-03-30,3
Q333600-FA7628E5-728E-4AAC-AAB3-8082274F1207,Q333600,Dafydd Wigley,Q5016911,Caernarfon,Q10691,Plaid Cymru,1999-05-06,2003-04-02,1
Q3337819-4718D48A-0E36-4E5C-AC2A-DD8B648718B3,Q3337819,Neil Hamilton,Q6841063,Mid and West Wales,Q10647,UK Independence Party,2016-05-05,"",5
Q333841-73DB1B48-754C-42E2-BE17-67C2A45A3B45,Q333841,Dafydd Elis-Thomas,Q5318359,Dwyfor Meirionnydd,Q10691,Plaid Cymru,2016-05-05,2016-10-14,5
Q333841-A0B7AD09-6E19-4E01-9C28-9D29E72DAAED,Q333841,Dafydd Elis-Thomas,Q5318359,Dwyfor Meirionnydd,Q10691,Plaid Cymru,2011-05-05,2016-04-06,4
Q333841-be2009e5-418d-fa64-9217-b1f66dcdf2e9,Q333841,Dafydd Elis-Thomas,Q5318359,Dwyfor Meirionnydd,Q327591,independent politician,2016-10-14,"",5
Q333841-38D2A983-3E48-4C17-950A-4F1DF94EB05B,Q333841,Dafydd Elis-Thomas,Q6810309,Meirionnydd Nant Conwy,Q10691,Plaid Cymru,2003-05-01,2007-03-28,2
Q333841-EE838FBD-7792-41A2-8FF4-8CD7991602D0,Q333841,Dafydd Elis-Thomas,Q6810309,Meirionnydd Nant Conwy,Q10691,Plaid Cymru,1999-05-06,2003-04-02,1
Q333841-07C42986-E3F6-494B-B7DD-8339BAD68B5D,Q333841,Dafydd Elis-Thomas,Q5318359,Dwyfor Meirionnydd,Q10691,Plaid Cymru,2007-05-03,2011-03-30,3
Q333869-E6C99952-A4AF-4A9C-843A-0249247A27CA,Q333869,Ron Davies,Q5016924,Caerphilly,Q832685,Welsh Labour,1999-05-06,2003-04-02,1
Q333869-818C0398-48FD-4827-837D-66B827F9E299,Q333869,Ron Davies,Q5016924,Caerphilly,Q832685,Welsh Labour,2003-05-01,2007-03-28,2
Q336521-2B742BDD-F356-4052-9284-68D4057823DC,Q336521,"Eluned Morgan, Baroness Morgan of Ely",Q6841063,Mid and West Wales,Q832685,Welsh Labour,2016-05-05,"",5
Q336526-C2F8AC5C-CD7B-4104-AF76-C6F1590EB6A4,Q336526,"Mike German, Baron German",Q7568768,South Wales East,Q7981939,Welsh Liberal Democrats,1999-05-06,2003-04-02,1
Q336526-532C6341-D5F2-490E-ABE4-5105FFD42412,Q336526,"Mike German, Baron German",Q7568768,South Wales East,Q7981939,Welsh Liberal Democrats,2003-05-01,2007-03-28,2
Q336526-83EE00C7-62E9-4F0A-B7C4-DEF34881B93A,Q336526,"Mike German, Baron German",Q7568768,South Wales East,Q7981939,Welsh Liberal Democrats,2007-05-03,2010-06-30,3
Q3396810-B68880CF-41E9-4A99-929E-21ADB79F6CB1,Q3396810,Ieuan Wyn Jones,Q8054067,Ynys Môn,Q10691,Plaid Cymru,2011-05-05,2013-06-20,4
Q3396810-285D9DA3-3B35-4A25-B4DC-627DA8A07381,Q3396810,Ieuan Wyn Jones,Q8054067,Ynys Môn,Q10691,Plaid Cymru,2003-05-01,2007-03-28,2
Q3396810-4757052B-AA57-47EB-ADA5-F45A8485F693,Q3396810,Ieuan Wyn Jones,Q8054067,Ynys Môn,Q10691,Plaid Cymru,1999-05-06,2003-04-02,1
Q3396810-E82FBA11-3DAC-42AF-8F7E-27178CA3AC37,Q3396810,Ieuan Wyn Jones,Q8054067,Ynys Môn,Q10691,Plaid Cymru,2007-05-03,2011-03-30,3
Q3404581-3B94582C-5776-41C4-8769-F37E617A5E9E,Q3404581,Mohammad Asghar,Q7568768,South Wales East,Q7981882,Welsh Conservative Party,2016-05-05,"",5
Q3404581-5915AAC0-E82F-4435-BFDB-7532E62FE919,Q3404581,Mohammad Asghar,Q7568768,South Wales East,Q7981882,Welsh Conservative Party,2011-05-05,2016-04-06,4
Q3404581-18624BB2-3ECA-43AE-BBDE-591C58EF036D,Q3404581,Mohammad Asghar,Q7568768,South Wales East,Q7981882,Welsh Conservative Party,2009-12-08,2011-03-30,3
Q3404581-306A3199-4369-46FF-86D9-BEEEFD93177D,Q3404581,Mohammad Asghar,Q7568768,South Wales East,Q10691,Plaid Cymru,2007-05-03,2009-12-08,3
Q3405033-7581407D-CB8B-4499-9A4C-7B430DEFFD1A,Q3405033,Adam Price,Q5043201,Carmarthen East and Dinefwr,Q10691,Plaid Cymru,2016-05-05,"",5
Q3405113-5C683D67-5BBA-492E-B1D3-04467E948CF7,Q3405113,Cynog Dafis,Q6841063,Mid and West Wales,Q10691,Plaid Cymru,1999-05-06,2003-04-02,1
Q3405148-C032FE83-0B4B-458D-97EE-60E22D684963,Q3405148,Simon Thomas,Q6841063,Mid and West Wales,Q10691,Plaid Cymru,2011-05-05,2016-04-06,4
Q3405148-F2B1227C-6615-4C3C-89F4-905353BE2990,Q3405148,Simon Thomas,Q6841063,Mid and West Wales,Q10691,Plaid Cymru,2016-05-05,2018-07-25,5
Q3405595-483E665A-6F40-47F4-AC4D-21851CE2D06A,Q3405595,Alun Ffred Jones,Q4789158,Arfon,Q10691,Plaid Cymru,2011-05-05,2016-04-06,4
Q3405595-C9434FF7-0E6C-4F87-A2CE-CDEB3DEC8C35,Q3405595,Alun Ffred Jones,Q5016911,Caernarfon,Q10691,Plaid Cymru,2003-05-01,2007-03-28,2
Q3405595-0C1A8F32-512C-4151-B105-45955DCBE758,Q3405595,Alun Ffred Jones,Q4789158,Arfon,Q10691,Plaid Cymru,2007-05-03,2011-03-30,3
Q46999598-b48153f8-46c1-4323-dcda-69c30452c8a0,Q46999598,Mandy Jones,Q7057143,North Wales,Q10647,UK Independence Party,2017-12-28,"",5
Q4727085-06A267FA-E200-4A6B-96BC-15C2417654D8,Q4727085,Alison Halford,Q5254972,Delyn,Q832685,Welsh Labour,1999-05-06,2003-04-02,1
Q4737493-D1962B3B-D65C-4B5E-8D1D-E62F538F28BA,Q4737493,Alun Davies,Q4923797,Blaenau Gwent,Q832685,Welsh Labour,2011-05-05,2016-04-06,4
Q4737493-92976658-70D6-4248-AD08-00AC082B5069,Q4737493,Alun Davies,Q4923797,Blaenau Gwent,Q832685,Welsh Labour,2016-05-05,"",5
Q4737493-1934D4C5-DFC2-4A2C-A7D2-7E94E37D5BF1,Q4737493,Alun Davies,Q6841063,Mid and West Wales,Q832685,Welsh Labour,2007-05-03,2011-03-30,3
Q4737506-6BC97296-B574-4472-ACAD-389C1830FF83,Q4737506,Alun Pugh,Q13128697,Clwyd West,Q832685,Welsh Labour,1999-05-06,2003-04-02,1
Q4737506-49A357DB-1E1C-4A9D-B4A4-387D7ED33560,Q4737506,Alun Pugh,Q13128697,Clwyd West,Q832685,Welsh Labour,2003-05-01,2007-03-28,2
Q4756771-3330D10C-9623-4E92-8A94-343086A4009F,Q4756771,Andrew Davies,Q7653727,Swansea West,Q832685,Welsh Labour,2003-05-01,2007-03-28,2
Q4756771-B6A32830-698A-40B1-8175-6804B23E1252,Q4756771,Andrew Davies,Q7653727,Swansea West,Q832685,Welsh Labour,1999-05-06,2003-04-02,1
Q4756771-FCECF20C-A45A-45CE-850A-85D50CB3A528,Q4756771,Andrew Davies,Q7653727,Swansea West,Q832685,Welsh Labour,2007-05-03,2011-03-30,3
Q4758350-FBF1CDB5-EC57-435E-861B-A00E9DDD20EF,Q4758350,Andrew R. T. Davies,Q7568764,South Wales Central,Q7981882,Welsh Conservative Party,2011-05-05,2016-04-06,4
Q4758350-E4D249D7-84C6-4483-A328-FFD8AAC42652,Q4758350,Andrew R. T. Davies,Q7568764,South Wales Central,Q7981882,Welsh Conservative Party,2016-05-05,"",5
Q4758350-3EC587CB-0DDC-4E30-A976-17F31F28E8FB,Q4758350,Andrew R. T. Davies,Q7568764,South Wales Central,Q7981882,Welsh Conservative Party,2007-05-03,2011-03-30,3
Q4762396-A7B4832B-FF8B-4EDF-B000-A110CCC06580,Q4762396,Angela Burns,Q5043210,Carmarthen West and South Pembrokeshire,Q7981882,Welsh Conservative Party,2016-05-05,"",5
Q4762396-61C60C37-433A-44B1-A714-11F8DA2D5D04,Q4762396,Angela Burns,Q5043210,Carmarthen West and South Pembrokeshire,Q7981882,Welsh Conservative Party,2007-05-03,2011-03-30,3
Q4762396-E1A5CCEA-92CD-453F-93E0-F9C887C6A2A5,Q4762396,Angela Burns,Q5043210,Carmarthen West and South Pembrokeshire,Q7981882,Welsh Conservative Party,2011-05-05,2016-04-06,4
Q4766480-CC07B6CA-FBA2-4976-A2F6-EBF477BA230A,Q4766480,Ann Jones,Q7909529,Vale of Clwyd,Q832685,Welsh Labour,2016-05-05,"",5
Q4766480-13E6F03F-3066-402A-923A-5C981987611E,Q4766480,Ann Jones,Q7909529,Vale of Clwyd,Q832685,Welsh Labour,2003-05-01,2007-03-28,2
Q4766480-C1988C92-1114-4B65-80C2-E9C15170A24A,Q4766480,Ann Jones,Q7909529,Vale of Clwyd,Q832685,Welsh Labour,1999-05-06,2003-04-02,1
Q4766480-56AAF0F1-6CB4-4CFF-B507-F859CC66889E,Q4766480,Ann Jones,Q7909529,Vale of Clwyd,Q832685,Welsh Labour,2011-05-05,2016-04-06,4
Q4766480-68FFD776-86DF-4010-BCD8-79400C1093CA,Q4766480,Ann Jones,Q7909529,Vale of Clwyd,Q832685,Welsh Labour,2007-05-03,2011-03-30,3
Q4775602-6CBD45E8-3765-4BEB-8973-F2458C334FC5,Q4775602,Antoinette Sandbach,Q7057143,North Wales,Q7981882,Welsh Conservative Party,2011-05-05,2015-05-08,4
