name,wikiname,area,party,type,term,source
Ibrahim Eteiwi,"",Tafilah,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Ibrahim Shahahdeh,"",Tafilah,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Insaf Khawaldeh,"",Tafilah,Independent,Woman,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Jamal Gammoh,"",Balqa,Independent,Christian,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Jamil Nimri,"",Irbid,Independent,Christian,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Kamal Zghoul,"",Ajloun,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Khaled Bakkar,"",Irbid,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Khaled Hiari,"",Balqa,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Khalil Atiyeh,"",Amman,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Khamis Atiyeh,,National List,The Homeland,National List,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Kheir Eddin Hakouz,"",Amman,Independent,Circassian and Chechen,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Kheirallah Abu Saalik,"",Amman,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Kholoud Khatatbeh,"",Ajloun,Independent,Woman,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Krayem Awadat,"",Zarqa,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Madallah Tarawneh,"",Karak,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Mahmoud Hweimel,Mahmoud Hweimel,Karak,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Mahmoud Kharabsheh,Mahmoud Kharabsheh,Balqa,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Mahmoud Mheidat,"",Irbid,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Mariam Lozi,"",Amman,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Mazen Dalaeen,,National List,Labour and Professionalism,National List,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Mefleh Khazaaleh,"",Mafraq,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Mefleh Ruheimi,"",Jerash,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Mejhem Sqour,,National List,Cooperation,National List,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Miasar Sardiyeh,"",Northern Badia,Independent,Woman,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Mirza Bollad,"",Zarqa,Independent,Circassian and Chechen,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Mohammad Abbadi,"",Balqa,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Mohammad Al Haj,,National List,Muslim Centre Party,National List,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Mohammad Alaqmeh,"",Balqa,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Mohammad Amr,,National List,Al Quds,National List,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Mohammad Badri,"",Aqaba,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Mohammad Barayseh,"",Amman,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Mohammad Freihat,"",Ajloun,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Mohammad Hajaya,"",Southern Badia,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Mohammad Hdeib,"",Jerash,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Mohammad Khalil Dawaimeh,"",Amman,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Mohammad Khasawneh,Mohammad Khasawneh,Irbid,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Mohammad Khashman,,National List,National Union Party,National List,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Mohammad Mahseiri,Mohammad Mahseiri,Amman,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Mohammad Qatatsheh,"",Tafilah,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Mohammad Radaideh,"",Irbid,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Mohammad Riyati,"",Aqaba,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Mohammad Saudi,"",Tafilah,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Mohammad Shdeifat,"",Mafraq,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Mohammad Thahrawi,"",Zarqa,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Mohammad Yousef Dawaimeh,"",Zarqa,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Mohammad Zboun,,National List,National Unity,National List,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Motaz Abu Rumman,,National List,Shabab Al Wifaq,National List,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Mousa Abu Sweilem,"",Amman,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Mousa Khalaileh,"",Zarqa,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Munir Zawaideh,,National List,StrongerJordan,National List,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Mustafa Amawi,,National List,Muslim Centre Party,National List,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Mustafa Hamarneh,"",Madaba,Independent,Christian,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Mustafa Rawashdeh,"",Karak,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Mustafa Shneikat,,National List,The People,National List,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Mustafa Yaghi,"",Balqa,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Mwafaq Dmour,"",Karak,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Naayem Eiadat,"",Amman,Independent,Woman,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Najah Azzeh,"",Jerash,Independent,Woman,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Nassar Qaisi,"",Amman,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Nayef Khazaaleh,"",Mafraq,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Nayef Leimoun,"",Karak,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Nidal Hiari,"",Balqa,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Qassim Bani Hani,"",Irbid,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Qusai Dmeisi,"",Zarqa,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Raed Hijazin,"",Karak,Independent,Christian,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Raed Khalaileh,,National List,People of Determination,National List,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Raed Kouz,"",Amman,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Reem Abu Dalbouh,"",Mafraq,Independent,Woman,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Rida Haddad,"",Ajloun,Independent,Christian,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Rudaina Ati,"",Zarqa,Independent,Woman,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Rula Hroub,,National List,StrongerJordan,National List,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Saad Bluwi,,National List,The Dawn,National List,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Saad Hayel Srour,Saad Hayel Srour,Northern Badia,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Saad Zawaideh,"",Southern Badia,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Salim Batayneh,"",Irbid,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Samir Orabi,"",Zarqa,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Samir Oweis,"",Irbid,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Shadi Odwan,"",Balqa,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Shaha Abu Shosheh,"",Southern Badia,Independent,Woman,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Sleiman Zaben,"",Central Badia,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Taha Shorafa,"",Karak,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Talal al-Sharif,Talal al-Sharif,Amman,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Tamam Riyati,"",Aqaba,Independent,Woman,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Tamer Bino,"",Amman,Independent,Circassian and Chechen,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Tareq Khouri,Tareq Khouri,Zarqa,Independent,Christian,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Thamer Fayez,"",Central Badia,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Wafaa Bani Mustafa,"",Jerash,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Wasfi Zyoud,"",Zarqa,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Yassin Bani Yassin,"",Irbid,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Yihya Saud,"",Amman,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Yousef Abu Huweidi,"",Zarqa,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Yousef Qorneh,"",Amman,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Zaid Shawabkah,"",Madaba,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Zakariya Sheikh,,National List,Muslim Centre Party,National List,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
ِMohammad Sharman,"",Irbid,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
