name,wikiname,party,parish,area,area_id,term,source
Kenneth Baugh,Kenneth Baugh,Jamaica Labour Party,St. Catherine,St. Catherine West Central,ocd-division/country:ja/parish:st._catherine/constituency:st._catherine_west_central,2011,https://en.wikipedia.org/w/index.php?title=Constituencies_of_Jamaica&oldid=707616860
Leslie Campbell,"",Jamaica Labour Party,St. Catherine,St. Catherine North Eastern,ocd-division/country:ja/parish:st._catherine/constituency:st._catherine_north_eastern,2016,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
Lisa Hanna,Lisa Hanna,People's National Party,St. Ann,St. Ann South East,ocd-division/country:ja/parish:st._ann/constituency:st._ann_south_east,2011,https://en.wikipedia.org/w/index.php?title=Constituencies_of_Jamaica&oldid=707616860
Lisa Hanna,Lisa Hanna,People's National Party,St. Ann,St. Ann South Eastern,ocd-division/country:ja/parish:st._ann/constituency:st._ann_south_eastern,2016,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
Lloyd B. Smith,"",People's National Party,St. James,St. James Central,ocd-division/country:ja/parish:st._james/constituency:st._james_central,2011,https://en.wikipedia.org/w/index.php?title=Constituencies_of_Jamaica&oldid=707616860
Luther Buchanan,"",People's National Party,Westmoreland,Westmoreland East,ocd-division/country:ja/parish:westmoreland/constituency:westmoreland_east,2011,https://en.wikipedia.org/w/index.php?title=Constituencies_of_Jamaica&oldid=707616860
Luther Buchanan,"",People's National Party,Westmoreland,Westmoreland Eastern,ocd-division/country:ja/parish:westmoreland/constituency:westmoreland_eastern,2016,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
Lynvale Bloomfield,"",People's National Party,Portland,Portland East,ocd-division/country:ja/parish:portland/constituency:portland_east,2011,https://en.wikipedia.org/w/index.php?title=Constituencies_of_Jamaica&oldid=707616860
Lynvale Bloomfield,"",People's National Party,Portland,Portland Eastern,ocd-division/country:ja/parish:portland/constituency:portland_eastern,2016,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
Marisa Dalrymple-Philibert,"",Jamaica Labour Party,Trelawny,Trelawny South,ocd-division/country:ja/parish:trelawny/constituency:trelawny_south,2011,https://en.wikipedia.org/w/index.php?title=Constituencies_of_Jamaica&oldid=707616860
Marisa Dalrymple-Philibert,"",Jamaica Labour Party,Trelawny,Trelawny Southern,ocd-division/country:ja/parish:trelawny/constituency:trelawny_southern,2016,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
Marlene Malahoo Forte,Marlene Malahoo Forte,Jamaica Labour Party,St. James,St. James West Central,ocd-division/country:ja/parish:st._james/constituency:st._james_west_central,2016,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
Michael Henry,Michael Henry (Jamaican politician),Jamaica Labour Party,Clarendon,Clarendon Central,ocd-division/country:ja/parish:clarendon/constituency:clarendon_central,2011,https://en.wikipedia.org/w/index.php?title=Constituencies_of_Jamaica&oldid=707616860
Michael Henry,Michael Henry (Jamaican politician),Jamaica Labour Party,Clarendon,Clarendon Central,ocd-division/country:ja/parish:clarendon/constituency:clarendon_central,2016,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
Michael Peart,Michael Peart,People's National Party,Manchester,Manchester South,ocd-division/country:ja/parish:manchester/constituency:manchester_south,2011,https://en.wikipedia.org/w/index.php?title=Constituencies_of_Jamaica&oldid=707616860
Michael Stewart,"",People's National Party,Manchester,Manchester Southern,ocd-division/country:ja/parish:manchester/constituency:manchester_southern,2016,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
Mikael Phillips,"",People's National Party,Manchester,Manchester North West,ocd-division/country:ja/parish:manchester/constituency:manchester_north_west,2011,https://en.wikipedia.org/w/index.php?title=Constituencies_of_Jamaica&oldid=707616860
Mikael Phillips,"",People's National Party,Manchester,Manchester North Western,ocd-division/country:ja/parish:manchester/constituency:manchester_north_western,2016,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
Morais Guy,"",People's National Party,St. Mary,St. Mary Central,ocd-division/country:ja/parish:st._mary/constituency:st._mary_central,2011,https://en.wikipedia.org/w/index.php?title=Constituencies_of_Jamaica&oldid=707616860
Morais Guy,"",People's National Party,St. Mary,St. Mary Central,ocd-division/country:ja/parish:st._mary/constituency:st._mary_central,2016,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
Natalie Neita-Headley,"",People's National Party,St. Catherine,St. Catherine North Central,ocd-division/country:ja/parish:st._catherine/constituency:st._catherine_north_central,2011,https://en.wikipedia.org/w/index.php?title=Constituencies_of_Jamaica&oldid=707616860
Natalie Neita-Headley,"",People's National Party,St. Catherine,St. Catherine North Central,ocd-division/country:ja/parish:st._catherine/constituency:st._catherine_north_central,2016,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
Noel Arscott,"",People's National Party,Clarendon,Clarendon South West,ocd-division/country:ja/parish:clarendon/constituency:clarendon_south_west,2011,https://en.wikipedia.org/w/index.php?title=Constituencies_of_Jamaica&oldid=707616860
Noel Arscott,"",People's National Party,Clarendon,Clarendon South Western,ocd-division/country:ja/parish:clarendon/constituency:clarendon_south_western,2016,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
Norman Dunn,Norman Dunn,Jamaica Labour Party,St. Mary,St. Mary South Eastern,ocd-division/country:ja/parish:st._mary/constituency:st._mary_south_eastern,2016,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
Olivia Grange,Olivia Grange,Jamaica Labour Party,St. Catherine,St. Catherine Central,ocd-division/country:ja/parish:st._catherine/constituency:st._catherine_central,2011,https://en.wikipedia.org/w/index.php?title=Constituencies_of_Jamaica&oldid=707616860
Olivia Grange,Olivia Grange,Jamaica Labour Party,St. Catherine,St. Catherine Central,ocd-division/country:ja/parish:st._catherine/constituency:st._catherine_central,2016,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
Omar Davies,Omar Davies,People's National Party,St. Andrew,St. Andrew South,ocd-division/country:ja/parish:st._andrew/constituency:st._andrew_south,2011,https://en.wikipedia.org/w/index.php?title=Constituencies_of_Jamaica&oldid=707616860
Patrick Atkinson,"",People's National Party,Trelawny,Trelawny North,ocd-division/country:ja/parish:trelawny/constituency:trelawny_north,2011,https://en.wikipedia.org/w/index.php?title=Constituencies_of_Jamaica&oldid=707616860
Paul Buchanan,Paul Buchanan,People's National Party,St. Andrew,St. Andrew West Rural,ocd-division/country:ja/parish:st._andrew/constituency:st._andrew_west_rural,2011,https://en.wikipedia.org/w/index.php?title=Constituencies_of_Jamaica&oldid=707616860
Pearnel Charles,Pearnel Charles,Jamaica Labour Party,Clarendon,Clarendon North Central,ocd-division/country:ja/parish:clarendon/constituency:clarendon_north_central,2011,https://en.wikipedia.org/w/index.php?title=Constituencies_of_Jamaica&oldid=707616860
Pearnel Charles,Pearnel Charles,Jamaica Labour Party,Clarendon,Clarendon North Central,ocd-division/country:ja/parish:clarendon/constituency:clarendon_north_central,2016,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
Peter Bunting,"",People's National Party,Manchester,Manchester Centraldisambiguation needed,ocd-division/country:ja/parish:manchester/constituency:manchester_centraldisambiguation_needed,2011,https://en.wikipedia.org/w/index.php?title=Constituencies_of_Jamaica&oldid=707616860
Peter Bunting,"",People's National Party,Manchester,Manchester Central,ocd-division/country:ja/parish:manchester/constituency:manchester_central,2016,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
Peter Phillips,Peter Phillips (Jamaican politician),People's National Party,St. Andrew,St. Andrew East Central,ocd-division/country:ja/parish:st._andrew/constituency:st._andrew_east_central,2011,https://en.wikipedia.org/w/index.php?title=Constituencies_of_Jamaica&oldid=707616860
Peter Phillips,Peter Phillips (Jamaican politician),People's National Party,St. Andrew,St. Andrew East Central,ocd-division/country:ja/parish:st._andrew/constituency:st._andrew_east_central,2016,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
Phillip Paulwell,Phillip Paulwell,People's National Party,Kingston,Kingston East & Port Royal,ocd-division/country:ja/parish:kingston/constituency:kingston_east_&_port_royal,2011,https://en.wikipedia.org/w/index.php?title=Constituencies_of_Jamaica&oldid=707616860
Phillip Paulwell,Phillip Paulwell,People's National Party,Kingston,Kingston East & Port Royal,ocd-division/country:ja/parish:kingston/constituency:kingston_east_&_port_royal,2016,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
Portia Simpson-Miller,Portia Simpson-Miller,People's National Party,St. Andrew,St. Andrew South West,ocd-division/country:ja/parish:st._andrew/constituency:st._andrew_south_west,2011,https://en.wikipedia.org/w/index.php?title=Constituencies_of_Jamaica&oldid=707616860
Raymond Pryce,"",People's National Party,St. Elizabeth,St. Elizabeth North East,ocd-division/country:ja/parish:st._elizabeth/constituency:st._elizabeth_north_east,2011,https://en.wikipedia.org/w/index.php?title=Constituencies_of_Jamaica&oldid=707616860
Richard Azan,"",People's National Party,Clarendon,Clarendon North West,ocd-division/country:ja/parish:clarendon/constituency:clarendon_north_west,2011,https://en.wikipedia.org/w/index.php?title=Constituencies_of_Jamaica&oldid=707616860
Richard Azan,"",People's National Party,Clarendon,Clarendon North Western,ocd-division/country:ja/parish:clarendon/constituency:clarendon_north_western,2016,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
Richard Parchment,"",People's National Party,St. Elizabeth,St. Elizabeth South East,ocd-division/country:ja/parish:st._elizabeth/constituency:st._elizabeth_south_east,2011,https://en.wikipedia.org/w/index.php?title=Constituencies_of_Jamaica&oldid=707616860
Robert Montague,Robert Montague (Jamaican politician),Jamaica Labour Party,St. Mary,St. Mary Western,ocd-division/country:ja/parish:st._mary/constituency:st._mary_western,2016,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
Robert Pickersgill,"",People's National Party,St. Catherine,St. Catherine North West,ocd-division/country:ja/parish:st._catherine/constituency:st._catherine_north_west,2011,https://en.wikipedia.org/w/index.php?title=Constituencies_of_Jamaica&oldid=707616860
Robert Pickersgill,"",People's National Party,St. Catherine,St. Catherine North Western,ocd-division/country:ja/parish:st._catherine/constituency:st._catherine_north_western,2016,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
Roger Clarke,"",People's National Party,Westmoreland,Westmoreland Central,ocd-division/country:ja/parish:westmoreland/constituency:westmoreland_central,2011,https://en.wikipedia.org/w/index.php?title=Constituencies_of_Jamaica&oldid=707616860
Ronald Thwaites,"",People's National Party,Kingston,Kingston Central,ocd-division/country:ja/parish:kingston/constituency:kingston_central,2011,https://en.wikipedia.org/w/index.php?title=Constituencies_of_Jamaica&oldid=707616860
Ronald Thwaites,"",People's National Party,Kingston,Kingston Central,ocd-division/country:ja/parish:kingston/constituency:kingston_central,2016,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
Rudyard Spencer,Rudyard Spencer,Jamaica Labour Party,Clarendon,Clarendon South East,ocd-division/country:ja/parish:clarendon/constituency:clarendon_south_east,2011,https://en.wikipedia.org/w/index.php?title=Constituencies_of_Jamaica&oldid=707616860
Rudyard Spencer,Rudyard Spencer,Jamaica Labour Party,Clarendon,Clarendon South Eastern,ocd-division/country:ja/parish:clarendon/constituency:clarendon_south_eastern,2016,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
Shahine Robinson,Shahine Robinson,Jamaica Labour Party,St. Ann,St. Ann North East,ocd-division/country:ja/parish:st._ann/constituency:st._ann_north_east,2011,https://en.wikipedia.org/w/index.php?title=Constituencies_of_Jamaica&oldid=707616860
Shahine Robinson,Shahine Robinson,Jamaica Labour Party,St. Ann,St. Ann North Eastern,ocd-division/country:ja/parish:st._ann/constituency:st._ann_north_eastern,2016,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
Sharon Ffolkes-Abrahams,"",People's National Party,St. James,St. James West Central,ocd-division/country:ja/parish:st._james/constituency:st._james_west_central,2011,https://en.wikipedia.org/w/index.php?title=Constituencies_of_Jamaica&oldid=707616860
Victor Wright,"",People's National Party,Trelawny,Trelawny Northern,ocd-division/country:ja/parish:trelawny/constituency:trelawny_northern,2016,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
William J.C. Hutchinson,"",Jamaica Labour Party,St. Elizabeth,St. Elizabeth North West,ocd-division/country:ja/parish:st._elizabeth/constituency:st._elizabeth_north_west,2011,https://en.wikipedia.org/w/index.php?title=Constituencies_of_Jamaica&oldid=707616860
William J.C. Hutchinson,"",Jamaica Labour Party,St. Elizabeth,St. Elizabeth North Western,ocd-division/country:ja/parish:st._elizabeth/constituency:st._elizabeth_north_western,2016,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
Winston Green,Winston Green,People's National Party,St. Mary,St. Mary South East,ocd-division/country:ja/parish:st._mary/constituency:st._mary_south_east,2011,https://en.wikipedia.org/w/index.php?title=Constituencies_of_Jamaica&oldid=707616860
Wykeham McNeill,Wykeham McNeill,People's National Party,Westmoreland,Westmoreland Western,ocd-division/country:ja/parish:westmoreland/constituency:westmoreland_western,2016,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
Zavia Mayne,"",Jamaica Labour Party,St. Ann,St. Ann South Western,ocd-division/country:ja/parish:st._ann/constituency:st._ann_south_western,2016,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
