id,name,sort_name,district,start_date,end_date,party,source,image,phone,email,term
gmartinezc,Gustavo Jose Martinez Campos,"Martinez Campos, Gustavo Jose",Chaco,2013-12-10,2017-12-09,JUSTICIALISTA,http://www.hcdn.gob.ar/diputados/gmartinezc/,"","","",135
gnavarro,Graciela Navarro,"Navarro, Graciela",Santiago Del Estero,2015-12-10,2019-12-09,FRENTE CIVICO POR SANTIAGO,http://www.hcdn.gob.ar/diputados/gnavarro/,"","","",135
gscaglia,Gisela Scaglia,"Scaglia, Gisela",Santa Fe,2013-12-10,2017-12-09,UNION PRO,http://www.hcdn.gob.ar/diputados/gscaglia/,"","","",135
gsnopek,Guillermo Snopek,"Snopek, Guillermo",Jujuy,2015-12-10,2019-12-09,JUSTICIALISTA,http://www.hcdn.gob.ar/diputados/gsnopek/,"","","",135
gtroiano,Gabriela Alejandra Troiano,"Troiano, Gabriela Alejandra",Buenos Aires,2013-12-10,2017-12-09,PARTIDO SOCIALISTA,http://www.hcdn.gob.ar/diputados/gtroiano/,"","","",135
gvaldes,Gustavo Adolfo Valdes,"Valdes, Gustavo Adolfo",Corrientes,2013-12-10,2017-12-09,UCR,http://www.hcdn.gob.ar/diputados/gvaldes/,"","","",135
halonso,Horacio Fernando Alonso,"Alonso, Horacio Fernando",Buenos Aires,2013-12-10,2017-12-09,FEDERAL UNIDOS POR UNA NUEVA ARGENTINA,http://www.hcdn.gob.ar/diputados/halonso/,"","","",135
hbaldassi,Hector Baldassi,"Baldassi, Hector",Cordoba,2013-12-10,2017-12-09,UNION PRO,http://www.hcdn.gob.ar/diputados/hbaldassi/,"","","",135
hbinner,Hermes Juan Binner,"Binner, Hermes Juan",Santa Fe,2013-12-10,2017-12-09,PARTIDO SOCIALISTA,http://www.hcdn.gob.ar/diputados/hbinner/,"","","",135
hdaer,Hector Ricardo Daer,"Daer, Hector Ricardo",Buenos Aires,2013-12-10,2017-12-09,BLOQUE DE LOS TRABAJADORES,http://www.hcdn.gob.ar/diputados/hdaer/,"","","",135
hgoicoechea,Horacio Goicoechea,"Goicoechea, Horacio",Chaco,2015-12-10,2019-12-09,UCR,http://www.hcdn.gob.ar/diputados/hgoicoechea/,"","","",135
hgutierrez,Hector Maria Gutierrez,"Gutierrez, Hector Maria",Buenos Aires,2013-12-10,2017-12-09,UCR,http://www.hcdn.gob.ar/diputados/hgutierrez/,"","","",135
hmarcucci,Hugo Maria Marcucci,"Marcucci, Hugo Maria",Santa Fe,2015-12-10,2019-12-09,UCR,http://www.hcdn.gob.ar/diputados/hmarcucci/,"","","",135
holivares,Hector Enrique Olivares,"Olivares, Hector Enrique",La Rioja,2015-12-10,2019-12-09,UCR,http://www.hcdn.gob.ar/diputados/holivares/,"","","",135
hrecalde,Hector Pedro Recalde,"Recalde, Hector Pedro",Buenos Aires,2013-12-10,2017-12-09,FRENTE PARA LA VICTORIA - PJ,http://www.hcdn.gob.ar/diputados/hrecalde/,"","","",135
hroquel,Hector Alberto Roquel,"Roquel, Hector Alberto",Santa Cruz,2015-12-10,2019-12-09,UCR,http://www.hcdn.gob.ar/diputados/hroquel/,"","","",135
htentor,Hector Olindo Tentor,"Tentor, Hector Olindo",Jujuy,2013-12-10,2017-12-09,JUSTICIALISTA,http://www.hcdn.gob.ar/diputados/htentor/,"","","",135
ibianchi,Ivana Maria Bianchi,"Bianchi, Ivana Maria",San Luis,2015-12-10,2019-12-09,COMPROMISO FEDERAL,http://www.hcdn.gob.ar/diputados/ibianchi/,"","","",135
ilotto,Ines Beatriz Lotto,"Lotto, Ines Beatriz",Formosa,2015-12-10,2019-12-09,FRENTE PARA LA VICTORIA - PJ,http://www.hcdn.gob.ar/diputados/ilotto/,"","","",135
jbarreto,Jorge Ruben Barreto,"Barreto, Jorge Ruben",Entre Rios,2013-12-10,2017-12-09,FRENTE PARA LA VICTORIA - PJ,http://www.hcdn.gob.ar/diputados/jbarreto/,"","","",135
jbrugge,Juan Fernando Brügge,"Brügge, Juan Fernando",Cordoba,2015-12-10,2019-12-09,UNIDOS POR UNA NUEVA ARGENTINA,http://www.hcdn.gob.ar/diputados/jbrugge/,"","","",135
jcabandie,Juan Cabandie,"Cabandie, Juan",Ciudad De Buenos Aires,2013-12-10,2017-12-09,FRENTE PARA LA VICTORIA - PJ,http://www.hcdn.gob.ar/diputados/jcabandie/,"","","",135
jcasanas,Juan Francisco Casañas,"Casañas, Juan Francisco",Tucuman,2013-12-10,2017-12-09,DEL BICENTENARIO,http://www.hcdn.gob.ar/diputados/jcasanas/,"","","",135
jdagostino,Jorge Marcelo D'agostino,"D'agostino, Jorge Marcelo",Entre Rios,2013-12-10,2017-12-09,UCR,http://www.hcdn.gob.ar/diputados/jdagostino/,"","","",135
jdavid,Nestor Javier David,"David, Nestor Javier",Salta,2015-12-10,2019-12-09,JUSTICIALISTA,http://www.hcdn.gob.ar/diputados/jdavid/,"","","",135
jdemendiguren,Jose Ignacio De Mendiguren,"De Mendiguren, Jose Ignacio",Buenos Aires,2013-12-10,2017-12-09,FEDERAL UNIDOS POR UNA NUEVA ARGENTINA,http://www.hcdn.gob.ar/diputados/jdemendiguren/,"","","",135
jdevido,Julio De Vido,"De Vido, Julio",Buenos Aires,2015-12-10,2019-12-09,FRENTE PARA LA VICTORIA - PJ,http://www.hcdn.gob.ar/diputados/jdevido/,"","","",135
jdiazr,Juan Carlos Diaz Roig,"Diaz Roig, Juan Carlos",Formosa,2013-12-10,2017-12-09,FRENTE PARA LA VICTORIA - PJ,http://www.hcdn.gob.ar/diputados/jdiazr/,"","","",135
jdindart,Julian Dindart,"Dindart, Julian",Corrientes,2015-12-10,2019-12-09,UCR,http://www.hcdn.gob.ar/diputados/jdindart/,"","","",135
jditullio,Juliana Di Tullio,"Di Tullio, Juliana",Buenos Aires,2013-12-10,2017-12-09,FRENTE PARA LA VICTORIA - PJ,http://www.hcdn.gob.ar/diputados/jditullio/,"","","",135
jforellana,Jose Fernando Orellana,"Orellana, Jose Fernando",Tucuman,2015-12-10,2019-12-09,PRIMERO TUCUMAN,http://www.hcdn.gob.ar/diputados/jforellana/,"","","",135
