id,position,label,description,start_date,constituency,end_date,election,replaced_by,replaces,of
Q20644683,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Tucumán Province,,,,,
Q20644688,Q18229570,Member of the Argentine Chamber of Deputies,"",2007-12-10,Buenos Aires,2011-12-09,,,,
Q20644688,Q18229570,Member of the Argentine Chamber of Deputies,"",2013-12-10,Buenos Aires,2015-12-10,,,,
Q20667914,Q18229570,Member of the Argentine Chamber of Deputies,"",2011-12-10,Neuquén Province,2015-12-09,,,,
Q20667914,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Neuquén Province,,,,,
Q20737416,Q140686,chairperson,"highest officer of an organized group such as a board, a committee, or a deliberative assembly",2011,,2015,,,,Christian Democratic Party
Q20737416,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Córdoba Province,,,,,
Q21074953,Q18229570,Member of the Argentine Chamber of Deputies,"",2013-12-10,Buenos Aires,2017-12-09,,,,
Q21480721,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Salta Province,,,,,
Q21480801,Q18229570,Member of the Argentine Chamber of Deputies,"",2013-12-10,,2015-12-10,,,,
Q21591711,Q18229570,Member of the Argentine Chamber of Deputies,"",2003-12-10,La Rioja Province,2007-12-10,,,,
Q21591711,Q18229570,Member of the Argentine Chamber of Deputies,"",2009-12-10,La Rioja Province,2013-12-10,"Argentine legislative election, 2009",,,
Q21591711,Q18229570,Member of the Argentine Chamber of Deputies,"",2013-12-10,La Rioja Province,2015-12-10,"Argentine legislative election, 2013",,,
Q21591711,Q47011795,Minister of Defence,cabinet position in Argentina,2015-12-10,,2017-07-17,,,,
Q21591711,Q47011801,Deputy of the province of La Rioja,member of the Provincial Legislature,1999-12-10,,2003-12-10,,,,
Q21614815,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Buenos Aires,,,,,
Q21649452,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-04,Mendoza,2017-12-09,,,Nicolás del Caño,
Q21855006,Q18229570,Member of the Argentine Chamber of Deputies,"",2013-12-10,Mendoza,2017-12-09,,,,
Q21855237,Q18229570,Member of the Argentine Chamber of Deputies,"",2013-12-10,Buenos Aires,2017-12-09,,,,
Q21855237,Q18229570,Member of the Argentine Chamber of Deputies,"",2017-12-10,Buenos Aires,,"Argentine legislative election, 2017",,,
Q21856018,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Buenos Aires,,,,,
Q21856040,Q18229570,Member of the Argentine Chamber of Deputies,"",2013-12-10,Buenos Aires,2017-12-09,,,,
Q21856043,Q18229570,Member of the Argentine Chamber of Deputies,"",2005-12-10,Buenos Aires,2007-12-19,,,,
Q21856043,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Buenos Aires,,,,,
Q21856044,Q18229570,Member of the Argentine Chamber of Deputies,"",2013-12-10,San Luis Province,2017-12-09,,,,
Q21856045,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Mendoza,2018-04-04,,,,
Q21856053,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Buenos Aires,,,,,
Q21856054,Q18229570,Member of the Argentine Chamber of Deputies,"",2013-12-10,Río Negro Province,2017-12-09,,,,
Q21856055,Q18229570,Member of the Argentine Chamber of Deputies,"",2013-12-10,Entre Ríos Province,2017-12-09,,,,
Q21856056,Q18229570,Member of the Argentine Chamber of Deputies,"",2014-08-27,Córdoba Province,2017-12-09,,,,
Q21856058,Q18229570,Member of the Argentine Chamber of Deputies,"",2007-08-16,San Luis Province,2007-12-09,,,,
Q21856058,Q18229570,Member of the Argentine Chamber of Deputies,"",2007-12-10,San Luis Province,2011-12-09,,,,
Q21856058,Q18229570,Member of the Argentine Chamber of Deputies,"",2011-12-10,San Luis Province,2015-12-09,,,,
Q21856058,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,San Luis Province,,,,,
Q21856060,Q18229570,Member of the Argentine Chamber of Deputies,"",2003-12-10,Mendoza,2007-12-09,,,,
Q21856060,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Mendoza,,,,,
Q21856061,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Misiones Province,,,,,
Q21856062,Q18229570,Member of the Argentine Chamber of Deputies,"",2013-12-10,Jujuy Province,2017-12-09,,,,
Q21856062,Q18229570,Member of the Argentine Chamber of Deputies,"",2017-12-10,Jujuy Province,,"Argentine legislative election, 2017",,,
Q21856065,Q18229570,Member of the Argentine Chamber of Deputies,"",2011-12-10,Mendoza,2015-12-09,,,,
Q21856065,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Mendoza,,,,,
Q21856066,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Tierra del Fuego Province,,,,,
Q21856082,Q18229570,Member of the Argentine Chamber of Deputies,"",2005-12-10,Buenos Aires,2009-12-09,,,,
Q21856082,Q18229570,Member of the Argentine Chamber of Deputies,"",2013-12-10,Buenos Aires,2017-12-09,,,,
Q21856084,Q18229570,Member of the Argentine Chamber of Deputies,"",2013-12-10,Tucumán Province,2017-12-09,,,,
Q21856085,Q18229570,Member of the Argentine Chamber of Deputies,"",2013-12-10,Córdoba Province,2017-12-09,,,,
Q21856085,Q18229570,Member of the Argentine Chamber of Deputies,"",2017-12-10,Córdoba Province,,"Argentine legislative election, 2017",,,
Q21856086,Q18229570,Member of the Argentine Chamber of Deputies,"",2007-12-10,San Juan Province,2011-12-09,,,,
Q21856086,Q18229570,Member of the Argentine Chamber of Deputies,"",2011-12-10,San Juan Province,2015-12-09,,,,
Q21856086,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,San Juan Province,,,,,
Q21856087,Q18229570,Member of the Argentine Chamber of Deputies,"",2013-12-10,San Juan Province,2017-12-09,,,,
Q21856087,Q18229570,Member of the Argentine Chamber of Deputies,"",2017-12-10,San Juan Province,,"Argentine legislative election, 2017",,,
Q21856088,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,San Juan Province,2016-05-24,,,,
Q21856089,Q18229570,Member of the Argentine Chamber of Deputies,"",2001-12-10,Buenos Aires,2005-12-09,,,,
Q21856089,Q18229570,Member of the Argentine Chamber of Deputies,"",2009-12-10,Buenos Aires,2013-12-09,,,,
Q21856089,Q18229570,Member of the Argentine Chamber of Deputies,"",2014-12-16,Buenos Aires,2017-12-09,,,Martín Insaurralde,
Q21856090,Q18229570,Member of the Argentine Chamber of Deputies,"",2011-12-10,Santa Fe Province,2015-12-09,,,,
Q21856090,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Santa Fe Province,,,,,
Q21856091,Q18229570,Member of the Argentine Chamber of Deputies,"",2013-12-10,Entre Ríos Province,2017-12-09,,,,
Q21856092,Q18229570,Member of the Argentine Chamber of Deputies,"",2013-12-10,Buenos Aires,2016-01-26,,,,
Q21856093,Q18229570,Member of the Argentine Chamber of Deputies,"",2013-12-10,Buenos Aires,2017-12-09,,,,
Q21856094,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Santa Fe Province,,,,,
Q21856115,Q18229570,Member of the Argentine Chamber of Deputies,"",2005-12-10,Buenos Aires,2009-12-09,,,,
Q21856115,Q18229570,Member of the Argentine Chamber of Deputies,"",2010-11-03,Buenos Aires,2013-12-09,,,,
Q21856115,Q18229570,Member of the Argentine Chamber of Deputies,"",2013-12-10,Buenos Aires,2017-12-09,,,,
Q21856116,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Misiones Province,,,,,
Q21856117,Q18229570,Member of the Argentine Chamber of Deputies,"",2005-12-10,Formosa Province,2009-12-09,,,,
Q21856117,Q18229570,Member of the Argentine Chamber of Deputies,"",2009-12-10,Formosa Province,2013-12-09,,,,
Q21856117,Q18229570,Member of the Argentine Chamber of Deputies,"",2013-12-10,Formosa Province,2017-12-09,,,,
Q21856118,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Corrientes,,,,,
Q21856120,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Río Negro Province,,,,,
Q21856121,Q18229570,Member of the Argentine Chamber of Deputies,"",2013-12-10,Salta Province,2017-12-09,,,,
Q21856122,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Buenos Aires,,,,,
Q21856123,Q18229570,Member of the Argentine Chamber of Deputies,"",2013-12-10,Buenos Aires,2017-12-09,,,,
Q21856124,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Córdoba Province,,,,,
Q21856125,Q18229570,Member of the Argentine Chamber of Deputies,"",2013-12-10,Buenos Aires,2017-12-09,,,,
Q21856126,Q18229570,Member of the Argentine Chamber of Deputies,"",2013-12-10,La Pampa,2017-12-09,,,,
Q21856128,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Corrientes,,,,,
Q21856129,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Santa Fe Province,,,,,
Q21856139,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Misiones Province,,,,,
Q21856141,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Buenos Aires,,,,,
Q21856142,Q18229570,Member of the Argentine Chamber of Deputies,"",2013-12-10,Entre Ríos Province,2017-12-09,,,,
Q21856143,Q18229570,Member of the Argentine Chamber of Deputies,"",2014-04-03,Tucumán Province,2017-12-09,,,,
Q21856144,Q18229570,Member of the Argentine Chamber of Deputies,"",2005-12-10,Buenos Aires,2009-12-09,,,,
Q21856144,Q18229570,Member of the Argentine Chamber of Deputies,"",2009-12-10,Buenos Aires,2013-12-09,,,,
Q21856144,Q18229570,Member of the Argentine Chamber of Deputies,"",2013-12-10,Buenos Aires,2017-12-09,,,,
Q21856145,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Entre Ríos Province,,,,,
Q21856146,Q18229570,Member of the Argentine Chamber of Deputies,"",2013-12-10,Entre Ríos Province,2017-12-09,,,,
Q21856147,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Chaco Province,,,,,
Q21856148,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Buenos Aires,,,,,
Q21856149,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Buenos Aires,,,,,
Q21856150,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Santa Fe Province,,,,,
Q21856151,Q18229570,Member of the Argentine Chamber of Deputies,"",2011-12-10,Buenos Aires,2015-12-09,,,,
Q21856151,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Buenos Aires,,,,,
Q21856152,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Buenos Aires,,,,,
Q21856153,Q18229570,Member of the Argentine Chamber of Deputies,"",2013-12-10,Buenos Aires,2017-12-09,,,,
Q21856155,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Formosa Province,,,,,
Q21856156,Q18229570,Member of the Argentine Chamber of Deputies,"",2007-12-10,Santiago del Estero Province,2011-12-09,,,,
Q21856156,Q18229570,Member of the Argentine Chamber of Deputies,"",2011-12-10,Santiago del Estero Province,2015-12-09,,,,
Q21856156,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Santiago del Estero Province,2017-11-15,,Estela Mary Neder,,
Q21856156,Q30185,mayor,head of municipal government such as a town or city,2017-11-15,Clodomira,,,,,
Q21856157,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Buenos Aires,,,,,
Q21856158,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Entre Ríos Province,,,,,
Q21856159,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Chubut Province,,,,,
Q21856160,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Santa Fe Province,,,,,
Q21856162,Q18229570,Member of the Argentine Chamber of Deputies,"",2013-12-10,Salta Province,2017-12-09,,,,
Q21856168,Q18229570,Member of the Argentine Chamber of Deputies,"",2013-12-10,Santiago del Estero Province,2017-12-09,,,,
Q21856169,Q18229570,Member of the Argentine Chamber of Deputies,"",2013-12-10,Catamarca Province,2017-12-09,,,,
Q21856170,Q18229570,Member of the Argentine Chamber of Deputies,"",2005-12-10,La Pampa,2009-12-09,,,,
Q21856170,Q18229570,Member of the Argentine Chamber of Deputies,"",2011-12-10,La Pampa,2015-12-09,,,,
Q21856170,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,La Pampa,,,,,
Q21856171,Q18229570,Member of the Argentine Chamber of Deputies,"",2013-12-10,Chubut Province,2017-12-09,,,,
Q21856172,Q18229570,Member of the Argentine Chamber of Deputies,"",2013-12-10,Santa Fe Province,2017-12-09,,,,
Q21856172,Q18229570,Member of the Argentine Chamber of Deputies,"",2017-12-10,Santa Fe Province,,"Argentine legislative election, 2017",,,
Q21856173,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Buenos Aires,,,,,
Q21856174,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Buenos Aires,,,,,
Q21856175,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Chubut Province,,,,,
Q21856176,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Neuquén Province,,,,,
Q21856177,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Buenos Aires,,,,,
Q21856178,Q18229570,Member of the Argentine Chamber of Deputies,"",2011-12-10,Formosa Province,2015-12-09,,,,
Q21856178,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Formosa Province,,,,,
Q21856179,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Corrientes,,,,,
Q21856180,Q18229570,Member of the Argentine Chamber of Deputies,"",2013-12-10,La Rioja Province,2017-12-09,,,,
Q21856181,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Santa Fe Province,,,,,
Q21856182,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Jujuy Province,,,,,
Q21856183,Q18229570,Member of the Argentine Chamber of Deputies,"",2013-12-10,Tierra del Fuego Province,2017-12-09,,,,
Q21856184,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Santa Fe Province,2017-12-13,,Astrid Hummel,,
Q21856185,Q18229570,Member of the Argentine Chamber of Deputies,"",2013-12-10,Chaco Province,2017-12-09,,,,
Q21856186,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Córdoba Province,,,,,
Q21856188,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Chaco Province,,,,,
Q21856189,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Santa Fe Province,,,,,
Q21856190,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Córdoba Province,,,,,
Q21856192,Q18229570,Member of the Argentine Chamber of Deputies,"",2011-12-10,Buenos Aires,2015-12-09,,,,
Q21856192,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Buenos Aires,,,,,
Q21856193,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Catamarca Province,,,,,
Q21856194,Q18229570,Member of the Argentine Chamber of Deputies,"",2013-12-10,Córdoba Province,2017-12-09,,,,
Q21856194,Q18229570,Member of the Argentine Chamber of Deputies,"",2017-12-10,Córdoba Province,,"Argentine legislative election, 2017",,,
Q21856195,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Mendoza,,,,,
Q21856211,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,La Rioja Province,,,,,
Q21856212,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Entre Ríos Province,,,,,
Q21856213,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Santiago del Estero Province,,,,,
Q21856214,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Buenos Aires,,,,,
Q21856215,Q18229570,Member of the Argentine Chamber of Deputies,"",2005-12-10,Buenos Aires,2009-12-09,,,,
Q21856215,Q18229570,Member of the Argentine Chamber of Deputies,"",2009-12-10,Buenos Aires,2013-12-09,,,,
Q21856215,Q18229570,Member of the Argentine Chamber of Deputies,"",2013-12-10,Buenos Aires,2017-12-09,,,,
Q21856216,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Salta Province,,,,,
Q21856217,Q18229570,Member of the Argentine Chamber of Deputies,"",2011-12-10,Santiago del Estero Province,2015-12-09,,,,
Q21856217,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Santiago del Estero Province,,,,,
Q21856218,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Córdoba Province,,,,,
Q21856219,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Santa Fe Province,,,,,
Q21856220,Q18229570,Member of the Argentine Chamber of Deputies,"",2005-12-10,Santiago del Estero Province,2009-12-09,,,,
Q21856220,Q18229570,Member of the Argentine Chamber of Deputies,"",2013-12-10,Santiago del Estero Province,2017-12-09,,,,
Q21856221,Q18229570,Member of the Argentine Chamber of Deputies,"",2014-04-03,La Rioja Province,2015-12-09,,,Olga Inés Brizuela y Doria,
Q21856221,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,La Rioja Province,,,,,
Q21856222,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Tucumán Province,,,,,
Q21856223,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Buenos Aires,,,,,
Q21856224,Q18229570,Member of the Argentine Chamber of Deputies,"",2013-12-10,Misiones Province,2017-12-09,,,,
Q21856224,Q18229570,Member of the Argentine Chamber of Deputies,"",2017-12-10,Misiones Province,,"Argentine legislative election, 2017",,,
Q21856225,Q18229570,Member of the Argentine Chamber of Deputies,"",2007-12-10,Santiago del Estero Province,2011-12-09,,,,
Q21856225,Q18229570,Member of the Argentine Chamber of Deputies,"",2011-12-10,Santiago del Estero Province,2015-12-09,,,,
Q21856225,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Santiago del Estero Province,,,,,
Q21856226,Q18229570,Member of the Argentine Chamber of Deputies,"",2013-12-10,Chaco Province,2017-12-09,,,,
Q21856227,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Córdoba Province,,,,,
Q21856228,Q18229570,Member of the Argentine Chamber of Deputies,"",2013-12-10,Tierra del Fuego Province,2017-12-09,,,,
Q21856228,Q18229570,Member of the Argentine Chamber of Deputies,"",2017-12-10,Tierra del Fuego Province,,"Argentine legislative election, 2017",,,
Q21856229,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Buenos Aires,,,,,
Q21856230,Q18229570,Member of the Argentine Chamber of Deputies,"",2013-12-10,Mendoza,2017-12-09,,,,
Q21856230,Q18229570,Member of the Argentine Chamber of Deputies,"",2017-12-10,Mendoza,,"Argentine legislative election, 2017",,,
Q21856231,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Buenos Aires,,,,,
Q21856232,Q18229570,Member of the Argentine Chamber of Deputies,"",2009-12-10,Buenos Aires,2013-12-09,,,,
Q21856232,Q18229570,Member of the Argentine Chamber of Deputies,"",2013-12-10,Buenos Aires,2017-12-09,,,,
Q21856234,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Córdoba Province,,,,,
Q21856235,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Catamarca Province,2016-12-12,,,,
Q21856236,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Chaco Province,,,,,
Q21856258,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Buenos Aires,,,,,
Q21856259,Q18229570,Member of the Argentine Chamber of Deputies,"",2013-12-10,San Luis Province,2017-12-09,,,,
Q21856259,Q18229570,Member of the Argentine Chamber of Deputies,"",2017-12-10,San Luis Province,,"Argentine legislative election, 2017",,,
Q21856260,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Córdoba Province,,,,,
Q21856261,Q18229570,Member of the Argentine Chamber of Deputies,"",2011-12-10,Buenos Aires,2015-12-09,,,,
Q21856261,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Buenos Aires,2018-05-17,,Fernando Asencio,,
Q21856262,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Tierra del Fuego Province,,,,,
