id,sort_name,name,party,term
fenech-adami-beppe,"Fenech Adami, Beppe",Beppe Fenech Adami,Partit Nazzjonalista,13
galdes-roderick,"Galdes, Roderick",Roderick Galdes,Partit Laburista,13
galea-mario,"Galea, Mario",Mario Galea,Partit Nazzjonalista,13
gouder-karl,"Gouder, Karl",Karl Gouder,Partit Nazzjonalista,13
grech-claudio,"Grech, Claudio",Claudio Grech,Partit Nazzjonalista,13
grech-etienne,"Grech, Etienne",Etienne Grech,Partit Laburista,13
grima-clifton,"Grima, Clifton",Clifton Grima,Partit Laburista,13
grixti-silvio,"Grixti, Silvio",Silvio Grixti,Partit Laburista,13
herrera-jose,"Herrera, José",José Herrera,Partit Laburista,13
mallia-emanuel,"Mallia, Emanuel",Emanuel Mallia,Partit Laburista,13
micallef-peter,"Micallef, Peter",Peter Micallef,Partit Nazzjonalista,13
mifsud-bonnici-carmelo,"Mifsud Bonnici, Carmelo",Carmelo Mifsud Bonnici,Partit Nazzjonalista,13
mizzi-joe,"Mizzi, Joe",Joe Mizzi,Partit Laburista,13
mizzi-konrad,"Mizzi, Konrad",Konrad Mizzi,Partit Laburista,13
muscat-alex,"Muscat, Alex",Alex Muscat,Partit Laburista,13
muscat-joseph,"Muscat, Joseph",Joseph Muscat,Partit Laburista,13
parnis-silvio,"Parnis, Silvio",Silvio Parnis,Partit Laburista,13
portelli-marthese,"Portelli, Marthese",Marthese Portelli,Partit Nazzjonalista,13
puli-clyde,"Puli, Clyde",Clyde Puli,Partit Nazzjonalista,13
refalo-anton,"Refalo, Anton",Anton Refalo,Partit Laburista,13
said-chris,"Said, Chris",Chris Said,Partit Nazzjonalista,13
schembri-silvio,"Schembri, Silvio",Silvio Schembri,Partit Laburista,13
schiavone-hermann,"Schiavone, Hermann",Hermann Schiavone,Partit Nazzjonalista,13
scicluna-edward,"Scicluna, Edward",Edward Scicluna,Partit Laburista,13
spiteri-stephen,"Spiteri, Stephen",Stephen Spiteri,Partit Nazzjonalista,13
stellini-david,"Stellini, David",David Stellini,Partit Nazzjonalista,13
vassallo-edwin,"Vassallo, Edwin",Edwin Vassallo,Partit Nazzjonalista,13
zammit-lewis-edward,"Zammit Lewis, Edward",Edward Zammit Lewis,Partit Laburista,13
zrinzo-azzopardi-stefan,"Zrinzo Azzopardi, Stefan",Stefan Zrinzo Azzopardi,Partit Laburista,13
