id,name,sort_name,image
170,Rachel Ameso Amolo,"Amolo, Rachel Ameso",http://www.parliament.go.ke/media/k2/items/cache/56dab2b3675237b0ba79395c67ee9ae4_M.jpg
171,Lisamula Silverse Anami,"Anami, Lisamula Silverse",http://www.parliament.go.ke/media/k2/items/cache/69bc9c3e85c501b0a6208cc7a55abbf9_M.jpg
172,Benjamin A. Andayi,"Andayi, Benjamin A.",http://www.parliament.go.ke/media/k2/items/cache/0d1fd34f22c9730e91eb5170fbddc114_M.jpg
173,Ayub Savula Angatia,"Angatia, Ayub Savula",http://www.parliament.go.ke/media/k2/items/cache/c5f7f8ba22bc61faa6aa803ae1139d1d_M.jpg
174,Jimmy Nuru Ondieki Angwenyi,"Angwenyi, Jimmy Nuru Ondieki",http://www.parliament.go.ke/media/k2/items/cache/b1d237aad44a95e3871fc116e6241517_M.jpg
175,Peter Edick Omondi Anyanga,"Anyanga, Peter Edick Omondi",http://www.parliament.go.ke/media/k2/items/cache/2722f6bcd13027c06fe9d3b0e6f955cf_M.jpg
176,Andrew Toboso Anyanga,"Anyanga, Andrew Toboso",http://www.parliament.go.ke/media/k2/items/cache/f0ba2bfd8f936a77d3b146acfe9443c7_M.jpg
177,Dalmas Otieno Anyango,"Anyango , Dalmas Otieno",http://www.parliament.go.ke/media/k2/items/cache/5288462d048e0d3f60f64bb84cff6df4_M.jpg
178,Samuel Arama,"Arama, Samuel",http://www.parliament.go.ke/media/k2/items/cache/e2acd849d365015ef08ef5b696dc9e31_M.jpg
179,Lemanken Aramat,"Aramat, Lemanken",http://www.parliament.go.ke/media/k2/items/cache/6cff81ed2fd5fd02c6bfe5986e55231b_M.jpg
180,Bady Twalib Bady,"Bady, Bady Twalib",http://www.parliament.go.ke/media/k2/items/cache/b262fcb3a88d76445a5d5d6ad933cf2d_M.jpg
181,Peter Njoroge Baiya,"Baiya, Peter Njoroge",http://www.parliament.go.ke/media/k2/items/cache/f8091000de3f026d209837e21bc2e700_M.jpg
182,Abdullahi Jaldesa Banticha,"Banticha, Abdullahi Jaldesa",http://www.parliament.go.ke/media/k2/items/cache/0ef95987526970d668cbb7995fe36b10_M.jpg
183,Edwin Kipruto Barchilei,"Barchilei, Edwin Kipruto",http://www.parliament.go.ke/media/k2/items/cache/dd34e32172fe0202ef287e574244e1d2_M.jpg
184,Ejidius Njogu Barua,"Barua, Ejidius Njogu",http://www.parliament.go.ke/media/k2/items/cache/576492c356d8e0278dfa7b752bad5bc8_M.jpg
185,Rashid Juma Bedzimba,"Bedzimba, Rashid Juma",http://www.parliament.go.ke/media/k2/items/cache/f7f8c4727a011019fe43a7eaa92bf9a5_M.jpg
186,Benard Kipkirui Bett,"Bett, Benard Kipkirui",http://www.parliament.go.ke/media/k2/items/cache/c82e68ecc91a6115905b52a4dab0ec5b_M.jpg
187,James Kimaru Bett,"Bett, James Kimaru",http://www.parliament.go.ke/media/k2/items/cache/bc04f87b1442e82a9d7828879f80552b_M.jpg
188,Richard Nyagaka Tongi,"Tongi, Richard Nyagaka",http://www.parliament.go.ke/media/k2/items/cache/bc5983b67a44bcede801e2ff363b54e0_M.jpg
189,Paul Kipchirchir Bii,"Bii, Paul Kipchirchir",http://www.parliament.go.ke/media/k2/items/cache/817a0b87c8b4a5b09390d4c2ae24ca96_M.jpg
190,Sunjeev Kour Birdi,"Birdi, Sunjeev Kour",http://www.parliament.go.ke/media/k2/items/cache/fe392f78a62c6fc460cf8c2a182b395f_M.jpg
191,Kirwa Stephen Bitok,"Bitok, Kirwa Stephen",http://www.parliament.go.ke/media/k2/items/cache/47b9371a5ec847a6416d19e09506ac86_M.jpg
192,Hezron Awiti Bollo,"Bollo, Hezron Awiti",http://www.parliament.go.ke/media/k2/items/cache/c6db11a71571f6269d8aa754fc40212f_M.jpg
193,Timothy Moseti . E Bosire,"Bosire, Timothy Moseti . E",http://www.parliament.go.ke/media/k2/items/cache/9653b574708b7a6469e28ee67a57dc73_M.jpg
194,David Kangongo Bowen,"Bowen, David Kangongo",http://www.parliament.go.ke/media/k2/items/cache/086218b2ac4369b7cefd2acbee0be8b1_M.jpg
195,Sakwa John Bunyasi,"Bunyasi, Sakwa John",http://www.parliament.go.ke/media/k2/items/cache/ffe144b59c409587b4c9211fb31afdfe_M.jpg
196,Elisha Kipkorir Busienei,"Busienei, Elisha Kipkorir",http://www.parliament.go.ke/media/k2/items/cache/95a78f3015bd19286b33c65657114fc4_M.jpg
197,Alice Nyanchoka Chae,"Chae, Alice Nyanchoka",http://www.parliament.go.ke/media/k2/items/cache/77e3798bb9782084333898c5f75d9aab_M.jpg
198,Regina Nyeris Changorok,"Changorok , Regina Nyeris",http://www.parliament.go.ke/media/k2/items/cache/052250dc50138371fd04f19c188f0143_M.jpg
199,Yusuf Kifuma Chanzu,"Chanzu, Yusuf Kifuma",http://www.parliament.go.ke/media/k2/items/cache/ffb67c0cbdf3cc4dd2a13b69ce367cd4_M.jpg
200,Mwinga Gunga Chea,"Chea, Mwinga Gunga",http://www.parliament.go.ke/media/k2/items/cache/bfef6034dab7e57f223e48f4dcf3e90d_M.jpg
201,Susan Kipketer Chebet,"Chebet, Susan Kipketer",http://www.parliament.go.ke/media/k2/items/cache/70a2f0392847dc331972c7d3d3673ab9_M.jpg
202,Moses Kipkemboi Cheboi,"Cheboi, Moses Kipkemboi",http://www.parliament.go.ke/media/k2/items/cache/bd3346ba561b5b55180dd1441a09d1ee_M.jpg
203,Sabina Wanjiru Chege,"Chege, Sabina Wanjiru",http://www.parliament.go.ke/media/k2/items/cache/42bfbea03cce865b2f6f3be1a87895b7_M.jpg
204,John Njoroge Chege,"Chege, John Njoroge",http://www.parliament.go.ke/media/k2/items/cache/a67e9d105d87a83c2081372f8c241cc4_M.jpg
205,John Kiragu Chege,"Chege, John Kiragu",http://www.parliament.go.ke/media/k2/items/cache/39ab3bf46ced9d4856c25205fb92582a_M.jpg
206,Samuel Kiprono Chepkong`A,"Chepkong`A, Samuel Kiprono",http://www.parliament.go.ke/media/k2/items/cache/1fc372946c0b98fb8d7f87d4c38ea83a_M.jpg
207,Hellen Chelangat Chepkwony,"Chepkwony, Hellen Chelangat",http://www.parliament.go.ke/media/k2/items/cache/cc947675ce0ac0c98617f27425843c35_M.jpg
208,William Kipkiror Cheptumo,"Cheptumo, William Kipkiror",http://www.parliament.go.ke/media/k2/items/cache/be4e4fd1bcb87d92f342f6e3e3e1d9e2_M.jpg
209,Zakayo Kipkemoi Cheruiyot,"Cheruiyot , Zakayo Kipkemoi",http://www.parliament.go.ke/media/k2/items/cache/e02fde07d49ee258cc3f6d1b19207757_M.jpg
210,Zainab Kalekye Chidzuga,"Chidzuga, Zainab Kalekye",http://www.parliament.go.ke/media/k2/items/cache/97d2860871f3d35e35f6eb0477d3015a_M.jpg
211,Samuel Moroto Chumel,"Chumel, Samuel Moroto",http://www.parliament.go.ke/media/k2/items/cache/18cb4412b3fd96d4c2c15944894f7ea5_M.jpg
212,Abdul Rahim Dawood,"Dawood, Abdul Rahim",http://www.parliament.go.ke/media/k2/items/cache/2e2843e2ade511d88df42c8a44a73c77_M.jpg
213,Ali Rasso Dido,"Dido, Ali Rasso",http://www.parliament.go.ke/media/k2/items/cache/c79015a227b446e15f181d145a9ed4a7_M.jpg
214,Mohamed Dahir Duale,"Duale, Mohamed Dahir",http://www.parliament.go.ke/media/k2/items/cache/86e8e67edae9219d12d438efd5f5a939_M.jpg
215,Aden Bare Duale,"Duale, Aden Bare",http://www.parliament.go.ke/media/k2/items/cache/4fcf9d660236ddb62c8456017158615a_M.jpg
216,Roba Sharu Duba,"Duba, Roba Sharu",http://www.parliament.go.ke/media/k2/items/cache/ca332973fc363da77aefed58534dcd5c_M.jpg
217,Hassan Abdi Dukicha,"Dukicha, Hassan Abdi",http://www.parliament.go.ke/media/k2/items/cache/e9ad9fee9d0bc73e0b2c055eb0b268ce_M.jpg
218,Halima Ware Duri,"Duri, Halima Ware",http://www.parliament.go.ke/media/k2/items/cache/aa5045f13216477abf2a0e16a08acd59_M.jpg
219,James Lomenen Ekomwa,"Ekomwa, James Lomenen",http://www.parliament.go.ke/media/k2/items/cache/cef8e7ed10ffa07bd8535ec35e230013_M.jpg
220,Mohamed Ibrahim Elmi,"Elmi, Mohamed Ibrahim",http://www.parliament.go.ke/media/k2/items/cache/7539a1b30386b8951ffea14c91e802dc_M.jpg
221,Joyce Akai Emanikor,"Emanikor, Joyce Akai",http://www.parliament.go.ke/media/k2/items/cache/63ae8dd535459e6ddaa9950601158f8d_M.jpg
222,Abdulaziz Ali Farah,"Farah, Abdulaziz Ali",http://www.parliament.go.ke/media/k2/items/cache/3b3e749011568df066956f2034087c10_M.jpg
223,Mahbub Fathia,"Fathia, Mahbub",http://www.parliament.go.ke/media/k2/items/cache/4147ca3af8bf81f64b5d738c371bfecb_M.jpg
224,Kajwang' Tom Joseph Francis,"Francis, Kajwang' Tom Joseph",http://www.parliament.go.ke/media/k2/items/cache/7be335477876db854960134c6e137164_M.jpg
225,Munuve G. J. Mati,"G. J. Mati, Munuve",http://www.parliament.go.ke/media/k2/items/cache/7a6409a35f8223f856dc99651cb33cb1_M.jpg
226,Nelson Ributhi Gaicuhie,"Gaicuhie, Nelson Ributhi",http://www.parliament.go.ke/media/k2/items/cache/27b4275cdf67fac8ef7af010ec180724_M.jpg
227,James Mwangi Gakuya,"Gakuya, James Mwangi",http://www.parliament.go.ke/media/k2/items/cache/ae265ec8d02add74bcb0f72e47ec001b_M.jpg
228,Francis Chachu Ganya,"Ganya, Francis Chachu",http://www.parliament.go.ke/media/k2/items/cache/82558bd755d4bf64f8b1324b360ed554_M.jpg
229,Annah Nyokabi Gathecha,"Gathecha, Annah Nyokabi",http://www.parliament.go.ke/media/k2/items/cache/7e64c4d2a4a242251ffdaa790b21fa01_M.jpg
230,Esther Nyambura Gathogo,"Gathogo, Esther Nyambura",http://www.parliament.go.ke/media/k2/items/cache/f7b9be29873ad525695063e6e748eae3_M.jpg
231,Charles Mongare Geni,"Geni, Charles Mongare",http://www.parliament.go.ke/media/k2/items/cache/78d607068cd064420401737e12f83bae_M.jpg
232,James Ndungu Gethenji,"Gethenji, James Ndungu",http://www.parliament.go.ke/media/k2/items/cache/e1e1ad60f07c4aa3ccbcb2973e9d7007_M.jpg
233,Dennitah Ghati,"Ghati, Dennitah",http://www.parliament.go.ke/media/k2/items/cache/8e5f062e9750688c028aaa3058da9ec4_M.jpg
2331,Mutua Marcus Muluvi,"Muluvi, Mutua Marcus",
234,Samuel Kamunye Gichigi,"Gichigi, Samuel Kamunye",http://www.parliament.go.ke/media/k2/items/cache/e7b279be6a862d254f0e7cc4dde2874e_M.jpg
235,David Gikaria,"Gikaria, David",http://www.parliament.go.ke/media/k2/items/cache/475699d297afae315ef802312426354e_M.jpg
236,Charles Gumini Gimose,"Gimose, Charles Gumini",http://www.parliament.go.ke/media/k2/items/cache/1379b5de7cb668c186ab48a9361eabd7_M.jpg
237,Joseph Gachoki Gitari,"Gitari, Joseph Gachoki",http://www.parliament.go.ke/media/k2/items/cache/84ac056b57dd032fcf18a346d4a81feb_M.jpg
238,Peter Njuguna Gitau,"Gitau, Peter Njuguna",http://www.parliament.go.ke/media/k2/items/cache/e67ec824afbc9f855ad850f1b49c5b05_M.jpg
239,Nicolas O. Gumbo,"Gumbo , Nicolas O.",http://www.parliament.go.ke/media/k2/items/cache/78a38d90a5f5af5857b8e93fa4dd5a84_M.jpg
240,Shukra Hussein Gure,"Gure, Shukra Hussein",http://www.parliament.go.ke/media/k2/items/cache/269b36e876e375e05083f78293992209_M.jpg
241,Mohamed Adan Huka,"Huka, Mohamed Adan",http://www.parliament.go.ke/media/k2/items/cache/fac9770ae986695c80dfb6c58f312f32_M.jpg
242,Nasra Ibrahim Ibren,"Ibren, Nasra Ibrahim",http://www.parliament.go.ke/media/k2/items/cache/fedea746cd0ecb257a1249d3a2a80bb1_M.jpg
243,Anthony Kimani Ichung'wah,"Ichung'wah, Anthony Kimani",http://www.parliament.go.ke/media/k2/items/cache/258ee2700b8562b5d51ebf2117179b3d_M.jpg
244,Moses Malulu Injendi,"Injendi, Moses Malulu",http://www.parliament.go.ke/media/k2/items/cache/d0d354668f69293e040aa69de3140c78_M.jpg
245,Gideon Mwiti Irea,"Irea, Gideon Mwiti",http://www.parliament.go.ke/media/k2/items/cache/8012f255a337782bffaadea968723f36_M.jpg
246,Cyprian Kubai Iringo,"Iringo, Cyprian Kubai",http://www.parliament.go.ke/media/k2/items/cache/4047dc2f08c422a43c6430815243ead6_M.jpg
247,Shaaban Ali Isaack,"Isaack, Shaaban Ali",http://www.parliament.go.ke/media/k2/items/cache/b320775de3c297425b69dccc362220a9_M.jpg
248,Zulekha Hassan Juma,"Juma, Zulekha Hassan",http://www.parliament.go.ke/media/k2/items/cache/0bfc0ce99892772fc285e10ee3943d9a_M.jpg
249,Stephen Kinyanjui Mburu K K,"K K, Stephen Kinyanjui Mburu",http://www.parliament.go.ke/media/k2/items/cache/3a9297ca78720986dccc8a65ce802a33_M.jpg
250,Kabando Wa Kabando,"Kabando, Kabando Wa",http://www.parliament.go.ke/media/k2/items/cache/e303e2027514497aaa0603a129a3eb42_M.jpg
251,Joseph Mburu Kahangara,"Kahangara, Joseph Mburu",http://www.parliament.go.ke/media/k2/items/cache/8ee107fb8e11fa27c5eb0c84c03d7dff_M.jpg
252,Florence Kajuju,"Kajuju, Florence",http://www.parliament.go.ke/media/k2/items/cache/5fd45095a868b007b05013834dba7a95_M.jpg
253,George Peter Opondo Kaluma,"Kaluma, George Peter Opondo",http://www.parliament.go.ke/media/k2/items/cache/28b8f12309e9ac4afaade20e5d04ffc2_M.jpg
254,William Maina Kamanda,"Kamanda, William Maina",http://www.parliament.go.ke/media/k2/items/cache/621af29360685f88fae4c26f96ed9d8c_M.jpg
255,Jamleck Irungu Kamau,"Kamau, Jamleck Irungu",http://www.parliament.go.ke/media/k2/items/cache/935dbd09c0a7727e2143877810820513_M.jpg
256,Irungu Kang'ata,"Kang'ata, Irungu",http://www.parliament.go.ke/media/k2/items/cache/7e58113966c67085953dd45e2ed189c9_M.jpg
257,Benson Mutura Kangara,"Kangara, Benson Mutura",http://www.parliament.go.ke/media/k2/items/cache/3409e45349ec9f6b3397bfe10e87a1d0_M.jpg
258,James Mathenge Kanini Kega,"Kanini Kega, James Mathenge",http://www.parliament.go.ke/media/k2/items/cache/aee44fc32e47f07b5fe3050745ad94ac_M.jpg
259,Priscilla Nyokabi Kanyua,"Kanyua, Priscilla Nyokabi",http://www.parliament.go.ke/media/k2/items/cache/a07bb170c4a36161aa1f8f4859c19794_M.jpg
260,Stephen Wachira Karani,"Karani, Stephen Wachira",http://www.parliament.go.ke/media/k2/items/cache/665e3353c5a0a1298b58f0408e39e998_M.jpg
261,David Karithi,"Karithi, David",http://www.parliament.go.ke/media/k2/items/cache/ef8bd3de49a270d49d40baf602fbfad5_M.jpg
262,John Ndirangu Kariuki,"Kariuki, John Ndirangu",http://www.parliament.go.ke/media/k2/items/cache/5a61d31ed794cb758475f6c89477dfed_M.jpg
263,Julius Ndegwa Kariuki,"Kariuki, Julius Ndegwa",http://www.parliament.go.ke/media/k2/items/cache/28232e87509dedeadc0cd2b6a94ea3f5_M.jpg
264,Suleiman Murunga Kasuti,"Kasuti, Suleiman Murunga",http://www.parliament.go.ke/media/k2/items/cache/47359a90eed3ee35f2dab5a3c718abb3_M.jpg
265,Aisha Jumwa Katana,"Katana, Aisha Jumwa",http://www.parliament.go.ke/media/k2/items/cache/fd57315048b2a0e2ee02ed04b0927842_M.jpg
266,Maweu Kyengo Katatha,"Katatha, Maweu Kyengo",http://www.parliament.go.ke/media/k2/items/cache/32088387da419227f20729e6cf7687d8_M.jpg
267,Metito Judah Katoo,"Katoo, Metito Judah",http://www.parliament.go.ke/media/k2/items/cache/2e2c1711fe12b24ae23d95c35bfd21c2_M.jpg
268,Dorcas Luvalitsa Kedogo,"Kedogo, Dorcas Luvalitsa",http://www.parliament.go.ke/media/k2/items/cache/500a44935c8320008f1c713a63e32b8e_M.jpg
269,Justice Kipsang Kemei,"Kemei, Justice Kipsang",http://www.parliament.go.ke/media/k2/items/cache/d65085d854a39feae81a41eb458281c5_M.jpg
270,Richard Moitalel Ole Kenta,"Kenta, Richard Moitalel Ole",http://www.parliament.go.ke/media/k2/items/cache/e36a512fe5b90101a88ae780e05256f8_M.jpg
271,Mary Sally Keraa,"Keraa, Mary Sally",http://www.parliament.go.ke/media/k2/items/cache/16db9b88d9515580a78d5965b066ac2d_M.jpg
272,Zipporah Jesang Kurgat Kering,"Kering, Zipporah Jesang Kurgat",http://www.parliament.go.ke/media/k2/items/cache/98786352ab62965a07c516ba5d449e8a_M.jpg
273,Eric Arap Keter,"Keter, Eric Arap",http://www.parliament.go.ke/media/k2/items/cache/c2be3493ce42ee658842d93c6d54529d_M.jpg
274,Mishi Juma Khamisi,"Khamisi, Mishi Juma",http://www.parliament.go.ke/media/k2/items/cache/48689e827932dc70ec0a6e6067e8a72b_M.jpg
275,David Njunguna Kiaraho,"Kiaraho, David Njunguna",http://www.parliament.go.ke/media/k2/items/cache/0d422469a7bfe49699e19d8d898530d7_M.jpg
276,Enoch Wamalwa Kibunguchy,"Kibunguchy, Enoch Wamalwa",http://www.parliament.go.ke/media/k2/items/cache/463052dad9377fe2445d3b1bfb5f62a3_M.jpg
277,John Karanja Kihagi,"Kihagi, John Karanja",http://www.parliament.go.ke/media/k2/items/cache/f8a458e18503c86603dc02339a944feb_M.jpg
278,Francis Mwangangi Kilonzo,"Kilonzo, Francis Mwangangi",http://www.parliament.go.ke/media/k2/items/cache/ab98897d60eaa0d05c1862c118538407_M.jpg
279,Anthony Mutahi Kimaru,"Kimaru, Anthony Mutahi",http://www.parliament.go.ke/media/k2/items/cache/600eb6612b31632f6c618c9c012d873d_M.jpg
280,Patrick Makau King'ola,"King'ola, Patrick Makau",http://www.parliament.go.ke/media/k2/items/cache/8c4e7ddecfb739ef5c33c55621b27630_M.jpg
281,Boniface Gatobu Kinoti,"Kinoti, Boniface Gatobu",http://www.parliament.go.ke/media/k2/items/cache/3f670763861139bf2201e7bc224257d4_M.jpg
282,Peter Weru Kinyua,"Kinyua, Peter Weru",http://www.parliament.go.ke/media/k2/items/cache/e17bf28887a04e7713039bc3ae638d41_M.jpg
283,Grace Jelagat Kipchoim,"Kipchoim, Grace Jelagat",http://www.parliament.go.ke/media/k2/items/cache/d382bd8ae87d9139df6458192532657c_M.jpg
284,Jackson Kiplagat Kiptanui,"Kiptanui, Jackson Kiplagat",http://www.parliament.go.ke/media/k2/items/cache/d632334130a2b9d194362b7d857b88bf_M.jpg
285,Grace Jemutai Kiptui,"Kiptui, Grace Jemutai",http://www.parliament.go.ke/media/k2/items/cache/f9bbdeb62248e2fc4418a6935e64cf4c_M.jpg
286,Johana Ngeno Kipyegon,"Kipyegon, Johana Ngeno",http://www.parliament.go.ke/media/k2/items/cache/fff4548682445ceca36c12620f894d26_M.jpg
287,William Kipkemoi Kisang,"Kisang, William Kipkemoi",http://www.parliament.go.ke/media/k2/items/cache/c9e8d9069e929f4898939a62f1adcffd_M.jpg
288,Michael Manthi Kisoi,"Kisoi, Michael Manthi",http://www.parliament.go.ke/media/k2/items/cache/d383d2a7f18b38f50f531c6f6759cc5a_M.jpg
289,Bernard Munywoki Kitungi,"Kitungi, Bernard Munywoki",http://www.parliament.go.ke/media/k2/items/cache/f5207093f4bafcb21c0c017e46b49f6e_M.jpg
290,John Owuor Onyango Kobado,"Kobado , John Owuor Onyango",http://www.parliament.go.ke/media/k2/items/cache/6c16f95e5837b7a15cc22a32eb72fad8_M.jpg
291,Sammy Cheruiyot Koech,"Koech, Sammy Cheruiyot",http://www.parliament.go.ke/media/k2/items/cache/63955aa9869cf7707ada1662dbfb31e2_M.jpg
292,Paul Koinange,"Koinange, Paul",http://www.parliament.go.ke/media/k2/items/cache/dbe05350458c15fa6c802fb686391131_M.jpg
293,Harrison Garama Kombe,"Kombe, Harrison Garama",http://www.parliament.go.ke/media/k2/items/cache/873514e130e46a244b5aae0b135db01f_M.jpg
294,Gideon Sitelu Konchella,"Konchella, Gideon Sitelu",http://www.parliament.go.ke/media/k2/items/cache/ea82697ed9755e975f3c7d735db2070c_M.jpg
295,Wesley Kipchumba Korir,"Korir, Wesley Kipchumba",http://www.parliament.go.ke/media/k2/items/cache/05a977f75c8bd421cf67e35678973f79_M.jpg
296,Alexander Kimutai Kigen Kosgey Kosgey,"Kosgey, Alexander Kimutai Kigen Kosgey",http://www.parliament.go.ke/media/k2/items/cache/71ab1197965a26d2e4379f8b23c36ebb_M.jpg
297,John Waluke Koyi,"Koyi, John Waluke",http://www.parliament.go.ke/media/k2/items/cache/157c6c6cd616f458d56a6caf427711f8_M.jpg
298,Joyce Cherono Abonyo Laboso,"Laboso, Joyce Cherono Abonyo",http://www.parliament.go.ke/media/k2/items/cache/7ab716354432ee12f19b58c60471093b_M.jpg
299,Elijah Kiptarbei Lagat,"Lagat, Elijah Kiptarbei",http://www.parliament.go.ke/media/k2/items/cache/778faba3e3dc8c6c6db24b403da494ae_M.jpg
300,Jonathan Lelelit Lati,"Lati, Jonathan Lelelit",http://www.parliament.go.ke/media/k2/items/cache/e4c07973dbc8eb2f7380bdedc4201087_M.jpg
301,Joyce Wanjalah Lay,"Lay, Joyce Wanjalah",http://www.parliament.go.ke/media/k2/items/cache/7d0d25bfcaa1421c2931a4f0387462aa_M.jpg
302,Joseph Lekuton,"Lekuton, Joseph",http://www.parliament.go.ke/media/k2/items/cache/274936c4b649c88ffad7944bfc7a744a_M.jpg
303,Korei Ole Lemein,"Lemein, Korei Ole",http://www.parliament.go.ke/media/k2/items/cache/7fb770f34c796f7501d3cf0f0dc39075_M.jpg
304,Mathew Lekidime Lempurkel,"Lempurkel, Mathew Lekidime",http://www.parliament.go.ke/media/k2/items/cache/79e08f32fa8a036f84441baab7b7a7ff_M.jpg
305,Alois Musa Lentoimaga,"Lentoimaga, Alois Musa",http://www.parliament.go.ke/media/k2/items/cache/821ee19c73076a9074fe1f4f0b493d5a_M.jpg
306,Maison Leshoomo,"Leshoomo, Maison",http://www.parliament.go.ke/media/k2/items/cache/9911ecbea07a30e7c89fdadbe8a058e8_M.jpg
307,Moses K Lessonet,"Lessonet, Moses K",http://www.parliament.go.ke/media/k2/items/cache/753a82091bdf93df272697e1f26229c2_M.jpg
308,Raphael Lakalei Letimalo,"Letimalo, Raphael Lakalei",http://www.parliament.go.ke/media/k2/items/cache/3bc7aa7f337d2b6d218588b9fca9e94f_M.jpg
309,Kirui Joseph Limo,"Limo, Kirui Joseph",http://www.parliament.go.ke/media/k2/items/cache/a8bfce1b35b25b98e185785e8a683747_M.jpg
310,Franklin Mithika Linturi,"Linturi, Franklin Mithika",http://www.parliament.go.ke/media/k2/items/cache/9962afd4d7801adbe96e49a2f2eab69f_M.jpg
311,Mark Lomunokol,"Lomunokol, Mark",http://www.parliament.go.ke/media/k2/items/cache/60959e8d8c34f5c00b9627dfd768f462_M.jpg
312,Joseph Samal Lomwa,"Lomwa, Joseph Samal",http://www.parliament.go.ke/media/k2/items/cache/f5ddf7bd97d01d87f4a7985398aea709_M.jpg
313,David Pkosing Losiakou,"Losiakou, David Pkosing",http://www.parliament.go.ke/media/k2/items/cache/4251dec72b18ac89643edfb7a8300016_M.jpg
314,Joseph M'eruaki M'uthari,"M'uthari, Joseph M'eruaki",http://www.parliament.go.ke/media/k2/items/cache/569585164bf57f8a1e8703b19497bdbc_M.jpg
315,Daniel Kitonga Maanzo,"Maanzo, Daniel Kitonga",http://www.parliament.go.ke/media/k2/items/cache/3f4808b525a42a0bb340252b3c0de1d3_M.jpg
316,Jacob Waweru Macharia,"Macharia, Jacob Waweru",http://www.parliament.go.ke/media/k2/items/cache/4ddc75f1698994d05cf43f2316d7d33a_M.jpg
3164,Muriuki Njagagua,Muriuki Njagagua,http://www.parliament.go.ke/media/k2/items/cache/9389a10aa827004f79c4f63dbe307fd3_M.jpg
317,Jane Agnes Wanjira Machira,"Machira, Jane Agnes Wanjira",http://www.parliament.go.ke/media/k2/items/cache/c987a1b31fd3f1f08322280ca0954f48_M.jpg
318,Joseph O. Magwanga,"Magwanga, Joseph O.",http://www.parliament.go.ke/media/k2/items/cache/0692a4e584defe6544ca2abbf7dd2502_M.jpg
319,Mohamed Maalim Mahamud,"Mahamud, Mohamed Maalim",http://www.parliament.go.ke/media/k2/items/cache/d521b3285331148964fc0a459a826ae3_M.jpg
320,Richard Katemi Makenga,"Makenga, Richard Katemi",http://www.parliament.go.ke/media/k2/items/cache/eefd4fe8f589e64e0e66a4f2937ae4ae_M.jpg
321,Shadrack Roger Mwita Manga,"Manga, Shadrack Roger Mwita",http://www.parliament.go.ke/media/k2/items/cache/fbb4b6a86e716d470f9aaf0dffc43cd5_M.jpg
322,Joseph Wathigo Manje,"Manje, Joseph Wathigo",http://www.parliament.go.ke/media/k2/items/cache/b42628f79a294675b36162209f86e045_M.jpg
323,Stephen Kengere Manoti,"Manoti, Stephen Kengere",http://www.parliament.go.ke/media/k2/items/cache/4e0d2946bafc44e656cf2886c0b75bb2_M.jpg
