name,wikiname,party,party_wikiname,term,start_date,end_date,id
Carla Dik-Faber,Carla Dik-Faber,ChristenUnie,ChristenUnie,2017,"","",carla_dik-faber
Carola Schouten,Carola Schouten,ChristenUnie,ChristenUnie,2017,"","",carola_schouten
Cem Laçin,Cem Laçin,SP,Socialistische Partij (Nederland),2017,"","",cem_laçin
Chantal Nijkerken-de Haan,Chantal Nijkerken-de Haan,VVD,Volkspartij voor Vrijheid en Democratie,2017,"","",chantal_nijkerken-de_haan
Chris van Dam,Chris van Dam,CDA,Christen-Democratisch Appèl,2017,"","",chris_van_dam
Corinne Ellemeet,Corinne Ellemeet,GroenLinks,GroenLinks,2017,"","",corinne_ellemeet
Corrie van Brenk,Corrie van Brenk,50PLUS,50PLUS,2017,"","",corrie_van_brenk
Danai van Weerdenburg,Danai van Weerdenburg,PVV,Partij voor de Vrijheid,2017,"","",danai_van_weerdenburg
Daniël Koerhuis,Daniël Koerhuis,VVD,Volkspartij voor Vrijheid en Democratie,2017,"","",daniël_koerhuis
Dennis Wiersma,Dennis Wiersma,VVD,Volkspartij voor Vrijheid en Democratie,2017,"","",dennis_wiersma
Dilan Yeşilgöz-Zegerius,Dilan Yeşilgöz-Zegerius,VVD,Volkspartij voor Vrijheid en Democratie,2017,"","",dilan_yeşilgöz-zegerius
Dion Graus,Dion Graus,PVV,Partij voor de Vrijheid,2017,"","",dion_graus
Edgar Mulder,Edgar Mulder,PVV,Partij voor de Vrijheid,2017,"","",edgar_mulder
Elbert Dijkgraaf,Elbert Dijkgraaf,SGP,Staatkundig Gereformeerde Partij,2017,"","",elbert_dijkgraaf
Emile Roemer,Emile Roemer,SP,Socialistische Partij (Nederland),2017,"","",emile_roemer
Eppo Bruins,Eppo Bruins,ChristenUnie,ChristenUnie,2017,"","",eppo_bruins
Erik Ronnes,Erik Ronnes,CDA,Christen-Democratisch Appèl,2017,"","",erik_ronnes
Erik Ziengs,Erik Ziengs,VVD,Volkspartij voor Vrijheid en Democratie,2017,"","",erik_ziengs
Esther Ouwehand,Esther Ouwehand,Partij voor de Dieren,Partij voor de Dieren,2017,"","",esther_ouwehand
Farid Azarkan,Farid Azarkan,DENK,DENK,2017,"","",farid_azarkan
Femke Merel Arissen,Femke Merel Arissen,Partij voor de Dieren,Partij voor de Dieren,2017,"","",femke_merel_arissen
Fleur Agema,Fleur Agema,PVV,Partij voor de Vrijheid,2017,"","",fleur_agema
Foort van Oosten,Foort van Oosten,VVD,Volkspartij voor Vrijheid en Democratie,2017,"","",foort_van_oosten
Frank Futselaar,Frank Futselaar,SP,Socialistische Partij (Nederland),2017,"","",frank_futselaar
Frank Wassenberg,Frank Wassenberg,Partij voor de Dieren,Partij voor de Dieren,2017,"","",frank_wassenberg
Gabriëlle Popken,Gabriëlle Popken,PVV,Partij voor de Vrijheid,2017,"","",gabriëlle_popken
Geert Wilders,Geert Wilders,PVV,Partij voor de Vrijheid,2017,"","",geert_wilders
Gert-Jan Segers,Gert-Jan Segers,ChristenUnie,ChristenUnie,2017,"","",gert-jan_segers
Gidi Markuszower,Gidi Markuszower,PVV,Partij voor de Vrijheid,2017,"","",gidi_markuszower
Gijs van Dijk,Gijs van Dijk,PvdA,Partij van de Arbeid (Nederland),2017,"","",gijs_van_dijk
Halbe Zijlstra,Halbe Zijlstra,VVD,Volkspartij voor Vrijheid en Democratie,2017,"","",halbe_zijlstra
Han ten Broeke,Han ten Broeke,VVD,Volkspartij voor Vrijheid en Democratie,2017,"","",han_ten_broeke
Hanke Bruins Slot,Hanke Bruins Slot,CDA,Christen-Democratisch Appèl,2017,"","",hanke_bruins_slot
Harm Beertema,Harm Beertema,PVV,Partij voor de Vrijheid,2017,"","",harm_beertema
Harry van der Molen,Harry van der Molen,CDA,Christen-Democratisch Appèl,2017,"","",harry_van_der_molen
Helma Lodders,Helma Lodders,VVD,Volkspartij voor Vrijheid en Democratie,2017,"","",helma_lodders
Henk Krol,Henk Krol,50PLUS,50PLUS,2017,"","",henk_krol
Henk Nijboer,Henk Nijboer,PvdA,Partij van de Arbeid (Nederland),2017,"","",henk_nijboer
Ingrid van Engelshoven,Ingrid van Engelshoven,D66,Democraten 66,2017,"","",ingrid_van_engelshoven
Isabelle Diks,Isabelle Diks,GroenLinks,GroenLinks,2017,"","",isabelle_diks
Jaco Geurts,Jaco Geurts,CDA,Christen-Democratisch Appèl,2017,"","",jaco_geurts
Jan Middendorp,Jan Middendorp,VVD,Volkspartij voor Vrijheid en Democratie,2017,2017-03-23,"",jan_middendorp
Jan Paternotte,Jan Paternotte,D66,Democraten 66,2017,"","",jan_paternotte
Jasper van Dijk,Jasper van Dijk,SP,Socialistische Partij (Nederland),2017,"","",jasper_van_dijk
Jeanine Hennis-Plasschaert,Jeanine Hennis-Plasschaert,VVD,Volkspartij voor Vrijheid en Democratie,2017,"","",jeanine_hennis-plasschaert
Jeroen Dijsselbloem,Jeroen Dijsselbloem,PvdA,Partij van de Arbeid (Nederland),2017,"","",jeroen_dijsselbloem
Jesse Klaver,Jesse Klaver,GroenLinks,GroenLinks,2017,"","",jesse_klaver
Jessica van Eijs,Jessica van Eijs,D66,Democraten 66,2017,"","",jessica_van_eijs
Joba van den Berg-Jansen,Joba van den Berg-Jansen,CDA,Christen-Democratisch Appèl,2017,"","",joba_van_den_berg-jansen
Joël Voordewind,Joël Voordewind,ChristenUnie,ChristenUnie,2017,"","",joël_voordewind
Karen Gerbrands,Karen Gerbrands,PVV,Partij voor de Vrijheid,2017,"","",karen_gerbrands
Kathalijne Buitenweg,Kathalijne Buitenweg,GroenLinks,GroenLinks,2017,"","",kathalijne_buitenweg
Kees Verhoeven,Kees Verhoeven,D66,Democraten 66,2017,"","",kees_verhoeven
Kees van der Staaij,Kees van der Staaij,SGP,Staatkundig Gereformeerde Partij,2017,"","",kees_van_der_staaij
Khadija Arib,Khadija Arib,PvdA,Partij van de Arbeid (Nederland),2017,"","",khadija_arib
Kirsten van den Hul,Kirsten van den Hul,PvdA,Partij van de Arbeid (Nederland),2017,"","",kirsten_van_den_hul
Klaas Dijkhoff,Klaas Dijkhoff,VVD,Volkspartij voor Vrijheid en Democratie,2017,"","",klaas_dijkhoff
Lammert van Raan,Lammert van Raan,Partij voor de Dieren,Partij voor de Dieren,2017,"","",lammert_van_raan
Liesbeth van Tongeren,Liesbeth van Tongeren,GroenLinks,GroenLinks,2017,"","",liesbeth_van_tongeren
Lilian Helder,Lilian Helder,PVV,Partij voor de Vrijheid,2017,"","",lilian_helder
Lilian Marijnissen,Lilian Marijnissen,SP,Socialistische Partij (Nederland),2017,"","",lilian_marijnissen
Lilianne Ploumen,Lilianne Ploumen,PvdA,Partij van de Arbeid (Nederland),2017,"","",lilianne_ploumen
Linda Voortman,Linda Voortman,GroenLinks,GroenLinks,2017,"","",linda_voortman
Lisa Westerveld,Lisa Westerveld,GroenLinks,GroenLinks,2017,"","",lisa_westerveld
Lodewijk Asscher,Lodewijk Asscher,PvdA,Partij van de Arbeid (Nederland),2017,"","",lodewijk_asscher
Léon de Jong,Léon de Jong,PVV,Partij voor de Vrijheid,2017,"","",léon_de_jong
Léonie Sazias,Léonie Sazias,50PLUS,50PLUS,2017,"","",léonie_sazias
Maarten Groothuizen,Maarten Groothuizen,D66,Democraten 66,2017,"","",maarten_groothuizen
Maarten Hijink,Maarten Hijink,SP,Socialistische Partij (Nederland),2017,"","",maarten_hijink
Machiel de Graaf,Machiel de Graaf,PVV,Partij voor de Vrijheid,2017,"","",machiel_de_graaf
Madeleine van Toorenburg,Madeleine van Toorenburg,CDA,Christen-Democratisch Appèl,2017,"","",madeleine_van_toorenburg
Malik Azmani,Malik Azmani,VVD,Volkspartij voor Vrijheid en Democratie,2017,"","",malik_azmani
Marianne Thieme,Marianne Thieme,Partij voor de Dieren,Partij voor de Dieren,2017,"","",marianne_thieme
Mark Harbers,Mark Harbers,VVD,Volkspartij voor Vrijheid en Democratie,2017,"","",mark_harbers
Mark Rutte,Mark Rutte,VVD,Volkspartij voor Vrijheid en Democratie,2017,"","",mark_rutte
Martijn van Helvert,Martijn van Helvert,CDA,Christen-Democratisch Appèl,2017,"","",martijn_van_helvert
Martin Bosma,Martin Bosma,PVV,Partij voor de Vrijheid,2017,"","",martin_bosma
Martin Wörsdörfer,Martin Wörsdörfer,VVD,Volkspartij voor Vrijheid en Democratie,2017,"","",martin_wörsdörfer
Martin van Rooijen,Martin van Rooijen,50PLUS,50PLUS,2017,"","",martin_van_rooijen
Maurits von Martels,Maurits von Martels,CDA,Christen-Democratisch Appèl,2017,"","",maurits_von_martels
Michel Rog,Michel Rog,CDA,Christen-Democratisch Appèl,2017,"","",michel_rog
Michiel van Nispen,Michiel van Nispen,SP,Socialistische Partij (Nederland),2017,"","",michiel_van_nispen
Mona Keijzer,Mona Keijzer,CDA,Christen-Democratisch Appèl,2017,"","",mona_keijzer
Mustafa Amhaouch,Mustafa Amhaouch,CDA,Christen-Democratisch Appèl,2017,"","",mustafa_amhaouch
Nevin Özütok,Nevin Özütok,GroenLinks,GroenLinks,2017,"","",nevin_Özütok
Nine Kooiman,Nine Kooiman,SP,Socialistische Partij (Nederland),2017,"","",nine_kooiman
Ockje Tellegen,Ockje Tellegen,VVD,Volkspartij voor Vrijheid en Democratie,2017,"","",ockje_tellegen
Paul van Meenen,Paul van Meenen,D66,Democraten 66,2017,"","",paul_van_meenen
Peter Kwint,Peter Kwint,SP,Socialistische Partij (Nederland),2017,"","",peter_kwint
Pia Dijkstra,Pia Dijkstra,D66,Democraten 66,2017,"","",pia_dijkstra
Pieter Duisenberg,Pieter Duisenberg,VVD,Volkspartij voor Vrijheid en Democratie,2017,"",2017-09-06,pieter_duisenberg
Pieter Heerma,Pieter Heerma,CDA,Christen-Democratisch Appèl,2017,"","",pieter_heerma
Pieter Omtzigt,Pieter Omtzigt,CDA,Christen-Democratisch Appèl,2017,"","",pieter_omtzigt
Raymond Knops,Raymond Knops,CDA,Christen-Democratisch Appèl,2017,"","",raymond_knops
Raymond de Roon,Raymond de Roon,PVV,Partij voor de Vrijheid,2017,"","",raymond_de_roon
Remco Dijkstra,Remco Dijkstra,VVD,Volkspartij voor Vrijheid en Democratie,2017,"","",remco_dijkstra
Rens Raemakers,Rens Raemakers,D66,Democraten 66,2017,"","",rens_raemakers
Renske Leijten,Renske Leijten,SP,Socialistische Partij (Nederland),2017,"","",renske_leijten
René Peters,René Peters (politicus),CDA,Christen-Democratisch Appèl,2017,"","",rené_peters
Rik Grashoff,Rik Grashoff,GroenLinks,GroenLinks,2017,"","",rik_grashoff
Rob Jetten,Rob Jetten,D66,Democraten 66,2017,"","",rob_jetten
Roelof Bisschop,Roelof Bisschop,SGP,Staatkundig Gereformeerde Partij,2017,"","",roelof_bisschop
Ronald van Raak,Ronald van Raak,SP,Socialistische Partij (Nederland),2017,"","",ronald_van_raak
Roy van Aalst,Roy van Aalst,PVV,Partij voor de Vrijheid,2017,"","",roy_van_aalst
Sadet Karabulut,Sadet Karabulut,SP,Socialistische Partij (Nederland),2017,"","",sadet_karabulut
Salima Belhaj,Salima Belhaj,D66,Democraten 66,2017,"","",salima_belhaj
Sander Dekker,Sander Dekker,VVD,Volkspartij voor Vrijheid en Democratie,2017,"","",sander_dekker
Sandra Beckerman,Sandra Beckerman,SP,Socialistische Partij (Nederland),2017,"","",sandra_beckerman
Selçuk Öztürk,Selçuk Öztürk,DENK,DENK,2017,"","",selçuk_Öztürk
Sharon Dijksma,Sharon Dijksma,PvdA,Partij van de Arbeid (Nederland),2017,"","",sharon_dijksma
Sietse Fritsma,Sietse Fritsma,PVV,Partij voor de Vrijheid,2017,"","",sietse_fritsma
Sjoerd Sjoerdsma,Sjoerd Sjoerdsma,D66,Democraten 66,2017,"","",sjoerd_sjoerdsma
Sophie Hermans,Sophie Hermans,VVD,Volkspartij voor Vrijheid en Democratie,2017,"","",sophie_hermans
Steven van Weyenberg,Steven van Weyenberg,D66,Democraten 66,2017,"","",steven_van_weyenberg
Stientje van Veldhoven,Stientje van Veldhoven,D66,Democraten 66,2017,"","",stientje_van_veldhoven
Suzanne Kröger,Suzanne Kröger,GroenLinks,GroenLinks,2017,"","",suzanne_kröger
Sven Koopmans,Sven Koopmans,VVD,Volkspartij voor Vrijheid en Democratie,2017,"","",sven_koopmans
Sybrand van Haersma Buma,Sybrand van Haersma Buma,CDA,Christen-Democratisch Appèl,2017,"","",sybrand_van_haersma_buma
Tamara van Ark,Tamara van Ark,VVD,Volkspartij voor Vrijheid en Democratie,2017,"","",tamara_van_ark
Teun van Dijck,Teun van Dijck,PVV,Partij voor de Vrijheid,2017,"","",teun_van_dijck
Theo Hiddema,Theo Hiddema,Forum voor Democratie,Forum voor Democratie,2017,"","",theo_hiddema
Thierry Baudet,Thierry Baudet,Forum voor Democratie,Forum voor Democratie,2017,"","",thierry_baudet
Tjeerd de Groot,Tjeerd de Groot,D66,Democraten 66,2017,"","",tjeerd_de_groot
Tom van der Lee,Tom van der Lee,GroenLinks,GroenLinks,2017,"","",tom_van_der_lee
Tunahan Kuzu,Tunahan Kuzu,DENK,DENK,2017,"","",tunahan_kuzu
Vera Bergkamp,Vera Bergkamp,D66,Democraten 66,2017,"","",vera_bergkamp
Vicky Maeijer,Vicky Maeijer,PVV,Partij voor de Vrijheid,2017,"","",vicky_maeijer
Wouter Koolmees,Wouter Koolmees,D66,Democraten 66,2017,"","",wouter_koolmees
Zihni Özdil,Zihni Özdil,GroenLinks,GroenLinks,2017,"","",zihni_Özdil
Zohair El Yassini,Zohair El Yassini,VVD,Volkspartij voor Vrijheid en Democratie,2017,"","",zohair_el_yassini
Roald van der Linde,Roald van der Linde,VVD,Volkspartij voor Vrijheid en Democratie,2017,2017-09-06,"",roald_van_der_linde
Sjoerd Potters,Sjoerd Potters,VVD,Volkspartij voor Vrijheid en Democratie,2017,"",2017-03-23,sjoerd_potters
