id,name,party,start_date,end_date,wikidata,term
hayke_veldman,Hayke Veldman,VVD,2017-10-31,,Q17351519,2017
helma_lodders,Helma Lodders,VVD,2010-06-17,,Q507401,2017
henk_krol,Henk Krol,50PLUS,2014-09-10,,Q455186,2017
henk_nijboer,Henk Nijboer,PvdA,2012-09-20,,Q868648,2017
henk_van_gerven,Henk van Gerven,SP,2017-04-03,,Q746203,2017
ingrid_van_engelshoven,Ingrid van Engelshoven,D66,2017-03-23,2017-10-25,Q510689,2017
isabelle_diks,Isabelle Diks,GroenLinks,2017-03-23,,Q13638460,2017
jaco_geurts,Jaco Geurts,CDA,2012-09-20,,Q82761,2017
jan_middendorp,Jan Middendorp,VVD,2017-03-23,,Q28861035,2017
jan_paternotte,Jan Paternotte,D66,2017-03-23,,Q16912128,2017
jasper_van_dijk,Jasper van Dijk,SP,2006-11-30,,Q2478764,2017
jeanine_hennis-plasschaert,Jeanine Hennis-Plasschaert,VVD,2017-03-23,2018-09-12,Q457884,2017
jeroen_dijsselbloem,Jeroen Dijsselbloem,PvdA,2017-03-23,2017-10-24,Q1033303,2017
jesse_klaver,Jesse Klaver,GroenLinks,2010-06-17,,Q2354753,2017
jessica_van_eijs,Jessica van Eijs,D66,2017-03-23,,Q28371809,2017
joba_van_den_berg-jansen,Joba van den Berg-Jansen,CDA,2017-03-23,,Q28861153,2017
john_kerstens,John Kerstens,PvdA,2018-06-05,,Q502110,2017
joost_sneller,Joost Sneller,D66,2017-10-31,,Q28860876,2017
joël_voordewind,Joël Voordewind,ChristenUnie,2006-11-30,,Q1824075,2017
judith_tielen,Judith Tielen,VVD,2017-10-31,,Q28861047,2017
karen_gerbrands,Karen Gerbrands,PVV,2017-03-23,,Q3240882,2017
kathalijne_buitenweg,Kathalijne Buitenweg,GroenLinks,2017-03-23,,Q442469,2017
kees_verhoeven,Kees Verhoeven,D66,2010-06-17,,Q2197145,2017
kees_van_der_staaij,Kees van der Staaij,SGP,1998-05-19,,Q731640,2017
khadija_arib,Khadija Arib,PvdA,2007-03-01,,Q458066,2017
kirsten_van_den_hul,Kirsten van den Hul,PvdA,2017-03-23,,Q25250252,2017
klaas_dijkhoff,Klaas Dijkhoff,VVD,2017-03-23,,Q2784118,2017
lammert_van_raan,Lammert van Raan,Partij voor de Dieren,2017-03-23,,Q28860633,2017
laura_bromet,Laura Bromet,GroenLinks,2018-06-07,,Q27646718,2017
leendert_de_lange,Leendert de Lange,VVD,2017-10-31,,Q19839084,2017
lenny_geluk-poortvliet,Lenny Geluk-Poortvliet,CDA,2017-10-31,,Q28861156,2017
liesbeth_van_tongeren,Liesbeth van Tongeren,GroenLinks,2010-06-17,2018-06-12,Q2578260,2017
lilian_helder,Lilian Helder,PVV,2010-10-17,,Q2854502,2017
lilian_marijnissen,Lilian Marijnissen,SP,2017-03-23,,Q1882072,2017
lilianne_ploumen,Lilianne Ploumen,PvdA,2017-03-23,,Q459509,2017
linda_voortman,Linda Voortman,GroenLinks,2012-10-30,2018-06-05,Q2783559,2017
lisa_westerveld,Lisa Westerveld,GroenLinks,2017-03-23,,Q28860434,2017
lodewijk_asscher,Lodewijk Asscher,PvdA,2017-03-23,,Q466868,2017
léon_de_jong,Léon de Jong,PVV,2017-03-23,,Q518659,2017
léonie_sazias,Léonie Sazias,50PLUS,2017-03-23,2018-11-06,Q1998445,2017
maarten_groothuizen,Maarten Groothuizen,D66,2017-03-23,,Q27660804,2017
maarten_hijink,Maarten Hijink,SP,2017-03-23,,Q28861224,2017
machiel_de_graaf,Machiel de Graaf,PVV,2012-09-20,,Q2612472,2017
madeleine_van_toorenburg,Madeleine van Toorenburg,CDA,2007-03-01,,Q2779827,2017
mahir_alkaya,Mahir Alkaya,SP,2018-01-18,,Q28861229,2017
malik_azmani,Malik Azmani,VVD,2010-06-17,,Q2798242,2017
marianne_thieme,Marianne Thieme,Partij voor de Dieren,2006-11-30,2018-10-10,Q463434,2017
mark_harbers,Mark Harbers,VVD,2009-12-01,2017-10-25,Q2257536,2017
mark_rutte,Mark Rutte,VVD,2017-03-23,2017-10-25,Q57792,2017
martijn_van_helvert,Martijn van Helvert,CDA,2014-11-12,,Q18638463,2017
martin_bosma,Martin Bosma,PVV,2006-11-30,,Q3180577,2017
martin_wörsdörfer,Martin Wörsdörfer,VVD,2017-03-23,,Q28861021,2017
martin_van_rooijen,Martin van Rooijen,50PLUS,2017-03-23,,Q2801440,2017
matthijs_sienot,Matthijs Sienot,D66,2017-10-31,,Q28860875,2017
maurits_von_martels,Maurits von Martels,CDA,2017-03-23,,Q28861180,2017
michel_rog,Michel Rog,CDA,2012-09-20,,Q129718,2017
michiel_van_nispen,Michiel van Nispen,SP,2014-04-02,,Q16069986,2017
mona_keijzer,Mona Keijzer,CDA,2012-09-20,2017-10-25,Q94229,2017
monica_den_boer,Monica den Boer,D66,2017-10-31,,Q2270440,2017
mustafa_amhaouch,Mustafa Amhaouch,CDA,2016-01-12,,Q22001627,2017
nevin_Özütok,Nevin Özütok,GroenLinks,2017-03-23,,Q2300495,2017
nine_kooiman,Nine Kooiman,SP,2010-06-17,2018-03-29,Q1958936,2017
ockje_tellegen,Ockje Tellegen,VVD,2012-09-20,,Q1532045,2017
paul_smeulders,Paul Smeulders,GroenLinks,2018-06-07,,Q18169519,2017
paul_van_meenen,Paul van Meenen,D66,2012-09-20,,Q7154615,2017
peter_kwint,Peter Kwint,SP,2017-03-23,,Q27646569,2017
pia_dijkstra,Pia Dijkstra,D66,2010-06-17,,Q2851980,2017
pieter_duisenberg,Pieter Duisenberg,VVD,2012-09-20,2017-09-06,Q1994265,2017
pieter_heerma,Pieter Heerma,CDA,2012-09-20,,Q94234,2017
pieter_omtzigt,Pieter Omtzigt,CDA,2010-10-26,,Q7192814,2017
raymond_knops,Raymond Knops,CDA,2010-09-07,2017-10-25,Q2125339,2017
raymond_de_roon,Raymond de Roon,PVV,2006-11-30,,Q1841359,2017
remco_dijkstra,Remco Dijkstra,VVD,2012-09-20,,Q1284113,2017
rens_raemakers,Rens Raemakers,D66,2017-03-23,,Q28860872,2017
renske_leijten,Renske Leijten,SP,2006-11-30,,Q2501822,2017
rené_peters,René Peters,CDA,2017-03-23,,Q29021764,2017
rik_grashoff,Rik Grashoff,GroenLinks,2015-05-20,2018-06-06,Q2429720,2017
roald_van_der_linde,Roald van der Linde,VVD,2017-09-07,,Q1285211,2017
rob_jetten,Rob Jetten,D66,2017-03-23,,Q28860866,2017
roelof_bisschop,Roelof Bisschop,SGP,2012-09-20,,Q224585,2017
ronald_van_raak,Ronald van Raak,SP,2006-11-30,,Q2089254,2017
roy_van_aalst,Roy van Aalst,PVV,2017-03-23,,Q28861873,2017
rudmer_heerema,Rudmer Heerema,VVD,2017-10-31,,Q15060597,2017
rutger_schonis,Rutger Schonis,D66,2018-10-10,,Q28860877,2017
sadet_karabulut,Sadet Karabulut,SP,2006-11-30,,Q2251998,2017
salima_belhaj,Salima Belhaj,D66,2016-01-26,,Q22340717,2017
sander_dekker,Sander Dekker,VVD,2017-03-23,2017-10-25,Q501714,2017
sandra_beckerman,Sandra Beckerman,SP,2017-03-23,,Q28373519,2017
selçuk_Öztürk,Selçuk Öztürk,DENK,2012-11-08,,Q868632,2017
sharon_dijksma,Sharon Dijksma,PvdA,2017-03-23,2018-05-31,Q2000726,2017
sietse_fritsma,Sietse Fritsma,PVV,2006-11-30,,Q2680236,2017
simon_geleijnse,Simon Geleijnse,50PLUS,2018-11-07,,"",2017
sjoerd_sjoerdsma,Sjoerd Sjoerdsma,D66,2012-09-20,,Q516335,2017
sophie_hermans,Sophie Hermans,VVD,2017-03-23,,Q28860996,2017
steven_van_weyenberg,Steven van Weyenberg,D66,2012-09-20,,Q2481353,2017
stieneke_van_der_graaf,Stieneke van der Graaf,ChristenUnie,2017-10-31,,Q28861451,2017
stientje_van_veldhoven,Stientje van Veldhoven,D66,2010-06-17,2017-10-25,Q5090363,2017
suzanne_kröger,Suzanne Kröger,GroenLinks,2017-03-23,,Q28860432,2017
sven_koopmans,Sven Koopmans,VVD,2017-03-23,,Q28861032,2017
sybrand_van_haersma_buma,Sybrand van Haersma Buma,CDA,2002-05-23,,Q377266,2017
tamara_van_ark,Tamara van Ark,VVD,2010-06-17,2017-10-25,Q4363961,2017
teun_van_dijck,Teun van Dijck,PVV,2006-11-30,,Q2797379,2017
theo_hiddema,Theo Hiddema,Forum voor Democratie,2017-03-23,,Q2384698,2017
thierry_aartsen,Thierry Aartsen,VVD,2018-09-13,,Q28861067,2017
thierry_baudet,Thierry Baudet,Forum voor Democratie,2017-03-23,,Q4462875,2017
tjeerd_de_groot,Tjeerd de Groot,D66,2017-03-23,,Q28860874,2017
tobias_van_gent,Tobias van Gent,VVD,2018-09-05,,Q28861058,2017
tom_van_der_lee,Tom van der Lee,GroenLinks,2017-03-23,,Q2425518,2017
tunahan_kuzu,Tunahan Kuzu,DENK,2012-09-20,,Q616635,2017
vera_bergkamp,Vera Bergkamp,D66,2012-09-20,,Q3084300,2017
vicky_maeijer,Vicky Maeijer,PVV,2017-03-23,,Q17166729,2017
william_moorlag,William Moorlag,PvdA,2017-10-25,,Q28801888,2017
wim-jan_renkema,Wim-Jan Renkema,GroenLinks,2018-06-13,,Q28860437,2017
wouter_koolmees,Wouter Koolmees,D66,2010-06-17,2017-10-25,Q2595414,2017
wybren_van_haga,Wybren van Haga,VVD,2017-10-31,,Q28861054,2017
zihni_Özdil,Zihni Özdil,GroenLinks,2017-03-23,,Q20978419,2017
zohair_el_yassini,Zohair El Yassini,VVD,2017-03-23,,Q28861016,2017
