id,name,area,party,email,image,term
eri-rumilio-valdez-vega,ERI RUMILIO VALDEZ VEGA,Cordillera,PLRA,,http://www.diputados.gov.py/ww5/application/files/cache/6f3c62d2e74a57f65be665bc9612781b.jpg,2018
erico-galeano-segovia,ERICO GALEANO SEGOVIA,Central,ANR,,http://www.diputados.gov.py/ww5/application/files/cache/bacbe2980416176d54934b6706d0ae3d.jpg,2018
esmerita-sanchez-de-da-silva,ESMÉRITA SÁNCHEZ DE DA SILVA,Caaguazú,GANAR,,http://www.diputados.gov.py/ww5/application/files/cache/b4fb83e5964ed76abed56432a9ee06af.jpg,2018
esteban-martin-samaniego-alvarez,ESTEBAN MARTÍN SAMANIEGO ÁLVAREZ,Paraguarí,ANR,,http://www.diputados.gov.py/ww5/application/files/cache/9b9b130a81bc3967869d87675b7195c6.jpg,2018
eusebio-alvarenga-martinez,EUSEBIO ALVARENGA MARTÍNEZ,Guairá,PLRA,,http://www.diputados.gov.py/ww5/application/files/cache/de0dd80cc8299b546b0ecb65ca02874c.jpg,2018
ever-juan-aricio-noguera,EVER JUAN ARICIO NOGUERA,Guairá,ANR,,http://www.diputados.gov.py/ww5/application/files/cache/9528bcc08cff6c1a3612542e8ecc6458.jpg,2018
felix-fernando-ortellado-zorrilla,FÉLIX FERNANDO ORTELLADO ZORRILLA,Guairá,ANR,,http://www.diputados.gov.py/ww5/application/files/cache/bd43079da942a6a5ef3a2296d71c5b1c.jpg,2018
fernando-oreggioni-ohiggins,FERNANDO OREGGIONI O'HIGGINS,Itapúa,PLRA,,http://www.diputados.gov.py/ww5/application/files/cache/bb25de0a4568177828c0a0af436bc29c.jpg,2018
hernan-david-rivas-roman,HERNÁN DAVID RIVAS ROMÁN,Itapúa,ANR,,http://www.diputados.gov.py/ww5/application/files/cache/919b815f948aeee83afbae4ebe75a3b0.jpg,2018
hilda-maria-del-rocio-vallejo-avalos,HILDA MARÍA DEL ROCÍO VALLEJO ÁVALOS,Central,PPQ,,http://www.diputados.gov.py/ww5/application/files/cache/dbef07ba7fc3cbc1a76e598de8c2fc75.jpg,2018
hugo-cesar-capurro-flores,HUGO CÉSAR CAPURRO FLORES,Misiones,GANAR,,http://www.diputados.gov.py/ww5/application/files/cache/abbe8285261b04bd5b0d430777f15b2c.jpg,2018
hugo-enrique-ramirez-ibarra,HUGO ENRIQUE RAMÍREZ IBARRA,Capital,ANR,,http://www.diputados.gov.py/ww5/application/files/cache/94909471b9392c6089768a5724c13e5b.jpg,2018
hugo-manuel-ibarra-santacruz,HUGO MANUEL IBARRA SANTACRUZ,Caaguazú,ANR,,http://www.diputados.gov.py/ww5/application/files/cache/3b91def936f73592a78b25081803717c.jpg,2018
jazmin-narvaez-osorio,JAZMÍN NARVAEZ OSORIO,Central,ANR,,http://www.diputados.gov.py/ww5/application/files/cache/ac5af4663c1a4705d4bb730e2aaeb20d.jpg,2018
jorge-antonio-britez-gonzalez,JORGE ANTONIO BRÍTEZ GONZÁLEZ,Alto Paraná,CN,,http://www.diputados.gov.py/ww5/application/files/cache/741cd87959e5eed4ee20298aaa07c7d9.jpg,2018
jorge-ramon-avalos-marino,JORGE RAMÓN AVALOS MARIÑO,Paraguarí,PLRA,,http://www.diputados.gov.py/ww5/application/files/cache/c3e3951ee58fed82732609e1c00b5355.jpg,2018
juan-carlos-luis-galaverna,JUAN CARLOS LUIS GALAVERNA,Central,ANR,,http://www.diputados.gov.py/ww5/application/files/cache/c6b38b32f32fe8ef61c7222c22223288.jpg,2018
juan-carlos-ozorio,JUAN CARLOS OZORIO,Capital,ANR,,http://www.diputados.gov.py/ww5/application/files/cache/6e0f5d2f356e1f01d7acc599b3b279a3.jpg,2018
juan-sebastian-villarejo-velilla,JUAN SEBASTIÁN VILLAREJO VELILLA,Capital,PPQ,,http://www.diputados.gov.py/ww5/application/files/cache/178f93ec18f2d9e05c6202bb95cc2324.jpg,2018
juan-silvino-acosta-benitez,JUAN SILVINO ACOSTA BENÍTEZ,Amambay,ANR,,http://www.diputados.gov.py/ww5/application/files/cache/8b514a383b8c892fee8082d58a917702.jpg,2018
julio-enrique-mineur-de-witte,JULIO ENRIQUE MINEUR DE WITTE,Pte. Hayes,GANAR,,http://www.diputados.gov.py/ww5/application/files/cache/6125f6b266dbb18233b436ad6e4578c6.jpg,2018
justo-aricio-zacarias-irun,JUSTO ARICIO ZACARÍAS IRÚN,Alto Paraná,ANR,,http://www.diputados.gov.py/ww5/application/files/cache/5873ae78d09770fc3a6c8ccc22ba11bf.jpg,2018
kattya-mabel-gonzalez-villanueva,KATTYA MABEL GONZÁLEZ VILLANUEVA,Central,PEN,,http://www.diputados.gov.py/ww5/application/files/cache/83253a7b352e5450f7e8ac53ff0b35c3.jpg,2018
luis-adolfo-urbieta-caceres,LUIS ADOLFO URBIETA CÁCERES,Concepción,ANR,,http://www.diputados.gov.py/ww5/application/files/cache/952d26a765c5c2aa68a349b9d1736972.jpg,2018
manuel-trinidad-colman,MANUEL TRINIDAD COLMÁN,Alto Paraná,GANAR,,http://www.diputados.gov.py/ww5/application/files/cache/15071209c06c16b235e12ab0001ceffd.jpg,2018
marcelo-rafael-salinas-gonzalez,MARCELO RAFAEL SALINAS GONZÁLEZ,Central,PLRA,,http://www.diputados.gov.py/ww5/application/files/cache/66fc976cf68605691f9187306af262c9.jpg,2018
maria-cristina-villalba-de-abente,MARÍA CRISTINA VILLALBA DE ABENTE,Canindeyú,ANR,,http://www.diputados.gov.py/ww5/application/files/cache/95cca0d1f6edb435bbb4e7fe5b2d2989.jpg,2018
maria-de-las-nieve-lopez-rotela,MARÍA DE LAS NIEVES LÓPEZ ROTELA,Central,PLRA,,http://www.diputados.gov.py/ww5/application/files/cache/257dc457c4e5eae5e745796af2b1ede4.jpg,2018
maria-rocio-abed-de-zacarias,MARIA ROCIO ABED DE ZACARIAS,Alto Paraná,ANR,,http://www.diputados.gov.py/ww5/application/files/cache/8aa14d95a1eca10b22eb3c8360171089.jpg,2018
marlene-graciela-ocampos-benitez,MARLENE GRACIELA OCAMPOS BENÍTEZ,Alto Paraguay,ANR,,http://www.diputados.gov.py/ww5/application/files/cache/2bded28b68e63f4e5089f28f1548d952.jpg,2018
miguel-angel-del-puerto-silva,MIGUEL ÁNGEL DEL PUERTO SILVA,Caaguazú,ANR,,http://www.diputados.gov.py/ww5/application/files/cache/5552ce00735e1b4276be59b342772b8e.jpg,2018
miguel-jorge-cuevas-ruiz-diaz,MIGUEL JORGE CUEVAS RUIZ DÍAZ,Paraguari,ANR,,http://www.diputados.gov.py/ww5/application/files/cache/5bd7cf4834201b1e5036d7776d477629.jpg,2018
miguel-tadeo-rojas-meza,MIGUEL TADEO ROJAS MEZA,Central,ANR,,http://www.diputados.gov.py/ww5/application/files/cache/83e9c69ebf51b7c40f34e4885ef3a71d.jpg,2018
nazario-tomas-rojas-salvioni,NAZARIO TOMÁS ROJAS SALVIONI,Cordillera,ANR,,http://www.diputados.gov.py/ww5/application/files/cache/682decb6521e56a0c30fdddcc7600931.jpg,2018
nestor-fabian-ferrer-miranda,NESTOR FABIÁN FERRER MIRANDA,Central,ANR,,http://www.diputados.gov.py/ww5/application/files/cache/c488fecd1512a27d0f470edabb384822.jpg,2018
norma-edith-concepcion-camacho-paredes,NORMA CAMACHO,Central,PEN,,http://www.diputados.gov.py/ww5/application/files/cache/73a97f248827a57ef5391adfc1c9f05d.jpg,2018
pastor-alberto-vera-bejarano,PASTOR ALBERTO VERA BEJARANO,San Pedro,GANAR,,http://www.diputados.gov.py/ww5/application/files/cache/67266881fda116db50ee574c3caed027.jpg,2018
pastor-emilio-soria-melo,PASTOR EMILIO SORIA MELO,San Pedro,ANR,,http://www.diputados.gov.py/ww5/application/files/cache/da91447beaa4118b867cca85f7560595.jpg,2018
pedro-lorenzo-alliana-rodriguez,PEDRO LORENZO ALLIANA RODRÍGUEZ,Ñeembucú,ANR,,http://www.diputados.gov.py/ww5/application/files/cache/370cfbeabcb96324494fc6a88c90bde4.jpg,2018
ramon-romero-roa,RAMÓN ROMERO ROA,Alto Paraná,ANR,,http://www.diputados.gov.py/ww5/application/files/cache/2a9b29171e2e92a7a31e6503342812d3.jpg,2018
raul-luis-latorre-martinez,RAÚL LUIS LATORRE MARTÍNEZ,Capital,ANR,,http://www.diputados.gov.py/ww5/application/files/cache/284a249d6429d46b4aaae4bce39b6885.jpg,2018
roberto-eudez-gonzalez-segovia,ROBERTO EUDES GONZÁLEZ SEGOVIA,Cordillera,ANR,,http://www.diputados.gov.py/ww5/application/files/cache/5e9504ee46ad7ae9a792c33cc78c315d.jpg,2018
roberto-ramon-acevedo-quevedo,ROBERTO RAMÓN ACEVEDO QUEVEDO,Amambay,PLRA,,http://www.diputados.gov.py/ww5/application/files/cache/08e66c23eb17f01fb0a08aded0a908b4.jpg,2018
rodrigo-daniel-blanco-amarilla,RODRIGO DANIEL BLANCO AMARILLA,Central,PLRA,,http://www.diputados.gov.py/ww5/application/files/cache/781012af4c917d8fe46799a0831800b5.jpg,2018
roque-antonio-sarubbi-brizuela,ROQUE ANTONIO SARUBBI BRIZUELA,Caazapá,GANAR,,http://www.diputados.gov.py/ww5/application/files/cache/912dc0266c2ce8928603183a3ed7952d.jpg,2018
roya-nigsa-torres-baez,ROYA NIGSA TORRES BÁEZ,Alto Paraná,GANAR,,http://www.diputados.gov.py/ww5/application/files/cache/58f21e59c7f841a51a7523b5fd3fb01f.jpg,2018
ruben-aristides-balbuena-figueredo,RUBÉN ARISTIDES BALBUENA FIGUEREDO,Itapúa,ANR,,http://www.diputados.gov.py/ww5/application/files/cache/e7b6347bb75daa04897886908c68407d.jpg,2018
salustiano-salinas-montania,SALUSTIANO SALINAS MONTANÍA,Central,PLRA,,http://www.diputados.gov.py/ww5/application/files/cache/9d8c2bb57c5de53542911916fae2fbcc.jpg,2018
sergio-roberto-rojas-sosa,SERGIO ROBERTO ROJAS SOSA,Central,PLRA,,http://www.diputados.gov.py/ww5/application/files/cache/0782bb9fd427a99cdc9686aed5c50145.jpg,2018
teofilo-espinola-peralta,TEÓFILO ESPÍNOLA PERALTA,Canindeyú,GANAR,,http://www.diputados.gov.py/ww5/application/files/cache/6e7979bb21179723dd2726b7a7a448c2.jpg,2018
tito-damian-ibarrola-cano,TITO DAMIÁN IBARROLA CANO,Central,PPH,,http://www.diputados.gov.py/ww5/application/files/cache/edca9a9bcf50e32e90ee2aa3ec85ec9f.jpg,2018
tomas-fidelino-rivas-benitez,TOMAS FIDELINO RIVAS BENÍTEZ,Paraguarí,ANR,,http://www.diputados.gov.py/ww5/application/files/cache/a6cb7f8b3cb77c0bc41a50e824b1932a.jpg,2018
vicente-rodriguez-arevalos,VICENTE RODRÍGUEZ ARÉVALOS,San Pedro,ANR,,http://www.diputados.gov.py/ww5/application/files/cache/5064ab0d9ec9878fedd87296f36683a0.jpg,2018
walter-enrique-harms-cespedes,WALTER ENRIQUE HARMS CÉSPEDES,Itapúa,ANR,,http://www.diputados.gov.py/ww5/application/files/cache/f08b6e505309a3fe3d52980048322347.jpg,2018
