id,position,label,description,start_date,end_date,replaced_by,replaces,term,constituency
Q57643,Q866756,Prime Minister of Singapore,head of the government of the Republic of Singapore,2004-08-12,,,Goh Chok Tong,,
Q58142,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q58142,Q4294727,Ministry of Trade and Industry,Ministry of the Government of Singapore that directs the formulation of policies related to the development of trade and industry in Singapore,"",,,,,
Q58142,Q4383964,Ministry of Health,"","",,,,,
Q5874044,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q5874137,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q5891957,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q5921606,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q6017702,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q6026908,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q6069175,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q6154464,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q6187512,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q6324008,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q6480680,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q6504758,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q6513114,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q6514298,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q6536062,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q6548656,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q6548659,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q6548691,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q6548759,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q6553695,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q6553695,Q2289041,Singapore Democratic Party,political party in Singapore,"",,,,,
Q6732618,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q6743667,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q6791625,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q6833355,Q20967973,Speaker of the Parliament of Singapore,"",2011-10-12,2012-12-12,Halimah Yacob,Abdullah Tarmugi,,
Q6833355,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q7021767,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q703209,Q1313096,science ministry,type of ministry,"",,,,,
Q703209,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q7093807,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q713486,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q713486,Q4294530,Ministry of Education,Singaporean ministry responsible for education,"",,Tony Tan Keng Yam,Chua Sian Chin,,
Q713486,Q6866005,Minister for the Interior and Defence,"",1965-08-09,1967-08-16,Lim Kim San,,,
Q713940,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q713940,Q6508558,Leader of the Opposition,parliamentary position of the Parliament of Singapore,"",,,,,
