id,name,province_en,province,area,party,website,source,blog,facebook,role,other-role,term
GOL-002,عبدالکریم رجبی,Golestan,گلستان,مینودشت/ گالیکش/ کلاله/مراوه تپه,مستقل,http://abdolkarimrajabi.persianblog.ir,,,,عضو کمیسیون اقتصادی,,9
GOL-003,رضا صابری,Golestan,گلستان, آزادشهر / رامیان,جبهه ایستادگی,http://www.rezasabery.ir,,,,دبیر دوم کمیسیون آموزش و تحقیقات,,9
GOL-004,سید علی طاهری,Golestan,گلستان,گرگان و آق قلا,جبهه متحد – جبهه پایداری    ,http://www.alitahery.ir,,,,سخنگو کمیسیون فرهنگی,,9
GOL-005,سلیمان عباسی,Golestan,گلستان,گنبد کاووس,جبهه متحد – جبهه پایداری  ,http://www.soleimanabbasi.com,,,,عضو کمیسیون بهداشت و درمان,,9
GOL-006,محمد جواد نظری مهر,Golestan,گلستان, کردکوی/ بندر ترکمن/ بندرگز,جبهه متحد ,http://dmnazarimehr.blogfa.com,,,,دبیر دوم کمیسیون بهداشت و درمان,دبیر اول کمیسیون تحقیق,9
GOL-007,رحمت الله نوروزی,Golestan,گلستان,علی‌آباد کتول,جبهه متحد – جبهه پایداری – جبهه ایستادگی,http://rahmatnorozi.com,,,,عضو کمیسیون کشاورزی، آب و منابع طبیعی,,9
HAM-001,احمد آریایی نژاد,Hamedan,همدان,ملایر,جبهه پایداری,http://aryaeinezhad.ir/,,,,عضو کمیسیون بهداشت و درمان,,9
HAM-002,محمد علی پور مختار,Hamedan,همدان, بهار / کبودرآهنگ,مستقل,http://www.purmokhtar.ir/,,,,رئیس کمیسیون اصل نودم قانون اساسی مجلس,,9
HAM-003, علي‌نعمت چهاردولي,Hamedan,همدان,ملایر,مستقل,http://chahardoli.com/,,,,عضو کمیسیون عمران,,9
HAM-004,امیر خجسته,Hamedan,همدان,همدان / فامنین,جبهه متحد – جبهه ایستادگی,http://www.amirkhojasteh.ir/,,,,رئیس کمیسیون شوراها و امور داخلی کشور,,9
HAM-005,عطاالله سلطانی صبور,Hamedan,همدان,رزن,مستقل,,,,,عضو کمیسیون آموزش و تحقیقات,,9
HAM-006,مهدي سنايي,Hamedan,همدان,نهاوند,جبهه ایستادگی – اصلاح طلب,,,,,عضو کمیسیون امنیت ملی و سیاست خارجی,,9
HAM-007,بهروز نعمتی,Hamedan,همدان,اسدآباد,جبهه ایستادگی,http://www.behroznemati.ir/,,,,عضو کمیسیون صنایع و معادن,,9
HAM-008,ابراهیم کارخانه,Hamedan,همدان,همدان / فامنین,جبهه متحد – جبهه پایداری ,,,,,عضو کمیسیون انرژی,,9
HAM-009,محمد مهدی مفتح,Semnan,همدان,تویسرکان,N/A,,,,,عضو کمیسیون اجتماعی,,9
HOR-001,منصور آرامی,Hormozgan,هرمزگان, ابوموسی / بندرعباس / حاجی‌آباد / خمیر / قشم,جبهه ایستادگی,,,,,عضو کمیسیون عمران,عضو کمیسیون اصل نودم قانون اساسی مجلس,9
HOR-002,محمد آشوری تازیانی,Hormozgan,هرمزگان, ابوموسی / بندرعباس / حاجی‌آباد / خمیر / قشم,جبهه متحد – اصلاح طلب ,,,,,عضو کمیسیون امنیت ملی و سیاست خارجی,,9
HOR-003,احمد جباری,Hormozgan,هرمزگان,بستک / بندرلنگه / پارسیان,جبهه پایداری,,,,,عضو کمیسیون عمران,,9
HOR-004,سیدعبدالکریم هاشمی نخل ابراهیمی,Hormozgan,هرمزگان,جاسک / رودان / میناب/ سیریک / بشاگرد,جبهه متحد,http://hashemiseyed.ir/,,,,عضو کمیسیون برنامه و بودجه و محاسبات,,9
HOR-005,ابوالقاسم جراره,Hormozgan,هرمزگان, ابوموسی / بندرعباس / قشم,جبهه پایداری ,,,,,عضو کمیسیون صنایع و معادن,,9
ISF-001,ابوالفضل ابوترابی,Isfahan,اصفهان,نجف آﺑﺎد وﺗﻴﺮان و ﻛﺮون,مستقل,http://www.abotoraby.ir/,,,,دبیر دوم کمیسیون قضایی و حقوقی,عضو کمیسیون تحقیق,9
ISF-002,نیره اخوان بیطرف,Isfahan,اصفهان,اصفهان,مستقل,,,,,عضو کمیسیون قضایی و حقوقی,عضو کمیسیون تحقیق,9
ISF-003,محمدعلی اسفنانی,Isfahan,اصفهان,ﻓﺮﻳﺪن وﭼﺎدﮔﺎن وﻓﺮﻳﺪوﻧﺸﻬﺮ,مستقل,http://maasfanani.blog.ir/,,,,سخنگو کمیسیون قضایی و حقوقی,نایب رئیس دوم کمیسیون تحقیق,9
ISF-004,علی ایرانپور,Isfahan,اصفهان,مبارکه,مستقل,http://www.majles9.com/news.php?cat.1,,,,عضو کمیسیون کشاورزی، آب و منابع طبیعی,,9
ISF-005,احمد بخشایش اردستانی,Isfahan,اصفهان,اردستان,مستقل,,http://rc.majlis.ir/fa/parliament_member/show/812250,,,عضو کمیسیون امنیت ملی و سیاست خارجی,,9
ISF-006,حسینعلی حاجی دلیگانی,Isfahan,اصفهان,برخوار / شاهین شهر / میمه,جبهه متحد,http://www.hamasesazan.ir/,,,,عضو کمیسیون برنامه و بودجه و محاسبات,,9
ISF-007, عوض حیدرپور شهرضایی,Isfahan,اصفهان,شهرضا و دهاقان و منظريه و گلشن,جبهه متحد- جبهه ایستادگی - صدای ملت,http://www.heydarpoor.com/,http://heydarpoor.parliran.ir/index.aspx?siteid=125,,,عضو کمیسیون اصل نودم قانون اساسی مجلس,دبیر دوم کمیسیون تحقیق,9
ISF-008,احمد سالک کاشانی,Isfahan,اصفهان,اصفهان,جبهه پایداری - جبهه متحد,http://ahmadsalek.blogfa.com/,,http://ahmadsalek.blogfa.com/page/zendeginame.aspx,,رئیس کمیسیون فرهنگی,,9
ISF-009,محسن صرامی فروشانی,Isfahan,اصفهان,خمینی شهر,مستقل,http://www.mohsensarami.ir/,,,,عضو کمیسیون اقتصادی,عضو کمیسیون تدوین آیین‌نامه داخلی مجلس,9
ISF-010,سید حمید رضا طباطبایی‌ نائینی,Isfahan,اصفهان,نائين، خور و بيابانك,جبهه متحد,http://www.tabatabaeinaeini.ir,,,,نایب رئیس اول کمیسیون قضایی و حقوقی,,9
ISF-011,سکینه عمرانی,Isfahan,اصفهان,سمیرم,مستقل,,,,,عضو کمیسیون کشاورزی، آب و منابع طبیعی,,9
ISF-012,حمیدرضا فولادگر,Isfahan,اصفهان,اصفهان,جبهه پایداری - جبهه متحد,http://www.fooladgar.ir/,,,,عضو کمیسیون صنایع و معادن,,9
ISF-013,محمد فیروزی,Isfahan,اصفهان,نطنز و قمصر,مستقل,http://mfiroozi.ir/,,,,دبیر اول کمیسیون عمران,,9
ISF-014,عباس مقتدای خوراسگانی,Isfahan,اصفهان,اصفهان,جبهه پایداری ,http://www.moghtadaie.com/Main/Default.aspx?page=1,,,,عضو کمیسیون آموزش و تحقیقات,,9
ISF-015,عباسعلی منصوری آرانی,Isfahan,اصفهان, کاشان، آران و بیدگل,مستقل,http://www.abbasalimansouri.ir,,,,عضو کمیسیون امنیت ملی و سیاست خارجی,,9
ISF-016,مجید منصوری بیدکانی,Isfahan,اصفهان,ﻟﻨﺠﺎن,مستقل,http://www.majidmansouri.ir/,,http://majidmansouri.persianblog.ir/,,عضو کمیسیون صنایع و معادن,,9
ISF-017,سید ناصر موسوی لارگانی,Isfahan,اصفهان,ﻓﻼورﺟﺎن,جبهه پایداری - جبهه متحد,http://www.nmousavi.com/ ,http://n-moosawi.parliran.ir/,,,عضو کمیسیون اقتصادی,,9
ISF-018, سید محمدحسین میرمحمدی,Isfahan,اصفهان,خوانسار / گلپایگان,جبهه ایستادگی,http://golsar.info/,,,,عضو کمیسیون اصل نودم قانون اساسی مجلس,,9
ISF-019,حسن کامران دستجردی,Isfahan,اصفهان,اصفهان,مستقل,,,,,عضو کمیسیون امنیت ملی و سیاست خارجی,,9
ISF-020,روبرت بگلریان,Isfahan,اصفهان,ﻣﺴﻴﺤﻴﺎن ارﻣﻨﻲ ﺟﻨﻮب اﻳﺮان,مستقل,,,,,عضو کمیسیون انرژی,,9
KER-001,حسین آذین,Kerman,کرمان,رفسنجان و انار,مستقل,http://www.drazin.ir/,http://rc.majlis.ir/fa/parliament_member/show/813689,,,عضو کمیسیون اصل نودم قانون اساسی مجلس,,9
KER-002, حسین امیری خامکانی,Kerman,کرمان,زرﻧﺪ وﻛﻮﻫﺒﻨﺎن,اصلاح طلب,,http://amiri.parliran.ir/index.aspx?siteid=91&pageid=540,,,عضو کمیسیون انرژی,,9
KER-003,محمدرضا امیری کهنوج,Kerman,کرمان,رودبار جنوب / فاریاب / قلعه گنج / منوجان / کهنوج,جبهه متحد - جبهه پایداری,,http://rc.majlis.ir/fa/parliament_member/show/701773,,,عضو کمیسیون کشاورزی، آب و منابع طبیعی,عضو کمیسیون اصل نودم قانون اساسی مجلس,9
KER-004,محمدرضا پورابراهیمی داورانی,Kerman,کرمان,راور و کرمان,مستقل,http://mrpourebrahimi.blogfa.com/,http://rc.majlis.ir/fa/parliament_member/show/813642,,,نایب رئیس اول کمیسیون اقتصادی,عضو کمیسیون تدوین آیین‌نامه داخلی مجلس,9
KER-005,شهباز حسنپور بیگلری,Kerman,کرمان,ﺳﻴﺮﺟﺎن و ﺑﺮدﺳﻴﺮ,جبهه متحد- جبهه ایستادگی - اصلاح طلب,http://www.hasanpour.com/,,,,سخنگو کمیسیون تدوین آیین‌نامه داخلی مجلس,عضو کمیسیون برنامه و بودجه و محاسبات,9
KER-006,محمدمهدی زاهدی,Kerman,کرمان,راور و کرمان,جبهه متحد,,http://rc.majlis.ir/fa/parliament_member/show/813644,,,رئیس کمیسیون آموزش و تحقیقات,,9
KER-007,فرج اله عارفی,Kerman,کرمان,جیرفت وعنبرآباد,جبهه ایستادگی,,,,, نایب رئیس دوم کمیسیون اجتماعی,,9
KER-008,موسی غضنفرآبادی,Kerman,کرمان,بم،  ریگان (فهرج، و نرماشیر),جبهه متحد - جبهه پایداری,,http://rc.majlis.ir/fa/parliament_member/show/701885,,,عضو کمیسیون تدوین آیین‌نامه داخلی مجلس,عضو کمیسیون قضایی و حقوقی,9
KER-009,حسین فتاحی,Kerman,کرمان,ﺷﻬﺮ ﺑﺎﺑﻚ ,جبهه متحد - جبهه ایستادگی,http://www.hosseinfattahi.ir/,,,,عضو کمیسیون صنایع و معادن,,9
KER-010,علیرضا منظری توکلی,Kerman,کرمان,بافت (رابُر و اُرزوئیه),جبهه متحد,,,,,عضو کمیسیون آموزش و تحقیقات,,9
KHU-001,حبیب آقاجری,Khuzestan,خوزستان,ماهشهر ،امیدیه و هندیجان,جبهه پایداری و جبهه متحد ,http://www.hajhabib.ir,,,,عضو کمیسیون انرژی,,9
KHU-002,محمد سعید انصاری,Khuzestan,خوزستان,آبادان,جبهه متحد,,,,,عضو کمیسیون انرژی,,9
KHU-003,شمس الله بهمئی,Khuzestan,خوزستان,راﻣﻬﺮﻣﺰ و راﻣﺸﻴﺮ,مستقل,,,,,سخنگو کمیسیون انرژی,عضو کمیسیون تحقیق,9
KHU-004,عباس پاپی زاده بالنگان  ,Khuzestan,خوزستان,دزفول,مستقل,http://www.dezmajles.ir,,,,عضو کمیسیون کشاورزی، آب و منابع طبیعی,,9
KHU-005, عبدالله تمیمی,Khuzestan,خوزستان,شادگان,مستقل,http://www.abdollahtamimi.com,,,,عضو کمیسیون انرژی,,9
KHU-006,اسماعیل جلیلی,Khuzestan,خوزستان, مسجدسليمان، لالي، انديكا و هفتكل,مستقل,http://www.dr-jalili.com,,,,دبیر دوم کمیسیون برنامه و بودجه و محاسبات,,9
KHU-007,سید شریف حسینی,Khuzestan,خوزستان,اهواز,جبهه ایستادگی,,,,,عضو کمیسیون صنایع و معادن,,9
KHU-008, سیدعیسی دارایی,Khuzestan,خوزستان,اندیمشک,مستقل,,,,,عضو کمیسیون اصل نودم قانون اساسی مجلس,,9
KHU-009,حجت الله درویش پور,Khuzestan,خوزستان,اﻳﺬه و ﺑﺎﻏﻤﻠﻚ,جبهه ایستادگی,,,,,عضو کمیسیون آموزش و تحقیقات,,9
KHU-010, حسین دهدشتی,Khuzestan,خوزستان,آبادان,مستقل,http://dr-dehdashti.ir,,,,نایب رئیس دوم کمیسیون انرژی,,9
KHU-011,سید محمد سادات ابراهیمی,Khuzestan,خوزستان,شوشتر، گتوند  ,جبهه ایستادگی – اصلاح طلب,http://m-sadatebrahimi.parliran.ir,,,,دبیر دوم کمیسیون کشاورزی، آب و منابع طبیعی,,9
KHU-012,عبداله سامری  ,Khuzestan,خوزستان,خرمشهر ,مستقل,,,,,عضو کمیسیون کشاورزی، آب و منابع طبیعی,,9
KHU-013, جواد سعدون زاده,Khuzestan,خوزستان,آبادان,جبهه متحد,http://www.drsadounzadeh.com,,,,عضو کمیسیون انرژی,عضو کمیسیون تحقیق,9
KHU-014,ناصر سودانی   ,Khuzestan,خوزستان,اهواز,جبهه پایداری و جبهه متحد ,,,,,عضو کمیسیون انرژی,,9
KHU-015, محمدباقر شریعتی  ,Khuzestan,خوزستان,بهبهان,مستقل,http://m-shariati.com,,,,عضو کمیسیون کشاورزی، آب و منابع طبیعی,,9
KHU-016, ناصر صالحی     ,Khuzestan,خوزستان,دﺷﺖ آزادﮔﺎن و ﻫﻮﻳﺰه,جبهه ایستادگی ,http://salehinasab.ir,,,,نایب رئیس اول کمیسیون کشاورزی، آب و منابع طبیعی,,9
KHU-017,سیدشکرخدا موسوی ,Khuzestan,خوزستان,اهواز,جبهه متحد، جبهه پایداری و جبهه ایستادگی,,,,,عضو کمیسیون کشاورزی، آب و منابع طبیعی,,9
KHU-018,سید راضی نوری    ,Khuzestan,خوزستان,شوش ,جبهه متحد، جبهه پایداری و جبهه ایستادگی (اصولگرا)   ,http://www.drnoori.ir,,,,عضو کمیسیون کشاورزی، آب و منابع طبیعی,,9
