id,position,label,description,start_date,term,constituency,end_date,replaces,replaced_by,election,of,party
Q16149031,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q16149031,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-60 (Chakwal-I),,,,,,
Q16149354,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q16149354,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,reserved seat for Women,,,,,,
Q16199958,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-67 (Sargodha-IV),,,,,,
Q16207405,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q16207405,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-32 (Chitral),,,,,,
Q16231467,Q20760546,Member of the National Assembly of Pakistan,"","",15th National Assembly,NA-4 (Swat-III),,,,,,
Q16231467,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-29 (Swat-I),,,,,,
Q16442103,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q16442103,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-03,14th National Assembly,reserved seat for Women,,,,,,
Q16727368,Q20760546,Member of the National Assembly of Pakistan,"","",15th National Assembly,NA-177 (Rahim Yar Khan-III),,,,,,
Q16727368,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-194 Rajanpur-II,,,,,,
Q16732994,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,reserved seat for Women,,,,,,
Q16873159,Q20760546,Member of the National Assembly of Pakistan,"","",15th National Assembly,NA-86 MBD-II,,,,,,
Q16873159,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-109 (Mandi Bahauddin-II),,,,,,
Q17019030,Q20760546,Member of the National Assembly of Pakistan,"","",15th National Assembly,NA-32 Kohat,,,,,,
Q17019030,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-14 (Kohat),,,,,,
Q17198180,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-114 (Sialkot-V),,,,,,
Q17198246,Q20760546,Member of the National Assembly of Pakistan,"","",15th National Assembly,NA-81 Gujranwala-III,,,,,,
Q17198246,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-96 (Gujranwala-II),,,,,,
Q17198786,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q17198786,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-102 (Hafizabad-I),,,,,,
Q17305664,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-185 (Bahawalpur-III),,,,,,
Q17306050,Q20760546,Member of the National Assembly of Pakistan,"","",15th National Assembly,NA-82 Gujranwala-IV,,,,,,
Q17306050,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-95 (Gujranwala-I),,,,,,
Q17385531,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-57 (Attock-I),,,,,,
Q17385613,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2014-06-05,14th National Assembly,NA-258 (Karachi-XX),2016-09,,,,,Pakistan Muslim League (N)
Q17385613,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2016-12-14,14th National Assembly,NA-258 (Karachi-XX),,,,,,
Q17388811,Q20760546,Member of the National Assembly of Pakistan,"","",15th National Assembly,NA-206 Sukher-I,,,,,,
Q17388811,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-199 (Sukkur-cum-Shikarpur-II),,,,,,
Q17388811,Q56232386,Federal Minister for Religious Affairs,"",2010-12-01,,,2013,Hamid Saeed Kazmi,Sardar Muhammad Yousuf,,,
Q17484251,Q20760546,Member of the National Assembly of Pakistan,"","",15th National Assembly,NA-235 Dadu-II,,,,,,
Q17484251,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-232 (Dadu-I),,,,,,
Q17916839,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,"",14th National Assembly,NA-260 (Quetta-cum-Chagai-cum-Nushki-cum-Mastung),2017-05-20,,Usman Badini,,,
Q18749680,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18749680,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,reserved seats for minorities,,,,,,
Q18750148,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18750148,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-08-30,14th National Assembly,NA-262 (Killa Abdullah),,,,,,
Q18750164,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18750164,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,reserved seat for Women,,,,,,
Q18750287,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-270 (Awaran-cum-Lasbela),2018-05-31,,,,,
Q18750310,Q20760546,Member of the National Assembly of Pakistan,"","",15th National Assembly,NA-260 Nasirabad-cum-kachi-cum-Jhal Magsi,,,,,,
Q18750310,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2016-05-09,14th National Assembly,NA-267 (Kachhi-cum-Jhal Magsi),,,,,,
Q18750313,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18750313,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,reserved seat for Women,,,,,,
Q18750351,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18750351,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-263 (Loralai-cum-Musakhel-cum-Barkhan),,,,,,
Q18750352,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18750352,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-264 (Zhob-cum-Sherani-cum-Killa Saifullah),,,,,,
Q18750357,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18750357,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-265 (Sibi-cum-Kohlu-cum-Dera Bugti-cum-Harani),,,,,,
Q18750361,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18750361,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-269 (Khuzdar),,,,,,
Q18750362,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18750362,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-12-19,14th National Assembly,NA-261 (Pishin-cum-Ziarat),,,,,,
Q18750368,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18750368,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,reserved seat for Women,,,,,,
Q18750536,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18750536,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-268 (Kalat-cum-Mastung),,,,,,
Q18750565,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18750565,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-08-13,14th National Assembly,NA-272 (Kech-cum-Gwadar),,,,,,
Q18763760,Q20760546,Member of the National Assembly of Pakistan,"","",15th National Assembly,NA-187 Layyah-I,,,,,,
Q18763760,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-73 (Bhakkar-I),,,,,,
Q18763766,Q20760546,Member of the National Assembly of Pakistan,"","",15th National Assembly,NA-160 Lodhran-I,,,,,,
Q18763766,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-155 (Lodhran-II),,,,,,
Q18763768,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18763768,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-243 (Karachi-V),,,,,,
Q18763782,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18763782,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,Constituency NA-128,,,,,,
Q18763792,Q20760546,Member of the National Assembly of Pakistan,"","",15th National Assembly,NA-197 Kashmor,,,,,,
Q18763792,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-210 (Kashmore),,,,,,
Q18763793,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18763793,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,reserved seat for Women,,,,,,
Q18763795,Q20760546,Member of the National Assembly of Pakistan,"","",15th National Assembly,NA-167 Bahawalnagar-II,,,,,,
Q18763795,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-189 (Bahawalnager-II),,,,,,
Q18763798,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-45 (Khyber Agency),,,,,,
Q18763799,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18763799,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-200 (Ghotki-I),,,,,,
Q18763800,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18763800,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-10 (Mardan-II),,,,,,
Q18763802,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18763802,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,reserved seat for Women,2015-08-12,,,,,
Q18763808,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18763808,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-09-26,14th National Assembly,NA-27 (Lakki Marwat),,,,,,
Q18763809,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18763809,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-72 (Mianwali-II),,,,,,
Q18763810,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18763810,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-03,14th National Assembly,reserved seat for Women,,,,,,
Q18763819,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18763819,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-08-30,14th National Assembly,NA-13 (Swabi-II),,,,,,
Q18763822,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18763822,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,reserved seat for Women,,,,,,
Q18763823,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18763823,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-111 (Sialkot-II),,,,,,
Q18763828,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18763828,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-231 (Jamshoro),,,,,,
Q18763829,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18763829,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-94 (Toba Tek Singh-III),,,,,,
Q18763830,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18763830,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-212 (Naushero Feroze-II),,,,,,
Q18763831,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-145 (Okara-III),,,,,,
Q18763833,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18763833,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-158 (Khanewal-III),,,,,,
Q18763834,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18763834,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-03,14th National Assembly,reserved seat for Women,,,,,,
Q18763836,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18763836,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,reserved seat for Women,,,,,,
Q18763843,Q20760546,Member of the National Assembly of Pakistan,"","",15th National Assembly,NA-84 Gujranwala-VI,,,,,,
Q18763843,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-100 (Gujranwala-VI),,,,,,
Q18763862,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18763862,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,reserved seat for Women,,,,,,
Q18763863,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18763863,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,reserved seat for Women,,,,,,
Q18763868,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18763868,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-05,14th National Assembly,reserved seat for Women,,,,,,
Q18763875,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18763875,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,reserved seats for minorities,,,,,,
Q18763876,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-36 (Mohmand Agency),,,,,,
Q18763878,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-43 (Bajaur Agency),,,,,,
Q18763941,Q20760546,Member of the National Assembly of Pakistan,"","",15th National Assembly,NA-111 Toba Tek Singh-I,,,,,,
Q18763941,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-92 (Toba Tek Singh-I),,,,,,
Q18763942,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18763942,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-107 (Gujrat-IV),,,,,,
Q18763943,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18763943,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-66 (Sargodha-III),,,,,,
Q18763944,Q20760546,Member of the National Assembly of Pakistan,"","",15th National Assembly,NA-153 Khanewal-IV,,,,,,
Q18763944,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-159 (Khanewal-IV),,,,,,
Q18763945,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18763945,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-106 (Gujrat-III),,,,,,
Q18763946,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18763946,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-62 (Jhelum-I),,,,,,
Q18763947,Q20760546,Member of the National Assembly of Pakistan,"","",15th National Assembly,NA-80 Gujranwala-II,,,,,,
Q18763947,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-97 (Gujranwala-III),,,,,,
Q18763948,Q20760546,Member of the National Assembly of Pakistan,"","",15th National Assembly,NA-148 Sahiwal-II,,,,,,
Q18763948,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-161 (Sahiwal-II),,,,,,
Q18763949,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18763949,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-79 (Faisalabad-V),,,,,,
Q18763950,Q20760546,Member of the National Assembly of Pakistan,"","",15th National Assembly,NA-141 Okara-I,,,,,,
Q18763950,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,Constituency NA-143,,,,,,
Q18763951,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18763951,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-167 (Vehari-I),,,,,,
Q18763958,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18763958,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-136 (Nankana Sahib-II-cum-Sheikhupura ),,,,,,
Q18763994,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18763994,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,reserved seats for minorities,,,,,,
Q18763999,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18763999,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-09-25,14th National Assembly,Constituency NA-25,,,,,,
Q18764047,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18764047,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-03,14th National Assembly,reserved seat for Women,,,,,,
Q18764048,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18764048,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-181 (Layyah-I),,,,,,
Q18764049,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18764049,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-05,14th National Assembly,NA-229 (Tharparkar-I),,,,,,
Q18764051,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18764051,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,reserved seat for Women,,,,,,
Q18764063,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18764063,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2014-08-04,14th National Assembly,reserved seat for Women,,,,,,
Q18764080,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18764080,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-41 (South Waziristan Agency),,,,,,
Q18764081,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-39 (Orakzai Agency),,,,,,
Q18764082,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18764082,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-203 (Sheikhupur-Cum-Sukkur-Cum-Larkana),,,,,,
Q18764083,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
