id,type,end_date,name__en,name__ur,name__ca,start_date,name__sd,name__bn
Q12782076,constituency of the National Assembly of Pakistan,2018-07-25,NA-127 (Lahore-X),حلقہ این اے۔127,,,,
Q12782092,constituency of the National Assembly of Pakistan,2018-07-25,NA-129 (Lahore-XII),حلقہ این اے۔129,,,,
Q12785883,constituency of the National Assembly of Pakistan,2018-07-25,NA-130 (Lahore-XIII),حلقہ این اے۔130,,,,
Q12809032,constituency of the National Assembly of Pakistan,2018-07-25,NA-104 (Gujrat-I),حلقہ این اے۔104,,,,
Q12809204,constituency of the National Assembly of Pakistan,2018-07-25,NA-105 (Gujrat-II),حلقہ این اے۔105,,,,
Q12809346,constituency of the National Assembly of Pakistan,2018-07-25,NA-106 (Gujrat-III),حلقہ این اے۔106,,,,
Q12809514,constituency of the National Assembly of Pakistan,2018-07-25,NA-107 (Gujrat-IV),حلقہ این اے۔107,,,,
Q12809700,constituency of the National Assembly of Pakistan,2018-07-25,NA-95 (Gujranwala-I),حلقہ این اے۔95,,,,
Q12809795,constituency of the National Assembly of Pakistan,2018-07-25,NA-96 (Gujranwala-II),حلقہ این اے۔96,,,,
Q12809941,constituency of the National Assembly of Pakistan,2018-07-25,NA-97 (Gujranwala-III),حلقہ این اے۔97,,,,
Q12810028,constituency of the National Assembly of Pakistan,2018-07-25,NA-98 (Gujranwala-IV),حلقہ این اے۔98,,,,
Q12810090,constituency of the National Assembly of Pakistan,2018-07-25,NA-99 (Gujranwala-V),حلقہ این اے۔99,,,,
Q12810202,constituency of the National Assembly of Pakistan,2018-07-25,NA-100 (Gujranwala-VI),حلقہ این اے۔100,,,,
Q12810327,constituency of the National Assembly of Pakistan,2018-07-25,NA-101 (Gujranwala-VII),حلقہ این اے۔101,,,,
Q12811243,constituency of the National Assembly of Pakistan,2018-07-25,NA-163 (Sahiwal-IV),حلقہ این اے۔163,,,,
Q12811412,constituency of the National Assembly of Pakistan,2018-07-25,NA-162 (Sahiwal-III),حلقہ این اے۔162,,,,
Q12811496,constituency of the National Assembly of Pakistan,2018-07-25,NA-161 (Sahiwal-II),حلقہ این اے۔161,,,,
Q12811630,constituency of the National Assembly of Pakistan,2018-07-25,NA-160 (Sahiwal-I),حلقہ این اے۔160,,,,
Q12811876,constituency of the National Assembly of Pakistan,2018-07-25,NA-159 (Khanewal-IV),حلقہ این اے۔159,,,,
Q12812000,constituency of the National Assembly of Pakistan,2018-07-25,NA-158 (Khanewal-III),حلقہ این اے۔158,,,,
Q12812171,constituency of the National Assembly of Pakistan,2018-07-25,NA-157 (Khanewal-II),حلقہ این اے۔157,,,,
Q12812302,constituency of the National Assembly of Pakistan,2018-07-25,NA-156 (Khanewal-I),حلقہ این اے۔156,,,,
Q12812432,constituency of the National Assembly of Pakistan,2018-07-25,NA-155 (Lodhran-II),حلقہ این اے۔155,,,,
Q12812533,constituency of the National Assembly of Pakistan,2018-07-25,NA-154 (Lodhran-I),حلقہ این اے۔154,,,,
Q12812717,constituency of the National Assembly of Pakistan,2018-07-25,NA-153 (Multan-VI),حلقہ این اے۔153,,,,
Q12812819,constituency of the National Assembly of Pakistan,2018-07-25,NA-152 (Multan-V),حلقہ این اے۔152,,,,
Q12812983,constituency of the National Assembly of Pakistan,2018-07-25,NA-151 (Multan-IV),حلقہ این اے۔151,,,,
Q12813087,constituency of the National Assembly of Pakistan,2018-07-25,NA-150 (Multan-III),حلقہ این اے۔150,,,,
Q12813089,constituency of the National Assembly of Pakistan,2018-07-25,NA-149 (Multan-II),حلقہ این اے۔149,,,,
Q12813092,constituency of the National Assembly of Pakistan,2018-07-25,NA-148 (Multan-I),حلقہ این اے۔148,,,,
Q12856787,constituency of the National Assembly of Pakistan,2018-07-25,NA-146 (Okara-IV),حلقہ این اے۔146,,,,
Q12857265,constituency of the National Assembly of Pakistan,2018-07-25,NA-192 (Rahim Yar Khan-I),حلقہ این اے۔192,,,,
Q12857269,constituency of the National Assembly of Pakistan,2018-07-25,NA-193 (Rahim Yar Khan-II),حلقہ این اے۔193,,,,
Q12857272,constituency of the National Assembly of Pakistan,,NA-194 Rajanpur-II,حلقہ این اے۔194,,2018-05-03,,
Q12857278,constituency of the National Assembly of Pakistan,2018-07-25,NA-195 (Rahim Yar Khan-IV),حلقہ این اے۔195,,,,
Q12857283,constituency of the National Assembly of Pakistan,2018-07-25,NA-196 (Rahim Yar Khan-V),حلقہ این اے۔196,,,,
Q12857292,constituency of the National Assembly of Pakistan,2018-07-25,NA-197 (Rahim Yar Khan-VI),حلقہ این اے۔197,,,,
Q12857301,constituency of the National Assembly of Pakistan,2018-07-25,NA-171 (Dera Ghazi Khan-I),حلقہ این اے۔171,,,,
Q12857304,constituency of the National Assembly of Pakistan,2018-07-25,NA-172 (Dera Ghazi Khan-II),حلقہ این اے۔172,,,,
Q12857306,constituency of the National Assembly of Pakistan,2018-07-25,NA-173 (Dera Ghazi Khan-III),حلقہ این اے۔173,,,,
Q12857316,constituency of the National Assembly of Pakistan,2018-07-25,NA-176 (Muzaffargarh-I),حلقہ این اے۔176,,,,
Q12857319,constituency of the National Assembly of Pakistan,2018-07-25,NA-177 (Muzaffargarh-II),حلقہ این اے۔177,,,,
Q12857327,constituency of the National Assembly of Pakistan,2018-07-25,NA-179 (Muzaffargarh-IV),حلقہ این اے۔179,,,,
Q12857329,constituency of the National Assembly of Pakistan,2018-07-25,NA-180 (Muzaffargarh-V),حلقہ این اے۔180,,,,
Q12857330,constituency of the National Assembly of Pakistan,2018-07-25,NA-183 (Bhawalpur-I),حلقہ این اے۔183,,,,
Q12857332,constituency of the National Assembly of Pakistan,2018-07-25,NA-184 (Bahawalpur-II),حلقہ این اے۔184,,,,
Q12857335,constituency of the National Assembly of Pakistan,2018-07-25,NA-185 (Bahawalpur-III),حلقہ این اے۔185,,,,
Q12857338,constituency of the National Assembly of Pakistan,2018-07-25,NA-186 (Bahawalpur-IV),حلقہ این اے۔186,,,,
Q12857342,constituency of the National Assembly of Pakistan,2018-07-25,NA-187 (Bahawalpur-V),حلقہ این اے۔172 (بہاولپورIII),,,,
Q12857344,constituency of the National Assembly of Pakistan,2018-07-25,NA-188 (Bahawalnager-I),حلقہ این اے۔188,,,,
Q12857347,constituency of the National Assembly of Pakistan,2018-07-25,NA-189 (Bahawalnager-II),حلقہ این اے۔189,,,,
Q12857348,constituency of the National Assembly of Pakistan,2018-07-25,NA-190 (Bahawalnagar-III),حلقہ این اے۔190,,,,
Q12857349,constituency of the National Assembly of Pakistan,2018-07-25,NA-191 (Bahawalnagar-IV),حلقہ این اے۔191,,,,
Q12857360,constituency of the National Assembly of Pakistan,2018-07-25,NA-131 (Sheikhupura-I),حلقہ این اے۔131,,,,
Q12857380,constituency of the National Assembly of Pakistan,2018-07-25,NA-135 (Nankana Sahib-I-cum-Sheikhupura),حلقہ این اے۔135,,,,
Q12857384,constituency of the National Assembly of Pakistan,2018-07-25,NA-136 (Nankana Sahib-II-cum-Sheikhupura ),حلقہ این اے۔136,,,,
Q12857388,constituency of the National Assembly of Pakistan,2018-07-25,NA-137 (Nankana Sahib-III),حلقہ این اے۔137,,,,
Q12857439,constituency of the National Assembly of Pakistan,2018-07-25,NA-239 (Karachi-I),حلقہ این اے۔239,,,,
Q12857440,constituency of the National Assembly of Pakistan,2018-07-25,NA-240 (Karachi-II),حلقہ این اے۔240,,,,
Q12857441,constituency of the National Assembly of Pakistan,2018-07-25,NA-241 (Karachi-III),حلقہ این اے۔241,,,,
Q12857443,constituency of the National Assembly of Pakistan,2018-07-25,NA-242 (Karachi-IV),حلقہ این اے۔242,,,,
Q12857446,constituency of the National Assembly of Pakistan,2018-07-25,NA-243 (Karachi-V),حلقہ این اے۔243,,,,
Q12857450,constituency of the National Assembly of Pakistan,2018-07-25,NA-244 (Karachi-VI),حلقہ این اے۔244,,,,
Q12857455,constituency of the National Assembly of Pakistan,2018-07-25,NA-245 (Karachi-VII),حلقہ این اے۔245,,,,
Q12857456,constituency of the National Assembly of Pakistan,2018-07-25,NA-246 (Karachi-VIII),حلقہ این اے۔246,,,,
Q12857459,constituency of the National Assembly of Pakistan,2018-07-25,NA-247 (Karachi-IX),حلقہ این اے۔247,,,,
Q12857465,constituency of the National Assembly of Pakistan,2018-07-25,NA-248 (Karachi-X),حلقہ این اے۔248,,,,
Q12857468,constituency of the National Assembly of Pakistan,2018-07-25,NA-249 (Karachi-XI),حلقہ این اے۔249,,,,
Q12857471,constituency of the National Assembly of Pakistan,2018-07-25,NA-250 (Karachi-XII),حلقہ این اے۔247 (جنوبی کراچی-2),,,,
Q12857473,constituency of the National Assembly of Pakistan,2018-07-25,NA-251 (Karachi-XIII),حلقہ این اے۔251,,,,
Q12857474,constituency of the National Assembly of Pakistan,2018-07-25,NA-252 (Karachi-XIV),حلقہ این اے۔252,,,,
Q12857475,constituency of the National Assembly of Pakistan,2018-07-25,NA-253 (Karachi-XV),حلقہ این اے۔253,,,,
Q12857477,constituency of the National Assembly of Pakistan,2018-07-25,NA-254 (Karachi-XVI),حلقہ این اے۔254,,,,
Q12857478,constituency of the National Assembly of Pakistan,2018-07-25,NA-255 (Karachi-XVII),حلقہ این اے۔255,,,,
Q12857480,constituency of the National Assembly of Pakistan,2018-07-25,NA-256 (Karachi-XVIII),حلقہ این اے۔256,,,,
Q12857482,constituency of the National Assembly of Pakistan,2018-07-25,NA-257 (Karachi-XIX),حلقہ این اے۔257,,,,
Q12857483,constituency of the National Assembly of Pakistan,2018-07-25,NA-258 (Karachi-XX),حلقہ این اے۔258,,,,
Q12857566,constituency of the National Assembly of Pakistan,2018-07-25,NA-145 (Okara-III),حلقہ این اے۔145,,,,
Q12857639,constituency of the National Assembly of Pakistan,2018-07-25,NA-140 (Kasur-III),حلقہ این اے۔140,,,,
Q12857731,constituency of the National Assembly of Pakistan,2018-07-25,NA-139 (Kasur-II),حلقہ این اے۔139,,,,
Q12857901,constituency of the National Assembly of Pakistan,2018-07-25,NA-138 (Kasur-I-cum-Lahore),حلقہ این اے۔138,,,,
Q12858066,constituency of the National Assembly of Pakistan,2018-07-25,NA-182 (Layyah-II),حلقہ این اے۔182,,,,
Q12858216,constituency of the National Assembly of Pakistan,2018-07-25,NA-181 (Layyah-I),حلقہ این اے۔181,,,,
Q12858419,constituency of the National Assembly of Pakistan,2018-07-25,NA-175 (Rajanpur-II),حلقہ این اے۔175,,,,
Q12902844,constituency of the National Assembly of Pakistan,2018-07-25,NA-174 (Rajanpur-I),حلقہ این اے۔174,,,,
Q12902858,constituency of the National Assembly of Pakistan,2018-07-25,NA-110 (Sialkot-I),حلقہ این اے۔110,,,,
Q12902860,constituency of the National Assembly of Pakistan,2018-07-25,NA-111 (Sialkot-II),حلقہ این اے۔111,,,,
Q12902862,constituency of the National Assembly of Pakistan,2018-07-25,NA-112 (Sialkot-III),حلقہ این اے۔112,,,,
Q12902864,constituency of the National Assembly of Pakistan,2018-07-25,NA-113 (Sialkot-IV),حلقہ این اے۔113,,,,
Q12911326,constituency of the National Assembly of Pakistan,2018-07-25,NA-114 (Sialkot-V),حلقہ این اے۔114,,,,
Q12912228,constituency of the National Assembly of Pakistan,2018-07-25,NA-115 (Narowal-I),حلقہ این اے۔115,,,,
Q12912232,constituency of the National Assembly of Pakistan,2018-07-25,NA-116 (Narowal-II),حلقہ این اے۔116,,,,
Q12912238,constituency of the National Assembly of Pakistan,2018-07-25,NA-117 (Narowal-III),حلقہ این اے۔117,,,,
Q12912852,constituency of the National Assembly of Pakistan,2018-07-25,NA-259 (Quetta),حلقہ این اے۔259,,,,
Q12912865,constituency of the National Assembly of Pakistan,2018-07-25,NA-260 (Quetta-cum-Chagai-cum-Nushki-cum-Mastung),حلقہ این اے۔260,,,,
Q12912868,constituency of the National Assembly of Pakistan,2018-07-25,NA-261 (Pishin-cum-Ziarat),حلقہ این اے۔261,,,,
Q12912963,constituency of the National Assembly of Pakistan,2018-07-25,NA-262 (Killa Abdullah),حلقہ این اے۔262,,,,
Q12973083,constituency of the National Assembly of Pakistan,2018-07-25,NA-263 (Loralai-cum-Musakhel-cum-Barkhan),حلقہ این اے۔263,,,,
Q12973085,constituency of the National Assembly of Pakistan,2018-07-25,NA-264 (Zhob-cum-Sherani-cum-Killa Saifullah),حلقہ این اے۔264,,,,
Q12973086,constituency of the National Assembly of Pakistan,2018-07-25,NA-265 (Sibi-cum-Kohlu-cum-Dera Bugti-cum-Harani),حلقہ این اے۔265,,,,
Q12973087,constituency of the National Assembly of Pakistan,2018-07-25,NA-266 (Nasirabad-cum-Jaffarabad),حلقہ این اے۔266,,,,
Q12978780,constituency of the National Assembly of Pakistan,2018-07-25,NA-267 (Kachhi-cum-Jhal Magsi),حلقہ این اے۔267,,,,
Q12978899,constituency of the National Assembly of Pakistan,2018-07-25,NA-268 (Kalat-cum-Mastung),حلقہ این اے۔268,,,,
Q12979181,constituency of the National Assembly of Pakistan,2018-07-25,NA-269 (Khuzdar),حلقہ این اے۔269,,,,
Q12979281,constituency of the National Assembly of Pakistan,2018-07-25,NA-270 (Awaran-cum-Lasbela),این اے 270 (آوران مع لسبیلہ),,,,
Q12979548,constituency of the National Assembly of Pakistan,2018-07-25,NA-271 (Kharan-cum-Washuk-cum-Panjgur),حلقہ این اے۔271,,,,
Q12979907,constituency of the National Assembly of Pakistan,2018-07-25,NA-272 (Kech-cum-Gwadar),حلقہ این اے۔272,,,,
Q13034011,constituency of the National Assembly of Pakistan,2018-07-25,NA-218 (Matiari-cum-Hyderabad),حلقہ این اے۔218,,,تڪ اين اي 223,
Q13034018,constituency of the National Assembly of Pakistan,2018-07-25,NA-219 (Hyderabad-I),حلقہ این اے۔219,,,,
Q13034021,constituency of the National Assembly of Pakistan,2018-07-25,NA-220 (Hyderabad-II),حلقہ این اے۔220,,,,
Q13034029,constituency of the National Assembly of Pakistan,2018-07-25,NA-221 (Hyderabad-cum-Matiari),حلقہ این اے۔221,,,,
Q13034033,constituency of the National Assembly of Pakistan,2018-07-25,NA-222 (Tando Muhammad Khan-cum-Hyderabad-cum-Badin),حلقہ این اے۔222,,,,
Q13034040,constituency of the National Assembly of Pakistan,2018-07-25,NA-223 (Tando Allahyar-cum-Matiari),حلقہ این اے۔223,,,,
Q13092973,constituency of the National Assembly of Pakistan,2018-07-25,NA-68 (Sargodha-V),حلقہ این اے۔68,,,,
Q13099851,constituency of the National Assembly of Pakistan,2018-07-25,NA-92 (Toba Tek Singh-I),حلقہ این اے۔92,,,,
Q13099855,constituency of the National Assembly of Pakistan,2018-07-25,NA-93 (Toba Tek Singh-II),حلقہ این اے۔93,,,,
Q13099860,constituency of the National Assembly of Pakistan,2018-07-25,NA-94 (Toba Tek Singh-III),حلقہ این اے۔94,,,,
Q13099902,constituency of the National Assembly of Pakistan,2018-07-25,NA-102 (Hafizabad-I),حلقہ این اے۔102,,,,
Q13099909,constituency of the National Assembly of Pakistan,2018-07-25,NA-103 (Hafizabad-II),حلقہ این اے۔103,,,,
Q13099916,constituency of the National Assembly of Pakistan,2018-07-25,NA-109 (Mandi Bahauddin-II),حلقہ این اے۔109,,,,
Q13100043,constituency of the National Assembly of Pakistan,2018-07-25,NA-198 (Sukkur-cum-Shikarpur-I),حلقہ این اے۔198,,,,
Q13100065,constituency of the National Assembly of Pakistan,2018-07-25,NA-199 (Sukkur-cum-Shikarpur-II),حلقہ این اے۔199,,,,
Q13100067,constituency of the National Assembly of Pakistan,2018-07-25,NA-200 (Ghotki-I),حلقہ این اے۔200,,,,
Q13100068,constituency of the National Assembly of Pakistan,2018-07-25,NA-201 (Ghotki-II),حلقہ این اے۔201,,,,
Q13100209,constituency of the National Assembly of Pakistan,2018-07-25,NA-202 (Shikarpur),حلقہ این اے۔202,,,,
Q13100347,constituency of the National Assembly of Pakistan,2018-07-25,NA-203 (Sheikhupur-Cum-Sukkur-Cum-Larkana),حلقہ این اے۔203,,,,
Q13100353,constituency of the National Assembly of Pakistan,2018-07-25,NA-204 (Larkana),حلقہ این اے۔204,,,,
Q13100355,constituency of the National Assembly of Pakistan,2018-07-25,NA-205 (Larkana-cum-Qambar Shahdadkot),حلقہ این اے۔205,,,,
Q13100359,constituency of the National Assembly of Pakistan,2018-07-25,NA-206 (Qambar Shahdadkot),حلقہ این اے۔206,,,,
Q13100373,constituency of the National Assembly of Pakistan,2018-07-25,NA-207 (Larkana-cum-Sheikhupur-cum-Qambar Shahdadkot),حلقہ این اے۔207,,,,
Q13100374,constituency of the National Assembly of Pakistan,2018-07-25,NA-208 (Jacobabad),حلقہ این اے۔208,,,,
Q13100375,constituency of the National Assembly of Pakistan,2018-07-25,NA-209 (Jacobabad-cum-Kashmore),حلقہ این اے۔209,,,,
Q13100381,constituency of the National Assembly of Pakistan,2018-07-25,NA-211 (Naushero Feroze-I),حلقہ این اے۔211,,,,
Q13100385,constituency of the National Assembly of Pakistan,2018-07-25,NA-212 (Naushero Feroze-II),حلقہ این اے۔212,,,,
Q13100387,constituency of the National Assembly of Pakistan,2018-07-25,NA-213 (Nawabshah-I),حلقہ این اے۔213,,,,
Q13100389,constituency of the National Assembly of Pakistan,2018-07-25,NA-214 (Nawabshah-II),حلقہ این اے۔214,,,,
Q13100392,constituency of the National Assembly of Pakistan,2018-07-25,NA-215 (Khairpur-I),حلقہ این اے۔215,,,,
Q13100400,constituency of the National Assembly of Pakistan,2018-07-25,NA-216 (Khairpur-II),حلقہ این اے۔216,,,,
Q13100487,constituency of the National Assembly of Pakistan,2018-07-25,NA-217 (Khairpur-III),حلقہ این اے۔217,,,,
Q13100663,constituency of the National Assembly of Pakistan,2018-07-25,NA-224 (Badin-cum-Tando Muhammad Khan-I),حلقہ این اے۔224,,,,
Q13100842,constituency of the National Assembly of Pakistan,2018-07-25,NA-225 (Badin-cum-Tando Muhammad Khan-II),حلقہ این اے۔225,,,,
Q13100975,constituency of the National Assembly of Pakistan,2018-07-25,NA-226 (Mirpur Khas-cum-Umerkot-I),حلقہ این اے۔226,,,,
Q13101060,constituency of the National Assembly of Pakistan,2018-07-25,NA-227 (Mirpur Khas-cum-Umerkot-II),حلقہ این اے۔227,,,,
Q13101169,constituency of the National Assembly of Pakistan,2018-07-25,NA-228 (Umerkot),حلقہ این اے۔228,,,,
Q13101249,constituency of the National Assembly of Pakistan,2018-07-25,NA-229 (Tharparkar-I),حلقہ این اے۔229,,,,
Q13101323,constituency of the National Assembly of Pakistan,2018-07-25,NA-230 (Tharparkar-II),حلقہ این اے۔230,,,,
Q13101342,constituency of the National Assembly of Pakistan,2018-07-25,NA-231 (Jamshoro),حلقہ این اے۔231,,,,
Q13101354,constituency of the National Assembly of Pakistan,2018-07-25,NA-232 (Dadu-I),حلقہ این اے۔232,,,,
Q13101650,constituency of the National Assembly of Pakistan,2018-07-25,NA-233 (Dadu-II),حلقہ این اے۔233,,,,
Q13102008,constituency of the National Assembly of Pakistan,2018-07-25,NA-234 (Sanghar-I),حلقہ این اے۔234,,,,
Q13102320,constituency of the National Assembly of Pakistan,2018-07-25,NA-235 (Sanghar-cum-Mirpurkhas-cum-Umerkot),حلقہ این اے۔235,,,,
Q13102772,constituency of the National Assembly of Pakistan,2018-07-25,NA-236 (Sanghar-II),حلقہ این اے۔236,,,,
Q13103363,constituency of the National Assembly of Pakistan,2018-07-25,NA-237 (Thatta-I),حلقہ این اے۔237,,,,
Q13103821,constituency of the National Assembly of Pakistan,2018-07-25,NA-238 (Thatta-II),حلقہ این اے۔238,,,,
Q13211679,constituency of the National Assembly of Pakistan,2018-07-25,NA-14 (Kohat),حلقہ این اے۔14,,,,
Q13211680,constituency of the National Assembly of Pakistan,2018-07-25,NA-17 (Abbottabad-I),حلقہ این اے۔17,,,,
Q13211681,constituency of the National Assembly of Pakistan,2018-07-25,NA-15 (Karak),حلقہ این اے۔15,,,,
Q13211682,constituency of the National Assembly of Pakistan,2018-07-25,NA-13 (Swabi-II),حلقہ این اے۔13,,,,
Q13211684,constituency of the National Assembly of Pakistan,2018-07-25,NA-210 (Kashmore),حلقہ این اے۔210,,,,
Q13211686,constituency of the National Assembly of Pakistan,2018-07-25,NA-18 (Abbottabad-II),حلقہ این اے 18,,,,
Q13211687,constituency of the National Assembly of Pakistan,2018-07-25,NA-19 (Haripur),حلقہ این اے۔19,,,,
Q13211688,constituency of the National Assembly of Pakistan,2018-07-25,NA-21 (Mansehra-cum-Tor Ghar),حلقہ این اے۔21,,,,
Q13211691,constituency of the National Assembly of Pakistan,2018-07-25,NA-24 (Dera Ismail Khan),حلقہ این اے۔24,,,,
Q13211692,constituency of the National Assembly of Pakistan,2018-07-25,NA-23 (Kohistan),حلقہ این اے۔23,,,,
Q13211693,constituency of the National Assembly of Pakistan,2018-07-25,NA-26 (Bannu),حلقہ این اے۔26,,,,
Q13211694,constituency of the National Assembly of Pakistan,2018-07-25,NA-28 (Buner),حلقہ این اے۔28,,,,
Q13211695,constituency of the National Assembly of Pakistan,2018-07-25,NA-30 (Swat-II),حلقہ این اے۔30,,,,
Q13211696,constituency of the National Assembly of Pakistan,2018-07-25,NA-32 (Chitral),حلقہ این اے۔32,,,,
Q13211697,constituency of the National Assembly of Pakistan,2018-07-25,NA-29 (Swat-I),حلقہ این اے۔29,,,,
Q13211698,constituency of the National Assembly of Pakistan,2018-07-25,NA-27 (Lakki Marwat),حلقہ این اے۔27,,,,
Q13211699,constituency of the National Assembly of Pakistan,2018-07-25,NA-33 (Upper Dir-cum-Lower Dir),حلقہ این اے۔33,,,,
Q16319206,constituency of the National Assembly of Pakistan,2018-07-25,NA-20 (Mansehra-I),حلقہ این اے۔20,,,,
Q33513293,constituency of the National Assembly of Pakistan,,reserved seat for Women,خواتین کے لیے مخصوص نشست,,,,মহিলাদের জন্য সংরক্ষিত আসন
Q33513308,constituency of the National Assembly of Pakistan,,reserved seats for minorities,اقلیتوں کے لئے مخصوص نشست,,,,
Q5163959,constituency of the National Assembly of Pakistan,2018-07-25,NA-1 (Peshawar-I),حلقہ این اے۔1,,,,
Q5163960,constituency of the National Assembly of Pakistan,2018-07-25,NA-10 (Mardan-II),حلقہ این اے۔10,,,,
Q5163961,constituency of the National Assembly of Pakistan,2018-07-25,NA-108 (Mandi Bahauddin-I),حلقہ این اے۔108,,,,
Q5163962,constituency of the National Assembly of Pakistan,2018-07-25,NA-11 (Mardan-III),حلقہ این اے۔11,,,,
Q5163964,constituency of the National Assembly of Pakistan,2018-07-25,NA-12 (Swabi-I),حلقہ این اے۔12,,,,
Q5163970,constituency of the National Assembly of Pakistan,2018-07-25,NA-16 (Hangu),حلقہ این اے۔16,,,,
Q5163975,constituency of the National Assembly of Pakistan,2018-07-25,NA-2 (Peshawar-II),حلقہ این اے۔2,,,,
Q5163979,constituency of the National Assembly of Pakistan,2018-07-25,NA-22 (Battagram),حلقہ این اے۔22,,,,
Q5163987,constituency of the National Assembly of Pakistan,2018-07-25,NA-3 (Peshawar-III),حلقہ این اے۔3,,,,
Q5163989,constituency of the National Assembly of Pakistan,2018-07-25,NA-31 (Shangla),حلقہ این اے۔31,,,,
Q5163993,constituency of the National Assembly of Pakistan,2018-07-25,NA-34 (Lower Dir),حلقہ این اے۔34,,,,
Q5163994,constituency of the National Assembly of Pakistan,2018-07-25,NA-35 (Malakand),حلقہ این اے۔35,,,,
Q5163995,constituency of the National Assembly of Pakistan,2018-07-25,NA-36 (Mohmand Agency),حلقہ این اے۔36,,,,
Q5163996,constituency of the National Assembly of Pakistan,2018-07-25,NA-37 (Kurram Agency),حلقہ این اے۔37,,,,
Q5163997,constituency,2018-07-25,NA-38 (Kurram Agency),حلقہ این اے۔38,,,,
Q5163998,constituency of the National Assembly of Pakistan,2018-07-25,NA-39 (Orakzai Agency),حلقہ این اے۔39,,,,
Q5163999,constituency of the National Assembly of Pakistan,2018-07-25,NA-4 (Peshawar-IV),حلقہ این اے۔4,,,,
Q5164000,constituency of the National Assembly of Pakistan,2018-07-25,NA-40 (North Waziristan Agency),حلقہ این اے۔40,,,,
Q5164001,constituency of the National Assembly of Pakistan,2018-07-25,NA-41 (South Waziristan Agency),حلقہ این اے۔41,,,,
Q5164003,constituency of the National Assembly of Pakistan,2018-07-25,NA-42 (South Waziristan Agency),حلقہ این اے۔42,,,,
Q5164004,constituency of the National Assembly of Pakistan,2018-07-25,NA-43 (Bajaur Agency),حلقہ این اے۔43,,,,
Q5164005,constituency of the National Assembly of Pakistan,2018-07-25,NA-44 (Bajaur Agency),حلقہ این اے۔44,,,,
Q5164006,constituency of the National Assembly of Pakistan,2018-07-25,NA-45 (Khyber Agency),حلقہ این اے۔45,,,,
Q5164007,constituency of the National Assembly of Pakistan,2018-07-25,NA-46 (Khyber Agency),حلقہ این اے۔46,,,,
Q5164008,constituency of the National Assembly of Pakistan,2018-07-25,NA-47 (Frontier Regions),حلقہ این اے۔47,,,,
Q5164009,constituency of the National Assembly of Pakistan,2018-07-25,NA-48 (Islamabad-I),حلقہ این اے۔48,,,,
Q5164010,constituency of the National Assembly of Pakistan,2018-07-25,NA-49 (Islamabad-II),حلقہ این اے۔49,,,,
Q5164011,constituency of the National Assembly of Pakistan,2018-07-25,NA-5 (Nowshera-I),حلقہ این اے۔5,,,,
Q5164012,constituency of the National Assembly of Pakistan,2018-07-25,NA-50 (Rawalpindi-I),حلقہ این اے۔50,,,,
Q5164013,constituency of the National Assembly of Pakistan,2018-07-25,NA-51 (Rawalpindi-II),حلقہ این اے۔51,,,,
Q5164014,constituency of the National Assembly of Pakistan,2018-07-25,NA-52 (Rawalpindi-III),حلقہ این اے۔52,,,,
Q5164015,constituency of the National Assembly of Pakistan,2018-07-25,NA-53 (Rawalpindi-IV),حلقہ این اے۔53,,,,
Q5164016,constituency of the National Assembly of Pakistan,2018-07-25,NA-54 (Rawalpindi-V),حلقہ این اے۔54,,,,
