name,region,area_id,area,party,term,source
Jean Fenel THANIS,DÉPARTEMENT du SUD,ocd-division/country:ht/departement:sud/arrondissement:cayes/circonscription:1,Cayes et l’Ile à Vaches,REPONS PEYIZAN,2011,https://www.haiti-reference.com/pages/plan/politique/pouvoir-legislatif/49eme-legislature/
Jean René LOCHARD,DÉPARTEMENT de l’OUEST,ocd-division/country:ht/departement:ouest/arrondissement:port-au-prince/circonscription:2,Zone Est (2),KONBIT,2011,https://www.haiti-reference.com/pages/plan/politique/pouvoir-legislatif/49eme-legislature/
Jean Rigaud BÉLIZAIRE,DÉPARTEMENT de la GRANDE ANSE,ocd-division/country:ht/departement:grande_anse/arrondissement:jérémie/circonscription:2,Abricot et Bonbon,INITE,2011,https://www.haiti-reference.com/pages/plan/politique/pouvoir-legislatif/49eme-legislature/
Jean Romélus LISMA,DÉPARTEMENT du SUD,ocd-division/country:ht/departement:sud/arrondissement:chardonnières/circonscription:1,Chardonnières et les Anglais,LIBÉRATION,2011,https://www.haiti-reference.com/pages/plan/politique/pouvoir-legislatif/49eme-legislature/
Jean Ronald OSCAR,DÉPARTEMENT de l’OUEST,ocd-division/country:ht/departement:ouest/arrondissement:port-au-prince/circonscription:9,Gressier,ALTERNATIVE,2011,https://www.haiti-reference.com/pages/plan/politique/pouvoir-legislatif/49eme-legislature/
Jean Rupert LAFOREST,DÉPARTEMENT de la GRANDE ANSE,ocd-division/country:ht/departement:grande_anse/arrondissement:jérémie/circonscription:1,Jérémie,INITE,2011,https://www.haiti-reference.com/pages/plan/politique/pouvoir-legislatif/49eme-legislature/
Jean Tholbert ALEXIS,DÉPARTEMENT de l’OUEST,ocd-division/country:ht/departement:ouest/arrondissement:croix_des_bouquets/circonscription:1,Croix des Bouquets et Thomazeau,ANSANM NOU FÒ,2011,https://www.haiti-reference.com/pages/plan/politique/pouvoir-legislatif/49eme-legislature/
Jean-Dany DUVERT,DÉPARTEMENT de l’OUEST,ocd-division/country:ht/departement:ouest/arrondissement:arcahaie/circonscription:1,Arcahaie,INITE,2011,https://www.haiti-reference.com/pages/plan/politique/pouvoir-legislatif/49eme-legislature/
Jean-Pierre ROSSINI,DÉPARTEMENT du SUD-EST,ocd-division/country:ht/departement:sud-est/arrondissement:belle_anse/circonscription:1,Belle Anse,INITE,2011,https://www.haiti-reference.com/pages/plan/politique/pouvoir-legislatif/49eme-legislature/
Jobes Jolicaire MICHEL,DÉPARTEMENT du NORD,ocd-division/country:ht/departement:nord/arrondissement:acul_du_nord/circonscription:1,Acul du Nord,ALTERNATIVE,2011,https://www.haiti-reference.com/pages/plan/politique/pouvoir-legislatif/49eme-legislature/
Jodson Leroy ROSEMOND,DÉPARTEMENT de l’ARTIBONITE,ocd-division/country:ht/departement:artibonite/arrondissement:gros_morne/circonscription:2,Anse Rouge et Terre Neuve,INDÉP.,2011,https://www.haiti-reference.com/pages/plan/politique/pouvoir-legislatif/49eme-legislature/
Joseph Benoit LAGUERRE,DÉPARTEMENT du SUD,ocd-division/country:ht/departement:sud/arrondissement:port-salut/circonscription:2,St Jean du Sud et d’Arniquet,AAA,2011,https://www.haiti-reference.com/pages/plan/politique/pouvoir-legislatif/49eme-legislature/
Joseph Franck LAPORTE,DÉPARTEMENT de l’OUEST,ocd-division/country:ht/departement:ouest/arrondissement:léogâne/circonscription:3,Grand-Goâve,ANSANM NOU FÒ,2011,https://www.haiti-reference.com/pages/plan/politique/pouvoir-legislatif/49eme-legislature/
Joseph Martial DÉPAS,DÉPARTEMENT de l’OUEST,ocd-division/country:ht/departement:ouest/arrondissement:arcahaie/circonscription:2,Cabaret,AAA,2011,https://www.haiti-reference.com/pages/plan/politique/pouvoir-legislatif/49eme-legislature/
Joseph PATRICK,DÉPARTEMENT de l’ARTIBONITE,ocd-division/country:ht/departement:artibonite/arrondissement:marmelade/circonscription:1,Marmelade et St Michel,INITE,2011,https://www.haiti-reference.com/pages/plan/politique/pouvoir-legislatif/49eme-legislature/
Joseph Wilbert DESHOMMES,DÉPARTEMENT de l’ARTIBONITE,ocd-division/country:ht/departement:artibonite/arrondissement:dessalines/circonscription:3,Grande Saline,INITE,2011,https://www.haiti-reference.com/pages/plan/politique/pouvoir-legislatif/49eme-legislature/
Jude Charles FAUSTIN,DÉPARTEMENT du NORD,ocd-division/country:ht/departement:nord/arrondissement:borgne/circonscription:1,Borgne et Port-Margot,KONBIT,2011,https://www.haiti-reference.com/pages/plan/politique/pouvoir-legislatif/49eme-legislature/
