id,name,gender,party,party_id,constituency,source,term
40,Martinha Januário Benfica,female,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,NAMPULA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
41,Carlos Moreira Vasco,male,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,NAMPULA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
42,Elisa Amina Amisse Timóteo,female,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,NAMPULA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
43,Agostinho José Lobato,male,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,NAMPULA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
44,Marquita Alexandre Loforte Jaime,female,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,NAMPULA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
45,Domingos Cintura,male,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,NAMPULA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
46,Isaura da Uaitura Albino,female,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,NAMPULA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
47,Domingos Gabriel Tavira,male,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,NAMPULA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
48,Jemusse Amido Lada,male,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,NAMPULA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
49,José Candugua António Pacheco,male,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,ZAMBEZIA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
50,Deolinda Catarina João Chochoma,female,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,ZAMBEZIA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
51,Sérgio José Camunga Pantie,male,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,ZAMBEZIA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
52,Aisácia João Chochoma,female,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,ZAMBEZIA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
53,Hélder Ernesto Injojo,male,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,ZAMBEZIA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
54,Maria Helena,female,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,ZAMBEZIA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
55,Lourenço César Sufria,male,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,ZAMBEZIA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
56,Celmira Irene Melo Xavier,female,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,ZAMBEZIA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
57,Caifadine Paulo Manasse,male,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,ZAMBEZIA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
58,Nyeleti Brooke Mondlane,female,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,ZAMBEZIA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
59,Jacinto Gabriel Lourenço Inácio Capito,male,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,ZAMBEZIA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
60,Aida Maria Soares,female,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,ZAMBEZIA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
61,Damião José,male,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,ZAMBEZIA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
62,Joana Simão,female,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,ZAMBEZIA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
63,Fernando José Namacua,male,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,ZAMBEZIA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
64,Ássia Paulo Cipriano Abudo Ali,female,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,ZAMBEZIA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
65,Carimo Freitas de Oliveira,male,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,ZAMBEZIA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
66,Joaquim Veríssimo,male,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,ZAMBEZIA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
67,Chrispen Matches,male,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,TETE,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
68,Margarida Adamugy Talapa,female,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,TETE,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
69,Manuel Vasconcelos E. Manuel Maria,male,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,TETE,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
70,Ana Antónia Henrique Dimitri,female,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,TETE,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
71,Hermenegildo Santana Chimarizene,male,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,TETE,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
72,Maria Marta Mateus Fernando,female,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,TETE,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
73,Matias José Matias Nhongue,male,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,TETE,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
74,Victória Dias Diogo,female,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,TETE,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
75,Ana Paula Victorino J. P. da Graça,female,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,TETE,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
76,Joana Anacleto Vasco,female,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,TETE,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
77,Alice Caetano Tomás,female,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,TETE,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
78,Costa Francisco Chale,male,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,MANICA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
79,Alcina António de Abreu,female,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,MANICA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
80,Amilcar José Hussein,male,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,MANICA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
81,Helena da Glória Muando,female,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,MANICA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
82,António José Amélia,male,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,MANICA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
83,Eva José Mangaze,female,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,MANICA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
84,Francisca Domingos Tomás,female,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,MANICA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
85,Ester Epifánio Plaze,female,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,MANICA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
86,Alberto Joaquim Chipande,male,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,SOFALA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
87,Lina Francisco Fafetine Ofiço,female,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,SOFALA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
88,Jaime Bessa Augusto Neto,male,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,SOFALA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
89,Isaura António Júlio,female,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,SOFALA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
90,Agostinho Gomes Chipindula,male,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,SOFALA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
91,Cemilde Amélia Muchanga,female,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,SOFALA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
92,Zezinho Ricardo José,male,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,SOFALA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
93,Antónia Simão Paulo Charre,female,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,SOFALA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
94,Eneas da Conceição Comiche,male,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,INHAMBANE,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
95,Ana Rita Geremias Sithole,female,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,INHAMBANE,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
96,Aires Bonifácio Baptista Aly,male,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,INHAMBANE,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
97,Sara Mamudo Abdula Vassanegy,female,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,INHAMBANE,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
98,Severiano Romão Khoy,male,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,INHAMBANE,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
99,Emília Alfredo Pereira,female,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,INHAMBANE,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
100,Valdemiro de G. Pascoal Nhancengo,male,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,INHAMBANE,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
101,Jerónima Agostinho,female,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,INHAMBANE,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
102,Gildo Fortunato Elias Muaga,male,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,INHAMBANE,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
103,Jovial Setina Mutombene M. da Cruz,male,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,INHAMBANE,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
104,Filipe Jaime,male,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,INHAMBANE,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
105,Gonçalves Maceda,male,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,INHAMBANE,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
106,Alberto Clementino António Vaquina,male,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,GAZA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
107,Laura Fernanda Souto,female,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,GAZA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
108,Edson da Graça Francisco Macuacua,male,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,GAZA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
109,Margarida Sebastião Mapandzene Chongo,female,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,GAZA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
110,Daniel João Matavele,male,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,GAZA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
111,Ofélia Timóteo Mutombene,female,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,GAZA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
112,Alves Jordão Zita,male,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,GAZA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
113,Olinda Francisco Langa Mith,female,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,GAZA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
114,Justino Paulo Langa,male,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,GAZA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
115,Ricardina Suia Albano Mazive,female,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,GAZA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
116,Emídio Benjamim Xavier,male,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,GAZA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
117,Regina Macuacua Muchanga,female,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,GAZA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
118,Agostinho Zacarias Vuma,male,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,GAZA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
119,Lúcia Pedro Mafuaine,female,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,GAZA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
120,José Bento Coffe Mutsanhe,male,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,MAPUTO PROVINCIA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
121,Verónica Nataniel Macamo Dlhovo,female,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,MAPUTO PROVINCIA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
122,Edmundo Galiza Dimande Matos,male,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,MAPUTO PROVINCIA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
123,Telmina Manuel Paixão Pinho Pereira,female,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,MAPUTO PROVINCIA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
124,Faruk Osman,male,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,MAPUTO PROVINCIA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
125,Valentina Justa Puchar Mtumuke,female,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,MAPUTO PROVINCIA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
126,Abdul Gafur Mamade Hossene Issufo,male,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,MAPUTO PROVINCIA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
127,Joana Muchanga Mondlana,female,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,MAPUTO PROVINCIA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
128,Manuel Chang,male,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,MAPUTO PROVINCIA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
129,Antónia Rufino Cara-alegre Tembe,female,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,MAPUTO PROVINCIA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
130,Nilza Henguissere Narciso,female,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,MAPUTO PROVINCIA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
131,Beatriz Mário Chaguala,female,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,MAPUTO PROVINCIA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
132,António Rosário Niquice,male,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,MAPUTO CIDADE,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
133,Conceita Ernesto Xavier Sortane,female,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,MAPUTO CIDADE,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
134,Hermenegildo Mateus Infante,male,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,MAPUTO CIDADE,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
135,Isidora da Esperança Faztudo,female,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,MAPUTO CIDADE,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
136,Danilo Aly Teixeira,male,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,MAPUTO CIDADE,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
137,Helena Jacinto Música,female,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,MAPUTO CIDADE,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
138,Buanar Muhamede,male,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,MAPUTO CIDADE,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
139,Esmeralda Aurélio Mutemba,female,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,MAPUTO CIDADE,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
140,António Hama Thai,male,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,MAPUTO CIDADE,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
141,Margarida Manuel Salimo,female,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,MAPUTO CIDADE,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
142,Pedro Frederico Cossa,male,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,MAPUTO CIDADE,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
