name,area,party,term,source,area_id,gender,age
Keketso 'Manthabiseng Rants'o,Proportional Representation,RCL,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,"",,
Keketso Utloang Sello,Hlotse,ABC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,13,male,43
Khotso Elias Letsatsi,Likhoele,DC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,53,male,53
Kimetso Mathaba,Proportional Representation,NIP,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,"",,
Kose Julius Makoa,Proportional Representation,DC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,"",,
Kotiti Lawson Diholo,Maletsunyane,DC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,47,male,53
Leboea Mothuku,Qalo,ABC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,4,male,60
Lechoo D. Setenane,Proportional Representation,ABC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,"",,
Lefu Clement Hlomelang,'Makhoroana,ABC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,20,male,54
Lehlohonolo Hlapisi,Maliepetsane,DC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,51,male,48
Lehlohonolo Moramotse,Lithoteng,ABC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,35,male,54
Lejaka Lesoma,Proportional Representation,LCD,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,"",,
Lekhetho Mosito,Likhetlane,ABC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,16,male,55
Lekhetho Rakuoane,Proportional Representation,PFD,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,"",,
Lesego Casayel Makgothi,Maseru,ABC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,32,male,49
Leshoboro Mohlajoa,Malimong,ABC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,22,male,48
Lesojane F. Leuta,Proportional Representation,BNP,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,"",,
Lethusang Daniel Kompi,Qaqatu,DC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,60,male,55
Likeleli Tampane -   Monare,Senqu,DC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,78,female,40
Likopo Remington Mahase,Khubetsoana,ABC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,28,male,45
Lineo Irene Molise,Proportional Representation,DC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,"",,
Liteboho Kompi,Proportional Representation,LCD,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,"",,
Lits'oane Lits'oane,Bela-Bela,ABC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,21,male,62
Mabatsoeneng E. Sibolla,Proportional Representation,ABC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,"",,
Mafako Molefe,Proportional Representation,LCD,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,"",,
Mahala Molapo,Thaba-Phatšoa,ABC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,8,male,57
Mahali Agnes Phamotse,Proportional Representation,DC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,"",,
Maimane Philemon Maphathe,Matelile,DC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,50,male,47
Majoro N. Mohapi,Proportional Representation,ABC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,"",,
Makhotso Matsumunyane,Proportional Representation,BNP,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,"",,
Maliehe Prince Maliehe,Teyateyaneng,ABC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,24,male,43
Mamahele Radebe,Hololo,ABC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,2,female,65
Mamandla Musa,Proportional Representation,ABC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,"",,
Mamosa Molapo,Proportional Representation,DC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,"",,
Mamoshoeshoe Molapo,Proportional Representation,BNP,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,"",,
Mamotikoe Khiba,Proportional Representation,PFD,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,"",,
Mamotsie V. Motsie,Proportional Representation,ABC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,"",,
Mampho M. Mokhele,Proportional Representation,ABC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,"",,
Mankoe James Maime,Maama,ABC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,41,male,34
Mapalesa Mothokho,Proportional Representation,LCD,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,"",,
Mathabo Shao,Proportional Representation,DC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,"",,
Mathibeli Edwin Mokhothu,Qhoali,DC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,68,male,37
Matlosa Lebusa,Proportional Representation,LCD,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,"",,
Mohau Hlalele,Thaba - Phechela,DC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,48,male,54
Mokhele Stephen Moletsane,Matsieng,DC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,45,male,32
Mokherane Tsatsanyane,Stadium Area,ABC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,31,male,40
Mokoinihi Thinyane,Proportional Representation,LCD,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,"",,
Mokoto Francis Hloaele,Maliba-Matšo,DC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,6,male,60
Molahlehi Tiisetso Letlotlo,Proportional Representation,LPC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,"",,
Molefi Africa Simon Makakane,Thupa-Kubu,ABC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,26,male,41
Molobeli Soulo,Proportional Representation,LCD,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,"",,
Monaphathi Maraka,Berea,ABC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,27,male,48
Monyane Moleleki,Machache,DC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,39,male,""
Mooki Jobo Sello,Bobatsi,ABC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,80,male,32
Mootsi Samuel Lehata,Makhaleng,DC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,46,male,41
Moshe Leoma,Matlakeng,ABC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,11,male,43
Moshoeshoe Fako,Mabote,ABC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,29,male,49
Motebang Koma,Koro - Koro,ABC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,42,male,68
Mothejoa Metsing,Mahobong,LCD,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,9,male,48
Mothepu Moliko,Proportional Representation,BNP,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,"",,
Motlalentoa Letsosa,Qalabane,DC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,54,male,41
Motloheloa Phooko,Proportional Representation,RCL,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,"",,
Motlohi Maliehe,Botha-Bothe,ABC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,5,male,56
Ndiwuhleli Ndlomose,Tele,DC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,64,male,51
Nkaku Ernest Kabi,Qeme,ABC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,43,male,41
Nthabiseng Lucia Makoae,Proportional Representation,BNP,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,"",,
Ntlhoi Motsamai,Hloahloeng,DC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,63,female,52
Nyapane Edward Kaya,Mechachane,ABC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,1,male,40
Palo Leteetee,Qhalasi,DC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,57,male,57
Phakiso Edwill Khama,Mphosong,DC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,7,male,57
Phallang Eliot Monare,Taung,DC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,56,male,56
Phutuhelo Daniel Mafereka,Mpharane,DC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,61,male,51
Pitso Maisa,Motimposo,ABC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,30,male,42
Ralechate Mokose,Proportional Representation,DC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,"",,
Rapitso Mahooana George Khati,Moyeni,DC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,65,male,42
Refiloe Litjobo,Proportional Representation,DC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,"",,
Rethabile Marumo,Proportional Representation,DC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,"",,
Samonyane Ntsekele,Tsikoane,ABC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,14,male,41
Sekoboto Gilbert Molise,Thetsane,ABC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,33,male,68
Selibe Machoboroane,Thabana-Morena,LCD,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,52,male,38
Semano Henry Sekatle,Lebakeng,DC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,70,male,60
Sentje Leornad Lebona,Mohale's Hoek,ABC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,58,male,58
Serialong Qoo,Malingoaneng,DC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,77,male,50
Sotlehang Sidwell Sekhamane,Maputsoe,ABC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,15,male,53
Teboho Poul Lehloenya,Kolo,DC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,49,male,57
Tefo Fabian Mapasela,Mokhotlong,"",9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,79,,
Temeki Phoenix Tsólo,Mafeteng,ABC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,55,male,44
Thabang Pheko,Proportional Representation,LCD,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,"",,
Thesele John Maseribane,Mount Moorosi,BNP,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,67,male,54
Tieho Gilbert Mamasiane,Pela-Tšoeu,DC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,10,male,38
Tjoetsane Alexis Seoka,Thaba-Moea,DC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,73,male,39
Tlali Khasu,Peka,ABC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,17,male,62
Tlohang Sekhamane,Proportional Representation,DC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,"",,
Tsehlo Moses Ramarou,Leribe,ABC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,12,male,46
Tseleng Mosenyehi,Proportional Representation,LCD,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,"",,
Tsoanelo Ramakeoane,Proportional Representation,LCD,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,"",,
Tsoeu Thulo Mahlakeng,Proportional Representation,BCP,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,"",,
Tsoinyana Samuel Rapapa,Mosalemane,ABC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,19,male,52
Tsukutlane Au,Thaba - Putsoa,DC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,40,male,45
Tsóeu Molise,Tsóana Makhulo,ABC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,25,male,44
Tumaole Clement Lerafa,Moteete,DC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,3,male,47
Tšoeu Phineas Mokeretla,Mashai,DC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,76,male,54
Vincent M. Malebo,Proportional Representation,MFP,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,"",,
