name,party_id,wikiname,term,party,end_date,start_date
Søren Pind,V,Søren Pind,2011,Venstre,,
Lisbeth Bech Poulsen,SF,Lisbeth Bech Poulsen,2011,Socialistisk Folkeparti,,
Troels Lund Poulsen,V,Troels Lund Poulsen,2011,Venstre,,
Rasmus Prehn,S,Rasmus Prehn,2011,Socialdemokraterne,,
Lars Løkke Rasmussen,V,Lars Løkke Rasmussen,2011,Venstre,,
Troels Ravn,S,Troels Ravn,2011,Socialdemokraterne,,
Mette Reissmann,S,Mette Reissmann,2011,Socialdemokraterne,,
Merete Riisager,LA,Merete Riisager,2011,Liberal Alliance,,
Lotte Rod,R,Lotte Rod,2011,Det Radikale Venstre,,
Pernille Rosenkrantz-Theil,S,Pernille Rosenkrantz-Theil,2011,Socialdemokraterne,,
Mads Rørvig,V,Mads Rørvig,2011,Venstre,,
Anders Samuelsen,LA,Anders Samuelsen,2011,Liberal Alliance,,
Manu Sareen,R,Manu Sareen,2011,Det Radikale Venstre,,
Hans Christian Schmidt,V,Hans Christian Schmidt,2011,Venstre,,
Johanne Schmidt-Nielsen,EL,Johanne Schmidt-Nielsen,2011,Enhedslisten,,
Anne Sina,S,Anne Sina,2011,Socialdemokraterne,,
Sjúrður Skaale,JF,Sjúrður Skaale,2011,Javnaðarflokkurin (Færøerne),,
Hans Kristian Skibby,DF,Hans Kristian Skibby,2011,Dansk Folkeparti,,
Pernille Skipper,EL,Pernille Skipper,2011,Enhedslisten,,
Julie Skovsby,S,Julie Skovsby,2011,Socialdemokraterne,,
Peter Skaarup,DF,Peter Skaarup,2011,Dansk Folkeparti,,
Ole Sohn,SF,Ole Sohn,2011,Socialistisk Folkeparti,,
Zenia Stampe,R,Zenia Stampe,2011,Det Radikale Venstre,,
Andreas Steenberg,R,Andreas Steenberg,2011,Det Radikale Venstre,,
Inger Støjberg,V,Inger Støjberg,2011,Venstre,,
Finn Sørensen,EL,Finn Sørensen,2011,Enhedslisten,,
Villy Søvndal,SF,Villy Søvndal,2011,Socialistisk Folkeparti,2013-12-21,
Hans Christian Thoning,V,Hans Christian Thoning,2011,Venstre,,
Helle Thorning-Schmidt,S,Helle Thorning-Schmidt,2011,Socialdemokraterne,,
Ulla Tørnæs,V,Ulla Tørnæs,2011,Venstre,2014-07-01,
Finn Thranum,V,Finn Thranum,2011,Venstre,,
Eyvind Vesselbo,V,Eyvind Vesselbo,2011,Venstre,,
Margrethe Vestager,R,Margrethe Vestager,2011,Det Radikale Venstre,,
Annette Vilhelmsen,SF,Annette Vilhelmsen,2011,Socialistisk Folkeparti,,
Nikolaj Barslund Villumsen,EL,Nikolaj Villumsen,2011,Enhedslisten,,
Nicolai Wammen,S,Nicolai Wammen,2011,Socialdemokraterne,,
Fatma Øktem,V,Fatma Øktem,2011,Venstre,,
Morten Østergaard,R,Morten Østergaard,2011,Det Radikale Venstre,,
Frank Aaen,EL,Frank Aaen,2011,Enhedslisten,,
Thomas Adelskov,S,Thomas Adelskov,2007,Socialdemokraterne,,
Pia Adelsteen,DF,Pia Adelsteen,2007,Dansk Folkeparti,,
Hanne Agersnap,SF,Hanne Agersnap,2007,Socialistisk Folkeparti,,
Yildiz Akdogan,S,Yildiz Akdogan,2007,Socialdemokraterne,,
Simon Emil Ammitzbøll,LA,Simon Emil Ammitzbøll,2007,Liberal Alliance,2008-02-13,
Eigil Andersen,SF,Eigil Andersen,2007,Socialistisk Folkeparti,,
Kim Andersen,V,Kim Andersen (politiker),2007,Venstre,,
Poul Andersen,S,Poul Andersen (politiker),2007,Socialdemokraterne,,
Sophie Hæstorp Andersen,S,Sophie Hæstorp Andersen,2007,Socialdemokraterne,,
Christine Antorini,S,Christine Antorini,2007,Socialdemokraterne,,
Ida Auken,SF,Ida Auken,2007,Socialistisk Folkeparti,,
Svend Auken,S,Svend Auken,2007,Socialdemokraterne,,
Pernille Vigsø Bagge,SF,Pernille Vigsø Bagge,2007,Socialistisk Folkeparti,,
Line Barfod,EL,Line Barfod,2007,Enhedslisten,,
Lars Barfoed,K,Lars Barfoed,2007,Det Konservative Folkeparti,,
Gitte Lillelund Bech,V,Gitte Lillelund Bech,2007,Venstre,,
Tom Behnke,K,Tom Behnke,2007,Det Konservative Folkeparti,,
Bendt Bendtsen,K,Bendt Bendtsen,2007,Det Konservative Folkeparti,,
Per Bisgaard,V,Per Bisgaard,2007,Venstre,,
René Skau Björnsson,S,René Skau Björnsson,2007,Socialdemokraterne,,
Liselott Blixt,DF,Liselott Blixt,2007,Dansk Folkeparti,,
Flemming Bonne,SF,Flemming Bonne,2007,Socialistisk Folkeparti,,
Erling Bonnesen,V,Erling Bonnesen,2007,Venstre,,
Karl Bornhøft,SF,Karl Bornhøft,2007,Socialistisk Folkeparti,,
Colette Brix,DF,Colette Brix,2007,Dansk Folkeparti,,
Henrik Brodersen,DF,Henrik Brodersen,2007,Dansk Folkeparti,,
Kirsten Brosbøl,S,Kirsten Brosbøl,2007,Socialdemokraterne,,
Morten Bødskov,S,Morten Bødskov,2007,Socialdemokraterne,,
Bent Bøgsted,DF,Bent Bøgsted,2007,Dansk Folkeparti,,
Anne Baastrup,SF,Anne Baastrup,2007,Socialistisk Folkeparti,,
Mogens Camre,DF,Mogens Camre,2007,Dansk Folkeparti,,
Özlem Sara Cekic,SF,Özlem Sara Cekic,2007,Socialistisk Folkeparti,,
Anita Christensen,DF,Anita Christensen (politiker),2007,Dansk Folkeparti,,
Carina Christensen,K,Carina Christensen,2007,Det Konservative Folkeparti,,
Ole Vagn Christensen,S,Ole Vagn Christensen,2007,Socialdemokraterne,,
Peter Christensen,V,Peter Christensen (politiker),2007,Venstre,,
Troels Christensen,V,Troels Christensen,2007,Venstre,,
Anne-Mette Winther Christiansen,V,Anne-Mette Winther Christiansen,2007,Venstre,,
Kim Christiansen,DF,Kim Christiansen (politiker),2007,Dansk Folkeparti,,
Villum Christensen,LA,Villum Christensen,2007,Liberal Alliance,,2008-09-01
Pia Christmas-Møller,UFG,Pia Christmas-Møller,2007,løsgængere,2007-12-05,
Per Clausen,EL,Per Clausen,2007,Enhedslisten,,
René Christensen,DF,René Christensen,2007,Dansk Folkeparti,,2008-10-09
Bente Dahl,R,Bente Dahl,2007,Det Radikale Venstre,,
Jonas Dahl,SF,Jonas Dahl,2007,Socialistisk Folkeparti,,
Kristian Thulesen Dahl,DF,Kristian Thulesen Dahl,2007,Dansk Folkeparti,,
Lennart Damsbo-Andersen,S,Lennart Damsbo-Andersen,2007,Socialdemokraterne,,
Mikkel Dencker,DF,Mikkel Dencker,2007,Dansk Folkeparti,,
Jørn Dohrmann,DF,Jørn Dohrmann,2007,Dansk Folkeparti,,
Lone Dybkjær,R,Lone Dybkjær,2007,Det Radikale Venstre,,
Charlotte Dyremose,K,Charlotte Dyremose,2007,Det Konservative Folkeparti,,
Pia Olsen Dyhr,SF,Pia Olsen Dyhr,2007,Socialistisk Folkeparti,,
Louise Schack Elholm,V,Louise Schack Elholm,2007,Venstre,,
Karen Ellemann,V,Karen Ellemann,2007,Venstre,,
Benny Engelbrecht,S,Benny Engelbrecht,2007,Socialdemokraterne,,
Lene Espersen,K,Lene Espersen,2007,Det Konservative Folkeparti,,
Søren Espersen,DF,Søren Espersen,2007,Dansk Folkeparti,,
Mia Falkenberg,DF,Mia Falkenberg,2007,Dansk Folkeparti,,
Pernille Frahm,SF,Pernille Frahm,2007,Socialistisk Folkeparti,,
Claus Hjort Frederiksen,V,Claus Hjort Frederiksen,2007,Venstre,,
Mette Frederiksen,S,Mette Frederiksen,2007,Socialdemokraterne,,
Meta Fuglsang,SF,Meta Fuglsang,2007,Socialistisk Folkeparti,,
Steen Gade,SF,Steen Gade,2007,Socialistisk Folkeparti,,
Søren Gade,V,Søren Gade,2007,Venstre,,
Mette Gjerskov,S,Mette Gjerskov,2007,Socialdemokraterne,,
Carsten Hansen,S,Carsten Hansen,2007,Socialdemokraterne,,
Christian H. Hansen,F,Christian H. Hansen,2007,Fokus,2010-01-19,
Eva Kjer Hansen,V,Eva Kjer Hansen,2007,Venstre,,
Lene Hansen,S,Lene Hansen,2007,Socialdemokraterne,,
Torben Hansen,S,Torben Hansen (folketingsmedlem),2007,Socialdemokraterne,,
Marlene Harpsøe,DF,Marlene Harpsøe,2007,Dansk Folkeparti,,
Orla Hav,S,Orla Hav,2007,Socialdemokraterne,,
Connie Hedegaard,K,Connie Hedegaard,2007,Det Konservative Folkeparti,,
Juliane Henningsen,IA,Juliane Henningsen,2007,Inuit Ataqatigiit,,
Martin Henriksen,DF,Martin Henriksen,2007,Dansk Folkeparti,,
Magnus Heunicke,S,Magnus Heunicke,2007,Socialdemokraterne,,
Britta Schall Holberg,V,Britta Schall Holberg,2007,Venstre,,
Anne Grete Holmsgaard,SF,Anne Grete Holmsgaard,2007,Socialistisk Folkeparti,,
Birthe Rønn Hornbech,V,Birthe Rønn Hornbech,2007,Venstre,,
Høgni Hoydal,TF,Høgni Hoydal,2007,Tjóðveldi,,
Rikke Hvilshøj,V,Rikke Hvilshøj,2007,Venstre,,
Karen Hækkerup,S,Karen Hækkerup,2007,Socialdemokraterne,,
Klaus Hækkerup,S,Klaus Hækkerup,2007,Socialdemokraterne,,
Ole Hækkerup,S,Ole Hækkerup,2007,Socialdemokraterne,,
Nick Hækkerup,S,Nick Hækkerup,2007,Socialdemokraterne,,
Karsten Hønge,SF,Karsten Hønge,2007,Socialistisk Folkeparti,,
Henrik Høegh,V,Henrik Høegh,2007,Venstre,,
Niels Høiby,LA,Niels Høiby,2007,Liberal Alliance,,2011-06-05
Bertel Haarder,V,Bertel Haarder,2007,Venstre,,
Marianne Jelved,R,Marianne Jelved,2007,Det Radikale Venstre,,
Jacob Jensen,V,Jacob Jensen (født 1973),2007,Venstre,,
Kristian Jensen,V,Kristian Jensen,2007,Venstre,,
Leif Lahn Jensen,S,Leif Lahn Jensen,2007,Socialdemokraterne,,
Michael Aastrup Jensen,V,Michael Aastrup Jensen,2007,Venstre,,
Mogens Jensen,S,Mogens Jensen,2007,Socialdemokraterne,,
Nanna Westerby Jensen,SF,Nanna Westerby Jensen,2007,Socialistisk Folkeparti,,
Peter Juel Jensen,V,Peter Juel Jensen,2007,Venstre,,
Thomas Jensen,S,Thomas Jensen (politiker),2007,Socialdemokraterne,,
Karen Jespersen,V,Karen Jespersen,2007,Venstre,,
Edmund Joensen,SaF,Edmund Joensen,2007,Sambandsflokkurin,,
Lars-Emil Johansen,SIU,Lars-Emil Johansen,2007,Siumut,,
Birgitte Josefsen,V,Birgitte Josefsen,2007,Venstre,,
Per Ørum Jørgensen,KD,Per Ørum Jørgensen,2007,Kristendemokraterne,2010-05-19,
Naser Khader,K,Naser Khader,2007,Det Konservative Folkeparti,2009-01-05,
Vivi Kier,K,Vivi Kier,2007,Det Konservative Folkeparti,,
Jens Kirk,V,Jens Kirk,2007,Venstre,,
Henriette Kjær,K,Henriette Kjær,2007,Det Konservative Folkeparti,,
Pia Kjærsgaard,DF,Pia Kjærsgaard,2007,Dansk Folkeparti,,
Karen Klint,S,Karen Klint,2007,Socialdemokraterne,,
Anita Knakkergaard,DF,Anita Knakkergaard,2007,Dansk Folkeparti,,
Jeppe Kofod,S,Jeppe Kofod,2007,Socialdemokraterne,,
Astrid Krag,SF,Astrid Krag Kristensen,2007,Socialistisk Folkeparti,,
Søren Krarup,DF,Søren Krarup,2007,Dansk Folkeparti,,
Henrik Dam Kristensen,S,Henrik Dam Kristensen,2007,Socialdemokraterne,,
Knud Kristensen,K,Knud Kristensen (Det Konservative Folkeparti),2007,Det Konservative Folkeparti,,
Jesper Langballe,DF,Jesper Langballe,2007,Dansk Folkeparti,,
Flemming Damgaard Larsen,V,Flemming Damgaard Larsen,2007,Venstre,,
Henrik Sass Larsen,S,Henrik Sass Larsen,2007,Socialdemokraterne,,
Karsten Lauritzen,V,Karsten Lauritzen,2007,Venstre,,
Bjarne Laustsen,S,Bjarne Laustsen,2007,Socialdemokraterne,,
Mike Legarth,K,Mike Legarth,2007,Det Konservative Folkeparti,,
Lars Christian Lilleholt,V,Lars Christian Lilleholt,2007,Venstre,,
Karina Lorentzen,SF,Karina Lorentzen,2007,Socialistisk Folkeparti,,
Kristian Pihl Lorentzen,V,Kristian Pihl Lorentzen,2007,Venstre,,
Jens Christian Lund,S,Jens Christian Lund,2007,Socialdemokraterne,,
Mogens Lykketoft,S,Mogens Lykketoft,2007,Socialdemokraterne,,
Sophie Løhde,V,Sophie Løhde,2007,Venstre,,
Anne-Marie Meldgaard,S,Anne-Marie Meldgaard,2007,Socialdemokraterne,,
Morten Messerschmidt,DF,Morten Messerschmidt,2007,Dansk Folkeparti,,
Brian Mikkelsen,K,Brian Mikkelsen,2007,Det Konservative Folkeparti,,
Flemming Møller Mortensen,S,Flemming Møller Mortensen,2007,Socialdemokraterne,,
Kim Mortensen,S,Kim Mortensen,2007,Socialdemokraterne,,
Helge Adam Møller,K,Helge Adam Møller,2007,Det Konservative Folkeparti,,
Lone Møller,S,Lone Møller,2007,Socialdemokraterne,,
Per Stig Møller,K,Per Stig Møller,2007,Det Konservative Folkeparti,,
Tina Nedergaard,V,Tina Nedergaard,2007,Venstre,,
Holger K. Nielsen,SF,Holger K. Nielsen,2007,Socialistisk Folkeparti,,
Jakob Axel Nielsen,K,Jakob Axel Nielsen,2007,Det Konservative Folkeparti,,
Karsten Nonbo,V,Karsten Nonbo,2007,Venstre,,
Karin Nødgaard,DF,Karin Nødgaard,2007,Dansk Folkeparti,,
Ellen Trane Nørby,V,Ellen Trane Nørby,2007,Venstre,,
John Dyrby Paulsen,S,John Dyrby Paulsen,2007,Socialdemokraterne,,
Maja Panduro,S,Maja Panduro,2007,Socialdemokraterne,,
Marion Pedersen,V,Marion Pedersen,2007,Venstre,,
Thor Pedersen,V,Thor Pedersen,2007,Venstre,,
Torsten Schack Pedersen,V,Torsten Schack Pedersen,2007,Venstre,,
Jesper Petersen,SF,Jesper Petersen,2007,Socialistisk Folkeparti,,
Morten Helveg Petersen,R,Morten Helveg Petersen,2007,Det Radikale Venstre,,
Niels Helveg Petersen,R,Niels Helveg Petersen,2007,Det Radikale Venstre,,
Tina Petersen,DF,Tina Petersen,2007,Dansk Folkeparti,,
Søren Pind,V,Søren Pind,2007,Venstre,,
Ib Poulsen,DF,Ib Poulsen (Politiker),2007,Dansk Folkeparti,,
Johannes Poulsen,R,Johannes Poulsen (politiker),2007,Det Radikale Venstre,,
Jørgen Poulsen,R,Jørgen Poulsen,2007,Det Radikale Venstre,2008-06-24,
Troels Lund Poulsen,V,Troels Lund Poulsen,2007,Venstre,,
Rasmus Prehn,S,Rasmus Prehn,2007,Socialdemokraterne,,
Kamal Qureshi,SF,Kamal Qureshi,2007,Socialistisk Folkeparti,,
Julie Rademacher,S,Julie Rademacher,2007,Socialdemokraterne,,
Anders Fogh Rasmussen,V,Anders Fogh Rasmussen,2007,Venstre,,
Lars Løkke Rasmussen,V,Lars Løkke Rasmussen,2007,Venstre,,
Preben Rudiengaard,V,Preben Rudiengaard,2007,Venstre,,
Anders Samuelsen,LA,Anders Samuelsen,2007,Liberal Alliance,,
Helge Sander,V,Helge Sander,2007,Venstre,,
Hans Christian Schmidt,V,Hans Christian Schmidt,2007,Venstre,,
Johanne Schmidt-Nielsen,EL,Johanne Schmidt-Nielsen,2007,Enhedslisten,,
Gitte Seeberg,UFG,Gitte Seeberg,2007,løsgængere,2008-01-29,
Lise von Seelen,S,Lise von Seelen,2007,Socialdemokraterne,,
Niels Sindal,S,Niels Sindal,2007,Socialdemokraterne,,
Helle Sjelle,K,Helle Sjelle,2007,Det Konservative Folkeparti,,
Hans Kristian Skibby,DF,Hans Kristian Skibby,2007,Dansk Folkeparti,,
Julie Skovsby,S,Julie Skovsby,2007,Socialdemokraterne,,
Peter Skaarup,DF,Peter Skaarup,2007,Dansk Folkeparti,,
Ole Sohn,SF,Ole Sohn,2007,Socialistisk Folkeparti,,
Inger Støjberg,V,Inger Støjberg,2007,Venstre,,
Villy Søvndal,SF,Villy Søvndal,2007,Socialistisk Folkeparti,,
Hans Christian Thoning,V,Hans Christian Thoning,2007,Venstre,,
Helle Thorning-Schmidt,S,Helle Thorning-Schmidt,2007,Socialdemokraterne,,
Kristen Touborg,SF,Kristen Touborg,2007,Socialistisk Folkeparti,,
Ulla Tørnæs,V,Ulla Tørnæs,2007,Venstre,,
