id,name,email,twitter,group,group_id,area,chamber,term,start_date,end_date,image,gender
wan_azizah_wan_ismail,Wan Azizah Wan Ismail,,,People's Justice Party,PKR,"Permatang Pauh, Penang",Dewan Rakyat,11,,,https://upload.wikimedia.org/wikipedia/commons/5/5c/Wan_Azizah_2.jpg,female
wan_azmi_wan_ariffin,Wan Azmi Wan Ariffin,,,United Malays National Organisation,UMNO,"Sik, Kedah",Dewan Rakyat,11,,,,
wan_hashim_wan_teh,Wan Hashim Wan Teh,,,United Malays National Organisation,UMNO,"Gerik, Perak",Dewan Rakyat,11,,,,
wan_junaidi_tuanku_jaafar,Wan Junaidi Tuanku Jaafar,,,Parti Pesaka Bumiputera Bersatu,PBB,"Santubong, Sarawak",Dewan Rakyat,11,,,,male
wee_ka_siong,Wee Ka Siong,,,Malayan Chinese Association,MCA,"Ayer Hitam, Johor",Dewan Rakyat,11,,,,male
wilfred_madius_tangau,Wilfred Madius Tangau,,,United Pasokmomogun Kadazandusun Murut Organisation,UPKO,"Tuaran, Sabah",Dewan Rakyat,11,,,,
wong_kam_hoong,Wong Kam Hoong,,,Malayan Chinese Association,MCA,"Bayan Baru, Penang",Dewan Rakyat,11,,,,
wong_nai_chee,Wong Nai Chee,,,Malayan Chinese Association,MCA,"Kota Melaka, Malacca",Dewan Rakyat,11,,,,
yap_pian_hon,Yap Pian Hon,,,Malayan Chinese Association,MCA,"Serdang, Selangor",Dewan Rakyat,11,,,,male
yee_moh_chai,Yee Moh Chai,,,Parti Bersatu Sabah,PBS,"Kota Kinabalu, Sabah",Dewan Rakyat,11,,,,
yew_teong_look,Yew Teong Look,,,Malayan Chinese Association,MCA,"Wangsa Maju, Federal Territory of Kuala Lumpur",Dewan Rakyat,11,,,,
yong_khoon_seng,Yong Khoon Seng,,,Sarawak United Peoples' Party,SUPP,"Stampin, Sarawak",Dewan Rakyat,11,,,,male
yusof_yacob,Yusof Yacob,,,United Malays National Organisation,UMNO,"Sipitang, Sabah",Dewan Rakyat,11,,,,
zainal_abidin_osman,Zainal Abidin Osman,,,United Malays National Organisation,UMNO,"Nibong Tebal, Penang",Dewan Rakyat,11,,,,
zainal_abidin_zin,Zainal Abidin Zin,,,United Malays National Organisation,UMNO,"Bagan Serai, Perak",Dewan Rakyat,11,,,,
zainuddin_maidin,Zainuddin Maidin,,,United Malays National Organisation,UMNO,"Merbok, Kedah",Dewan Rakyat,11,,,,
zulhasnan_rafique,Zulhasnan Rafique,,,United Malays National Organisation,UMNO,"Setiawangsa, Federal Territory of Kuala Lumpur",Dewan Rakyat,11,,,,male
