id,name,constituency,photo,party_id
F49,Senator Carol Brown,Tasmania,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/F49/upload_ref_binary/F49.JPG,australian_labor_party
G0D,Senator Cory Bernardi,South Australia,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/G0D/upload_ref_binary/G0D.JPG,liberal_party_of_australia
G1N,Senator Helen Kroger,Victoria,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/G1N/upload_ref_binary/G1N.JPG,liberal_party_of_australia
GB6,Senator the Hon Jacinta Collins,Victoria,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/GB6/upload_ref_binary/GB6.JPG,australian_labor_party
H6V,Senator Sue Boyce,Queensland,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/H6V/upload_ref_binary/H6V.jpg,liberal_party_of_australia
H6X,Senator the Hon Simon Birmingham,South Australia,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/H6X/upload_ref_binary/H6X.jpg,liberal_party_of_australia
HDA,Senator the Hon Mathias Cormann,Western Australia,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/HDA/upload_ref_binary/HDA.JPG,liberal_party_of_australia
HLL,Senator David Bushby,Tasmania,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/HLL/upload_ref_binary/HLL.jpg,liberal_party_of_australia
HYG,Senator Bob Day AO,South Australia,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/HYG/upload_ref_binary/HYG.jpg,family_first_party
HZB,Senator Catryna Bilyk,Tasmania,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/HZB/upload_ref_binary/HZB.JPG,australian_labor_party
HZE,Senator Zed Seselja,Australian Capital Territory,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/HZE/upload_ref_binary/HZE.jpg,liberal_party_of_australia
I07,Senator Scott Ludlam,Western Australia,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/I07/upload_ref_binary/I07.JPG,australian_greens
I0M,Senator the Hon Michaelia Cash,Western Australia,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/I0M/upload_ref_binary/I0M.jpg,liberal_party_of_australia
I0N,Senator the Hon Don Farrell,South Australia,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/I0N/upload_ref_binary/I0N.JPG,australian_labor_party
I0P,Senator Mark Furner,Queensland,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/I0P/upload_ref_binary/I0P.JPG,australian_labor_party
I0Q,Senator the Hon Scott Ryan,Victoria,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/I0Q/upload_ref_binary/I0Q.JPG,liberal_party_of_australia
I0T,Senator Louise Pratt,Western Australia,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/I0T/upload_ref_binary/I0T.jpg,australian_labor_party
I0U,Senator Sarah Hanson-Young,South Australia,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/I0U/upload_ref_binary/I0U.JPG,australian_greens
I0V,Senator John Williams,New South Wales,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/I0V/upload_ref_binary/I0V.JPG,the_nationals
ING,Senator Katy Gallagher,Australian Capital Territory,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/ING/upload_ref_binary/ING.jpg,australian_labor_party
J7Q,Senator Chris Back,Western Australia,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/J7Q/upload_ref_binary/J7Q.JPG,liberal_party_of_australia
JKM,Senator Nick McKim,Tasmania,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/JKM/upload_ref_binary/JKM.jpg,australian_greens
M0R,Senator the Hon Lisa Singh,Tasmania,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/M0R/upload_ref_binary/m0r.jpg,australian_labor_party
M56,Senator the Hon Marise Payne,New South Wales,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/M56/upload_ref_binary/M56.JPG,liberal_party_of_australia
N26,Senator the Hon Eric Abetz,Tasmania,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/N26/upload_ref_binary/N26.jpg,liberal_party_of_australia
SR5,Senator Patrick Dodson,Western Australia,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/SR5/upload_ref_binary/SR5.jpg,australian_labor_party
YE4,Senator the Hon Ronald Boswell,Queensland,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/YE4/upload_ref_binary/YE4.JPG,the_nationals
YW4,Senator the Hon Ian Macdonald,Queensland,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/YW4/upload_ref_binary/YW4.JPG,liberal_party_of_australia
bv7,Senator the Hon Arthur Sinodinos AO,New South Wales,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/BV7/upload_ref_binary/bv7.jpg,liberal_party_of_australia
e4t,Senator the Hon Concetta Fierravanti-Wells,New South Wales,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/E4T/upload_ref_binary/E4T.jpg,liberal_party_of_australia
e5e,Senator Anne McEwen,South Australia,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/E5E/upload_ref_binary/E5E.jpg,australian_labor_party
e5g,Senator the Hon Fiona Nash,New South Wales,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/E5G/upload_ref_binary/E5G.jpg,the_nationals
e5v,Senator the Hon Stephen Parry,Tasmania,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/E5V/upload_ref_binary/E5V.JPG,liberal_party_of_australia
e5x,Senator Helen Polley,Tasmania,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/E5X/upload_ref_binary/E5X.JPG,australian_labor_party
e5z,Senator Rachel Siewert,Western Australia,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/E5Z/upload_ref_binary/E5Z.JPG,australian_greens
e68,Senator Glenn Sterle,Western Australia,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/E68/upload_ref_binary/E68.JPG,australian_labor_party
ka5,Senator Christine Milne,Tasmania,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/KA5/upload_ref_binary/KA5.JPG,australian_greens
xt4,Senator the Hon Michael Ronaldson,Victoria,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/XT4/upload_ref_binary/XT4.JPG,liberal_party_of_australia
