id,position,label,description,start_date,term,constituency,of,replaces,end_date,replaced_by,election
Q1560823,Q18643511,representative in the Croatian Parliament,"","",,,,,,,
Q16111501,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District II,,,,,
Q16111501,Q18643511,representative in the Croatian Parliament,"",2016-10-14,9th Sabor,,,,,,
Q16114858,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District X,,,,,
Q16115028,Q18643511,representative in the Croatian Parliament,"","",,,,,,,
Q16115922,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District VII,,,,,
Q16186424,Q18643511,representative in the Croatian Parliament,"","",,,,,,,
Q16324522,Q18643511,representative in the Croatian Parliament,"","",,,,,,,
Q165463,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District X,,,,,
Q16633707,Q18643511,representative in the Croatian Parliament,"","",,,,,,,
Q16676927,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District III,,,,,
Q16855236,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District XII,,,,,
Q17275529,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District VIII,,,,,
Q18668688,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District VII,,,,,
Q19973739,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District V,,,,,
Q20525090,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District VI,,,,,
Q20525506,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District I,,,,,
Q20525725,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District II,,,,,
Q20525725,Q2621182,culture minister,minister in a government with responsibility for cultural affairs,2016-01-22,,,Ministry of Culture,,,,
Q21064401,Q18643511,representative in the Croatian Parliament,"","",,,,,,,
Q22160025,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District IX,,,,,
Q22246182,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District V,,,,,
Q22340127,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District XI,,,,,
Q22677422,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District VIII,,,,,
Q22713351,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District II,,,,,
Q22916435,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District III,,,,,
Q2351745,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District X,,,,,
Q23659045,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District I,,,,,
Q23659045,Q18643511,representative in the Croatian Parliament,"",2017-05-10,9th Sabor,,,,,,
Q24055475,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District VIII,,,,,
Q25043794,Q18643511,representative in the Croatian Parliament,"","",,,,,,,
Q25497953,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District X,,,,,
Q2590916,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District XII,,,,,
Q2590916,Q18643511,representative in the Croatian Parliament,"",1995,,,,,2000,,
Q2590916,Q18643511,representative in the Croatian Parliament,"",2003,,,,,2007,,
Q2590916,Q18643511,representative in the Croatian Parliament,"",2007,,,,,2011,,
Q2590916,Q18643511,representative in the Croatian Parliament,"",2011,,,,,,,
Q2617559,Q27169,member of the European Parliament,person who has been elected to the European Parliament,2013-07-01,Seventh European Parliament,Croatia,,,2014-06-30,,
Q2617559,Q27169,member of the European Parliament,person who has been elected to the European Parliament,2014-07-01,Eighth European Parliament,Croatia,,,,,2014 European Parliament election
Q2618434,Q18643511,representative in the Croatian Parliament,"","",,,,,,,
Q2618680,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District IX,,,,,
Q2619574,Q18643511,representative in the Croatian Parliament,"","",,,,,,,
Q2620544,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,,,,,,
Q2620544,Q30344682,Minister of Justice,Croatian cabinet position,2017-06-09,,,,,,,
Q266812,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District VI,,,,,
Q266812,Q7614320,finance minister,position in the government responsible for economic and financial policies,"",,,,,,,
Q27537248,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District X,,,,,
Q28962281,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District I,,,,,
Q2986845,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District VII,,,,,
Q31200370,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District VI,,,,,
Q3441723,Q18643511,representative in the Croatian Parliament,"","",,,,,,,
Q3441723,Q27169,member of the European Parliament,person who has been elected to the European Parliament,2014-07-01,Eighth European Parliament,Croatia,,,,,2014 European Parliament election
Q3446032,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District VIII,,,,,
Q3754806,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District XII,,,,,
Q393673,Q18643511,representative in the Croatian Parliament,"","",,,,,,,
Q43676698,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District II,,,,,
Q43676703,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District X,,,,,
Q43676707,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District X,,,,,
Q43676712,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District V,,,,,
Q43677099,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District III,,,,,
Q43677141,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District IV,,,,,
Q43677144,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District VI,,,,,
Q43677148,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District XII,,,,,
Q43677152,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District VIII,,,,,
Q43677156,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District II,,,,,
Q43677159,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District IX,,,,,
Q43677163,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District III,,,,,
Q43677166,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District V,,,,,
Q43677172,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District VI,,,,,
Q43677176,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District IV,,,,,
Q43677179,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District VII,,,,,
Q43677183,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District V,,,,,
Q43677186,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District VIII,,,,,
Q43677190,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District I,,,,,
Q43677195,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District VI,,,,,
Q43677199,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District IV,,,,,
Q43677202,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District VII,,,,,
Q43677207,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District II,,,,,
Q43677212,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District IX,,,,,
Q43677216,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District VI,,,,,
Q43677220,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District III,,,,,
Q43677225,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District IV,,,,,
Q43677228,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District XII,,,,,
Q43677231,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District XII,,,,,
Q43677235,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District VII,,,,,
Q43677238,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District VIII,,,,,
Q43677242,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District VI,,,,,
Q43677246,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District IX,,,,,
Q43677249,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District V,,,,,
Q43677253,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District VIII,,,,,
Q43677257,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District VII,,,,,
Q43677260,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District I,,,,,
Q43677263,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District VIII,,,,,
Q43677267,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District IV,,,,,
Q43677271,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District III,,,,,
Q43677274,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District III,,,,,
Q43677278,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District IX,,,,,
Q43677281,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District II,,,,,
Q43677286,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District XII,,,,,
Q43677289,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District VI,,,,,
Q43677293,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District VII,,,,,
Q43677297,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District IX,,,,,
Q43677300,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District II,,,,,
Q43677304,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District V,,,,,
Q43677308,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District I,,,,,
Q43677312,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District II,,,,,
Q43677315,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District III,,,,,
Q43677319,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District V,,,,,
Q43677323,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District VII,,,,,
Q43677328,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District II,,,,,
Q43677332,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District IV,,,,,
Q43677335,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District V,,,,,
Q43677338,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District V,,,,,
Q43677343,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District X,,,,,
Q43677346,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District X,,,,,
Q43677350,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District IX,,,,,
Q43677357,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District IV,,,,,
Q43677361,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District IV,,,,,
Q43677369,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District I,,,,,
Q43677372,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District III,,,,,
Q43677376,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District X,,,,,
Q43677380,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District XI,,,,,
Q43677384,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District V,,,,,
Q43677388,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District X,,,,,
Q43677394,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District IV,,,,,
Q43677398,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District VII,,,,,
Q43677402,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District VII,,,,,
Q43677404,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District VI,,,,,
Q43677409,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District VIII,,,,,
Q43677414,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District VI,,,,,
Q43677418,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District VIII,,,,,
Q43677423,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District III,,,,,
Q43677428,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District V,,,,,
Q43677431,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District IV,,,,,
Q43677437,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District IX,,,,,
Q43677443,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District VIII,,,,,
Q43677447,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District X,,,,,
Q43677451,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District IV,,,,,
Q43677453,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District III,,,,,
Q43677458,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District II,,,,,
Q43677462,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District VIII,,,,,
Q43677464,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District III,,,,,
Q43677468,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District II,,,,,
Q43677472,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District III,,,,,
Q43677476,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District IX,,,,,
Q43677480,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District V,,,,,
Q43677484,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District IX,,,,,
Q43677489,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District IV,,,,,
Q43683088,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District I,,,,,
Q43683588,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District V,,,,,
Q43683941,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District X,,,,,
Q4846291,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District I,,,,,
Q4846291,Q29017739,Health Minister,Cabinet position in Croatia,1998,,,,Andrija Hebrang,2000,,
Q4953093,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District XI,,,,,
Q4957466,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District II,,,,,
Q5222809,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District I,,,,,
Q5223754,Q18643511,representative in the Croatian Parliament,"","",,,,,,,
Q5242086,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District I,,,,,
Q57611,Q1195270,Prime Minister of Croatia,position,2009-07-06,,,,Ivo Sanader,2011-12-23,Zoran Milanović,
Q57611,Q18643511,representative in the Croatian Parliament,"","",,,,,,,
Q57687,Q1195270,Prime Minister of Croatia,position,2011-12-23,,,,Jadranka Kosor,2016-01-22,Tihomir Orešković,
Q57687,Q18643511,representative in the Croatian Parliament,"","",,,,,,,
Q58191,Q1789649,Ministry of Foreign and European Affairs,runs the diplomatic relations of the Republic of Croatia with other countries,"",,,,,,,
Q58191,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District I,,,,,
Q6379,Q18643511,representative in the Croatian Parliament,"","",,,,,,,
Q7104130,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District I,,,,,
Q7286273,Q18643511,representative in the Croatian Parliament,"","",,,,,,,
Q893812,Q3357859,Speaker of the Croatian Parliament,Wikimedia list article,"",,,,,,,
Q898543,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District IV,,,,,
Q898723,Q18643511,representative in the Croatian Parliament,"","",,,,,,,
Q928356,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District IV,,,,,
Q933740,Q18643511,representative in the Croatian Parliament,"","",,,,,,,
