id,name,sortname,image,party,birth_date,constituency,term,start_date,source
6276,SILVANO HRELJA,"Hrelja, Silvano",http://www.sabor.hr/lgs.axd?t=16&id=44440,HSU,1958-03-14,8th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6276
6278,BRANKO HRG,"Hrg, Branko",http://www.sabor.hr/lgs.axd?t=16&id=44441,HSS,1961-09-26,2nd,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6278
6282,LADISLAV ILČIĆ,"Ilčić, Ladislav",http://www.sabor.hr/lgs.axd?t=16&id=44442,HRAST,1970-08-04,3rd,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6282
6284,MARIJA ILIĆ,"Ilić, Marija",http://www.sabor.hr/lgs.axd?t=16&id=44552,HSU,1945-02-19,5th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6284
6290,TIHOMIR JAKOVINA,"Jakovina, Tihomir",http://www.sabor.hr/lgs.axd?t=16&id=44770,SDP,1967-06-21,5th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6290
6292,GORDAN JANDROKOVIĆ,"Jandroković, Gordan",http://www.sabor.hr/lgs.axd?t=16&id=44443,HDZ,1967-08-02,6th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6292
6296,IVO JELUŠIĆ,"Jelušić, Ivo",http://www.sabor.hr/lgs.axd?t=16&id=44444,SDP,1960-10-10,6th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6296
6298,ŽELJKO JOVANOVIĆ,"Jovanović, Željko",http://www.sabor.hr/lgs.axd?t=16&id=44445,SDP,1965-11-26,8th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6298
6300,ŠANDOR JUHAS,"Juhas, Šandor",http://www.sabor.hr/lgs.axd?t=16&id=44640,Independent,1954-07-12,12th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6300
6302,VELJKO KAJTAZI,"Kajtazi, Veljko",http://www.sabor.hr/lgs.axd?t=16&id=44446,Independent,1960-02-14,12th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6302
6308,JOSIP KATALINIĆ,"Katalinić, Josip",http://www.sabor.hr/lgs.axd?t=16&id=44447,MOST,1969-01-20,7th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6308
6310,IVAN KIRIN,"Kirin, Ivan",http://www.sabor.hr/lgs.axd?t=16&id=44448,HSP AS,1951-01-01,8th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6310
6312,IVAN KLARIN,"Klarin, Ivan","",SDP,1985-07-16,9th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6312
6316,JOŠKO KLISOVIĆ,"Klisović, Joško",http://www.sabor.hr/lgs.axd?t=16&id=44642,SDP,1968-08-26,1st,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6316
6318,MARIO KLOBUČIĆ,"Klobučić, Mario",http://www.sabor.hr/lgs.axd?t=16&id=44449,MOST,1981-02-10,10th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6318
6322,ANA KOMPARIĆ DEVČIĆ,"Komparić Devčić, Ana",http://www.sabor.hr/lgs.axd?t=16&id=44450,SDP,1976-04-18,8th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6322
6324,TOMISLAV KONČEVSKI,"Končevski, Tomislav",http://www.sabor.hr/lgs.axd?t=16&id=44451,Labourists,1970-06-06,3rd,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6324
6326,DARINKO KOSOR,"Kosor, Darinko",http://www.sabor.hr/lgs.axd?t=16&id=44556,HSLS,1965-03-14,1st,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6326
6332,IVAN KOVAČIĆ,"Kovačić, Ivan",http://www.sabor.hr/lgs.axd?t=16&id=44452,MOST,1974-04-25,10th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6332
6681,MARO KRISTIĆ,"Kristić, Maro",http://www.sabor.hr/lgs.axd?t=16&id=44453,MOST,1979-05-26,10th,8,2016-01-22,http://www.sabor.hr/lgs.axd?t=24&id=6681
6669,JOSIP KRIŽANIĆ,"Križanić, Josip",http://www.sabor.hr/lgs.axd?t=16&id=44454,HDZ,1968-02-07,3rd,8,2016-01-22,http://www.sabor.hr/lgs.axd?t=24&id=6669
6334,SANDRA KRPAN,"Krpan, Sandra",http://www.sabor.hr/lgs.axd?t=16&id=44455,SDP,1974-04-05,8th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6334
6336,DAMIR KRSTIČEVIĆ,"Krstičević, Damir",http://www.sabor.hr/lgs.axd?t=16&id=44456,HDZ,1969-07-01,10th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6336
6740,MARIJAN KUSTIĆ,"Kustić, Marijan",http://www.sabor.hr/lgs.axd?t=16&id=44557,HDZ,1975-02-10,9th,8,2016-02-05,http://www.sabor.hr/lgs.axd?t=24&id=6740
6338,BORIS LALOVAC,"Lalovac, Boris",http://www.sabor.hr/lgs.axd?t=16&id=44558,SDP,1976-11-16,6th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6338
6344,ERMINA LEKAJ PRLJASKAJ,"Lekaj Prljaskaj, Ermina",http://www.sabor.hr/lgs.axd?t=16&id=44559,Independent,1971-07-15,12th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6344
6346,JOSIP LEKO,"Leko, Josip",http://www.sabor.hr/lgs.axd?t=16&id=44458,SDP,1948-09-19,2nd,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6346
6350,IVAN LOVRINOVIĆ,"Lovrinović, Ivan",http://www.sabor.hr/lgs.axd?t=16&id=44460,MOST,1960-03-07,2nd,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6350
6352,FRANJO LUCIĆ,"Lucić, Franjo",http://www.sabor.hr/lgs.axd?t=16&id=44643,HDZ,1958-09-09,5th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6352
6354,BOŽO LJUBIĆ,"Ljubić, Božo",http://www.sabor.hr/lgs.axd?t=16&id=44459,HDZ,1949-09-30,11th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6354
6356,MARGARETA MAĐERIĆ,"Mađerić, Margareta",http://www.sabor.hr/lgs.axd?t=16&id=44461,HDZ,1977-07-02,1st,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6356
6358,BOŽICA MAKAR,"Makar, Božica",http://www.sabor.hr/lgs.axd?t=16&id=44462,HNS,1959-11-12,3rd,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6358
6360,LJUBICA MAKSIMČUK,"Maksimčuk, Ljubica",http://www.sabor.hr/lgs.axd?t=16&id=44463,HDZ,1973-11-24,5th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6360
6364,GORDAN MARAS,"Maras, Gordan",http://www.sabor.hr/lgs.axd?t=16&id=44560,SDP,1974-06-13,2nd,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6364
6366,GORAN MARIĆ,"Marić, Goran",http://www.sabor.hr/lgs.axd?t=16&id=44464,HDZ,1959-09-05,6th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6366
6368,JURO MARTINOVIĆ,"Martinović, Juro",http://www.sabor.hr/lgs.axd?t=16&id=44465,MOST,1956-11-07,6th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6368
6387,DAMIR MATELJAN,"Mateljan, Damir",http://www.sabor.hr/lgs.axd?t=16&id=44466,SDP,1970-11-26,7th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6387
6389,PREDRAG MATIĆ,"Matić, Predrag",http://www.sabor.hr/lgs.axd?t=16&id=44644,SDP,1962-06-02,5th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6389
6391,JASNA MATULIĆ,"Matulić, Jasna",http://www.sabor.hr/lgs.axd?t=16&id=44561,MOST,1959-07-01,6th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6391
6393,JASEN MESIĆ,"Mesić, Jasen",http://www.sabor.hr/lgs.axd?t=16&id=44467,HDZ,1972-06-11,7th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6393
6395,ANDRIJA MIKULIĆ,"Mikulić, Andrija",http://www.sabor.hr/lgs.axd?t=16&id=44468,HDZ,1969-05-13,2nd,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6395
6398,ZORAN MILANOVIĆ,"Milanović, Zoran",http://www.sabor.hr/lgs.axd?t=16&id=44645,SDP,1966-10-30,1st,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6398
6400,BORIS MILETIĆ,"Miletić, Boris","",IDS,1975-10-02,8th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6400
6404,DARKO MILINOVIĆ,"Milinović, Darko",http://www.sabor.hr/lgs.axd?t=16&id=44562,HDZ,1963-04-25,9th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6404
6406,DOMAGOJ IVAN MILOŠEVIĆ,"Milošević, Domagoj Ivan",http://www.sabor.hr/lgs.axd?t=16&id=44563,HDZ,1970-01-05,7th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6406
6408,ORSAT MILJENIĆ,"Miljenić, Orsat",http://www.sabor.hr/lgs.axd?t=16&id=44646,SDP,1968-09-15,1st,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6408
6410,IVICA MIŠIĆ,"Mišić, Ivica",http://www.sabor.hr/lgs.axd?t=16&id=44469,MOST,1955-02-23,5th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6410
6412,DAVORIN MLAKAR,"Mlakar, Davorin",http://www.sabor.hr/lgs.axd?t=16&id=44470,HDZ,1958-12-30,1st,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6412
6414,ANKA MRAK-TARITAŠ,"Mrak-Taritaš, Anka",http://www.sabor.hr/lgs.axd?t=16&id=44647,HNS,1959-11-24,2nd,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6414
6416,MIRANDO MRSIĆ,"Mrsić, Mirando",http://www.sabor.hr/lgs.axd?t=16&id=44648,SDP,1959-10-14,6th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6416
6679,NADA MURGANIĆ,"Murganić, Nada",http://www.sabor.hr/lgs.axd?t=16&id=44471,HDZ,1958-01-14,7th,8,2016-01-22,http://www.sabor.hr/lgs.axd?t=24&id=6679
6420,MILANKA OPAČIĆ,"Opačić, Milanka",http://www.sabor.hr/lgs.axd?t=16&id=44649,SDP,1968-04-17,7th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6420
6422,RAJKO OSTOJIĆ,"Ostojić, Rajko",http://www.sabor.hr/lgs.axd?t=16&id=40372,SDP,1962-01-19,6th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6422
6424,RANKO OSTOJIĆ,"Ostojić, Ranko",http://www.sabor.hr/lgs.axd?t=16&id=44650,SDP,1962-10-03,9th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6424
6428,DARKO PARIĆ,"Parić, Darko",http://www.sabor.hr/lgs.axd?t=16&id=44472,SDP,1977-03-28,10th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6428
6432,JAROSLAV PECNIK,"Pecnik, Jaroslav",http://www.sabor.hr/lgs.axd?t=16&id=44473,Labourists,"",4th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6432
6434,DAVOR PENIĆ,"Penić, Davor",http://www.sabor.hr/lgs.axd?t=16&id=44474,SDP,1957-12-19,10th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6434
6436,SANDRA PERKOVIĆ,"Perković, Sandra",http://www.sabor.hr/lgs.axd?t=16&id=45058,BM 365,1990-06-21,2nd,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6436
6440,IRENA PETRIJEVČANIN VUKSANOVIĆ,"Petrijevčanin Vuksanović, Irena",http://www.sabor.hr/lgs.axd?t=16&id=44476,HRID,1978-03-09,1st,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6440
6442,STIPE PETRINA,"Petrina, Stipe",http://www.sabor.hr/lgs.axd?t=16&id=44564,NLSP,1954-10-05,9th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6442
6671,STJEPAN PINTARIĆ,"Pintarić, Stjepan",http://www.sabor.hr/lgs.axd?t=16&id=44651,HDZ,1965-09-24,4th,8,2016-01-22,http://www.sabor.hr/lgs.axd?t=24&id=6671
6446,ROBERT PODOLNJAK,"Podolnjak, Robert",http://www.sabor.hr/lgs.axd?t=16&id=44652,MOST,1958-06-03,3rd,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6446
6452,DRAGO PRGOMET,"Prgomet, Drago",http://www.sabor.hr/lgs.axd?t=16&id=44478,HRID,"",1st,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6452
6454,MARIJA PUH,"Puh, Marija",http://www.sabor.hr/lgs.axd?t=16&id=44479,HNS,1985-12-05,3rd,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6454
6456,MILORAD PUPOVAC,"Pupovac, Milorad",http://www.sabor.hr/lgs.axd?t=16&id=45060,SDSS,1955-11-05,12th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6456
6458,VESNA PUSIĆ,"Pusić, Vesna",http://www.sabor.hr/lgs.axd?t=16&id=44565,HNS,1953-03-25,1st,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6458
6460,SANJA PUTICA,"Putica, Sanja",http://www.sabor.hr/lgs.axd?t=16&id=44566,HDZ,1979-01-22,10th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6460
6462,IVAN RADIĆ,"Radić, Ivan",http://www.sabor.hr/lgs.axd?t=16&id=44480,HDZ,1987-06-15,4th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6462
6464,FURIO RADIN,"Radin, Furio",http://www.sabor.hr/lgs.axd?t=16&id=45061,NZ,1950-06-01,12th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6464
6468,MIRKO RAŠKOVIĆ,"Rašković, Mirko",http://www.sabor.hr/lgs.axd?t=16&id=44567,"",1952-11-09,12th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6468
6470,ŽELJKO REINER,"Reiner, Željko",http://www.sabor.hr/lgs.axd?t=16&id=44481,HDZ,1953-05-28,1st,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6470
6474,JOSIPA RIMAC,"Rimac, Josipa",http://www.sabor.hr/lgs.axd?t=16&id=45062,HDZ,1980-02-25,9th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6474
6476,ZDRAVKO RONKO,"Ronko, Zdravko",http://www.sabor.hr/lgs.axd?t=16&id=44482,SDP,1949-09-10,5th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6476
6478,GORDANA RUSAK,"Rusak, Gordana",http://www.sabor.hr/lgs.axd?t=16&id=44483,Independent,1964-05-10,1st,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6478
6480,JOSIP SALAPIĆ,"Salapić, Josip",http://www.sabor.hr/lgs.axd?t=16&id=44568,HDSSB,1976-03-13,4th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6480
6484,ANTE SANADER,"Sanader, Ante",http://www.sabor.hr/lgs.axd?t=16&id=44486,HDZ,1960-05-17,9th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6484
6486,TOMISLAV SAUCHA,"Saucha, Tomislav",http://www.sabor.hr/lgs.axd?t=16&id=44653,SDP,1980-06-12,7th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6486
6488,IVAN SINČIĆ,"Sinčić, Ivan",http://www.sabor.hr/lgs.axd?t=16&id=44569,Human Shield,1990-08-28,7th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6488
6673,MARKO SLADOLJEV,"Sladoljev, Marko",http://www.sabor.hr/lgs.axd?t=16&id=44488,MOST,1973-04-25,7th,8,2016-01-22,http://www.sabor.hr/lgs.axd?t=24&id=6673
6490,GORDANA SOBOL,"Sobol, Gordana",http://www.sabor.hr/lgs.axd?t=16&id=44489,SDP,1961-09-12,2nd,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6490
6494,GIOVANNI SPONZA,"Sponza, Giovanni",http://www.sabor.hr/lgs.axd?t=16&id=44572,IDS,1963-08-17,8th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6494
6496,NENAD STAZIĆ,"Stazić, Nenad",http://www.sabor.hr/lgs.axd?t=16&id=44491,SDP,1957-07-13,7th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6496
6498,INES STRENJA-LINIĆ,"Strenja-Linić, Ines",http://www.sabor.hr/lgs.axd?t=16&id=44492,MOST,1965-09-04,8th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6498
6500,ANĐELKO STRIČAK,"Stričak, Anđelko",http://www.sabor.hr/lgs.axd?t=16&id=44493,HDZ,1973-06-18,3rd,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6500
6502,MIROSLAV ŠIMIĆ,"Šimić, Miroslav",http://www.sabor.hr/lgs.axd?t=16&id=44487,"",1975-10-04,4th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6502
6504,IVAN ŠIPIĆ,"Šipić, Ivan",http://www.sabor.hr/lgs.axd?t=16&id=44570,HDZ,1974-06-24,9th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6504
6508,PETAR ŠKORIĆ,"Škorić, Petar",http://www.sabor.hr/lgs.axd?t=16&id=44571,HDZ,1972-05-01,10th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6508
6510,MILIVOJ ŠPIKA,"Špika, Milivoj",http://www.sabor.hr/lgs.axd?t=16&id=44490,BUZ,1959-04-04,10th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6510
6516,IVAN ŠUKER,"Šuker, Ivan",http://www.sabor.hr/lgs.axd?t=16&id=44494,HDZ,1957-11-12,11th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6516
6518,IVAN TEPEŠ,"Tepeš, Ivan",http://www.sabor.hr/lgs.axd?t=16&id=44495,HSP AS,1980-08-08,4th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6518
6520,NANSI TIRELI,"Tireli, Nansi",http://www.sabor.hr/lgs.axd?t=16&id=44573,Labourists,1965-02-26,8th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6520
