id,name,image,party,birth_date,constituency,term,start_date,end_date,source
7055,Goran Beus Richembergh,http://www.sabor.hr/lgs.axd?t=16&id=47001&sp=170x219,HNS,1965-07-31,6th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7055
7057,Nada Turina-Đurić,http://www.sabor.hr/lgs.axd?t=16&id=47126&sp=170x219,HNS,1964-07-11,8th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7057
7059,Josip Borić,http://www.sabor.hr/lgs.axd?t=16&id=47004&sp=170x219,HDZ,1972-10-23,8th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7059
7061,Anka Mrak-Taritaš,http://www.sabor.hr/lgs.axd?t=16&id=47084&sp=170x219,HNS,1959-11-24,2nd,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7061
7064,Robert Jankovics,http://www.sabor.hr/lgs.axd?t=16&id=47037&sp=170x219,Independent,1975-08-16,12th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7064
7066,Anđelko Stričak,http://www.sabor.hr/lgs.axd?t=16&id=47121&sp=170x219,HDZ,1973-06-18,3rd,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7066
7068,Franjo Lucić,http://www.sabor.hr/lgs.axd?t=16&id=47064&sp=170x219,HDZ,1958-09-09,5th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7068
7070,Marko Vučetić,http://www.sabor.hr/lgs.axd?t=16&id=47134&sp=170x219,MOST,1977-01-28,9th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7070
7072,Miroslav Šimić,http://www.sabor.hr/lgs.axd?t=16&id=47112&sp=170x219,Most,1975-09-04,4th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7072
7074,Sabina Glasovac,http://www.sabor.hr/lgs.axd?t=16&id=47024&sp=170x219,SDP,1978-05-20,9th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7074
7076,Nikolina Babić,"",HDZ,1972-11-13,3rd,9,2016-10-14,2016-10-27,http://www.sabor.hr/lgs.axd?t=24&id=7076
7078,Boris Miletić,http://www.sabor.hr/lgs.axd?t=16&id=47077&sp=170x216,IDS,1975-10-02,8th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7078
7080,Tomislav Klarić,http://www.sabor.hr/lgs.axd?t=16&id=47047&sp=170x219,HDZ,1964-03-31,7th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7080
7082,Hrvoje Zekanović,http://www.sabor.hr/lgs.axd?t=16&id=47136&sp=170x219,HRAST,1974-04-22,9th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7082
7084,Vlatko Kopić,http://www.sabor.hr/lgs.axd?t=16&id=47051&sp=170x219,HDZ,1973-04-19,4th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7084
7086,Željko Lacković,http://www.sabor.hr/lgs.axd?t=16&id=47058&sp=170x219,Independent,1971-04-17,2nd,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7086
7088,Stjepan Kovač,http://www.sabor.hr/lgs.axd?t=16&id=47053&sp=170x219,SDP,1976-02-09,3rd,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7088
7090,Mladen Mađer,http://www.sabor.hr/lgs.axd?t=16&id=47068&sp=170x219,HSS,1965-11-28,2nd,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7090
7092,Giovanni Sponza,http://www.sabor.hr/lgs.axd?t=16&id=47118&sp=170x219,IDS,1963-08-17,8th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7092
7096,Žarko Tušek,http://www.sabor.hr/lgs.axd?t=16&id=47127&sp=170x219,HDZ,1981-09-10,3rd,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7096
7098,Joško Klisović,http://www.sabor.hr/lgs.axd?t=16&id=47049&sp=170x219,SDP,1968-08-26,1st,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7098
7100,Davor Vlaović,http://www.sabor.hr/lgs.axd?t=16&id=47132&sp=170x219,HSS,1963-07-31,5th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7100
7102,Mato Franković,http://www.sabor.hr/lgs.axd?t=16&id=47022&sp=170x219,HDZ,1982-02-23,10th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7102
7104,Bernarda Topolko,http://www.sabor.hr/lgs.axd?t=16&id=47122&sp=170x219,HNS,1959-01-30,3rd,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7104
7106,Milorad Batinić,http://www.sabor.hr/lgs.axd?t=16&id=46995&sp=170x219,HNS,1957-09-07,3rd,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7106
7108,Tulio Demetlika,http://www.sabor.hr/lgs.axd?t=16&id=47014&sp=170x219,IDS,1958-05-13,8th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7108
7111,Mato Čičak,http://www.sabor.hr/lgs.axd?t=16&id=47012&sp=170x219,HDZ,1983-08-03,6th,9,2016-10-19,"",http://www.sabor.hr/lgs.axd?t=24&id=7111
7113,Ivica Mišić,http://www.sabor.hr/lgs.axd?t=16&id=47083&sp=170x219,PH,1955-02-23,5th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7113
7115,Ivan Lovrinović,http://www.sabor.hr/lgs.axd?t=16&id=47063&sp=170x219,PH,1960-03-07,2nd,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7115
7117,Majda Burić,http://www.sabor.hr/lgs.axd?t=16&id=47009&sp=170x219,HDZ,1979-12-09,7th,9,2016-10-19,"",http://www.sabor.hr/lgs.axd?t=24&id=7117
7119,Blaženko Boban,http://www.sabor.hr/lgs.axd?t=16&id=47003&sp=170x219,HDZ,1960-08-27,10th,9,2016-10-19,"",http://www.sabor.hr/lgs.axd?t=24&id=7119
7121,Marko Sladoljev,http://www.sabor.hr/lgs.axd?t=16&id=47117&sp=170x219,MOST,1973-04-25,7th,9,2016-10-17,"",http://www.sabor.hr/lgs.axd?t=24&id=7121
7123,Maro Kristić,http://www.sabor.hr/lgs.axd?t=16&id=47054&sp=170x219,MOST,1979-05-26,10th,9,2016-10-19,2017-05-11,http://www.sabor.hr/lgs.axd?t=24&id=7123
7125,Miro Bulj,http://www.sabor.hr/lgs.axd?t=16&id=47007&sp=170x219,MOST,1972-03-11,9th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7125
7129,Ljubica Ambrušec,http://www.sabor.hr/lgs.axd?t=16&id=46988&sp=170x219,MOST,1965-02-03,2nd,9,2016-10-14,2017-05-10,http://www.sabor.hr/lgs.axd?t=24&id=7129
7131,Davor Romić,http://www.sabor.hr/lgs.axd?t=16&id=47104&sp=170x219,MOST,1958-01-04,1st,9,2016-10-19,2017-05-10,http://www.sabor.hr/lgs.axd?t=24&id=7131
7133,Nikola Grmoja,http://www.sabor.hr/lgs.axd?t=16&id=47028&sp=170x219,MOST,1981-07-28,6th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7133
7136,Dražen Bošnjaković,http://www.sabor.hr/lgs.axd?t=16&id=47005&sp=170x219,HDZ,1961-01-06,6th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7136
7137,Dragica Roščić,http://www.sabor.hr/lgs.axd?t=16&id=47106&sp=170x219,HDZ,1988-03-21,10th,9,2016-10-19,"",http://www.sabor.hr/lgs.axd?t=24&id=7137
7139,Vladimir Bilek,http://www.sabor.hr/lgs.axd?t=16&id=47002&sp=170x213,Independent,1979-07-10,12th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7139
7142,Miroslav Tuđman,http://www.sabor.hr/lgs.axd?t=16&id=47125&sp=170x219,HDZ,1946-05-25,4th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7142
7143,Željko Jovanović,http://www.sabor.hr/lgs.axd?t=16&id=47042&sp=170x219,SDP,1965-11-26,8th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7143
7145,Josip Đakić,http://www.sabor.hr/lgs.axd?t=16&id=47015&sp=170x219,HDZ,1960-11-02,4th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7145
7147,Darko Parić,http://www.sabor.hr/lgs.axd?t=16&id=47090&sp=170x219,SDP,1977-03-28,10th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7147
7149,Damir Felak,http://www.sabor.hr/lgs.axd?t=16&id=47021&sp=170x219,HDZ,1965-04-08,2nd,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7149
7151,Branka Juričev-Martinčev,http://www.sabor.hr/lgs.axd?t=16&id=47043&sp=170x219,HDZ,1965-11-13,9th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7151
7153,Gordan Maras,http://www.sabor.hr/lgs.axd?t=16&id=47071&sp=170x219,SDP,1974-06-13,2nd,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7153
7155,Franko Vidović,http://www.sabor.hr/lgs.axd?t=16&id=47147&sp=170x216,SDP,1967-11-13,9th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7155
7157,Marko Šimić,http://www.sabor.hr/lgs.axd?t=16&id=47111&sp=170x219,HDZ,1984-09-30,5th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7157
7159,Monika Udovičić,http://www.sabor.hr/lgs.axd?t=16&id=47128&sp=170x219,HDZ,1989-09-14,8th,9,2016-10-14,2016-10-27,http://www.sabor.hr/lgs.axd?t=24&id=7159
7161,Miro Totgergeli,http://www.sabor.hr/lgs.axd?t=16&id=47124&sp=170x219,HDZ,1971-11-20,2nd,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7161
7163,Goran Aleksić,http://www.sabor.hr/lgs.axd?t=16&id=46987&sp=170x219,SNAGA,1965-01-12,1st,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7163
7165,Željka Josić,http://www.sabor.hr/lgs.axd?t=16&id=47041&sp=170x219,HDZ,1978-11-08,6th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7165
7167,Siniša Varga,http://www.sabor.hr/lgs.axd?t=16&id=47130&sp=170x219,SDP,1965-08-24,1st,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7167
7169,Drago Prgomet,http://www.sabor.hr/lgs.axd?t=16&id=47097&sp=170x219,HDZ,1965-05-23,6th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7169
7171,Hrvoje Runtić,http://www.sabor.hr/lgs.axd?t=16&id=47107&sp=170x219,MOST,1973-08-29,4th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7171
7175,Ines Strenja-Linić,http://www.sabor.hr/lgs.axd?t=16&id=48813,MOST,1965-09-04,8th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7175
7177,Jasen Mesić,http://www.sabor.hr/lgs.axd?t=16&id=47074&sp=170x219,HDZ,1972-06-11,6th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7177
7179,Ermina Lekaj Prljaskaj,http://www.sabor.hr/lgs.axd?t=16&id=47060&sp=170x219,Independent,1971-07-15,12th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7179
7181,Pero Ćosić,http://www.sabor.hr/lgs.axd?t=16&id=47011&sp=170x219,HDZ,1959-10-27,5th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7181
7184,Ivan Pernar,http://www.sabor.hr/lgs.axd?t=16&id=47092&sp=170x219,Human Blockade,1985-11-14,6th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7184
7185,Ivan Ćelić,http://www.sabor.hr/lgs.axd?t=16&id=47010&sp=170x219,HDZ,1976-12-11,7th,9,2016-10-19,"",http://www.sabor.hr/lgs.axd?t=24&id=7185
7187,Petar Škorić,http://www.sabor.hr/lgs.axd?t=16&id=47116&sp=170x219,HDZ,1972-05-01,10th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7187
7189,Davor Lončar,http://www.sabor.hr/lgs.axd?t=16&id=47062&sp=170x219,HDZ,1960-10-08,9th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7189
7191,Ivan Anušić,http://www.sabor.hr/lgs.axd?t=16&id=46989&sp=170x219,HDZ,1973-10-13,4th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7191
7193,Darko Milinović,http://www.sabor.hr/lgs.axd?t=16&id=47079&sp=170x219,HDZ,1963-04-25,9th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7193
7195,Davor Miličević,http://www.sabor.hr/lgs.axd?t=16&id=47078&sp=170x219,HDZ,1966-10-18,5th,9,2016-10-20,"",http://www.sabor.hr/lgs.axd?t=24&id=7195
7197,Branko Bačić,http://www.sabor.hr/lgs.axd?t=16&id=46991&sp=170x219,HDZ,1959-06-07,10th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7197
7201,Mladen Karlić,http://www.sabor.hr/lgs.axd?t=16&id=47045&sp=170x219,HDZ,1962-09-03,5th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7201
7203,Furio Radin,http://www.sabor.hr/lgs.axd?t=16&id=47101&sp=170x219,Independent,1950-06-01,12th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7203
7205,Branimir Bunjac,http://www.sabor.hr/lgs.axd?t=16&id=47008&sp=170x219,Human Blockade,1972-03-06,3rd,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7205
7207,Krešo Beljak,http://www.sabor.hr/lgs.axd?t=16&id=46999&sp=170x219,HSS,1971-08-22,7th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7207
7209,Branimir Glavaš,http://www.sabor.hr/lgs.axd?t=16&id=47148&sp=170x219,HDSSB,1956-09-23,4th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7209
7211,Dražen Barišić,http://www.sabor.hr/lgs.axd?t=16&id=46994&sp=170x219,HDZ,1969-03-17,6th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7211
7213,Goran Dodig,http://www.sabor.hr/lgs.axd?t=16&id=47017&sp=170x219,HDS,1947-05-26,10th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7213
7215,Predrag Matić,http://www.sabor.hr/lgs.axd?t=16&id=47073&sp=170x219,SDP,1962-06-02,5th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7215
7217,Marijana Balić,http://www.sabor.hr/lgs.axd?t=16&id=46992&sp=170x219,HDZ,1981-12-25,5th,9,2016-10-20,"",http://www.sabor.hr/lgs.axd?t=24&id=7217
7219,Željko Glasnović,http://www.sabor.hr/lgs.axd?t=16&id=47023&sp=170x219,Independent,1954-02-24,11th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7219
7221,Ranko Ostojić,http://www.sabor.hr/lgs.axd?t=16&id=47088&sp=170x219,SDP,1962-10-03,9th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7221
7223,Zlatko Hasanbegović,http://www.sabor.hr/lgs.axd?t=16&id=47032&sp=170x219,HDZ,1973-06-14,2nd,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7223
7225,Miro Kovač,"",HDZ,1968-09-20,9th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7225
7227,Darko Horvat,"",HDZ,1970-09-28,3rd,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7227
7229,Anton Kliman,http://www.sabor.hr/lgs.axd?t=16&id=47149&sp=170x219,HDZ,1967-06-09,8th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7229
7279,Robert Podolnjak,http://www.sabor.hr/lgs.axd?t=16&id=47096&sp=170x219,MOST,1958-06-03,3rd,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7279
7307,Ljubica Lukačić,http://www.sabor.hr/lgs.axd?t=16&id=47066&sp=170x219,HDZ,1966-01-05,1st,9,2016-10-19,"",http://www.sabor.hr/lgs.axd?t=24&id=7307
7309,Gordan Jandroković,http://www.sabor.hr/lgs.axd?t=16&id=47036&sp=170x219,HDZ,1967-08-02,1st,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7309
7319,Ljubica Maksimčuk,http://www.sabor.hr/lgs.axd?t=16&id=47070&sp=170x219,HDZ,1973-11-24,5th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7319
7321,Željko Reiner,http://www.sabor.hr/lgs.axd?t=16&id=47103&sp=170x219,HDZ,1953-05-28,1st,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7321
7330,Darinko Dumbović,http://www.sabor.hr/lgs.axd?t=16&id=47019&sp=170x217,Reformists,1956-04-30,6th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7330
7332,Božo Petrov,http://www.sabor.hr/lgs.axd?t=16&id=47095,MOST,1979-10-16,10th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7332
7334,Josip Salapić,http://www.sabor.hr/lgs.axd?t=16&id=47108&sp=170x217,HDSSB,1976-03-13,4th,9,2016-11-04,2017-05-11,http://www.sabor.hr/lgs.axd?t=24&id=7334
7336,Ivan Vilibor Sinčić,http://www.sabor.hr/lgs.axd?t=16&id=47113&sp=170x219,Human Blockade,1990-08-28,7th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7336
7344,Darinko Kosor,http://www.sabor.hr/lgs.axd?t=16&id=47052&sp=170x219,HSLS,1965-03-14,1st,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7344
7351,Ivana Ninčević-Lesandrić,http://www.sabor.hr/lgs.axd?t=16&id=47086&sp=170x219,MOST,1983-07-24,10th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7351
7354,Damir Mateljan,http://www.sabor.hr/lgs.axd?t=16&id=47072&sp=170x219,SDP,1970-11-26,7th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7354
7356,Boris Lalovac,http://www.sabor.hr/lgs.axd?t=16&id=47059&sp=170x219,SDP,1976-11-16,10th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7356
7358,Božo Ljubić,http://www.sabor.hr/lgs.axd?t=16&id=47067&sp=170x219,HDZ,1949-09-30,11th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7358
7360,Tomislav Panenić,http://www.sabor.hr/lgs.axd?t=16&id=47089&sp=170x219,MOST,1973-03-12,5th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7360
7362,Siniša Hajdaš Dončić,http://www.sabor.hr/lgs.axd?t=16&id=47030&sp=170x219,SDP,1974-06-29,3rd,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7362
7364,Romana Jerković,http://www.sabor.hr/lgs.axd?t=16&id=47040&sp=170x216,SDP,1964-11-28,8th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7364
7366,Irena Petrijevčanin Vuksanović,http://www.sabor.hr/lgs.axd?t=16&id=47094&sp=170x219,HDZ,1978-03-09,4th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7366
7370,Milanka Opačić,http://www.sabor.hr/lgs.axd?t=16&id=47087&sp=170x219,SDP,1968-04-17,7th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7370
7372,Domagoj Ivan Milošević,http://www.sabor.hr/lgs.axd?t=16&id=47081&sp=170x219,HDZ,1970-01-05,7th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7372
7374,Ivan Šipić,http://www.sabor.hr/lgs.axd?t=16&id=47114&sp=170x219,HDZ,1974-06-24,9th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7374
7376,Vesna Bedeković,http://www.sabor.hr/lgs.axd?t=16&id=46997&sp=170x219,HDZ,1966-02-22,4th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7376
7378,Željko Raguž,http://www.sabor.hr/lgs.axd?t=16&id=47102&sp=170x219,HDZ,1959-11-08,11th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7378
7380,Mihael Zmajlović,http://www.sabor.hr/lgs.axd?t=16&id=47137&sp=170x219,SDP,1978-01-19,7th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7380
7401,Andrija Mikulić,http://www.sabor.hr/lgs.axd?t=16&id=47075,HDZ,1969-05-13,2nd,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7401
7426,Orsat Miljenić,http://www.sabor.hr/lgs.axd?t=16&id=47082&sp=170x219,SDP,1968-09-15,1st,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7426
