area_id,legislative_period_id,on_behalf_of_id,organization_id,person_id,role
area/chegutu_east,term/8,party/zanu_pf,legislature,349118bc-5fbc-44e0-b5eb-63fcbfcc05d3,member
area/chegutu_west,term/8,party/zanu_pf,legislature,6895b6df-bef7-4f19-8216-3c852aad3cb0,member
area/chikomba_central,term/8,party/zanu_pf,legislature,8f4baff2-fdfc-4841-964f-f3163419fa06,member
area/chikomba_east,term/8,party/zanu_pf,legislature,32df82aa-c50d-4823-9f81-7d2362c51f3d,member
area/chikomba_west,term/8,party/zanu_pf,legislature,43d462ce-ada2-4f3e-8cab-1c56c48169e4,member
area/chimanimani_east,term/8,party/zanu_pf,legislature,e1536336-dbf7-41a7-a83e-c2c4bbbf158f,member
area/chimanimani_west,term/8,party/zanu_pf,legislature,e23a7daa-2280-4e54-87ca-68222e1d8e44,member
area/chinhoyi,term/8,party/zanu_pf,legislature,c67af194-5f7d-4e8f-8032-3cf7551127a5,member
area/chipinge_central,term/8,party/zanu_pf,legislature,c3a3991e-e662-413e-ad00-814bb61a4b9d,member
area/chipinge_east,term/8,party/zanu_pf,legislature,4c1a3fce-395a-43d7-a813-31c5d641ad55,member
area/chipinge_south,term/8,party/zanu_pf,legislature,bdd4c820-e052-4178-9534-d88822a4d6b8,member
area/chipinge_west,term/8,party/zanu_pf,legislature,d64d37af-a10b-4241-8296-fe44c0c16e52,member
area/chiredzi_east,term/8,party/zanu_pf,legislature,79c21bdd-b5e4-44aa-a2bf-7e391c36c883,member
area/chiredzi_north,term/8,party/zanu_pf,legislature,46d8abc3-6b03-4826-8bbe-8e22b1c235d4,member
area/chiredzi_south,term/8,party/zanu_pf,legislature,d2b97fcc-0e5c-4da8-93c3-cf25f9571214,member
area/chirumanzu,term/8,party/zanu_pf,legislature,1e424ccd-3923-424e-8dc9-85704ac2f9f1,member
area/chitungwiza_north,term/8,party/mdc-t,legislature,56efeaed-b8ba-48e9-b3e9-e600a3e91686,member
area/chivi_central,term/8,party/zanu_pf,legislature,be33091e-be4a-4ab6-a6c3-488c05d75a27,member
area/chivi_north,term/8,party/zanu_pf,legislature,8c697536-d1a2-44cf-b6f7-c6481759ea60,member
area/chivi_south,term/8,party/zanu_pf,legislature,088ef39d-5afa-40f6-b469-38deb07a32e3,member
area/chiwundura,term/8,party/zanu_pf,legislature,8f54ae97-7818-4e0a-a891-6b5c3b5b5803,member
area/chutungwiza_south,term/8,party/zanu_pf,legislature,d4ebe0e1-c28e-472d-8c27-06a8fdc4a2ea,member
area/dangamvura-chikanga,term/8,party/mdc-t,legislature,0458848b-6779-4dc5-8b1d-ad8908303a6a,member
area/dzivarasekwa,term/8,party/mdc-t,legislature,b6443a74-80c5-40e8-8dcf-4d4f607d00a8,member
area/emakhandeni-entumbane,term/8,party/mdc-t,legislature,a289303e-dd74-4e5c-a0a6-ea30f916518c,member
area/epworth,term/8,party/zanu_pf,legislature,3acfb90a-56db-4652-9957-9fdaeeae19f5,member
area/glen_norah,term/8,party/mdc-t,legislature,970274bf-f4a8-4154-aa1d-bbee67b5960a,member
area/glen_view_south,term/8,party/mdc-t,legislature,797a2a05-9650-4646-8fb5-05724305e53f,member
area/gokwe,term/8,party/zanu_pf,legislature,595188ea-7f08-47e3-8c24-a9986ad96fa1,member
area/gokwe-chireya,term/8,party/zanu_pf,legislature,059ee8cc-18b9-42f6-a00d-2dd654044462,member
area/gokwe-gumunyu,term/8,party/zanu_pf,legislature,2d3fb081-7099-48be-9539-94faa4a02f36,member
area/gokwe-kabuyuni,term/8,party/zanu_pf,legislature,9128c3d3-28a7-4b95-a3a0-469e20f3361d,member
area/gokwe-kana,term/8,party/zanu_pf,legislature,50ebbde6-c009-416e-acc0-7c42b9ae4fb8,member
area/gokwe-mapfungautsi,term/8,party/zanu_pf,legislature,e7d585fd-e364-4c37-8e5f-ba915f1c941d,member
area/gokwe-nembudziya,term/8,party/zanu_pf,legislature,24ec7413-3fed-4314-b390-b03f4f275054,member
area/gokwe-sengwe,term/8,party/zanu_pf,legislature,6f1e4191-9310-4e9e-aaf5-38928b3cf3a1,member
area/gokwe-sesame,term/8,party/zanu_pf,legislature,6189a444-6907-453f-a669-729a40be250f,member
area/goromonzi_north,term/8,party/zanu_pf,legislature,2d53b781-4ed6-4c2c-9f09-98da97132afd,member
area/goromonzi_south,term/8,party/zanu_pf,legislature,85313fc7-887c-41c1-ae84-5632cecf7a22,member
area/goromonzi_west,term/8,party/zanu_pf,legislature,4f0f2191-f952-465a-8584-f4e079092e32,member
area/guruve_north,term/8,party/zanu_pf,legislature,d5239bd3-8f7a-41ac-9fd7-9a10843a6227,member
area/guruve_south,term/8,party/zanu_pf,legislature,564b5785-6eee-4495-9339-5d275c12cd48,member
area/gutu_central,term/8,party/zanu_pf,legislature,d8d80ec2-5e83-4805-bc9b-5079c488c9a7,member
area/gutu_east,term/8,party/zanu_pf,legislature,758f4734-b9bb-4004-92e1-c9474b0346e9,member
area/gutu_south,term/8,party/zanu_pf,legislature,32c2c191-3d3e-47d8-a32e-5a5015fa8357,member
area/gutu_west,term/8,party/zanu_pf,legislature,1bdd78d7-061d-4b04-ac6e-06217b4062b9,member
area/gwanda_central,term/8,party/zanu_pf,legislature,e2eb0751-b1d3-44d1-bd23-d251516b567f,member
area/gwanda_north,term/8,party/zanu_pf,legislature,853714c1-569b-4cab-99c4-192c679774b6,member
area/gwanda_south,term/8,party/zanu_pf,legislature,4b647c0a-3754-4f05-be00-e5de977e8085,member
area/gweru_urban,term/8,party/mdc-t,legislature,4b14e12b-28b3-4531-a3e1-954d54f0fcb9,member
area/harare,term/8,party/mdc-t,legislature,a42f3c50-c2fd-43ca-98c7-4945ce22a8ad,member
area/harare,term/8,party/mdc-t,legislature,aa8604c0-1f52-4b15-b44d-23f32b6ec4e7,member
area/harare,term/8,party/zanu_pf,legislature,f91ca6a2-1670-470c-9395-6c00e190cdd4,member
area/harare_cental,term/8,party/mdc-t,legislature,5a027c4a-64e3-44e8-b4b2-529ca8a81684,member
area/harare_north,term/8,party/zanu_pf,legislature,056ee26a-b2b1-4547-8612-1839ec1630c5,member
area/harare_south,term/8,party/zanu_pf,legislature,31f2f564-00e4-4d0e-8c7c-befba4fef091,member
area/harare_west,term/8,party/mdc-t,legislature,9466549d-52e6-4365-a732-651da9cb9303,member
area/hatfield,term/8,party/mdc-t,legislature,848dc427-9566-4a75-bde3-8e8a0bc6abf5,member
area/headlands,term/8,party/zanu_pf,legislature,52dda82b-02c8-46ee-9097-dba5eecea1ae,member
area/highfield_east,term/8,party/mdc-t,legislature,62f2246f-99e9-4f7a-a786-0766b3d37038,member
area/highfield_west,term/8,party/mdc-t,legislature,f3a8eab7-d86f-4e72-a603-80a806e249d5,member
area/hurungwe_central,term/8,party/zanu_pf,legislature,a66a1991-9786-43b8-8a78-a836b6463e59,member
area/hurungwe_east,term/8,party/zanu_pf,legislature,737ac326-6093-40ea-a158-40ea766305eb,member
area/hurungwe_north,term/8,party/zanu_pf,legislature,bf18d97d-18dc-4e3c-96dd-322779411860,member
area/hurungwe_west,term/8,party/zanu_pf,legislature,0d1bd754-0be3-4973-91d7-67f9783fca7c,member
area/hwange_east,term/8,party/mdc-t,legislature,83dcaba9-1dcb-4ab1-99c6-aaee92a90a18,member
area/hwange_west,term/8,party/zanu_pf,legislature,9a58e8be-9f9f-4cdd-8f56-5da9ccd9a9b0,member
area/insiza_south,term/8,party/zanu_pf,legislature,35046ffc-4b9e-4e08-9b0c-649c3aa411f6,member
area/insizo_north,term/8,party/zanu_pf,legislature,61711609-2633-4daa-8ef2-beefef99771f,member
area/kadoma_central,term/8,party/zanu_pf,legislature,da183bf3-bbe1-4fba-92f5-82c018aea8f5,member
area/kambuzuma,term/8,party/mdc-t,legislature,1cd6f0b2-be72-4b60-a222-2b7d6e5946d2,member
area/kariba,term/8,party/zanu_pf,legislature,180b696c-26cb-4530-b1a8-173dc08e9a66,member
area/kuwadzana,term/8,party/mdc-t,legislature,8acfe5a5-8f53-4f2b-a0ab-fa079ae074ae,member
area/kuwadzana_east,term/8,party/mdc-t,legislature,6c988957-6089-4659-8005-a6c32b2fcde5,member
area/kwekwe_central,term/8,party/zanu_pf,legislature,d226f327-a6f1-40ef-9551-eed1b4f4bc6b,member
area/lobengula,term/8,party/mdc-t,legislature,3b9d6515-cd3f-4297-8c4a-e647470c2f65,member
area/lupane_east,term/8,party/zanu_pf,legislature,be378d4c-d3ac-4f8b-af0f-784afeb52055,member
area/lupane_west,term/8,party/zanu_pf,legislature,74c70777-46c8-4df8-b093-256afabc2957,member
area/luveve,term/8,party/mdc-t,legislature,3f4d2228-90d2-41dd-a658-0e0d34e97b9f,member
area/mabvuku-tafara,term/8,party/mdc-t,legislature,4467c763-936e-4e3a-975b-281b0586e3c1,member
area/magunje,term/8,party/zanu_pf,legislature,982c56ca-2136-4ccd-844c-c0014df0e609,member
area/magwegwe,term/8,party/mdc-t,legislature,79671961-22b7-4ff0-b201-b00f3b2ebfa0,member
area/makokoba,term/8,party/mdc-t,legislature,a3137e0d-6c94-4fdb-a631-07b356a3f71c,member
area/makonde,term/8,party/zanu_pf,legislature,84628452-ef5a-414a-8cb7-2f1e0bc53fcb,member
area/makoni_central,term/8,party/zanu_pf,legislature,7d528638-203d-4e79-b80b-c73944835648,member
area/makoni_north,term/8,party/zanu_pf,legislature,0c5473c5-0df9-448c-93a2-03184993e705,member
area/makoni_south,term/8,party/zanu_pf,legislature,c6dd329d-b2fc-48c8-b4e0-6eaeed489056,member
area/makoni_west,term/8,party/zanu_pf,legislature,38da7403-e2dc-447c-a81a-1029c66467de,member
area/mangwe,term/8,party/zanu_pf,legislature,6ff62d8e-70c5-4af4-b8df-e95508d52f52,member
area/manicaland,term/8,party/zanu_pf,legislature,97684b55-0540-4768-b9ae-879a846c5260,member
area/maramba_pfungwe,term/8,party/zanu_pf,legislature,9035db58-efdd-48b6-beca-a71d5135fc60,member
area/marondera_central,term/8,party/zanu_pf,legislature,97d0d5e4-281c-4d91-8b61-a7f4fd684a19,member
area/marondera_west,term/8,party/zanu_pf,legislature,98aec1f1-6cf7-48c2-bb34-3d206f9cecec,member
area/mashonaland_east,term/8,party/zanu_pf,legislature,54cf0820-622e-4713-bdfb-7d7c00e47e8c,member
area/mashonaland_east,term/8,party/zanu_pf,legislature,5f767a39-4533-4863-8b60-29c6016107e2,member
area/mashonaland_east,term/8,party/zanu_pf,legislature,9e9e58f7-427f-49e0-878c-de5e5cf4abf3,member
area/mashonaland_east,term/8,party/zanu_pf,legislature,fbf2b04f-827d-4fe7-b97e-14884d911161,member
area/mashonaland_west,term/8,party/zanu_pf,legislature,a4dd55a7-71b1-448d-8e69-f2959ca949a8,member
area/mashonaland_west,term/8,party/zanu_pf,legislature,c98d970a-efd6-4bec-bbf8-fa3fb6c98cd0,member
area/mashonaland_central,term/8,party/zanu_pf,legislature,1787c6e6-d71c-42f7-af4d-bf38668ce65d,member
area/masvingo,term/8,party/mdc-t,legislature,755b99aa-0052-4bfd-a950-c5ecd3034492,member
area/masvingo,term/8,party/zanu_pf,legislature,f0d06042-32ff-4d10-9a35-f6576daaaaa9,member
area/masvingo_central,term/8,party/zanu_pf,legislature,5fb94a09-628f-45dc-a184-6498b67b20a9,member
area/masvingo_north,term/8,party/zanu_pf,legislature,59caf53f-854b-4091-91d7-1a573e81a27c,member
area/masvingo_south,term/8,party/zanu_pf,legislature,528c2566-712a-4db5-beeb-93ea0872ef1a,member
area/masvingo_urban,term/8,party/zanu_pf,legislature,adc5416a-f822-4438-8d9b-001fc4c5e1aa,member
area/masvingo_west,term/8,party/zanu_pf,legislature,78c6ceab-64f7-428e-b4e7-0f2d37695f15,member
area/matebeleland_south,term/8,party/mdc-t,legislature,028b8ac6-9d61-4405-9869-905dcf8b31c0,member
area/matebeleland_south,term/8,party/mdc,legislature,14d98a4e-9fb3-4f9a-bc19-c3e569251f2f,member
area/matebeleland_south,term/8,party/zanu_pf,legislature,7682f918-2395-44cb-a4f7-972d43393739,member
area/matebeleland_south,term/8,party/zanu_pf,legislature,94955e72-aa5d-4b4d-af01-d3920ff9d3be,member
area/matebeleland_south,term/8,party/mdc-t,legislature,d4f226e0-5fad-4cd5-959b-8b8f0c9d1356,member
area/matobo_north,term/8,party/zanu_pf,legislature,1bd31b81-ab68-4245-be89-1f280ea96d71,member
area/matobo_south,term/8,party/zanu_pf,legislature,153a802f-515d-4b51-a654-c99eac44fe3b,member
area/mazowe_central,term/8,party/zanu_pf,legislature,32e5e401-4d02-4c65-a52c-89d197263ab4,member
area/mazowe_north,term/8,party/zanu_pf,legislature,e507a59c-df53-4684-925e-22e5669260e6,member
area/mazowe_south,term/8,party/zanu_pf,legislature,d8e8be5e-a080-4873-b4da-81470260d331,member
area/mazowe_west,term/8,party/zanu_pf,legislature,e1973afb-5fd1-4ca9-8a32-a9e292dbaa53,member
area/mbare,term/8,party/zanu_pf,legislature,87c03a9d-ac3d-49db-baee-be3cc190d17a,member
area/mberengwa_east,term/8,party/zanu_pf,legislature,81967f39-0c7e-46b4-8581-40fd05542ad4,member
area/mberengwa_south,term/8,party/zanu_pf,legislature,14cc43d7-b64b-4a74-b9c0-670f3ff54c25,member
area/mberengwa_west,term/8,party/zanu_pf,legislature,ad191d37-33d4-4dd7-b53d-954b4319513b,member
area/mbire,term/8,party/zanu_pf,legislature,f8fab022-a55d-4af2-9967-089c7d57760a,member
area/mbizo,term/8,party/mdc-t,legislature,eb6f5e38-2970-4b47-b122-6cecb10e6da2,member
area/mhangura,term/8,party/zanu_pf,legislature,3ac53a40-f8ce-41d6-9c97-fe0da3278c89,member
area/mhondoro-mubaira,term/8,party/zanu_pf,legislature,c02a494f-4426-4f4a-ba17-55056483fe4f,member
area/mhondoro-ngezi,term/8,party/zanu_pf,legislature,fcb67dda-4e74-410d-945d-ffc5a9487ae6,member
area/midlands,term/8,party/zanu_pf,legislature,2e08e7ed-ab3a-462f-bfe6-3d8dafb7ab82,member
area/midlands,term/8,party/zanu_pf,legislature,cefeb0c3-f983-4a8e-988e-dd706d1e1ebc,member
area/mt_darwin_east,term/8,party/zanu_pf,legislature,013e0bd6-c3e0-4d09-8a77-37bb50bf5a71,member
area/mt_darwin_north,term/8,party/zanu_pf,legislature,ff39ff44-d4fb-4f8f-8437-cdcb5fd3eea6,member
area/mt_darwin_west,term/8,party/zanu_pf,legislature,af663c3c-d52a-4628-b6b1-4ecf645eb11b,member
area/mt_pleasant,term/8,party/zanu_pf,legislature,a7adbb79-9556-4c6f-b8d9-df38d63a261a,member
area/mudzi_north,term/8,party/zanu_pf,legislature,fd50f84c-6472-4b56-91ce-1602761e0607,member
area/mudzi_south,term/8,party/independent,legislature,307faa76-7da8-4ba5-8dd2-7008477f6962,member
area/mudzi_west,term/8,party/zanu_pf,legislature,734c8434-5f4e-474e-a063-823e306de876,member
area/mufakose,term/8,party/mdc-t,legislature,9e353383-fa27-45e3-8d27-933d3998d7ba,member
area/murehwa_north,term/8,party/zanu_pf,legislature,3cdbeefb-f72b-44f8-b94f-11740a68fea8,member
area/murehwa_south,term/8,party/zanu_pf,legislature,a2cc183b-55af-404f-86fd-660fdce19138,member
area/murehwa_west,term/8,party/zanu_pf,legislature,de168739-5d05-49e8-ab1e-d5348c05fa58,member
area/musikavanhu,term/8,party/mdc-t,legislature,4e330a25-b6ca-4b20-8801-cbc0317b4cb4,member
area/mutare_central,term/8,party/mdc-t,legislature,963a6d60-07b9-49c3-9959-cf795ffb9b63,member
area/mutare_north,term/8,party/zanu_pf,legislature,1d396e63-ec65-47bc-99e8-acad9ab285f2,member
area/mutare_south,term/8,party/zanu_pf,legislature,dbddd8e1-79bf-4ce4-a3e2-e6face55b51d,member
area/mutare_west,term/8,party/zanu_pf,legislature,3745fd9e-c470-4efe-a03d-865a21a02dee,member
area/mutasa_central,term/8,party/mdc-t,legislature,9b2417d4-0cbe-492b-87ed-e9b83f50432c,member
area/mutasa_north,term/8,party/zanu_pf,legislature,4a4fb767-b7f2-433f-bee6-8e48416c7e2d,member
area/mutasa_south,term/8,party/zanu_pf,legislature,78c794d3-5a7d-4166-9c1e-24bb03bc9741,member
area/mutoko_east,term/8,party/zanu_pf,legislature,d21d663e-91d8-45b8-8a4d-f6aba60cd890,member
area/mutoko_north,term/8,party/zanu_pf,legislature,33a8a270-99c9-435a-b3d8-66486e865558,member
area/mutoko_south,term/8,party/zanu_pf,legislature,45ef46ef-8c15-42df-83da-130dd606d001,member
area/muzarabani_north,term/8,party/zanu_pf,legislature,ad015d92-890d-4e1b-83fd-992045b066b5,member
area/muzarabani_south,term/8,party/zanu_pf,legislature,9ec0c050-b416-41a5-a177-09836e9b6bfe,member
area/muzvezve,term/8,party/zanu_pf,legislature,89ffab5d-90fb-4d01-bcf3-a7f67808b08f,member
area/mwenezi_east,term/8,party/zanu_pf,legislature,b7ecd7df-b83f-478c-a088-3c441f01f076,member
area/mwenezi_west,term/8,party/zanu_pf,legislature,d34f35b0-8d4f-4ca0-ac60-65a2a773f405,member
area/n/a,term/8,party/zanu_pf,legislature,f8a23f87-4bb9-4227-9682-ddc6083b8322,member
area/nkayi_north,term/8,party/zanu_pf,legislature,b326d6ff-ac65-4539-9e91-e5d740774b95,member
area/nkayi_south,term/8,party/mdc-t,legislature,53db868e-8ecf-4e5a-9bcd-86811afc6bf1,member
area/nketa,term/8,party/mdc-t,legislature,acc9d454-505e-453e-bd4b-a8882a20d5f0,member
area/nkulumane,term/8,party/mdc-t,legislature,ed981f28-00ed-4d1c-8d97-d5ecb316686b,member
area/non_constituency,term/8,party/zanu_pf,legislature,9fdc2b86-4e48-42c9-8eea-be5ab4aefe87,member
area/norton,term/8,party/zanu_pf,legislature,4a176dba-c23f-49a5-9ff3-e783e4876b04,member
area/nyanga_north,term/8,party/zanu_pf,legislature,01e0c097-5389-40dc-85ce-61e62ac1e56a,member
area/nyanga_south,term/8,party/zanu_pf,legislature,d3610a68-a2ea-44f5-a2c3-352fa4259da7,member
area/pelandaba-mpopoma,term/8,party/mdc-t,legislature,bf54beed-a0ad-4ddc-b026-faa038a8d356,member
area/pumula,term/8,party/mdc-t,legislature,4cff869c-d397-46b7-825f-aa639e9f5ff5,member
area/redcliff,term/8,party/zanu_pf,legislature,27f6c9b1-1c9e-4601-be11-b2c062eec662,member
area/rushinga,term/8,party/zanu_pf,legislature,c7edb148-c520-4e36-8772-f4a870bf2054,member
area/sanyati,term/8,party/zanu_pf,legislature,7d6ce7cd-4c0d-4168-9007-a73205044f10,member
area/seke,term/8,party/zanu_pf,legislature,227ddcbe-8d4b-498a-8d4e-fdc96def99e1,member
area/shamva_north,term/8,party/zanu_pf,legislature,b41a1e7a-d43b-4f50-aa9e-717009b974e1,member
area/shamva_south,term/8,party/zanu_pf,legislature,d70684a4-97c7-4aa9-a593-cfd10530ff27,member
area/shurugwi_north,term/8,party/zanu_pf,legislature,ec0e6728-5abc-4863-8f38-ba3fc7d473f0,member
area/shurugwi_south,term/8,party/zanu_pf,legislature,ce3defff-30ea-4e41-966c-82a913fbe6fb,member
area/silobela,term/8,party/zanu_pf,legislature,038bf59d-dc08-4686-8610-b392900b4a95,member
area/southerton,term/8,party/mdc-t,legislature,71bdbb61-8f02-4b0d-88dc-38e586a3e959,member
area/st_mary's,term/8,party/mdc-t,legislature,7bd3e99f-5023-4191-8eee-fecb519650a6,member
area/sunningdale,term/8,party/mdc-t,legislature,9ded0a36-ac50-4736-b4ad-7a7e53efa40f,member
area/tsholotsho_north,term/8,party/mdc-t,legislature,e41f2f54-9050-4170-a151-7196cebb52df,member
area/tsholotsho_south,term/8,party/zanu_pf,legislature,1108c6d7-b40a-4597-94d9-75445ba040d1,member
area/umzingwane,term/8,party/zanu_pf,legislature,1cfe837d-7b71-4729-b416-80cd2e14f936,member
area/uzumba,term/8,party/zanu_pf,legislature,a787d094-699d-4dd2-ba1f-156714d728f2,member
area/vungu,term/8,party/zanu_pf,legislature,cd575780-98b6-4f93-9737-96f02fb57dff,member
area/wedza_north,term/8,party/zanu_pf,legislature,5010c5bc-b405-4e8d-a804-3d6c3e8d0f22,member
area/wedza_south,term/8,party/zanu_pf,legislature,0ea12299-4671-44ce-9c1d-3cf37b4bafcd,member
area/zaka_central,term/8,party/zanu_pf,legislature,189a289e-4e2f-47d8-a464-312143655729,member
area/zaka_east,term/8,party/zanu_pf,legislature,56744571-a80a-4f18-93b2-6c7b47a5e0d6,member
area/zaka_north,term/8,party/zanu_pf,legislature,7d43a319-3a5c-44af-bfde-20dd65331dad,member
area/zaka_west,term/8,party/zanu_pf,legislature,d58e3df2-ba84-4c92-ad64-5215414feda8,member
area/zengeza_east,term/8,party/mdc-t,legislature,a7c1068d-ab38-4907-aa6d-e10ea76356d4,member
area/zengeza_west,term/8,party/mdc-t,legislature,83b2dd44-e942-4ca3-8c6b-448392b9545b,member
area/zhombe,term/8,party/zanu_pf,legislature,71eac4f9-a03e-4580-bf6d-ae5203fc4bae,member
area/zvimba_east,term/8,party/zanu_pf,legislature,098c3c79-2e68-4e99-9ced-4385abc0abf6,member
area/zvimba_north,term/8,party/zanu_pf,legislature,7c5d7f25-61d4-4569-ac92-c39885fee149,member
area/zvimba_south,term/8,party/zanu_pf,legislature,0e35472e-d764-4dfa-b63d-b15d194a5278,member
area/zvimba_west,term/8,party/zanu_pf,legislature,4d64b70d-6047-4006-aa43-984b5c10d80b,member
area/zvishavane-ngezi,term/8,party/zanu_pf,legislature,c553e4cb-e5b0-482b-9e65-8879e3f5a250,member
area/zvishavane-runde,term/8,party/zanu_pf,legislature,90c40d5b-acac-4c9b-9bad-be1d68fe1bc9,member
