name,gender,occupation,party,image,area,area_id,term,source
Mr. YEO FOZIE,male,INSTITUTEUR,RHDP,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/yeo.jpg,ABIDJAN,8-22,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. BAKAYOKO HAMED,male,JOURNALISTE,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/hamback_legis2011.jpg,SEGUELA,32-93,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. PEGAWAGNABA BONIFACE,male,INSPECTEUR DE LA MARINE A LA RETRAITE,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/pegawagnaba.tiff,FERKESSEDOUGOU,30-86,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. MOUSSA DOSSO,male,CADRE DE LA FONCTION PUBLIQUE,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/moussa_dosso.jpg,MANKONO,5-13,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. DJEDJE MADY ALPHONSE,male,PROFESSEUR TITULAIRE D`UROLOGIE,PDCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/mady.jpg,ISSIA,18-49,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. HEILMS FRANCOIS MARCEL,male,INGENIEUR DES TP,RHDP,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/heilms_francois_titu.jpg,ABIDJAN,8-22,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. TRAORE IDRISSA,male,CADRE COMMERCIAL,RHDP,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/traore_idrissa_titu.jpg,ABIDJAN,8-22,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. AMADOU GON COULIBALY,male,INGENIEUR,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/gon.jpg,KORHOGO,27-78,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. COULIBALY MAMADOU SANGAFOWA,male,MINISTRE DE L`AGRICULTURE,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/coull1.jpg,KORHOGO,27-78,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. LACINA KONE,male,INSTITUTEUR RETRAITE,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/lacina_kone.tiff,KORHOGO,27-78,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mme BAMBA SOGONA,female,CONSEILLER EN COMMUNICATION,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/BAMBA_SOGONA.jpg,NIAKARAMANDOUGOU,17-47,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. TOIKEUSSE MABRI ALBERT,male,MEDECIN,UDPCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/toikeusse_mabri.tiff,ZOUAN-HOUNIEN,31-91,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. TOURE GAOUSSOU,male,DIRECTEUR DE SOCIETE,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/toure_gaoussou.tiff,ODIENNE - SAMATIGUILA,21-59,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. DIAKITE COTY SOULEIMANE,male,CHIRUGIEN DENTISTE,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/diakite_coty_souleymane.tiff,ODIENNE - SAMATIGUILA,21-59,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. BAMBA MESSAMBA,male,ENSEIGNANT,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/Bamba_messamba.tiff,SEGUELA,32-93,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. DIAWARA MAMADOU,male,DIRECTEUR DE SOCIETE,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/diawara_mamadou.jpg,ABIDJAN,8-22,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. SIDIBE ABDOULAYE,male,AGENT DE MAIRIE,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/sidibe_abdoulaye.jpg,ABIDJAN,8-22,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. MEITE YAYA,male,TECHNICIEN SUPERIEUR,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/meite_yaya.tiff,KANI,32-92,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. ACHI PATRICK JEROME,male,INGENIEUR,PDCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/achi.jpg,ADZOPE,24-66,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. ASSOUMOU MEA,male,INGENIEUR ELECTROTECHNICIEN,PDCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/assoumou_mea.tiff,BONGOUANOU,26-74,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. DOUMBIA ALASSANE,male,TRANSPORTEUR,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/doumbia_alassane.tiff,ODIENNE - SAMATIGUILA,21-59,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. DARRET BABAUD MATHIEU,male,MINISTRE,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/darret_babaud_mathieu.jpg,DALOA,18-48,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. KONE BOUBACAR,male,"DIRECTEUR CABINET DU MAIRE, PROFESSEUR",RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/kone_boubacar.jpg,DALOA,18-48,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. KOUAME KOFFI NORBERT,male,INGENIEUR- ECONOMISTE,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/kouame_koffi_norbert.jpg,DALOA,18-48,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. TOUNGARA ADAMA,male,INGENIEUR,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/adamatou.jpg,ABIDJAN,8-22,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mme KAMISSOKO KANDIA,female,PROFESSEUR,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/kandia.jpg,ABIDJAN,8-22,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. FEH SUNDE,male,ECONOMISTE RETRAITE,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/feh_sunde.jpg,ABIDJAN,8-22,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. KONE SIAKA,male,PROFESSEUR,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/kone_siaka-2.jpg,ABIDJAN,8-22,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. YAYORO KARAMOKO,male,ENSEIGNANT,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/karamoko.jpg,ABIDJAN,8-22,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mme BAMBA AFFOUSSIATA,female,AVOCATE,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/affousy.jpg,ABIDJAN,8-22,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. SERIBA COULIBALY,male,CHIRURGIEN-DENTISTE,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/SERIBA_COULIBALY.jpg,GAGNOA,13-32,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. DACOURY-TABLEY LOUIS ANDRE,male,RETRAITE,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/DACOURY_TABLEY.jpg,GAGNOA,13-32,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. LASSINA DIABAGATE,male,INSTITUTEUR A LA RETRAITE,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/LASSINA_DIABAGATE.jpg,KOUTO,3-8,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. KOUAKOU ABONOUAN LOUIS,male,PLANTEUR,PDCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/KOUAKOU_ABONOUAN.jpg,BOUAKE,11-28,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mme KOUAKOU AKISSI COLETTE,female,SECRETAIRE,PDCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/KOUAKOU_AKISSI.jpg,BOUAKE,11-28,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. AKA AOUELE,male,PHARMACIEN,PDCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/aka.jpg,ABOISSO,29-82,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. ADAMA SYLLA,male,CADRE DE BANQUE,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/adama.jpg,ABIDJAN,8-22,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. SIAKA OUATTARA,male,EDUCATEUR À LA RETRAITE,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/SIAKA_OUATTARA.jpg,ABIDJAN,8-22,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. KOUASSI BODI THEODORE,male,INGENIEUR DES TP,PDCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/KOUASSI_BODI .jpg,OUME,13-33,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. KONE ABOUBACAR SIDIKI,male,PROFESSEUR,INDEPENDANT,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/kone_aboubacar_sidiki.tiff,KANI,32-92,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. BODO PEZITAUD HONORE,male,INGENIEUR,PDCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/bodo_pezitaud_honore.tiff,SOUBRE,25-71,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. YAO YAO LAZARE,male,CHEF D`ENTREPRISE,PDCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/yao_yao_lazard.tiff,SOUBRE,25-71,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. GNANGADJOMON KONE,male,CHERCHEUR,INDEPENDANT,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/GNANGADJOMON_KONE.jpg,MANKONO,5-13,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. KOBENAN KOUASSI ADJOUMANI,male,PROFESSEUR CERTIFIE,PDCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/adjoumani.jpg,TANDA,14-37,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. DIBY KOUASSI,male,RETRAITE,PDCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/DIBY_KOUASSI.jpg,BOTRO,11-27,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. ISSOUF TRAORE,male,INGENIEUR,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/issouf_traore.tiff,ODIENNE - SAMATIGUILA,21-59,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. SOUMAHORO SEKOUBA,male,PROFESSEUR,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/soumahoro_sekouba.tiff,SOUBRE,25-71,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. SANOGO MAMADOU,male,COMMERCANT,INDEPENDANT,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/sanogo_mamadou.tiff,OUANGOLODOUGOU,30-87,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mme AKA AMANAN VERONIQUE,female,ADMINISTRATEUR DE SOCIETE,INDEPENDANT,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/aka_amanan.tiff,M`BATTO,26-76,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. IBRAHIMA CISSE,male,ENSEIGNANT JURISTE,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/cisse.jpg,ABIDJAN,8-22,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mme DIALLO MA,female,ENTREPRENEUR,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/diallo_ma_titu.jpg,ABIDJAN,8-22,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mme TRAORE ADJARATOU,female,INGENIEUR COMMERCIAL,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/traore_adjaratou_titu.jpg,ABIDJAN,8-22,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. BANZIO DAGOBERT,male,INGENIEUR DES TP ET ECONOMISTE,PDCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/banzio.jpg,BLOLEQUIN,7-19,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mme OULAI ZAGNI MADELEINE,female,SECRETAIRE DE DIRECTION,PDCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/oulai_zagni_madeleine.jpg,BLOLEQUIN,7-19,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mme TRAZERE OLIBE CELESTINE,female,MENAGERE,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/trazere_olibe_celestine.jpg,ISSIA,18-49,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. DIOMANDE MAMADOU,male,MEDECIN,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/DIOMANDE_MAMADOU.jpg,ISSIA,18-49,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. SORO GOPEGUE DAOUDA PIERRE,male,TECHNICIEN SUPERIEUR,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/soro_gopegue.tiff,KORHOGO,27-78,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. OUATTARA ANZOUMANAN,male,AGENT COMMERCIAL,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/OUATTARA_ANZOUMANAN.jpg,DABAKALA,17-45,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. GNAMIEN KONAN,male,INGENIEUR INFORMATICIEN,UPCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/gnanmien.jpg,BOTRO,11-27,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mme KAMARA AMINATA,female,RETRAITEE,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/amy.jpg,ABIDJAN,8-22,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. BAKAYOKO IBRAHIMA,male,ARCHITECTE,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/BAKAYOKO_IBRAHIMA.jpg,KORO,2-4,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. COULIBALY TIEMOKO YADE FRANCIS DOMINIQUE,male,PCA SGBCI,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/coulibaly_tiemoko.tiff,SINEMATIALI,27-79,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. OUATTARA LAMINE SIMON,male,CADRE FINANCIER,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/OUATTARA_LAMINE.jpg,NIAKARAMANDOUGOU,17-47,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. ALLY COULIBALY,male,JOURNALISTE,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/ALLY_COULIBALY.jpg,DABAKALA,17-45,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. STANISLAS DIDIE KINDIA,male,PROFESSEUR D`ANGLAIS,INDEPENDANT,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/stanislas_didie.tiff,AKOUPE,24-67,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. NETRO TAGBO RENE,male,PLANTEUR,PDCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/netro_tagbo_rene.tiff,SOUBRE,25-71,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. SALE POLI,male,ECONOMISTE,PDCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/sale_poli.tiff,SOUBRE,25-71,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. YOBOUA KOUABENAN CEVERIN,male,TRANSPORTEUR,INDEPENDANT,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/YOBOUA_KOUABENAN.jpg,TRANSUA,14-38,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. KONE DRAMANE,male,ENTREPRENEUR,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/KONE_DRAMANE .jpg,KANIASSO - MINIGNAN,10-25,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. ADJE KOUADIO FREDERIC,male,MEDECIN,INDEPENDANT,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/adje_kouadio.tiff,DAOUKRO,19-52,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mme FOFANA NOSSAMBA,female,INFIRMIERE-PUERICULTRICE,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/FOFANA_NOSSAMBA.jpg,BOUAKE,11-28,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. TOURE MAMADOU,male,MILITAIRE EN RETRAITE,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/TOURE_MAMADOU1.jpg,BOUAKE,11-28,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. LASSINA DIOMANDE,male,PHARMACIEN,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/LASSINA_DIOMANDE.jpg,BOUAKE,11-28,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. FOFANA BEMA,male,CHEF D`ENTREPRISE,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/FOFANA_BEMA.jpg,BOUAKE,11-28,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. SORO TIORNA,male,INGENIEUR COMMERCIAL,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/soro_tiorna.tiff,KORHOGO,27-78,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. BOUEKA NABO CLEMENT,male,MAIRE,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/boueka_nabo_clement.tiff,SAN PEDRO,28-80,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. SILUE ZONLEWA,male,PROFESSEUR,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/silue_zonlewa.tiff,SAN PEDRO,28-80,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. BESSIN KOFFI MAURICE,male,INGENIEUR AGRONOME,PDCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/bessin_koffi.tiff,DAOUKRO,19-52,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. AMARA BAMBA,male,MEDECIN,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/AMARA_BAMBA.jpg,TOUBA,2-6,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. SORO N`DOSSOULOU YACOUBA,male,MENUISIER,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/soro_ndossoulou.tiff,KORHOGO,27-78,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. KAFANA KONE,male,INGENIEUR DES TRAVAUX PUBLICS,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/kafane.jpg,ABIDJAN,8-22,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. YOBOU DJIRABOU BENOIT,male,INGENIEUR COMMERCIAL,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/YOBOU_DJIRABOU.jpg,ABIDJAN,8-22,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. IMBASSOU OUATTARA ABBAS,male,INSTITUTEUR,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/IMBASSOU_OUATTARA.jpg,ABIDJAN,8-22,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. MAGONE BI TOUVOLI,male,COMPTABLE,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/MAGONE_BI.jpg,ABIDJAN,8-22,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mme BREGNON PAULINE,female,CHEF D`ENTREPRISE,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/BREGNON_PAULINE.jpg,ABIDJAN,8-22,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mme NASSALATOU DIABY,female,COMMERCANTE,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/NASSALATOU_DIABY.jpg,ABIDJAN,8-22,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. BAUDOUA KOUADIO KOFFI DIDIER,male,ECONOMISTE,PDCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/BAUDOUA_KOUADIO.jpg,ATTIEGOUAKRO,9-23,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. DIOMANDE LASSINA,male,CHEF D`ENTREPRISE,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/DIOMANDE_LASSINA.jpg,KORO,2-4,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. KONE DOGNON,male,DIRECTEUR ADMINISTRATIF DE SOCIETE,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/KONE_DOGNON.jpg,BOUNDIALI,3-7,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. SOILIO TRAOLE,male,COL DES DOUANES A LA RETRAITE,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/soilio_traole.jpg,MANKONO,5-13,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. BEUGRE LOBOGNON SAMUEL,male,PLANTEUR,PDCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/beugre_lobognon_samuel.tiff,GUITRY,22-61,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. COULIBALY ABOUBAKARY,male,AGENT ADMINISTRATIF,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/COULIBALY_ABOUBAKARY.jpg,DABAKALA,17-45,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. LAMINE KONE,male,COMPTABLE,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/LAMINE_KONE .jpg,OUANINOU,2-5,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mme TRAORE MARIAME,female,CHEF D`ENTREPRISE,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/TRAORE_MARIAME.jpg,TENGRELA,3-9,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
