id,name,area,photo,party,term
23,Mohamed Mahmoud Mohamed Ahmed El   Ghazouani,Boumdeid,http://www.assembleenationale.mr/cache/mohamed%20mahmoud%20ould%20ghazwaniassembleenationalemr_thumb_medium117_150.jpg,unknown,12
24,Zeine Ahmed Salem El Bechir,Barkeol,http://assembleenationale.mr/images/stories/membres/zein_ahmed_salem_kebad.jpg,unknown,12
25,Mohamed Abdellahi Bebana,Barkeol,http://www.assembleenationale.mr/cache/mohamed%20ould%20babanaassembleenationalemr_thumb_medium116_157.jpg,unknown,12
26,Moustapha Yero Kane,Kaedi,http://www.assembleenationale.mr/cache/moustapha%20yero%20kaneassembleenationalemr_thumb_medium116_157.png,unknown,12
27,Souleymane Aly Ba,Kaedi,http://www.assembleenationale.mr/cache/souleymane%20aly%20baassembleenationalemr_thumb_medium127_154.png,unknown,12
28,Yahya Bocar Ba,Kaedi,http://www.assembleenationale.mr/cache/bah%20yahyaassembleenationalemr_thumb_medium137_175.jpg,unknown,12
29,Mamoudou Mamadou Niang,Maghama,http://www.assembleenationale.mr/cache/mamadou%20niangassembleenationalemr_thumb_medium139_176.jpg,unknown,12
30,Mohamed Seydi Seydi,Maghama,http://www.assembleenationale.mr/cache/sam_00401396612463_thumb_medium141_179.jpg,unknown,12
31,Jaafar Melaynine Hachem,M'Bout,http://www.assembleenationale.mr/cache/jaavar%20ould%20melaynineassembleenationalemr_thumb_medium137_173.jpg,unknown,12
32,Adama Mamadou Sy,M'Bout,http://www.assembleenationale.mr/cache/sy%20adamaassembleenationalemr_thumb_medium136_177.jpg,unknown,12
33,Dane Ethmane Ahmed Etmane,M'Bout,http://www.assembleenationale.mr/cache/sam_10331396613235_thumb_medium138_165.jpg,unknown,12
34,Ahmed Seyid Hemer,Wad Naga,http://www.assembleenationale.mr/cache/sam_10371396613291_thumb_medium134_170.jpg,unknown,12
35,Abderrahmane Debbe Babbah,Wad Naga,http://www.assembleenationale.mr/cache/mohamed%20abdarahmane%20babbahassembleenationalemr_thumb_medium134_173.jpg,unknown,12
36,Mohamed Abdellahi Ivoukou Lemrabott,Keur-Mcen,http://www.assembleenationale.mr/cache/mohamed%20abdellahi%20ould%20ivekouassembleenationalemr_thumb_medium134_160.jpg,unknown,12
37,Ichedou Mohemd Elmoukhtar Boulley,Keur-Mcen,http://www.assembleenationale.mr/cache/2014-02-17%2015.47.04assembleenationalemr_thumb_medium133_152.jpg,unknown,12
38,Mohamed Lemine Mohamed Salem Yahya,R'Kiz,http://www.assembleenationale.mr/cache/mohamed%20lemine%20ould%20cheikhassembleenationalemr_thumb_medium133_170.jpg,unknown,12
39,Abderrahmane Lemrabott Tolba,R'Kiz,http://www.assembleenationale.mr/cache/abderahmane%20lemrabet%20tolbaassembleenationalemr_thumb_medium135_175.jpg,unknown,12
40,El Vouad Ahmed Salem Bouna Moctar,Boutilimit,http://www.assembleenationale.mr/cache/el%20vouad%20ould%20bouna%20mokhtarassembleenationalemr_thumb_medium135_170.jpg,unknown,12
41,Mohamed Mahmoud Zoubeir Zoubeir,Boutilimit,http://www.assembleenationale.mr/cache/mohamed%20mahmoud%20ould%20zoubeirassembleenationalemr_thumb_medium136_173.jpg,unknown,12
42,Mohamed Cheikh Cheikh,Mederdra,http://www.assembleenationale.mr/cache/sam_03751396612812_thumb_medium138_180.jpg,unknown,12
43,Ahmed Baba Bouubecrine,Mederdra,http://www.assembleenationale.mr/cache/ahmed%20ould%20babaassembleenationalemr_thumb_medium132_161.jpg,unknown,12
44,Mohamed El Moctar Cheikh Zamel,Aoujeft,http://www.assembleenationale.mr/cache/sam_06701396612924_thumb_medium132_168.jpg,unknown,12
45,Sidi Baba Sid'Ahmad Lahah,Ouadane,http://www.assembleenationale.mr/cache/sidi%20baba%20ould%20sid%20ahmed%20lahahassembleenationalemr_thumb_medium135_165.jpg,unknown,12
46,Cheikh Brahim Cheikh Dah,Chiguitti,http://www.assembleenationale.mr/cache/cheikh%20brahim%20ould%20med%20cheikhna%20ould%20toulbaassembleenationalemr_thumb_medium135_176.jpg,unknown,12
47,El Ghassem Bellali Bellali,Nouadhibou,http://www.assembleenationale.mr/cache/elghassem%20ould%20bellalassembleenationalemr_thumb_medium139_167.jpg,unknown,12
48,Ousmane Moussa Thiam,Nouadhibou,http://www.assembleenationale.mr/cache/ethmane%20moussa%20thiameassembleenationalemr_thumb_medium140_165.jpg,unknown,12
49,Mohamed Cheik Ayé,Nouadhibou,http://www.assembleenationale.mr/cache/mohamed%20ould%20ayyaassembleenationalemr_thumb_medium142_177.jpg,unknown,12
50,Lemrabott Houmeya Tanji,Chami,http://www.assembleenationale.mr/cache/sam_00391396612405_thumb_medium146_186.jpg,unknown,12
51,Sidi Mohamedi Didi Sid'Ahmed,Tidjikja,http://www.assembleenationale.mr/cache/sidi%20ould%20didiassembleenationalemr_thumb_medium147_188.jpg,unknown,12
52,Sid'Ahmed Die Mahmoud,Tidjikja,http://www.assembleenationale.mr/cache/sid%20ahmed%20ould%20edjaassembleenationalemr_thumb_medium142_170.jpg,unknown,12
53,Bouya Ahmed Chrif Chrif El Moctar,Tichitt,"",unknown,12
54,Habsa Yaya Kane,Selibaby,"",unknown,12
55,Mohamed Mahmoud Mohamedou Maatalla,Selibaby,"",unknown,12
56,Amadou Yero Bary,Selibaby,"",unknown,12
57,Lassana Adama Kamara,Selibaby,"",unknown,12
58,Mohamed Salem Ahmed Noueigedh,Bir Mogrein,"",unknown,12
59,Mohamed Limame Goua Ebena,Akjoujt,"",unknown,12
60,Mohamed Boilil M'Bareck,Nouakchott,"",unknown,12
61,Moulaty El Mokhtar Lemhaimid,Nouakchott,"",unknown,12
62,Mohamed Yahya Mohamed Lemine El Kherchy,Nouakchott,"",unknown,12
63,Hamdi Brahim Beilil,Nouakchott,"",unknown,12
64,Zeinabou Mohamed Mahmoud Taghi,Nouakchott,"",unknown,12
65,Mohamed Mahmoud Mohamed Seydi,Nouakchott,"",unknown,12
66,Issagha Adama Baba Correra,Nouakchott,"",unknown,12
67,Fatimetou Ahmed Ebouh,Nouakchott,"",unknown,12
68,Mamadou Bocar Ba,Nouakchott,"",unknown,12
69,Abderrahmane wanaty Marrakchy,Nouakchott,"",unknown,12
70,Mohamed vadel Teyib Teyib,Nouakchott,"",unknown,12
71,Yahya Mahmoudi Taleb Maouloud,Nouakchott,"",unknown,12
72,Sidi Mohamed Mohamed Lemine Bouh   sid'Ahmed,Nouakchott,"",unknown,12
73,Moustapha Addel Aziz Ahmed El Meky,Nouakchott,"",unknown,12
74,Houdou Abdoul Ba,Nouakchott,"",unknown,12
75,Mohamed Lemine Saleck Deraghly,Nouakchott,"",unknown,12
76,Ahmed Ivekou R'Hill,Nouakchott,"",unknown,12
77,Mohamed Ahmed Salem   Talebna,Nouakchott,"",unknown,12
78,Salma  Amar Chein,Liste Nationale,http://www.assembleenationale.mr/cache/salma1416429167_thumb_medium127_172.png,unknown,12
79,Elmoudir  Bouna,Liste Nationale,"",unknown,12
80,El Khalil Mohamed Teyib,Liste Nationale,"",unknown,12
81,Djeinaba Abdoul Samba Korka,Liste Nationale,"",unknown,12
82,Mohamed Ghoulam Abderrahmane El Hadj   Cheikh,Liste Nationale,"",unknown,12
83,Fatimetou Mohamed El Meidah,Liste Nationale,"",unknown,12
84,El Moctar Mohamed Abdellahi Mohamed   Moussa,Liste Nationale,http://www.assembleenationale.mr/cache/mokhtar%20mohamed%20moussaassembleenationalemr_thumb_medium129_159.jpg,unknown,12
85,Penda Aly Samba,Liste Nationale,http://www.assembleenationale.mr/cache/2014-03-31%2011.46.22assembleenationalemr_thumb_medium124_163.jpg,unknown,12
86,Mohamed Moustapha Ebou Maali,Liste Nationale,http://assembleenationale.mr/images/stories/membres/med%20ould%20cheikh%20med%20el%20moustapha.bmp,unknown,12
87,Abdellahi Brahim Abdellahi Brahim Abdellahi Brahim,Liste Nationale,http://www.assembleenationale.mr/cache/sam_00451396612491_thumb_medium118_147.jpg,unknown,12
88,Boydiel Houmeid Houmeid,Liste Nationale,"",unknown,12
89,El Mokhtar  Elemine,Liste Nationale,http://www.assembleenationale.mr/cache/mokhtar%20ould%20eleminassembleenationalemr_thumb_medium111_137.jpg,unknown,12
90,Ibrahima Moctar Sarr,Liste Nationale,http://www.assembleenationale.mr/cache/brahim%20mokhtar%20sarassembleenationalemr_thumb_medium109_138.jpg,unknown,12
91,Cheikhna Mohamed Hejbou,Liste Nationale,http://www.assembleenationale.mr/cache/cheikhna%20ould%20med%20hijbouassembleenationalemr_thumb_medium112_143.jpg,unknown,12
92,Outhmane Eboul Mealy,Liste Nationale,http://www.assembleenationale.mr/cache/ethmane%20ould%20cheikh%20belmealyassembleenationalemr_thumb_medium113_142.jpg,unknown,12
93,Hamadi Khatri Hamadi,Liste Nationale,http://www.assembleenationale.mr/cache/mohamed%20ould%20khatariassembleenationalemr_thumb_medium109_135.jpg,unknown,12
94,Mohamed Mahmoud Sidi Mohamed El Gharachi,Liste Nationale,http://www.assembleenationale.mr/cache/al%20gharachi%20med%20mahmoudassembleenationalemr_thumb_medium107_141.jpg,unknown,12
95,Mohamed Vall Mohamed Issa,Liste Nationale,http://www.assembleenationale.mr/cache/mohamed%20val%20ould%20issaassembleenationalemr_thumb_medium113_136.jpg,unknown,12
96,Mohamed Ahmed Vall,Liste Nationale,http://www.assembleenationale.mr/cache/mohamed%20ould%20vallassembleenationalemr_thumb_medium150_100.jpg,unknown,12
97,Sid'El Moustapha Taleb Mohamed Taleb   Mohamed,Liste Nationale,http://www.assembleenationale.mr/cache/sam_00371396612295_thumb_medium150_150.jpg,unknown,12
98,Khadijejtou Mamadou Diallo,Liste des Femmes,http://www.assembleenationale.mr/cache/khadijetou%20mamadou%20dialloassembleenationalemr_thumb_medium150_150.jpg,unknown,12
99,Maimouna Mohamed Taghi,Liste des Femmes,http://www.assembleenationale.mr/cache/meimouna%20mint%20taghiassembleenationalemr_thumb_medium150_150.jpg,unknown,12
100,Moulkhairy Mohamed Lemine Ghazwany,Liste des Femmes,http://www.assembleenationale.mr/cache/sam_03611396612776_thumb_medium150_150.jpg,unknown,12
101,Zeineb Saleck Ely Salem,Liste des Femmes,http://www.assembleenationale.mr/cache/zeinebou%20mint%20ely%20salemassembleenationalemr_thumb_medium150_150.jpg,unknown,12
102,Loula Ahmed Zerough,Liste des Femmes,http://www.assembleenationale.mr/cache/sam_03591396612731_thumb_medium150_150.jpg,unknown,12
103,Aminata N'Daraw Niang,Liste des Femmes,http://www.assembleenationale.mr/cache/aminata%20niangassembleenationalemr_thumb_medium150_150.jpg,unknown,12
104,Hindou Mohamed Lemine Deya,Liste des Femmes,http://www.assembleenationale.mr/cache/hindou1396610684_thumb_medium150_150.jpg,unknown,12
105,Toutou Sidina Taleb Taleb Nafea,Liste des Femmes,http://www.assembleenationale.mr/cache/toutou%20mint%20taleb%20navaeassembleenationalemr_thumb_medium150_150.jpg,unknown,12
106,L'Malouma Bilal Said,Liste des Femmes,http://www.assembleenationale.mr/cache/sam_06671396612906_thumb_medium150_150.jpg,unknown,12
107,Lalla Abdoul N'Diaye,Liste des Femmes,http://www.assembleenationale.mr/cache/lalla%20mint%20abdou%20ould%20ndiayeassembleenationalemr_thumb_medium150_150.jpg,unknown,12
108,Lalla Cherif Hachem,Liste des Femmes,http://www.assembleenationale.mr/cache/sam_00721396612606_thumb_medium150_150.jpg,unknown,12
109,Marieme Baba Sy,Liste des Femmes,http://www.assembleenationale.mr/cache/mariem%20baba%20syassembleenationalemr_thumb_medium150_150.jpg,unknown,12
110,Mariem Sidi Diagly,Liste des Femmes,http://www.assembleenationale.mr/cache/mariem%20mint%20sidiassembleenationalemr_thumb_medium150_150.jpg,unknown,12
111,Lalla Hacena Ahmed Lebeid,Liste des Femmes,http://www.assembleenationale.mr/cache/1111396609623_thumb_medium150_150.jpg,unknown,12
112,Saoudatou Mamadou Wane,Nationale des Femme,http://www.assembleenationale.mr/cache/saoudatou%20mamadou%20waneassembleenationalemr_thumb_medium150_150.jpg,unknown,12
113,Salma Bouh Bouh,Nationale des Femme,http://www.assembleenationale.mr/cache/salma%20mint%20bouhassembleenationalemr_thumb_medium150_150.jpg,unknown,12
114,L'Wene Ebabe El Gawthe,Nationale des Femme,http://www.assembleenationale.mr/cache/louna%20mint%20el%20ghouthassembleenationalemr_thumb_medium150_150.jpg,unknown,12
115,Kadijetou Mohamed Saghïr H'Bibi,Nationale des Femme,http://www.assembleenationale.mr/cache/khadjetou%20mint%20md%20sagheirassembleenationalemr_thumb_medium150_150.jpg,unknown,12
116,Yenna Ahmed Lelh,Nationale des Femme,http://www.assembleenationale.mr/cache/yenna%20mint%20ahmedassembleenationalemr_thumb_medium150_150.jpg,unknown,12
117,El Betoul Abdel Haye Abdel Haye,Nationale des Femme,http://www.assembleenationale.mr/cache/elbetoul%20mint%20abd%20elhayassembleenationalemr_thumb_medium150_150.jpg,unknown,12
118,Taleb Mestaf Mohamed Lemine Sidi Abdella,Djiguenni,http://www.assembleenationale.mr/cache/sam_00531396612570_thumb_medium150_150.jpg,unknown,12
119,itawel Oumrou N'Deide Moulaye Ahmed,Djiguenni,http://www.assembleenationale.mr/cache/sam_06831396613113_thumb_medium150_150.jpg,unknown,12
120,Sidi Cheikh Diajouh,Oualata,http://www.assembleenationale.mr/cache/sidi%20ould%20cheikhassembleenationalemr_thumb_medium150_150.jpg,unknown,12
121,Sidi Mohamed Mohamed Lemine Seyidi,Tintane,http://assembleenationale.mr/images/stories/membres/sidi_med__mohamed_lemine_seyidi.jpg,unknown,12
122,Mohamed Vadel Ahmed Saïd,Tintane,"",unknown,12
123,Mohamed El Hacen Moud Mohamed El Moctar,Guerou,http://www.assembleenationale.mr/cache/sam_06821396612987_thumb_medium150_150.jpg,unknown,12
124,Mohamed Salem Mohamed Mahmoud Abdellahi,Guerou,http://www.assembleenationale.mr/cache/med%20salem%20ould%20med%20mahmoud%20aboullahassembleenationalemr_thumb_medium150_150.jpg,unknown,12
125,Habib Brahim Diah,Monguel,http://www.assembleenationale.mr/cache/habib%20ould%20brahim%20edjaassembleenationalemr_thumb_medium150_150.jpg,unknown,12
126,Sidi Ahmed Ghaber,Monguel,http://www.assembleenationale.mr/cache/sam_06811396612960_thumb_medium150_150.jpg,unknown,12
127,Zein El Abidine sidi Ahmed El Hadi,Aleg,http://www.assembleenationale.mr/cache/zein%20el%20abidine%20sidi%20ahmed%20elhadiassembleenationalemr_thumb_medium150_150.jpg,unknown,12
128,El Bare Mahmoud El Bare,Aleg,http://www.assembleenationale.mr/cache/el%20bar%20ould%20mohamedassembleenationalemr_thumb_medium150_150.jpg,unknown,12
129,Mika Birama Fall,Bababé,http://www.assembleenationale.mr/cache/mika%20birama%20fallassembleenationalemr_thumb_medium150_150.jpg,unknown,12
130,El Hacen Oumar Yongane,Bababé,http://www.assembleenationale.mr/cache/yongane%20alassaneassembleenationalemr_thumb_medium150_150.jpg,unknown,12
131,Yero Sidy Ba,M'Bagne,http://www.assembleenationale.mr/cache/yerou%20sidi%20baassembleenationalemr_thumb_medium150_150.jpg,unknown,12
132,Abdoulaye Amadou Sy,M'Bagne,http://www.assembleenationale.mr/cache/sy%20abdoullahiassembleenationalemr_thumb_medium150_150.jpg,unknown,12
133,Sidi Mohamed Cheibany Mohamed Salem,Magta Lahjar,http://www.assembleenationale.mr/cache/sidi%20mohamed%20ould%20mohamed%20salemassembleenationalemr_thumb_medium150_150.jpg,unknown,12
134,Ahmed Salem Sidi El Moctar Cheikh Abd   Dayem,Magta Lahjar,http://www.assembleenationale.mr/cache/sam_00511396612528_thumb_medium150_150.jpg,unknown,12
135,Moctar Aliou Sow,Boghé,http://www.assembleenationale.mr/cache/moctar%20aliou%20sawassembleenationalemr_thumb_medium150_150.jpg,unknown,12
136,Nagi Ahmed Mouhmou,Boghé,http://www.assembleenationale.mr/cache/sam_07821396613163_thumb_medium150_150.jpg,unknown,12
137,Sidi Mohamed Alioune Mohamed El Abd,Rosso,http://www.assembleenationale.mr/cache/sidi%20mohamed%20ould%20aly%20%20med%20el%20abdyassembleenationalemr_thumb_medium150_150.jpg,unknown,12
138,Ahmed Amar Diagne,Rosso,http://www.assembleenationale.mr/cache/ahmed%20amar%20diagneassembleenationalemr_thumb_medium150_150.jpg,unknown,12
139,Oumoukelthoum El Yassa Soueid Ahmed,Moudjeria,http://www.assembleenationale.mr/cache/emekelthoum%20mint%20el%20yassaassembleenationalemr_thumb_medium150_150.jpg,unknown,12
140,Sid'Ahmed Mohamed Ahmed,Moudjeria,http://www.assembleenationale.mr/cache/sid%20ahmed%20ould%20ahmedassembleenationalemr_thumb_medium150_150.jpg,unknown,12
141,Aly Gueladio Kamara,Ould Yenge,http://www.assembleenationale.mr/cache/camara%20ali%20gladiyouassembleenationalemr_thumb_medium150_150.jpg,unknown,12
142,Sadfy Sidi Mohamed Samba,Ould Yenge,"",unknown,12
143,Hamoud Ely Malha,Zouerate,http://www.assembleenationale.mr/cache/hamoud%20ould%20ely%20medhaassembleenationalemr_thumb_medium150_150.jpg,unknown,12
144,Mohamed Saleck Hjour,Zouerate,http://www.assembleenationale.mr/cache/mohamed%20ould%20saleckassembleenationalemr_thumb_medium150_150.jpg,unknown,12
145,El wenane Hamedh Bobih,F'Deirick,http://www.assembleenationale.mr/cache/elwenane%20ould%20hamdi%20beibaassembleenationalemr_thumb_medium150_150.jpg,unknown,12
146,Mahfoudh Ould Jiyed,Atar,http://www.assembleenationale.mr/cache/2014-02-17%2015.02.55assembleenationalemr_thumb_medium150_150.jpg,unknown,12
147,Ahmed Louleid abdalla,Atar,http://www.assembleenationale.mr/cache/sam_06651396612884_thumb_medium150_150.jpg,unknown,12
