name,wikipedia__en,party_id,party,area,area_id,source,term,id
Harold Dalson,Harold Dalson,SLP,Saint Lucia Labour Party,Soufriere,ocd-division/country:lc/constituency:soufriere,https://en.wikipedia.org/wiki/House_of_Assembly_of_Saint_Lucia,9,harold-dalson
Harold Dalson,Harold Dalson,SLP,Saint Lucia Labour Party,Soufriere,ocd-division/country:lc/constituency:soufriere,https://en.wikipedia.org/w/index.php?title=House_of_Assembly_of_Saint_Lucia&oldid=705345669,8,harold-dalson
Herold Stanislas,"",UWP,United Workers Party,Soufriere,ocd-division/country:lc/constituency:soufriere,https://en.wikipedia.org/wiki/House_of_Assembly_of_Saint_Lucia,10,herold-stanislas
Jeannine Compton-Antoine,Jeannine Compton-Antoine,Independent,Independent,Micoud North,ocd-division/country:lc/constituency:micoud-north,https://en.wikipedia.org/w/index.php?title=House_of_Assembly_of_Saint_Lucia&oldid=705345669,8,jeannine-compton-antoine
Keith Mondesir,Keith Mondesir,UWP,United Workers Party,Anse la Raye and Canaries,ocd-division/country:lc/constituency:anse-la-raye-and-canaries,https://en.wikipedia.org/w/index.php?title=House_of_Assembly_of_Saint_Lucia&oldid=705345669,8,keith-mondesir
Kenny Anthony,Kenny Anthony,SLP,Saint Lucia Labour Party,Vieux Fort South,ocd-division/country:lc/constituency:vieux-fort-south,https://en.wikipedia.org/wiki/House_of_Assembly_of_Saint_Lucia,10,kenny-anthony
Kenny Anthony,Kenny Anthony,SLP,Saint Lucia Labour Party,Vieux Fort South,ocd-division/country:lc/constituency:vieux-fort-south,https://en.wikipedia.org/wiki/House_of_Assembly_of_Saint_Lucia,9,kenny-anthony
Kenny Anthony,Kenny Anthony,SLP,Saint Lucia Labour Party,Vieux Fort South,ocd-division/country:lc/constituency:vieux-fort-south,https://en.wikipedia.org/w/index.php?title=House_of_Assembly_of_Saint_Lucia&oldid=705345669,8,kenny-anthony
Lenard Montoute,Lenard Montoute,UWP,United Workers Party,Gros Islet,ocd-division/country:lc/constituency:gros-islet,https://en.wikipedia.org/wiki/House_of_Assembly_of_Saint_Lucia,10,lenard-montoute
Leonard Spider Montoute,Leonard Montoute,UWP,United Workers Party,Gros Islet,ocd-division/country:lc/constituency:gros-islet,https://en.wikipedia.org/w/index.php?title=House_of_Assembly_of_Saint_Lucia&oldid=705345669,8,leonard-spider-montoute
Lorne Theophilus,"",SLP,Saint Lucia Labour Party,Choiseul,ocd-division/country:lc/constituency:choiseul,https://en.wikipedia.org/wiki/House_of_Assembly_of_Saint_Lucia,9,lorne-theophilus
Marcus Nicholas,Marcus Nicholas,UWP,United Workers Party,Dennery North,ocd-division/country:lc/constituency:dennery-north,https://en.wikipedia.org/w/index.php?title=House_of_Assembly_of_Saint_Lucia&oldid=705345669,8,marcus-nicholas
Moses Jean Baptiste,Moses Jean Baptiste,SLP,Saint Lucia Labour Party,Vieux Fort North,ocd-division/country:lc/constituency:vieux-fort-north,https://en.wikipedia.org/wiki/House_of_Assembly_of_Saint_Lucia,10,moses-jean-baptiste
Moses Jean Baptiste,Moses Jean Baptiste,SLP,Saint Lucia Labour Party,Vieux Fort North,ocd-division/country:lc/constituency:vieux-fort-north,https://en.wikipedia.org/wiki/House_of_Assembly_of_Saint_Lucia,9,moses-jean-baptiste
Moses Jean Baptiste,Moses Jean Baptiste,SLP,Saint Lucia Labour Party,Vieux Fort North,ocd-division/country:lc/constituency:vieux-fort-north,https://en.wikipedia.org/w/index.php?title=House_of_Assembly_of_Saint_Lucia&oldid=705345669,8,moses-jean-baptiste
Philip Pierre,Philip Pierre,SLP,Saint Lucia Labour Party,Castries East,ocd-division/country:lc/constituency:castries-east,https://en.wikipedia.org/wiki/House_of_Assembly_of_Saint_Lucia,10,philip-pierre
Philip Pierre,Philip Pierre,SLP,Saint Lucia Labour Party,Castries East,ocd-division/country:lc/constituency:castries-east,https://en.wikipedia.org/wiki/House_of_Assembly_of_Saint_Lucia,9,philip-pierre
Philip Pierre,Philip Pierre,SLP,Saint Lucia Labour Party,Castries East,ocd-division/country:lc/constituency:castries-east,https://en.wikipedia.org/w/index.php?title=House_of_Assembly_of_Saint_Lucia&oldid=705345669,8,philip-pierre
Richard Frederick,Richard Frederick,UWP,United Workers Party,Castries Central,ocd-division/country:lc/constituency:castries-central,https://en.wikipedia.org/wiki/House_of_Assembly_of_Saint_Lucia,9,richard-frederick
Richard Frederick,Richard Frederick,UWP,United Workers Party,Castries Central,ocd-division/country:lc/constituency:castries-central,https://en.wikipedia.org/w/index.php?title=House_of_Assembly_of_Saint_Lucia&oldid=705345669,8,richard-frederick
Robert Kennedy Lewis,Robert Kennedy Lewis,SLP,Saint Lucia Labour Party,Castries South,ocd-division/country:lc/constituency:castries-south,https://en.wikipedia.org/wiki/House_of_Assembly_of_Saint_Lucia,9,robert-kennedy-lewis
Robert Kennedy Lewis,Robert Kennedy Lewis,SLP,Saint Lucia Labour Party,Castries South,ocd-division/country:lc/constituency:castries-south,https://en.wikipedia.org/w/index.php?title=House_of_Assembly_of_Saint_Lucia&oldid=705345669,8,robert-kennedy-lewis
Rufus Bousquet,Rufus Bousquet,UWP,United Workers Party,Choiseul,ocd-division/country:lc/constituency:choiseul,https://en.wikipedia.org/w/index.php?title=House_of_Assembly_of_Saint_Lucia&oldid=705345669,8,rufus-bousquet
Sarah Flood-Beaubrun,Sarah Flood-Beaubrun,UWP,United Workers Party,Castries Central,ocd-division/country:lc/constituency:castries-central,https://en.wikipedia.org/wiki/House_of_Assembly_of_Saint_Lucia,10,sarah-flood-beaubrun
Shawn Edwards,"",SLP,Saint Lucia Labour Party,Dennery North,ocd-division/country:lc/constituency:dennery-north,https://en.wikipedia.org/wiki/House_of_Assembly_of_Saint_Lucia,10,shawn-edwards
Shawn Edwards,"",SLP,Saint Lucia Labour Party,Dennery North,ocd-division/country:lc/constituency:dennery-north,https://en.wikipedia.org/wiki/House_of_Assembly_of_Saint_Lucia,9,shawn-edwards
Stephenson King,Stephenson King,UWP,United Workers Party,Castries North,ocd-division/country:lc/constituency:castries-north,https://en.wikipedia.org/wiki/House_of_Assembly_of_Saint_Lucia,10,stephenson-king
Stephenson King,Stephenson King,UWP,United Workers Party,Castries North,ocd-division/country:lc/constituency:castries-north,https://en.wikipedia.org/wiki/House_of_Assembly_of_Saint_Lucia,9,stephenson-king
Stephenson King,Stephenson King,UWP,United Workers Party,Castries North,ocd-division/country:lc/constituency:castries-north,https://en.wikipedia.org/w/index.php?title=House_of_Assembly_of_Saint_Lucia&oldid=705345669,8,stephenson-king
