id,name,wikipedia__en,party,party_id,term,source,area,area_id
stephenson-king,Stephenson King,Stephenson King,United Workers Party,UWP,10,https://en.wikipedia.org/wiki/House_of_Assembly_of_Saint_Lucia,Castries North,ocd-division/country:lc/constituency:castries-north
philip-pierre,Philip Pierre,Philip Pierre,Saint Lucia Labour Party,SLP,10,https://en.wikipedia.org/wiki/House_of_Assembly_of_Saint_Lucia,Castries East,ocd-division/country:lc/constituency:castries-east
sarah-flood-beaubrun,Sarah Flood-Beaubrun,Sarah Flood-Beaubrun,United Workers Party,UWP,10,https://en.wikipedia.org/wiki/House_of_Assembly_of_Saint_Lucia,Castries Central,ocd-division/country:lc/constituency:castries-central
ernest-hilaire,Ernest Hilaire,"",Saint Lucia Labour Party,SLP,10,https://en.wikipedia.org/wiki/House_of_Assembly_of_Saint_Lucia,Castries South,ocd-division/country:lc/constituency:castries-south
guy-joseph,Guy Joseph,Guy Joseph,United Workers Party,UWP,10,https://en.wikipedia.org/wiki/House_of_Assembly_of_Saint_Lucia,Castries South East,ocd-division/country:lc/constituency:castries-south-east
dominic-fedee,Dominic Fedee,Dominic Fedee,United Workers Party,UWP,10,https://en.wikipedia.org/wiki/House_of_Assembly_of_Saint_Lucia,Anse la Raye and Canaries,ocd-division/country:lc/constituency:anse-la-raye-and-canaries
herold-stanislas,Herold Stanislas,"",United Workers Party,UWP,10,https://en.wikipedia.org/wiki/House_of_Assembly_of_Saint_Lucia,Soufriere,ocd-division/country:lc/constituency:soufriere
bradley-felix,Bradley Felix,"",United Workers Party,UWP,10,https://en.wikipedia.org/wiki/House_of_Assembly_of_Saint_Lucia,Choiseul,ocd-division/country:lc/constituency:choiseul
alva-baptiste,Alva Baptiste,Alva Baptiste,Saint Lucia Labour Party,SLP,10,https://en.wikipedia.org/wiki/House_of_Assembly_of_Saint_Lucia,Laborie,ocd-division/country:lc/constituency:laborie
moses-jean-baptiste,Moses Jean Baptiste,Moses Jean Baptiste,Saint Lucia Labour Party,SLP,10,https://en.wikipedia.org/wiki/House_of_Assembly_of_Saint_Lucia,Vieux Fort North,ocd-division/country:lc/constituency:vieux-fort-north
kenny-anthony,Kenny Anthony,Kenny Anthony,Saint Lucia Labour Party,SLP,10,https://en.wikipedia.org/wiki/House_of_Assembly_of_Saint_Lucia,Vieux Fort South,ocd-division/country:lc/constituency:vieux-fort-south
allen-chastanet,Allen Chastanet,Allen Chastanet,United Workers Party,UWP,10,https://en.wikipedia.org/wiki/House_of_Assembly_of_Saint_Lucia,Micoud South,ocd-division/country:lc/constituency:micoud-south
gale-rigobert,Gale Rigobert,Gale Rigobert,United Workers Party,UWP,10,https://en.wikipedia.org/wiki/House_of_Assembly_of_Saint_Lucia,Micoud North,ocd-division/country:lc/constituency:micoud-north
edmund-estephane,Edmund Estephane,Edmund Estephane,United Workers Party,UWP,10,https://en.wikipedia.org/wiki/House_of_Assembly_of_Saint_Lucia,Dennery South,ocd-division/country:lc/constituency:dennery-south
shawn-edwards,Shawn Edwards,"",Saint Lucia Labour Party,SLP,10,https://en.wikipedia.org/wiki/House_of_Assembly_of_Saint_Lucia,Dennery North,ocd-division/country:lc/constituency:dennery-north
