id,name,party,constituency,source,image,religion,birth_date,email,term
116,JOE NANA KOBINA AKWA GHARTEY,New Patriotic Party,"Essikado Ketan Constituency, Western Region",https://www.parliament.gh/mps?mp=116,"https://www.parliament.gh/epanel/mps/GHARTEY,_JOE__ESIKADU-KETAN___NPP.jpg",CHRISTIAN,1961-06-15,,7
117,CATHERINE ABELEMA AFEKU,New Patriotic Party,"Evalue-Ajomoro-Gwira Constituency, Western Region",https://www.parliament.gh/mps?mp=117,https://www.parliament.gh/epanel/mps/AFEKU_ABELEMA_CATHERINE_EVALUE-AJAMORO_GWIRA_NPP.jpg,Christian,1967-06-27,,7
118,KWABENA AMANKWA ASIAMAH,New Patriotic Party,"Fanteakwa North Constituency, Eastern Region",https://www.parliament.gh/mps?mp=118,"https://www.parliament.gh/epanel/mps/ASIAMAH,_AMANKWA_KWABENA__FANTEAKWA_NORTH__NPP..jpg",Christian,1958-08-28,,7
119,ANDREW ASIAMAH AMOAKO,New Patriotic Party,"Fomena Constituency, Ashanti Region",https://www.parliament.gh/mps?mp=119,https://www.parliament.gh/epanel/mps/AMOAKO_ASIAMAH_ANDREW__FORMENA__NPP.jpg,Christian,1966-02-24,,7
12,KOBINA TAHIR HAMMOND,New Patriotic Party,"Adansi-Asokwa Constituency, Ashanti Region",https://www.parliament.gh/mps?mp=12,https://www.parliament.gh/epanel/mps/HAMMOND_KOBINA_TAHIR__ADANSI_ASOKWA__NPP_.jpg,MUSLIM,1960-06-16,,7
120,AKUKA ALBERT ALALZUUGA,National Democratic Congress,"Garu Constituency, Upper East Region",https://www.parliament.gh/mps?mp=120,https://www.parliament.gh/epanel/mps/ALAIZUUGA_AKUKA_ALBERT_GURU_NDC.jpg,CHRISTIANITY,1968-02-28,,7
121,NAANA EYIAH,New Patriotic Party,"Gomoa Central Constituency, Central Region",https://www.parliament.gh/mps?mp=121,https://www.parliament.gh/epanel/mps/EYIAH_NAANA_GOMOA_CENTRAL_NPP.jpg,Christian,1963-02-14,,7
122,KOJO ASEMANYI,New Patriotic Party,"Gomoa East Constituency, Central Region",https://www.parliament.gh/mps?mp=122,https://www.parliament.gh/epanel/mps/ASEMANYI_KOJO_GOMOA_EAST_NPP.jpg,CHRISTIAN,1979-09-10,,7
123,ALEXANDER KODWO KOM ABBAN,New Patriotic Party,"Gomoa West Constituency, Central Region",https://www.parliament.gh/mps?mp=123,https://www.parliament.gh/epanel/mps/__ABBAN_ALEXANDER_KODOW_KOM__GOMOA_WEST__NPP.jpg,Christian,1973-12-06,,7
124,ZIBLIM IDDI,New Patriotic Party,"Gushiegu Constituency, Northern Region",https://www.parliament.gh/mps?mp=124,https://www.parliament.gh/epanel/mps/IDDI_ZIBLIM__GUSHEGU__NPP.jpg,Muslim,1967-09-15,,7
125,BRIGHT WIREKO-BROBBY,New Patriotic Party,"Hemang Lower Denkyira Constituency, Central Region",https://www.parliament.gh/mps?mp=125,https://www.parliament.gh/epanel/mps/WIREKO-BROBBY_BRIGHT__HEMANG_LOWER_DENKYIRA_NPP.jpg,CHRISTIAN,1972-01-06,,7
127,BENJAMIN KOMLA KPODO,National Democratic Congress,"Ho Central Constituency, Volta Region",https://www.parliament.gh/mps?mp=127,"https://www.parliament.gh/epanel/mps/KPODO,_BENJAMIN_KOMLA__HO_CENTRAL__NDC.jpg",Christian,1953-12-22,,7
128,EMMANUEL KWASI BEDZRAH,National Democratic Congress,"Ho West Constituency, Volta Region",https://www.parliament.gh/mps?mp=128,https://www.parliament.gh/epanel/mps/BEDZRAH_KWESI_EMMANUEL_HO_WEST_NDC.jpg,Christian,1967-05-28,,7
129,BERNICE ADIKU HELOO,National Democratic Congress,"Hohoe Constituency, Volta Region",https://www.parliament.gh/mps?mp=129,https://www.parliament.gh/epanel/mps/ADIKU_HELOO_BERNICE__HOHOE_NDC.jpg,CHRISTIAN,1954-09-24,,7
13,YAW BUABEN ASAMOA,New Patriotic Party,"Adentan Constituency, Greater Accra Region",https://www.parliament.gh/mps?mp=13,https://www.parliament.gh/epanel/mps/ASAMOA_BUABEN_YAW__ADENTA__NPP.jpg,CHRISTIAN,1964-09-16,,7
130,STEVENS SIAKA,New Patriotic Party,"Jaman North Constituency, Brong Ahafo Region",https://www.parliament.gh/mps?mp=130,https://www.parliament.gh/epanel/mps/SIAKA_STEVENS_JAMAN_NORTH__NPP.jpg,CHRISTIAN,1964-12-31,,7
131,YAW AFFUL,New Patriotic Party,"Jaman South Constituency, Brong Ahafo Region",https://www.parliament.gh/mps?mp=131,"https://www.parliament.gh/epanel/mps/AFFUL,_YAW_JAMAN_SOUTH_NPP.jpg",CHRISTIAN,1959-06-10,,7
132,FRANCIS BAWAANA DAKURA,National Democratic Congress,"Jirapa Constituency, Upper West Region",https://www.parliament.gh/mps?mp=132,https://www.parliament.gh/epanel/mps/DAKURA_BAWAANA_FRANCIS_JIRAPA_NDC.jpg,CHRISTIAN,1961-10-17,,7
133,PAUL ESSIEN,New Patriotic Party,"Jomoro Constituency, Western Region",https://www.parliament.gh/mps?mp=133,https://www.parliament.gh/epanel/mps/ESSIEN_PAUL_JOMORO_NPP.jpg,Christian,1975-07-08,,7
134,AMA POMAA BOATENG,New Patriotic Party,"Juaben Constituency, Ashanti Region",https://www.parliament.gh/mps?mp=134,"https://www.parliament.gh/epanel/mps/BOATENG,_AMA_POMAA__JUABEN__NPP.jpg",CHRISTIANITY,1975-08-19,,7
135,KWABENA MINTAH AKANDOH,National Democratic Congress,"Juaboso Constituency, Western Region",https://www.parliament.gh/mps?mp=135,"https://www.parliament.gh/epanel/mps/AKANDOH,_KWABENA_MINTAH_JUABOSO_NDC.jpg",Christian,1980-06-19,,7
136,KWABENA OHEMENG-TINYASE,New Patriotic Party,"Kade Constituency, Eastern Region",https://www.parliament.gh/mps?mp=136,https://www.parliament.gh/epanel/mps/140_OHEMENG-TINYASE_KWABENA_KADE_NPP.jpg,Christian,1952-04-06,,7
137,SUALIHU DANDAAWA ALHASSAN,National Democratic Congress,"Karaga Constituency, Northern Region",https://www.parliament.gh/mps?mp=137,https://www.parliament.gh/epanel/mps/ALHASSAN_SUALIHU_DANDAAWA__KARAGA__NDC.jpg,Muslim,1983-07-01,,7
138,RICHARD MAWULI KOKU QUASHIGAH,National Democratic Congress,"Keta Constituency, Volta Region",https://www.parliament.gh/mps?mp=138,"https://www.parliament.gh/epanel/mps/QUASHIGAH,_RICHARD_MAWULI_KETA__NDC.jpg",CHRISITIAN,1968-10-16,,7
139,JAMES KLUTSE AVEDZI,National Democratic Congress,"Ketu North Constituency, Volta Region",https://www.parliament.gh/mps?mp=139,"https://www.parliament.gh/epanel/mps/AVEDZI,_JAMES_KLUTSE_KETU_NORTH_NDC.jpg",Christian,1964-07-14,,7
14,ANGELA OFORIWA ALORWU-TAY,National Democratic Congress,"Afadjato South Constituency, Volta Region",https://www.parliament.gh/mps?mp=14,https://www.parliament.gh/epanel/mps/ALORWU-TAY_OFROIWA_ANGELA_AFADZATO_SOUTH_NDC.jpg,CHRISTIAN,1971-04-16,,7
140,FIFI FIAVI FRANKLIN KWETEY,National Democratic Congress,"Ketu South Constituency, Volta Region",https://www.parliament.gh/mps?mp=140,"https://www.parliament.gh/epanel/mps/KWETEY,__FIFI_FIAVI_FRANKLIN____KETU_SOUTH__NDC.jpg",Christian,1967-06-02,,7
141,KWASI ETU-BONDE,National Democratic Congress,"Kintampo North Constituency, Brong Ahafo Region",https://www.parliament.gh/mps?mp=141,https://www.parliament.gh/epanel/mps/ETU-BONDE_KWESI_KINTAMPO_SOUTH_NDC.jpg,Christian,1968-10-13,,7
142,FELICIA ADJEI,National Democratic Congress,"Kintampo South Constituency, Brong Ahafo Region",https://www.parliament.gh/mps?mp=142,https://www.parliament.gh/epanel/mps/ADJEI_FELICIA_KINTAMPO_SOUTH_NDC.jpg,Christian,1974-03-03,,7
143,ZANETOR AGYEMAN-RAWLINGS,National Democratic Congress,"Klottey-Korley Constituency, Greater Accra Region",https://www.parliament.gh/mps?mp=143,https://www.parliament.gh/epanel/mps/AGYEMAN-RAWLINGS_ZANETOR__KLOTTEY-KORLE__NDC.jpg,CHRISTIAN,1978-06-01,,7
144,SAMUEL ATTA MILLS,National Democratic Congress,"Komenda Edina Eguafo Abrem Constituency, Central Region",https://www.parliament.gh/mps?mp=144,https://www.parliament.gh/epanel/mps/ATTA_MILLS_SAMUEL__KOMENDA_EDINA_EQUAFO_ABREM__NDC.jpg,Christian,1956-04-26,,7
145,MATTHEW NYINDAM,New Patriotic Party,"Kpandai Constituency, Northern Region",https://www.parliament.gh/mps?mp=145,"https://www.parliament.gh/epanel/mps/NYINDAM,_MATTHEW_KPANDAI_NPP.jpg",CHRISTIANITY,1975-12-01,,7
146,DELLA ADJOA SOWAH,National Democratic Congress,"Kpando Constituency, Volta Region",https://www.parliament.gh/mps?mp=146,https://www.parliament.gh/epanel/mps/SOWAH_ADJOA_DELLA_KPANDO_NDC.jpg,Christian,1959-11-23,,7
147,JOSEPH NII LARYEA AFOTEY-AGBO,National Democratic Congress,"Kpone-Katamanso Constituency, Greater Accra Region",https://www.parliament.gh/mps?mp=147,"https://www.parliament.gh/epanel/mps/AFOTEY-AGBO,_JOSEPH_NII_LARYEA__KPONE-KATAMANSO__NDC.jpg",CHRISTIANITY,1967-07-31,,7
148,MICHAEL YAW GYATO,New Patriotic Party,"Krachi East Constituency, Volta Region",https://www.parliament.gh/mps?mp=148,https://www.parliament.gh/epanel/mps/GYATO_MICHAEL_YAW__KRACHI_EAST_NPP.jpg,Christian,1970-04-02,,7
149,JOHN MAJISI,National Democratic Congress,"Krachi Nchumuru Constituency, Volta Region",https://www.parliament.gh/mps?mp=149,"https://www.parliament.gh/epanel/mps/MAJISI,_JOHN___KRACHI_NCHUMURU__NDC.jpg",Christian,1956-03-11,,7
15,NANA AMANIAMPONG MARFO,New Patriotic Party,"Afigya Kwabre North Constituency, Ashanti Region",https://www.parliament.gh/mps?mp=15,"https://www.parliament.gh/epanel/mps/AMANIAMPONG,_NANA_MARFO__AFIGYA_KWABRE_NORTH__NPP.jpg",CHRISTIANITY,1957-03-06,,7
150,HELEN ADJOA NTOSO,National Democratic Congress,"Krachi West Constituency, Volta Region",https://www.parliament.gh/mps?mp=150,"https://www.parliament.gh/epanel/mps/NTOSO,_HELEN_ADJOA_KRACHI_WEST_NDC.jpg",CHRISTIAN,1959-05-26,,7
151,ELIZABETH AFOLEY QUAYE,New Patriotic Party,"Krowor Constituency, Greater Accra Region",https://www.parliament.gh/mps?mp=151,https://www.parliament.gh/epanel/mps/QUAYE_ELIZABRTH_AFOLEY__KROWOR_NPP.jpg,CHRISTIAN,1970-11-01,,7
152,PHILIP BASOAH,New Patriotic Party,"Kumawu Constituency, Ashanti Region",https://www.parliament.gh/mps?mp=152,https://www.parliament.gh/epanel/mps/BASOAH_PHILIP__KUMAWU__NPP.jpg,Christian,1969-11-18,,7
153,MUBARAK RAS,National Democratic Congress,"Kumbungu Constituency, Northern Region",https://www.parliament.gh/mps?mp=153,https://www.parliament.gh/epanel/mps/RAS_MUBARAK_KUMBUNGU_NDC.jpg,Muslim,1979-06-03,,7
154,FRANCISCA MENSAH OTENG,New Patriotic Party,"Kwabre East Constituency, Ashanti Region",https://www.parliament.gh/mps?mp=154,https://www.parliament.gh/epanel/mps/OTENG_FRANCISCA_MENSAH__KWABRE_EAST__NPP.jpg,CHRISITIAN,1993-02-14,,7
155,SAMIU KWADWO NUAMAH,New Patriotic Party,"Kwadaso Constituency, Ashanti Region",https://www.parliament.gh/mps?mp=155,https://www.parliament.gh/epanel/mps/NUAMAH_SAMUI_KWADWO_KWADASO_NPP.jpg,Muslim,1977-07-25,,7
156,JOSEPH MENSAH,New Patriotic Party,"Kwesimintsim Constituency, Western Region",https://www.parliament.gh/mps?mp=156,https://www.parliament.gh/epanel/mps/MENSAH_JOSEPH_KWESIMIMTSIM_NPP.jpg,CHRISTIAN,1957-08-22,,7
157,EDWARD KAALE-EWOLA DERY,National Democratic Congress,"Lambussie Constituency, Upper West Region",https://www.parliament.gh/mps?mp=157,https://www.parliament.gh/epanel/mps/DERY_EDWARD_KAALE-EW0LA__LAMBUSSIE_NDC.jpg,CHRISTIANITY,1969-03-06,,7
158,ANTHONY ABAYIFAA N-YOH PUOWELE KARBO,New Patriotic Party,"Lawra Constituency, Upper West Region",https://www.parliament.gh/mps?mp=158,https://www.parliament.gh/epanel/mps/KARBO_ANTHONY__N-YOH_PUOWELE_ABAYIFAA_LAWRA_NPP.jpg,CHRISTIAN,1979-08-12,,7
159,BERNARD OKOE BOYE,New Patriotic Party,"Ledzokuku Constituency, Greater Accra Region",https://www.parliament.gh/mps?mp=159,https://www.parliament.gh/epanel/mps/BOYE_OKOE___BENARD__LEDZOKUKU__NPP_.jpg,CHRISTIAN,1982-01-25,,7
16,MAVIS NKANSAH-BOADU,New Patriotic Party,"Afigya Sekyere East Constituency, Ashanti Region",https://www.parliament.gh/mps?mp=16,https://www.parliament.gh/epanel/mps/NKANSAH-BOADU_MAVIS_AFIGYA_SEKYERE_EAST_NPP.jpg,CHRISTIAN,1989-05-17,,7
160,EBENEZER OKLETEY TERLABI,National Democratic Congress,"Lower Manya Krobo Constituency, Eastern Region",https://www.parliament.gh/mps?mp=160,"https://www.parliament.gh/epanel/mps/TERLABI,_EBENEZER_OKLETEY_LOWER_MANYA_KROBO__NDC.jpg",CHRISTIAN,1963-09-03,,7
161,EYIAH KYEI BAFFOUR,New Patriotic Party,"Lower West Akim Constituency, Eastern Region",https://www.parliament.gh/mps?mp=161,https://www.parliament.gh/epanel/mps/EYIAH_KYEI_BAFFOUR__LOWER_WEST_AKIM__NPP.jpg,CHRISTIAN,1968-02-01,,7
162,ABU-BAKAR SADDIQUE BONIFACE,New Patriotic Party,"Madina Constituency, Greater Accra Region",https://www.parliament.gh/mps?mp=162,https://www.parliament.gh/epanel/mps/BONIFACE_ABU-BAKAR_SADDIQUE_MADINA_NPP_.jpg,ISLAM,1960-11-14,,7
163,KWAKU AMPRATWUM-SARPONG,New Patriotic Party,"Mampong Constituency, Ashanti Region",https://www.parliament.gh/mps?mp=163,https://www.parliament.gh/epanel/mps/AMPRATWUM_SARPONG_KAKU__MAMPONG__NPP.jpg,CHRISTIAN,1958-01-08,,7
164,COLLINS OWUSU AMANKWAH,New Patriotic Party,"Manhyia North Constituency, Ashanti Region",https://www.parliament.gh/mps?mp=164,"https://www.parliament.gh/epanel/mps/AMANKWAH,_COLLINS_OWUSU_MANHYIA_NORTH_NPP.jpg",Christian,1980-08-21,,7
165,MATTHEW OPOKU PREMPEH,New Patriotic Party,"Manhyia South Constituency, Ashanti Region",https://www.parliament.gh/mps?mp=165,https://www.parliament.gh/epanel/mps/PREMPEH_MATTHEW_OPOKU__MANHIA_SOUTH_NPP.jpg,Christian,1968-05-23,,7
166,FRIMPONG YAW ADDO,New Patriotic Party,"Manso-Adubia Constituency, Ashanti Region",https://www.parliament.gh/mps?mp=166,https://www.parliament.gh/epanel/mps/ADDO_FRIMPONG_YAW__MANSO_ADUBIA__NPP.jpg,CHRISTIAN,1962-09-02,,7
167,JOSEPH ALBERT QUARM,New Patriotic Party,"Manso-Nkwanta Constituency, Ashanti Region",https://www.parliament.gh/mps?mp=167,https://www.parliament.gh/epanel/mps/QUARM_JOSEPH_ALBERT__MANSO_NKWANTA__NPP.jpg,Christian,1975-05-07,,7
168,EKOW HAYFORD,New Patriotic Party,"Mfantseman Constituency, Central Region",https://www.parliament.gh/mps?mp=168,https://www.parliament.gh/epanel/mps/__HAYFORD_EKOW__MFANTSEMAN_WEST__NPP.jpg,Christian,1970-12-24,,7
169,ABDUL-AZIZ MOHAMMED,National Democratic Congress,"Mion Constituency, Northern Region",https://www.parliament.gh/mps?mp=169,https://www.parliament.gh/epanel/mps/MOHAMMED_ABDUL-AZIA_MION_NDC.jpg,ISLAM,1975-10-27,,7
17,BETTY KROSBI NANA EFUA MENSAH,National Democratic Congress,"Afram Plains North Constituency, Eastern Region",https://www.parliament.gh/mps?mp=17,https://www.parliament.gh/epanel/mps/MENSAH_BETTY_KROSBI_NANA_EFUA__AFRAM_PLAINS_NORTH__NDC.jpg,Christian,1980-08-29,,7
170,ALEX KOFI AGYEKUM,New Patriotic Party,"Mpohor Constituency, Western Region",https://www.parliament.gh/mps?mp=170,"https://www.parliament.gh/epanel/mps/AGYEKUM,_ALEX_K__MPOHOR__NPP.JPG",CHRISTIAN,1962-08-18,,7
171,SETH KWAME ACHEAMPONG,New Patriotic Party,"Mpraeso Constituency, Eastern Region",https://www.parliament.gh/mps?mp=171,"https://www.parliament.gh/epanel/mps/ACHEAMPONG,_SETH_KWAME___MPRAESO__NPP.JPG",CHRISTIAN,1971-12-18,,7
172,MARK KURT NAWAANE,National Democratic Congress,"Nabdam Constituency, Upper East Region",https://www.parliament.gh/mps?mp=172,https://www.parliament.gh/epanel/mps/NAWAANE_MARK_KURT__NDC.jpg,Christian,1966-04-21,,7
173,ALBAN SUMANA KINGSFORD BAGBIN,National Democratic Congress,"Nadowli Kaleo Constituency, Upper West Region",https://www.parliament.gh/mps?mp=173,"https://www.parliament.gh/epanel/mps/BAGBIN,_ALBAN_S.K.__NADOWLI-KALEO__NDCNDC.jpg",UPPER WEST,1957-09-24,,7
174,ALIMA MAHAMA,New Patriotic Party,"Nalerigu /Gambaga Constituency, Northern Region",https://www.parliament.gh/mps?mp=174,https://www.parliament.gh/epanel/mps/MAHAMA_ALIMA__NALERIGU-GAMBAGA__NPP.jpg,ISLAM,1957-11-17,,7
175,AMBROSE DERY,New Patriotic Party,"Nandom Constituency, Upper West Region",https://www.parliament.gh/mps?mp=175,https://www.parliament.gh/epanel/mps/DERY_AMBROSE__NANDOM__NPP.jpg,Christian,1956-08-23,,7
176,HARDI TUFEIRU MOHAMMED,New Patriotic Party,"Nantong Constituency, Northern Region",https://www.parliament.gh/mps?mp=176,https://www.parliament.gh/epanel/mps/MOHAMMED_HARD_TUFEIRU_I__NANTON__NPP.jpg,ISLAM,1969-07-16,,7
177,JOSEPH KOFI ADDA,New Patriotic Party,"Navrongo Central Constituency, Upper East Region",https://www.parliament.gh/mps?mp=177,https://www.parliament.gh/epanel/mps/ADDA_KOFI_JOSEPH_NAVRONGO_CENTRAL_NPP_.jpg,CHRISTIAN,1956-04-22,,7
179,GEORGE BOAHEN ODURO,New Patriotic Party,"New Edubease Constituency, Ashanti Region",https://www.parliament.gh/mps?mp=179,https://www.parliament.gh/epanel/mps/ODURO_GRORGE_BOAHEN__NEW_EDUBIASE_NPP.jpg,Christian,1955-10-10,,7
18,ERIC OSEI-OWUSU,National Democratic Congress,"Afram Plains South Constituency, Eastern Region",https://www.parliament.gh/mps?mp=18,https://www.parliament.gh/epanel/mps/OSEI-OWUSU_ERIC_AFRAM_PLAINS_SOUTH_NDC.jpg,CHRISTIAN,1963-09-11,,7
180,KWASI BOATENG ADJEI,New Patriotic Party,"New Juaben North Constituency, Eastern Region",https://www.parliament.gh/mps?mp=180,https://www.parliament.gh/epanel/mps/ADJEI_BOATENG_KWESI_NEW_JUABEN_NORTH_NPP.jpg,Christian,1954-08-29,,7
181,MARK ASSIBEY-YEBOAH,New Patriotic Party,"New Juaben South Constituency, Eastern Region",https://www.parliament.gh/mps?mp=181,https://www.parliament.gh/epanel/mps/ASSIBEY-_YEBOAH_MARK_NEW_JUABEN_SOUTH_NPP.jpg,CHRISTIAN,1974-03-02,,7
182,KENNEDY KWASI KANKAM,New Patriotic Party,"Nhyiaeso Constituency, Ashanti Region",https://www.parliament.gh/mps?mp=182,https://www.parliament.gh/epanel/mps/KANKAM_KENNEDY_KWESI__NHYIAESO_NPP.jpg,CHRISITIAN,1978-01-22,,7
183,SAMUEL NARTEY GEORGE,National Democratic Congress,"Ningo-Prampram Constituency, Greater Accra Region",https://www.parliament.gh/mps?mp=183,https://www.parliament.gh/epanel/mps/GEORGE_SAMUEL_NARTEY__NINGO-PRAMPRAM_NDC.jpg,CHRISTIAN,1985-01-22,,7
184,ERIC KWAKYE DARFOUR,New Patriotic Party,"Nkawkaw Constituency, Eastern Region",https://www.parliament.gh/mps?mp=184,https://www.parliament.gh/epanel/mps/DARFOUR_KWAKYE_ERIC__NKAWKAW_NPP_.jpg,ISKCON,1957-09-29,,7
185,DEREK ODURO,New Patriotic Party,"Nkoranza North Constituency, Brong Ahafo Region",https://www.parliament.gh/mps?mp=185,"https://www.parliament.gh/epanel/mps/ODURO,_DEREK_(MAJ._%5BRTD%5D)_NKORANZA_NORTH_NPP.jpg",SDA,1958-02-23,,7
186,CHARLES KONADU-YIADOM,New Patriotic Party,"Nkoranza South Constituency, Brong Ahafo Region",https://www.parliament.gh/mps?mp=186,https://www.parliament.gh/epanel/mps/KONADU-YIADOM_CHARLES_NKORANZAH_SOUTH_NPP.jpg,Christian,1968-05-24,,7
187,JOHN KWABENA BLESS OTI,National Democratic Congress,"Nkwanta North Constituency, Volta Region",https://www.parliament.gh/mps?mp=187,"https://www.parliament.gh/epanel/mps/OTI,_JOHN_KWABENA_BLESS__NKWANTA_NORTH___NDC.jpg",Christian,1979-10-19,,7
188,GEOFFREY KINI,National Democratic Congress,"Nkwanta South Constituency, Volta Region",https://www.parliament.gh/mps?mp=188,https://www.parliament.gh/epanel/mps/KINI_GEOFFREY_NKWANTA_SOUTH_NDC.jpg,Christian,1971-03-09,,7
189,JOYCELYN TETTEH,National Democratic Congress,"North Dayi Constituency, Volta Region",https://www.parliament.gh/mps?mp=189,https://www.parliament.gh/epanel/mps/TETTEH_JOYCELYN__NORTH_DAYI_NDC.jpg,Christian,1988-01-10,,7
19,QUEENSTAR POKUAH SAWYERR,National Democratic Congress,"Agona East Constituency, Central Region",https://www.parliament.gh/mps?mp=19,https://www.parliament.gh/epanel/mps/SAWYEAR_QUEENSTAR_POKUAH_AGONA_EAST_NPP.jpg,CHRISTIAN,1964-07-01,,7
190,SAMUEL OKUDZETO ABLAKWA,National Democratic Congress,"North Tongu Constituency, Volta Region",https://www.parliament.gh/mps?mp=190,https://www.parliament.gh/epanel/mps/ABLAKWA_OKUDZETO_SAMUEL__NORTH_TONGU__NDC.jpg,CHRISTIAN,1980-08-11,,7
