statement,id,name,start_date,end_date,constituency,constituency_id,party,party_id,term
Q16728017-23702A91-9335-4ADD-9972-7C0C71CD1E91,Q16728017,Fatima Chohan,2014-05-21,2019-05-07,,,African National Congress,Q83162,26
Q16744270-0f7ad3e3-4425-6187-77a5-33b633523e7d,Q16744270,Fezile Bhengu,2014-05-21,2019-05-07,Eastern Cape,Q130840,African National Congress,Q83162,26
Q16744297-57732f84-4b56-12e5-de59-f3fddbdb4f02,Q16744297,Pam Tshwete,2014-05-21,2019-05-07,,,African National Congress,Q83162,26
Q16744306-E1FABB3E-C37C-4FBD-AC47-AEE27D4A7526,Q16744306,Lefu Peter Khoarai,2014-05-21,2019-05-07,Free State,Q160284,African National Congress,Q83162,26
Q16744307-9872B90F-5175-48E5-9040-96F446C82EF9,Q16744307,Nthabiseng Pauline Khunou,2014-05-21,2019-05-07,Free State,Q160284,African National Congress,Q83162,26
Q16744320-FCDBA3D0-7D28-4165-8955-3520F869E01B,Q16744320,Maggie Sotyu,2014-05-21,2019-05-07,Free State,Q160284,African National Congress,Q83162,26
Q16744325-E2F0D75C-6FD6-4DC6-A1EE-B4A710D5703F,Q16744325,Henrietta Bogopane-Zulu,2014-05-21,2019-05-07,,,African National Congress,Q83162,26
Q16744338-6C29311C-2158-4CEE-A2EC-E63CD2B19BD7,Q16744338,Charles Danny Kekana,2014-05-21,2019-05-07,Gauteng,Q133083,African National Congress,Q83162,26
Q16744353-8A85F57E-0299-4C26-9E40-44C06559CC0F,Q16744353,Andries Nel,2014-05-21,2019-05-07,,,African National Congress,Q83162,26
Q16744371-521b9b05-436c-ac62-8e68-fd787a2cc558,Q16744371,Elizabeth Thabethe,2014-05-21,2019-05-07,Gauteng,Q133083,African National Congress,Q83162,26
Q16744386-83960292-9450-42B2-9AF9-5A225AAF2E26,Q16744386,Mosie Antony Cele,2014-05-21,2019-05-07,KwaZulu-Natal,Q81725,African National Congress,Q83162,26
Q16744388-206C28DF-9F88-47D7-98DD-E2EF36418439,Q16744388,Beauty Nomhle Dambuza,2016-10-14,2019-05-07,Eastern Cape,Q130840,African National Congress,Q83162,26
Q16744389-50992a87-4a4a-cc7b-c581-d5e47e7598f8,Q16744389,Cheryllyn Dudley,2014-05-21,2019-05-07,,,African Christian Democratic Party,Q268613,26
Q16744393-A9364CA4-72C7-4411-9A70-5B61B6DDD6CF,Q16744393,Ndabakayise Erasmus Gcwabaza,2014-05-21,2019-05-07,KwaZulu-Natal,Q81725,African National Congress,Q83162,26
Q16744410-34c48627-4b47-33c4-2b97-73a6e80da82b,Q16744410,Alfred Mkhipheni Mpontshane,2014-05-21,2015-08-01,KwaZulu-Natal,Q81725,Inkatha Freedom Party,Q654444,26
Q16744425-e0c8c057-440a-e864-dbe9-331423e52b03,Q16744425,Narend Singh,2014-05-21,2019-05-07,KwaZulu-Natal,Q81725,Inkatha Freedom Party,Q654444,26
Q16744439-33cc44a5-4d3f-9d59-88d2-417148f738d6,Q16744439,Jerome Joseph Maake,2014-05-21,2019-05-07,Limpopo,Q134907,African National Congress,Q83162,26
Q16744440-97bcb722-4fc3-113f-4830-aeff1bbfad2a,Q16744440,Rejoice Mabudafhasi,2014-05-21,2017-05-01,,,African National Congress,Q83162,26
Q16744450-BFCFAF2F-048A-46C8-9877-5BD053DF78E7,Q16744450,Buoang Lemias Mashile,2014-05-21,2019-05-07,,,African National Congress,Q83162,26
Q16744453-B4459A0C-5D80-4F4A-BA63-C1C9955D1337,Q16744453,Motswaledi Hezekiel Matlala,2014-05-21,2019-05-07,Limpopo,Q134907,African National Congress,Q83162,26
Q16744469-2d4ab894-408b-6bab-3b38-163d68a00ad3,Q16744469,Désirée Van Der Walt,2014-05-21,2019-05-07,,,Democratic Alliance,Q761877,26
Q16744483-147ec739-4514-ef7b-f146-184b44b124d7,Q16744483,Bongi Maria Ntuli,2014-05-21,2014-05-25,,,African National Congress,Q83162,26
Q16744505-C48F2405-EE64-4958-831C-0EDA90B9F479,Q16744505,Nthibane Rebecca Mokoto,2014-05-21,2019-05-07,North West,Q165956,African National Congress,Q83162,26
Q16744520-5f81027a-4e0d-f0ab-dc7c-321651d0bdc7,Q16744520,Francois Beukman,2014-05-21,2019-05-07,Western Cape,Q127167,African National Congress,Q83162,26
Q16744531-E22DB08E-9926-46C9-BF66-CDA1B388E5F6,Q16744531,Andrew Frans Madella,2014-05-21,2019-05-07,Western Cape,Q127167,African National Congress,Q83162,26
Q16744537-A7B9CA46-04B8-45B9-9EBF-6F42F738E011,Q16744537,Bongani Michael Mkongi,2014-05-21,2019-05-07,Western Cape,Q127167,African National Congress,Q83162,26
Q16744844-A9348E25-5DE1-4322-9BC1-A25535EF728B,Q16744844,Gavin Richard Davis,2014-05-21,2018-09-20,,,Democratic Alliance,Q761877,26
Q16744856-4993388E-FFE8-479C-B20C-B58D1E6784BC,Q16744856,Steve Swart,2014-05-21,2019-05-07,,,African Christian Democratic Party,Q268613,26
Q16746628-87E8570E-B907-4F54-98F2-0F8AA841FC5C,Q16746628,Mnyamezeli Shedrack Booi,2014-05-21,2019-05-07,,,African National Congress,Q83162,26
Q16746644-367ADA6F-6989-40C8-A991-8E948E714A25,Q16746644,Beauty Nomvuzo Dlulane,2014-05-21,2019-05-07,,,African National Congress,Q83162,26
Q16746646-354E7A5E-F4E1-44F1-9081-3EE792CC6218,Q16746646,Zephroma Sizani Dlamini-Dubazana,2014-05-21,2019-05-07,KwaZulu-Natal,Q81725,African National Congress,Q83162,26
Q16746651-71FCB9C8-DFC8-41CD-9940-31602C442C2B,Q16746651,Mary-Ann Lindelwa Dunjwa,2014-05-21,2019-05-07,Eastern Cape,Q130840,African National Congress,Q83162,26
Q16746652-6c0df142-47df-ef5b-aa96-236d41c6ca26,Q16746652,Ebrahim Ismail Ebrahim,2014-05-21,2019-05-07,,,African National Congress,Q83162,26
Q16746655-5B6620AA-AC26-4C2F-81D6-84C8E9FAEA0F,Q16746655,Tshoganetso Mpho Adolphina Tongwane,2014-05-30,2019-05-07,,,African National Congress,Q83162,26
Q16746657-a6e29c6b-4fa0-9e42-95d1-42bab002af6e,Q16746657,Nomalungelo Gina,2014-05-21,2019-05-07,KwaZulu-Natal,Q81725,African National Congress,Q83162,26
Q16746664-673fee7e-4157-8260-3984-435686283938,Q16746664,Mondli Gungubele,2016-09-05,2019-05-07,,,African National Congress,Q83162,26
Q16746668-458A95D5-3DBA-4419-9B21-B5140815694C,Q16746668,John Jeffery,2014-05-21,2019-05-07,KwaZulu-Natal,Q81725,African National Congress,Q83162,26
Q16746670-6A1F3839-F004-4A05-B277-0107E113D5C8,Q16746670,Tandiwe Elizabeth Kenye,2014-05-21,2019-05-07,Eastern Cape,Q130840,African National Congress,Q83162,26
Q16746675-B9E419C7-22BE-48B2-ACA6-E0528D29D4B6,Q16746675,Gerhardus Willem Koornhof,2014-05-21,2019-05-07,Gauteng,Q133083,African National Congress,Q83162,26
Q16746676-C63308FD-7BFC-4ADF-8E7B-B9E36A65508E,Q16746676,Zoe Kota-Fredericks,2014-05-21,2019-05-07,Western Cape,Q127167,African National Congress,Q83162,26
Q16746680-369E5CE6-E081-46AC-BDEC-0E4B49F92744,Q16746680,Mmamoloko Tryphosa Kubayi-Ngubane,2014-05-21,2019-05-07,Gauteng,Q133083,African National Congress,Q83162,26
Q16746682-80FDBFD6-67A4-436F-850B-EE0759B4CEF2,Q16746682,Luwellyn Tyrone Landers,2014-05-21,2019-05-07,KwaZulu-Natal,Q81725,African National Congress,Q83162,26
Q16746685-f9021ade-424e-da63-4983-3919a0758ca1,Q16746685,Zukile Luyenge,2014-05-21,2019-02-15,Eastern Cape,Q130840,African National Congress,Q83162,26
Q16746707-35CFD242-AF1F-4298-B25E-E40985CAF990,Q16746707,Xitlhangoma Mabasa,2014-05-21,2019-05-07,Gauteng,Q133083,African National Congress,Q83162,26
Q16746819-5491A09B-8ADD-405E-8102-9FD42B3C2C13,Q16746819,Mapule Veronica Mafolo,2014-05-21,2019-05-07,North West,Q165956,African National Congress,Q83162,26
Q16746826-4bd7f134-4f6b-860b-6968-e42197286fd6,Q16746826,Gratitude Magwanishe,2014-05-21,2019-05-07,Gauteng,Q133083,African National Congress,Q83162,26
Q16746833-D865FEBD-E221-466F-9B57-906E7F08687B,Q16746833,Lusizo Sharon Makhubela-Mashele,2014-05-21,2019-05-07,,,African National Congress,Q83162,26
Q16746834-F3C8E2CD-E698-4D68-A0E8-6AB3F6C390AF,Q16746834,Zondi Silence Makhubele,2014-05-21,2019-05-07,Limpopo,Q134907,African National Congress,Q83162,26
Q16747385-0AA96D80-9A91-4265-BFEA-D8F23D0D2D33,Q16747385,Buti Manamela,2014-05-21,2019-05-07,,,African National Congress,Q83162,26
Q16747387-b549027f-4ac9-f411-ae2f-14a4a761d809,Q16747387,Mduduzi Manana,2014-05-21,2018-07-24,,,African National Congress,Q83162,26
Q16765110-F45B1D23-1423-42F1-99F7-689B2F7C994A,Q16765110,Dudu Hellen Mathebe,2014-05-21,2019-05-07,Limpopo,Q134907,African National Congress,Q83162,26
Q16765120-94e0db82-4f63-44dc-9e4c-9efe73fc9908,Q16765120,Nomakhaya Mavis Mdaka,2014-05-21,2014-11-12,,,African National Congress,Q83162,26
Q16765123-ECB358FA-8423-4801-9984-F0A73A328AE1,Q16765123,Mzameni Richard Mdakane,2014-05-21,2019-05-07,Gauteng,Q133083,African National Congress,Q83162,26
Q16765127-217723AA-A2D9-48B1-95BB-87A479E57413,Q16765127,Lindiwe Ntombikayise Mjobo,2014-05-21,2019-05-07,KwaZulu-Natal,Q81725,African National Congress,Q83162,26
Q16765128-BA42A361-5F1B-4A0F-AD8E-C224D30CC782,Q16765128,Hlengiwe Mkhize,2014-05-21,2019-05-07,,,African National Congress,Q83162,26
Q16765137-5078AB4B-7CFC-4898-8AA2-A597E8A4098C,Q16765137,Maapi Angelina Molebatsi,2014-05-21,2019-05-07,Gauteng,Q133083,African National Congress,Q83162,26
Q16765139-9EFFB62C-DE96-4E1E-9FAE-617E166B26F3,Q16765139,Joyce Clementine Moloi-Moropa,2014-05-21,2016-03-02,,,African National Congress,Q83162,26
Q16765141-AD75C927-455A-41F3-BDBF-CFB0B351846E,Q16765141,Malusi Stanley Motimele,2014-05-21,2018-11-30,Limpopo,Q134907,African National Congress,Q83162,26
Q16765149-3F7D7DB7-D28F-46D9-828C-49DB4643BA38,Q16765149,Enock Muzi Mthethwa,2014-05-21,2019-05-07,KwaZulu-Natal,Q81725,African National Congress,Q83162,26
Q16765225-F078CB02-E506-4604-844A-724FD916B0D4,Q16765225,Phumuzile Catherine Ngwenya-Mabila,2014-05-21,2019-05-07,,,African National Congress,Q83162,26
Q16765235-21342013-8120-4BC5-9F2E-600E5C70D676,Q16765235,Gugile Nkwinti,2014-05-21,2019-05-07,,,African National Congress,Q83162,26
Q16765290-917B994B-5787-4C5A-B78F-453CFA50BBB2,Q16765290,Nomathemba Theresia November,2014-07-21,2019-05-07,,,African National Congress,Q83162,26
Q16765311-0b819f80-4123-719c-776b-f5a923d3df3f,Q16765311,Blade Nzimande,2014-05-21,2019-05-07,,,African National Congress,Q83162,26
Q16765319-C503A54A-CB92-43E6-B21C-FE71ED2A56F7,Q16765319,Mildred Oliphant,2014-05-21,2019-05-07,,,African National Congress,Q83162,26
Q16765733-EDD843E7-B92C-4FC2-98C6-C78762ACF291,Q16765733,Bhekizizwe Abram Radebe,2014-05-21,2019-05-07,Free State,Q160284,African National Congress,Q83162,26
Q16765740-1f28e47d-48f1-4f76-b296-e8f43b5096b0,Q16765740,Goodwill Sbusiso Radebe,2014-05-21,2018-06-19,Mpumalanga,Q132410,African National Congress,Q83162,26
Q16765753-39018A9F-0F08-4208-AFEC-2B6E6845534A,Q16765753,Ngoako Abel Ramatlhodi,2014-05-21,2017-03-30,,,African National Congress,Q83162,26
Q1686353-afb76214-4e69-f6aa-dcb3-8999cf82d49f,Q1686353,Jeff Radebe,2014-05-21,2019-05-07,,,African National Congress,Q83162,26
Q16929552-9A5461C1-2752-436F-A133-3231BFD8F8C5,Q16929552,Yusuf Cassim,2014-05-21,2019-05-07,Eastern Cape,Q130840,Democratic Alliance,Q761877,26
Q16935120-57294A8F-106E-4A58-B54A-D335202F98CC,Q16935120,Zakhele Njabulo Mbhele,2014-05-21,2019-05-07,Western Cape,Q127167,Democratic Alliance,Q761877,26
Q17037520-E240E635-D575-427B-81E3-B44317C99A3D,Q17037520,Marius Redelinghuys,2014-05-21,2017-07-01,Gauteng,Q133083,Democratic Alliance,Q761877,26
Q17075932-D0E7392F-7532-48D3-9853-5CEE26CBBB70,Q17075932,Faith Muthambi,2014-05-21,2019-05-07,,,African National Congress,Q83162,26
Q17385681-90C6778A-1316-46DB-890D-E0759DA6CF5F,Q17385681,Glynnis Breytenbach,2014-05-21,2019-05-07,,,Democratic Alliance,Q761877,26
Q17388948-D0BDBAC9-0BCC-412B-9564-C439A81A20BC,Q17388948,Senzeni Zokwana,2014-05-21,2019-05-07,,,African National Congress,Q83162,26
Q17466747-35C8BCF8-B2D3-446E-8914-467E3C5467BF,Q17466747,Nosipho Dorothy Ntwanambi,2014-05-21,2014-07-01,,,,,26
Q17708781-83926805-3D3B-43BD-9D00-8CAC6FF2A6E1,Q17708781,Nyiko Floyd Shivambu,2014-05-21,2019-05-07,,,Economic Freedom Fighters,Q15613585,26
Q18206724-B08CF39F-07BA-47E7-9C7A-AC989C56974A,Q18206724,Khanyisile Litchfield-Tshabalala,2014-05-21,2015-04-13,Gauteng,Q133083,Economic Freedom Fighters,Q15613585,26
Q18217607-7967F830-37B1-43CB-AD2C-625833218A8C,Q18217607,Dean William Macpherson,2014-05-21,2019-05-07,KwaZulu-Natal,Q81725,Democratic Alliance,Q761877,26
Q1887900-4B117383-CBB4-42EA-8A6A-671FBD24E6A3,Q1887900,Malusi Gigaba,2014-05-21,2018-11-15,,,African National Congress,Q83162,26
Q19364571-F26C0182-1077-4653-8CC4-5AB7FCF32A49,Q19364571,Kevin John Mileham,2014-05-21,2019-05-07,,,Democratic Alliance,Q761877,26
Q1941212-9CDE0F84-78E1-4724-83E3-4952147FB12F,Q1941212,Lulu Johnson,2014-05-21,2019-05-07,,,African National Congress,Q83162,26
Q1966829-B4CA4B0F-044F-4796-843E-559DF8F09363,Q1966829,Nathi Mthethwa,2014-05-21,2019-05-07,,,African National Congress,Q83162,26
Q20774316-8153B6E3-91EF-42F5-A781-3D060251B855,Q20774316,Michael Masutha,2014-05-21,2019-05-07,,,African National Congress,Q83162,26
Q20981694-04BD4FFF-DD84-42A2-8657-E6C879476D33,Q20981694,David Mahlobo,2014-05-21,2019-05-07,,,African National Congress,Q83162,26
Q20982109-EF555777-6A10-4AAF-8B9C-2A727F11916F,Q20982109,Lindiwe Zulu,2014-05-21,2019-05-07,,,African National Congress,Q83162,26
Q21694330-87791D4C-3324-484C-AAD0-85B4E38165CA,Q21694330,David Douglas Des Van Rooyen,2014-05-21,2019-05-07,Gauteng,Q133083,African National Congress,Q83162,26
Q21932116-91B12178-041A-4FF0-9E0D-36852078690D,Q21932116,Chris Hunsinger,2014-05-21,2019-05-07,Western Cape,Q127167,Democratic Alliance,Q761877,26
Q22278431-F507204E-2E51-4A86-809F-52708A992DB7,Q22278431,Mcebisi Jonas,2014-05-21,2017-03-31,Eastern Cape,Q130840,African National Congress,Q83162,26
Q2290959-1275CB7D-7F5D-4B7E-9F2F-BC39B06F72F6,Q2290959,Siyabonga Cwele,2014-05-21,2019-05-07,,,African National Congress,Q83162,26
Q239062-1123F2C4-B74C-4BAD-B2F9-CBBD02FDF56E,Q239062,Nomzamo Winfred Madikizela-Mandela,2014-05-21,2018-04-02,,,African National Congress,Q83162,26
Q24233839-F61D7EA4-46BA-424B-934C-2D2A91508014,Q24233839,Nkosinathi Nhleko,2014-05-21,2019-05-07,,,African National Congress,Q83162,26
Q24234082-4717A158-43EF-42C2-AE23-3C1EEB717440,Q24234082,Mbuyiseni Quintin Ndlozi,2014-05-21,2019-05-07,,,Economic Freedom Fighters,Q15613585,26
Q26206862-8D2CC13C-EDF3-40DC-BCB6-703ACAF15218,Q26206862,Amos Fish Mahlalela,2014-05-21,2019-05-07,,,African National Congress,Q83162,26
Q28011915-C5534583-0E57-4F9F-B464-FED51F1934AC,Q28011915,Madala Masuku,2014-05-21,2019-05-07,,,African National Congress,Q83162,26
Q28011968-3C86DDEA-8A47-4561-9117-5E8A42285855,Q28011968,Obed Bapela,2014-05-21,2019-05-07,,,African National Congress,Q83162,26
Q28086070-EF563058-8111-49A6-B697-4729DDEAAABA,Q28086070,Mosebenzi Joseph Zwane,2015-09-02,2019-05-07,Free State,Q160284,African National Congress,Q83162,26
Q28086074-271EEE39-7704-4B34-941A-194BE0118497,Q28086074,Stella Ndabeni-Abrahams,2014-05-21,2019-05-07,Eastern Cape,Q130840,African National Congress,Q83162,26
Q28086077-473ECAEE-7994-4B5C-8CDC-4DB97B7CC5F7,Q28086077,Kebby Maphatsoe,2014-05-21,2019-05-07,,,African National Congress,Q83162,26
Q28839897-1BE5D1C5-4AA6-4D89-9202-99F37DD29440,Q28839897,Ayanda Dlodlo,2014-05-21,2019-05-07,,,African National Congress,Q83162,26
Q28848631-259CC3AC-CF4B-42E2-9497-F658C9B914E8,Q28848631,Deidre Carter,2014-05-21,2019-05-07,,,Congress of the People,Q1125988,26
Q28861539-2534F067-ABB1-4F09-90B8-F55CF44714BC,Q28861539,Derrick America,2014-05-21,2019-05-07,,,Democratic Alliance,Q761877,26
Q29958484-F8A1A597-137B-4C53-83ED-E9A189F3AFDD,Q29958484,Ghaleb Cachalia,2017-05-04,2019-05-07,,,Democratic Alliance,Q761877,26
Q302359-215DB2C1-AF1E-4447-BC2D-ACDFED8099DA,Q302359,Aaron Motsoaledi,2014-05-21,2019-05-07,,,African National Congress,Q83162,26
Q3023722-2B8B4D8F-1C86-4666-BBEA-5CE5BA562644,Q3023722,Derek Hanekom,2014-05-21,2019-05-07,,,African National Congress,Q83162,26
Q31739641-5F61F5CD-AB30-412B-BEAA-B88C064F8647,Q31739641,Duduzile Promise Manana,2014-05-21,2018-02-27,Mpumalanga,Q132410,African National Congress,Q83162,26
Q31739907-4D48C5A8-3B30-47E2-BC05-353DE12235E0,Q31739907,Hlengiwe Octavia Mkhaliphi,2014-05-21,2019-05-07,,,Economic Freedom Fighters,Q15613585,26
Q3241428-2e5a96fa-497a-a9fe-0586-712c1736e504,Q3241428,Lindiwe Sisulu,2014-05-21,2019-05-07,,,African National Congress,Q83162,26
Q3269581-5F7E72FE-56DC-412A-A892-BA5439BE1624,Q3269581,Lynne Brown,2014-05-21,2018-03-01,,,African National Congress,Q83162,26
Q3361545-C608F907-9E9B-4688-BB8C-7E10E2C9688D,Q3361545,Zweledinga Pallo Jordan,2014-05-21,2014-08-11,,,African National Congress,Q83162,26
Q33870385-580C32C8-FE72-43D6-85A5-1A43ABE2EF07,Q33870385,Thokozile Xasa,2014-05-21,2019-05-07,,,African National Congress,Q83162,26
Q3643383-CC65C66A-4EE5-4BAD-9DAA-AA97C1127896,Q3643383,Kenneth Raselabe Joseph Meshoe,2014-05-21,2019-05-07,,,African Christian Democratic Party,Q268613,26
Q37993392-88AB28CA-C04B-4801-A261-3FCE9252C461,Q37993392,Makhosi Busisiwe Khoza,2014-05-21,2017-09-21,KwaZulu-Natal,Q81725,,,26
Q38864258-94E24A1B-78B2-4129-8C22-66A165810E34,Q38864258,Phumzile Thelma Van Damme,2014-05-21,2019-05-07,,,Democratic Alliance,Q761877,26
Q39071075-C875871E-BA39-4493-B01C-74C0018A5613,Q39071075,Anton De Waal Alberts,2014-05-21,2019-05-07,Gauteng,Q133083,Freedom Front Plus,Q510163,26
Q41705189-1C501034-09B6-4A3B-8B32-0469C8482FA4,Q41705189,Tarnia Elena Baker,2014-05-21,2017-10-06,,,Democratic Alliance,Q761877,26
Q43377376-2e5f53ce-413a-1f8c-4a5c-a371f68384a8,Q43377376,Karen Jooste,2014-05-21,2019-05-07,Northern Cape,Q132418,Democratic Alliance,Q761877,26
Q4358028-BD13768D-02CD-47C0-8BF3-67BE1ABCAD8C,Q4358028,Jeremy Cronin,2014-05-21,2019-05-07,,,African National Congress,Q83162,26
Q437046-AEBF95C4-A419-4A57-8F24-B10EBF9D8AE7,Q437046,Zwelivelile Mandlesizwe Dalibhunga Mandela,2014-05-21,2019-05-07,,,African National Congress,Q83162,26
Q44147245-201038CE-349D-460B-9338-EB68DCA05FE3,Q44147245,Brian Molefe,2017-02-23,2017-05-23,,,African National Congress,Q83162,26
Q46996204-7DEFBF61-24F8-4ABC-A0DB-E2700BF46B52,Q46996204,Bongani Thomas Bongo,2014-05-21,2019-05-07,Mpumalanga,Q132410,African National Congress,Q83162,26
Q474285-C7BDC88F-A025-4B45-A101-92CF2A3B4684,Q474285,Nkosiyakhe Amos Masondo,2014-05-21,2019-05-07,Gauteng,Q133083,African National Congress,Q83162,26
Q4752606-4546351C-3919-4597-BA6C-6EF1E1CD1DE9,Q4752606,Anchen Margaretha Dreyer,2014-05-21,2019-05-07,,,Democratic Alliance,Q761877,26
Q47529605-6512A1E8-890D-455E-BA1C-0AB4F7F738CF,Q47529605,Mmatlala Grace Boroto,2014-05-21,2019-05-07,Mpumalanga,Q132410,African National Congress,Q83162,26
Q47529614-41135CA6-4F15-4552-8E04-1D1CCEBE1AFD,Q47529614,Pumzile Justice Mnguni,2014-05-21,2019-05-07,Eastern Cape,Q130840,African National Congress,Q83162,26
Q47529616-9844F3F3-E9E0-464B-A638-8E5131541F3D,Q47529616,Zukisa Cheryl Faku,2014-05-21,2019-05-07,Eastern Cape,Q130840,African National Congress,Q83162,26
Q47529617-FAF2CF5B-786F-4D19-ACD7-1FB1C1E4EA92,Q47529617,Mamonare Patricia Chueu,2014-05-21,2019-05-07,Gauteng,Q133083,African National Congress,Q83162,26
Q47529618-C42E255D-552C-4CCF-93F0-B5C6D673F947,Q47529618,Bongekile Jabulile Dlomo,2014-05-21,2019-05-07,KwaZulu-Natal,Q81725,African National Congress,Q83162,26
Q47529620-0671FE78-9302-4360-BA71-2323C7A25C0E,Q47529620,Daphne Zukiswa Rantho,2014-05-21,2019-05-07,Eastern Cape,Q130840,African National Congress,Q83162,26
Q47529621-D9881844-E5A2-4965-A1A7-9888ACE97E82,Q47529621,Mcebisi Skwatsha,2014-05-21,2019-05-07,,,African National Congress,Q83162,26
Q47529623-892B46CF-02A0-42C6-87C9-4C0D09735FB3,Q47529623,Patrick Dumile Nono Maloyi,2016-06-03,2019-02-28,North West,Q165956,African National Congress,Q83162,26
Q47529625-492CEF72-6726-4B25-B0E9-C9D003011108,Q47529625,Doreen Senokoanyane,2016-02-05,2019-05-07,Gauteng,Q133083,African National Congress,Q83162,26
Q47529626-8E9A02C6-5A28-477E-BCC7-F836563B994C,Q47529626,Mandlenkosi Phillip Galo,2014-05-21,2019-05-07,,,African Independent Congress,Q4689795,26
Q47529628-2689E9B9-FD22-4DBD-8055-3877C966AB2B,Q47529628,Steven Mahlubanzima Jafta,2014-05-21,2019-05-07,,,African Independent Congress,Q4689795,26
Q47529629-935952D0-931C-435A-8CED-8371A476F9BC,Q47529629,Samuel Gaaesi Mmusi,2014-05-21,2019-05-07,North West,Q165956,African National Congress,Q83162,26
Q47529630-D5A44505-7673-4F29-8443-184E17E5AE31,Q47529630,Lulama Maxwell Ntshayisa,2014-05-21,2019-05-07,,,African Independent Congress,Q4689795,26
Q47529632-D6A337B5-7496-4F5B-A9E4-52A4352FE99F,Q47529632,Thapelo Dorothy Chiloane,2015-02-24,2019-05-07,Mpumalanga,Q132410,African National Congress,Q83162,26
Q47529633-9BA53FC4-C2DD-44CC-8392-20C770155D25,Q47529633,Lerato Cynthia Theko,2017-05-04,2019-05-07,,,African National Congress,Q83162,26
Q47529634-9614BF4B-A9A5-4E72-8A71-462F1DBF9535,Q47529634,Theophilus Mbulelo Nkonzo,2017-05-04,2019-05-07,,,African National Congress,Q83162,26
Q47529636-9F62E57B-66AC-4627-B92D-4EC85116789D,Q47529636,Dikeledi Gladys Mahlangu,2014-05-21,2019-05-07,,,African National Congress,Q83162,26
Q47529637-3AA852F8-2EC4-4816-85D4-AEAE42D6A5F7,Q47529637,Candith Mashego-Dlamini,2014-05-21,2019-05-07,,,African National Congress,Q83162,26
Q47529638-D5367D0D-3081-45DA-B58E-8F0581940CD1,Q47529638,Nocawe Noncedo Mafu,2014-05-21,2019-05-07,,,African National Congress,Q83162,26
Q47529640-04454339-FF42-4FA5-B866-C9DC7AB11587,Q47529640,Jabulane Joseph Dube,2017-05-04,2019-05-07,,,African National Congress,Q83162,26
Q47529643-8699A078-4562-45D6-B964-50A273FF9EE5,Q47529643,Jabulani Lukas Mahlangu,2014-05-21,2019-05-07,,,African National Congress,Q83162,26
Q47529644-B01451A9-A248-43B2-A766-70B56F3A49BE,Q47529644,Millicent Ntombizodwa Sibongile Manana,2014-05-21,2019-05-07,,,African National Congress,Q83162,26
Q47529645-9AFBFD0F-2102-4B79-8FA4-D0273C9E2EB5,Q47529645,Rachel Cecilia Adams,2017-05-04,2019-05-07,,,African National Congress,Q83162,26
Q47529646-7A45701C-91A9-433E-B759-2AEEFFDE2975,Q47529646,Priscilla Tozama Mantashe,2014-05-21,2019-05-07,Eastern Cape,Q130840,African National Congress,Q83162,26
