id,name,wikidata
area/na-268_(kalat-cum-mastung_haidri),Constituency NA-268,Q12978899
area/na-269_(khuzdar),Constituency NA-269,Q12979181
area/na-26_(bannu),Constituency NA-26,Q5163983
area/na-270_(awaran-cum-lasbella),Constituency NA-270,Q12979281
area/na-271_(kharan-cum-panjgur),Constituency NA-271,Q12979548
area/na-272_(kech-cum-gwadar),Constituency NA-272,Q12979907
area/na-27_(lakki_marwat),Constituency NA-27,Q5163984
area/na-28_(bunair_),Constituency NA-28,Q5163985
area/na-29_(swat-i),Constituency NA-29,Q5163986
area/na-2_(peshawar-ii),Constituency NA-2,Q5163975
area/na-30_(swat-ii),Constituency NA-30,Q5163988
area/na-31_(shanglapar),Constituency NA-31,Q5163989
area/na-32_(chitral),Constituency NA-32,Q5163991
area/na-33_(upper_dir-cum-lower_dir_(old_upper_dir)),Constituency NA-33,Q5163992
area/na-34_(lower_dir),Constituency NA-34,Q5163993
area/na-35_(malakand_protected_area),Constituency NA-35,Q5163994
area/na-36_(tribal_area-i),Constituency NA-36,Q5163995
area/na-37_(tribal_area-ii),Constituency NA-37,Q5163996
area/na-39_(tribal_area-iv),Constituency NA-39,Q5163998
area/na-3_(peshawar-iii),Constituency NA-3,Q5163987
area/na-40_(tribal_area-v),Constituency NA-40,Q5164000
area/na-41_(tribal_area-vi),Constituency NA-41,Q5164001
area/na-42_(tribal_area-vii),Constituency NA-42,Q5164003
area/na-43_(tribal_area-viii),Constituency NA-43,Q5164004
area/na-44_(tribal_area-ix),Constituency NA-44,Q5164005
area/na-45_(tribal_area-x),Constituency NA-45,Q5164006
area/na-46_(tribal_area-xi),Constituency NA-46,Q5164007
area/na-47_(tribal_area-xii),Constituency NA-47,Q5164008
area/na-48_(islamabad-i),Constituency NA-48,Q5164009
area/na-49_(islamabad-ii),Constituency NA-49,Q5164010
area/na-4_(peshawar-iv),Constituency NA-4,Q5163999
area/na-50_(rawalpindi-i),Constituency NA-50,Q5164012
area/na-51_(rawalpindi-ii),Constituency NA-51,Q5164013
area/na-52_(rawalpindi-iii),Constituency NA-52,Q5164014
area/na-53_(rawalpindi-iv),Constituency NA-53,Q5164015
area/na-54_(rawalpindi-v),Constituency NA-54,Q5164016
area/na-55_(rawalpindi-vi),Constituency NA-55,Q5164017
area/na-56_(rawalpindi-vii),Constituency NA-56,Q5164018
area/na-57_(attock-i),Constituency NA-57,Q5164019
area/na-58_(attock-ii),Constituency NA-58,Q5164021
area/na-59_(attock-iii),Constituency NA-59,Q5164022
area/na-5_(nowshera-i),Constituency NA-5,Q5164011
area/na-60_(chakwal-i),Constituency NA-60,Q5164024
area/na-61_(chakwal-ii),Constituency NA-61,Q5164025
area/na-62_(jhelum-i),Constituency NA-62,Q5164026
area/na-63_(jhelum-ii),Constituency NA-63,Q5164027
area/na-64_(sargodha-i),Constituency NA-64,Q5164028
area/na-65_(sargodha-ii),Constituency NA-65,Q5164029
area/na-66_(sargodha-iii),Constituency NA-66,Q5164030
area/na-67_(sargodha-iv),Constituency NA-67,Q5164031
area/na-68_(sargodha-v),Constituency NA-68,Q13092973
area/na-69_(khushab-i),Constituency NA-69,Q5164033
area/na-6_(nowshera-ii),Constituency NA-6,Q5164023
area/na-70_(khushab-ii),Constituency NA-70,Q5164035
area/na-71_(mianwali-i),Constituency NA-71,Q5164036
area/na-72_(mianwali-ii),Constituency NA-72,Q5164037
area/na-73_(bhakkar-i),Constituency NA-73,Q5164038
area/na-74_(bhakkar-ii),Constituency NA-74,Q5164039
area/na-75_(faisalabad-i),Constituency NA-75,Q5164040
area/na-76_(faisalabad-ii),Constituency NA-76,Q5164041
area/na-77_(faisalabad-iii),Constituency NA-77,Q5164042
area/na-78_(faisalabad-iv),Constituency NA-78,Q5164043
area/na-79_(faisalabad-v),Constituency NA-79,Q5164044
area/na-7_(charsadda-i),Constituency NA-7,Q5164034
area/na-80_(faisalabad-vi),Constituency NA-80,Q5164046
area/na-81_(faisalabad-vii),Constituency NA-81,Q5164047
area/na-82_(faisalabad-viii),Constituency NA-82,Q5164048
area/na-83_(faisalabad-ix),Constituency NA-83,Q5164049
area/na-84_(faisalabad-x),Constituency NA-84,Q5164050
area/na-85_(faisalabad-xi),Constituency NA-85,Q5164051
area/na-86_(chiniot-i_(old_na-86_jhang-i)),Constituency NA-86,Q5164052
area/na-87_(chiniot-ii_cum-jhang_(old_na-88_jhang-iii)),Constituency NA-87,Q5164053
area/na-88_(jhang-cum-chiniot_(old_na-87_jhang-ii)),Constituency NA-88,Q5164054
area/na-89_(jhang-i_(old_na-89_jhang-iv)),Constituency NA-89,Q5164056
area/na-8_(charsadda-ii),Constituency NA-8,Q5164045
area/na-90_(jhang-ii_(old_na-90_jhang-v)),Constituency NA-90,Q5164058
area/na-91_(jhang-iii_(old_na-91_jhang-vi)),Constituency NA-91,Q5164059
area/na-92_(t.t.singh-i),Constituency NA-92,Q13099851
area/na-93_(t.t.singh-ii),Constituency NA-93,Q13099855
area/na-94_(t.t.singh-iii),Constituency NA-94,Q13099860
area/na-95_(gujranwala-i),Constituency NA-95,Q12809700
area/na-96_(gujranwala-ii),Constituency NA-96,Q12809795
area/na-97_(gujranwala-iii),Constituency NA-97,Q12809941
area/na-98_(gujranwala-iv),Constituency NA-98,Q12810028
area/na-99_(gujranwala-v),Constituency NA-99,Q12810090
area/na-9_(mardan-i),Constituency NA-9,Q5164057
