id,name,position,start_date,end_date
4b344da0-2dbc-4531-8821-fc44686a9838,Roger F. Wicker,Member of the Mississippi State Senate,,
6c88e798-3206-4696-a08f-71d7bba89238,Roger Jepsen,member of the Iowa Senate,,
18453878-635a-49ca-bd61-48dafe7c7b73,Ron Wyden,United States representative,,
9ab12ac7-5b24-4cab-9a83-3e7aaf9cd488,Roy Blunt,United States representative,,
b1b92431-97a7-4289-8968-9bca3a9a2b1d,Shelley Moore Capito,United States representative,,
bbfd2081-1c8b-40ce-874a-4163a66c453e,Sherrod Brown,United States representative,,
bbfd2081-1c8b-40ce-874a-4163a66c453e,Sherrod Brown,member of the Ohio House of Representatives,,
8b2db84a-3154-4a1a-be9e-610ebfd66f10,Steve Daines,United States representative,,
ac685fb6-179d-4b38-80c9-dac6c38f1730,Tammy Baldwin,United States representative,,
ac685fb6-179d-4b38-80c9-dac6c38f1730,Tammy Baldwin,member of the Wisconsin State Assembly,,
c3467b48-1f1b-4d79-8af6-e903641e897a,Thad Cochran,United States representative,,
c3467b48-1f1b-4d79-8af6-e903641e897a,Thad Cochran,Member of the Mississippi State Senate,,
abe62d3f-7788-4662-a728-89fa90e8ea33,Thom Tillis,Member of the North Carolina House of Representatives,,
6bd1b1b1-2368-4676-a192-d271a2cf8a35,Thomas R. Carper,United States representative,,
6bd1b1b1-2368-4676-a192-d271a2cf8a35,Thomas R. Carper,Governor of Delaware,,
b8f24fe1-a840-47fe-8829-657501a08728,Tim Kaine,Governor of Virginia,2006-01-14,2010-01-16
be1429b6-d20f-4984-9c55-86fc973242df,Tim Scott,United States representative,,
be1429b6-d20f-4984-9c55-86fc973242df,Tim Scott,member of the South Carolina House of Representatives,,
d7bfdfde-86cd-4da5-99d5-5c560561d7cc,Tom Cotton,United States representative,2015,
d93db7bd-499d-4309-a963-0ebf27d05be4,Tom Udall,United States representative,,
42694970-e5d6-4ed5-8bfc-e013cb6ce44c,Zell Miller,Governor of Georgia,1991-01-14,1999-01-11
42694970-e5d6-4ed5-8bfc-e013cb6ce44c,Zell Miller,Lieutenant Governor of Georgia,1975-01-14,1991-01-14
