id,name,sort_name,gender,email,district,party,party_id,term,area
172,Carlos Kuschel Silva,Kuschel,male,carlos.kuschel,57,Renovación Nacional,RN,2,57
172,Carlos Kuschel Silva,Kuschel,male,carlos.kuschel,57,Renovación Nacional,RN,3,57
172,Carlos Kuschel Silva,Kuschel,male,carlos.kuschel,57,Renovación Nacional,RN,4,57
173,Eduardo Lagos Herrera,Lagos,male,elagos,57,Partido Radical Social Demócrata,PRSD,4,57
175,Cristián Leay Morán,Leay,male,cleay,0,Unión Demócrata Independiente,UDI,1,""
175,Cristián Leay Morán,Leay,male,cleay,19,Unión Demócrata Independiente,UDI,2,19
175,Cristián Leay Morán,Leay,male,cleay,19,Unión Demócrata Independiente,UDI,3,19
175,Cristián Leay Morán,Leay,male,cleay,19,Unión Demócrata Independiente,UDI,4,19
176,Juan Pablo Letelier Morel,Letelier,male,jpleteli,0,Partido Socialista,PS,1,""
176,Juan Pablo Letelier Morel,Letelier,male,jpleteli,33,Partido Socialista,PS,2,33
176,Juan Pablo Letelier Morel,Letelier,male,jpleteli,33,Partido Socialista,PS,3,33
176,Juan Pablo Letelier Morel,Letelier,male,jpleteli,33,Partido Socialista,PS,4,33
177,Felipe Letelier Norambuena,Letelier,male,felipe.letelier,0,Partido Por la Democracia,PPD,2,""
177,Felipe Letelier Norambuena,Letelier,male,felipe.letelier,42,Partido Por la Democracia,PPD,3,42
177,Felipe Letelier Norambuena,Letelier,male,felipe.letelier,42,Partido Por la Democracia,PPD,4,42
177,Felipe Letelier Norambuena,Letelier,male,felipe.letelier,33,Partido Por la Democracia,PPD,8,33
178,Arturo Longton Guerrero,Longton,male,al,0,Renovación Nacional,RN,1,""
178,Arturo Longton Guerrero,Longton,male,al,12,Renovación Nacional,RN,2,12
178,Arturo Longton Guerrero,Longton,male,al,12,Renovación Nacional,RN,3,12
178,Arturo Longton Guerrero,Longton,male,al,12,Renovación Nacional,RN,4,12
179,Pablo Longueira Montes,Longueira,male,plonguei,0,Unión Demócrata Independiente,UDI,1,""
179,Pablo Longueira Montes,Longueira,male,plonguei,30,Unión Demócrata Independiente,UDI,2,30
179,Pablo Longueira Montes,Longueira,male,plonguei,30,Unión Demócrata Independiente,UDI,3,30
179,Pablo Longueira Montes,Longueira,male,plonguei,17,Unión Demócrata Independiente,UDI,4,17
181,Zarko Luksic Sandoval,Luksic,male,luksic,0,Partido Demócrata Cristiano,DC,2,""
181,Zarko Luksic Sandoval,Luksic,male,luksic,16,Partido Demócrata Cristiano,DC,3,16
181,Zarko Luksic Sandoval,Luksic,male,luksic,16,Partido Demócrata Cristiano,DC,4,16
185,María Eugenia Mella Gajardo,Mella,female,mmella,10,Partido Demócrata Cristiano,DC,4,10
187,Darío Molina Sanhueza,Molina,male,dmolina,9,Unión Demócrata Independiente,UDI,3,9
187,Darío Molina Sanhueza,Molina,male,dmolina,9,Unión Demócrata Independiente,UDI,4,9
19,Juan Antonio Coloma Correa,Coloma,male,"",0,Unión Demócrata Independiente,UDI,1,""
19,Juan Antonio Coloma Correa,Coloma,male,"",31,Unión Demócrata Independiente,UDI,2,31
19,Juan Antonio Coloma Correa,Coloma,male,"",31,Unión Demócrata Independiente,UDI,3,31
190,Waldo Mora Longa,Mora,male,wmora,3,Partido Demócrata Cristiano,DC,3,3
190,Waldo Mora Longa,Mora,male,wmora,3,Partido Demócrata Cristiano,DC,4,3
193,Pedro Muñoz Aburto,Muñoz,male,pmunoz,0,Partido Socialista,PS,2,""
193,Pedro Muñoz Aburto,Muñoz,male,pmunoz,60,Partido Socialista,PS,3,60
193,Pedro Muñoz Aburto,Muñoz,male,pmunoz,60,Partido Socialista,PS,4,60
195,Alejandro Navarro Brain,Navarro,male,anavarro,0,Partido Socialista,PS,2,""
195,Alejandro Navarro Brain,Navarro,male,anavarro,45,Partido Socialista,PS,3,45
195,Alejandro Navarro Brain,Navarro,male,anavarro,45,Partido Socialista,PS,4,45
202,Cristián Pareto Vergara,Pareto,male,cpareto,20,Independientes,IND,4,20
205,Aníbal Pérez Lobos,Pérez,male,anibalpe,0,Partido Por la Democracia,PPD,2,""
205,Aníbal Pérez Lobos,Pérez,male,anibalpe,32,Partido Por la Democracia,PPD,3,32
205,Aníbal Pérez Lobos,Pérez,male,anibalpe,35,Partido Por la Democracia,PPD,4,35
206,Ramón Pérez Opazo,Pérez,male,rperez,0,Renovación Nacional,RN,1,""
206,Ramón Pérez Opazo,Pérez,male,rperez,2,Renovación Nacional,RN,2,2
206,Ramón Pérez Opazo,Pérez,male,rperez,2,Independientes,IND,4,2
208,Víctor Pérez Varela,Pérez,male,vperez,0,Unión Demócrata Independiente,UDI,1,""
208,Víctor Pérez Varela,Pérez,male,vperez,47,Unión Demócrata Independiente,UDI,2,47
208,Víctor Pérez Varela,Pérez,male,vperez,47,Unión Demócrata Independiente,UDI,3,47
208,Víctor Pérez Varela,Pérez,male,vperez,47,Unión Demócrata Independiente,UDI,4,47
209,Pablo Prieto Lorca,Prieto,male,pprieto,37,Unión Demócrata Independiente,UDI,4,37
211,Víctor Manuel Rebolledo González,Rebolledo,male,vrebolledo,0,Partido Por la Democracia,PPD,1,""
211,Víctor Manuel Rebolledo González,Rebolledo,male,vrebolledo,7,Partido Por la Democracia,PPD,4,7
213,Edgardo Riveros Marín,Riveros,male,eriveros,30,Partido Demócrata Cristiano,DC,3,30
213,Edgardo Riveros Marín,Riveros,male,eriveros,30,Partido Demócrata Cristiano,DC,4,30
220,Edmundo Salas De La Fuente,Salas,male,esalas,0,Partido Demócrata Cristiano,DC,1,""
220,Edmundo Salas De La Fuente,Salas,male,esalas,45,Partido Demócrata Cristiano,DC,2,45
220,Edmundo Salas De La Fuente,Salas,male,esalas,45,Partido Demócrata Cristiano,DC,3,45
220,Edmundo Salas De La Fuente,Salas,male,esalas,45,Partido Demócrata Cristiano,DC,4,45
221,Leopoldo Sánchez Grunert,Sánchez,male,lsanchez,59,Partido Por la Democracia,PPD,3,59
221,Leopoldo Sánchez Grunert,Sánchez,male,lsanchez,59,Partido Por la Democracia,PPD,4,59
222,Rodolfo Seguel Molina,Seguel,male,rseguel,0,Partido Demócrata Cristiano,DC,1,""
222,Rodolfo Seguel Molina,Seguel,male,rseguel,28,Partido Demócrata Cristiano,DC,2,28
222,Rodolfo Seguel Molina,Seguel,male,rseguel,28,Partido Demócrata Cristiano,DC,3,28
222,Rodolfo Seguel Molina,Seguel,male,rseguel,28,Partido Demócrata Cristiano,DC,4,28
224,Exequiel Silva Ortiz,Silva,male,esilva,0,Partido Demócrata Cristiano,DC,2,""
224,Exequiel Silva Ortiz,Silva,male,esilva,53,Partido Demócrata Cristiano,DC,3,53
224,Exequiel Silva Ortiz,Silva,male,esilva,53,Partido Demócrata Cristiano,DC,4,53
226,Boris Tapia Martínez,Tapia,male,btapia,36,Partido Demócrata Cristiano,DC,4,36
234,Mario Varela Herrera,Varela,male,mvarela,20,Unión Demócrata Independiente,UDI,4,20
239,Edmundo Villouta Concha,Villouta,male,villouta,0,Partido Demócrata Cristiano,DC,1,""
239,Edmundo Villouta Concha,Villouta,male,villouta,48,Partido Demócrata Cristiano,DC,2,48
239,Edmundo Villouta Concha,Villouta,male,villouta,48,Partido Demócrata Cristiano,DC,3,48
239,Edmundo Villouta Concha,Villouta,male,villouta,48,Partido Demócrata Cristiano,DC,4,48
242,Néstor Jofré Núñez,Jofré,male,njofre,2,Renovación Nacional,RN,4,2
27,Sergio Elgueta Barrientos,Elgueta,male,"",0,Partido Demócrata Cristiano,DC,1,""
27,Sergio Elgueta Barrientos,Elgueta,male,"",57,Partido Demócrata Cristiano,DC,2,57
27,Sergio Elgueta Barrientos,Elgueta,male,"",57,Partido Demócrata Cristiano,DC,3,57
3,Gustavo Alessandri Valdés,Alessandri,male,"",20,Renovación Nacional,RN,3,20
30,Alberto Espina Otero,Espina,male,"",0,Renovación Nacional,RN,1,""
30,Alberto Espina Otero,Espina,male,"",21,Renovación Nacional,RN,2,21
30,Alberto Espina Otero,Espina,male,"",21,Renovación Nacional,RN,3,21
31,Haroldo Fossa Rojas,Fossa,male,"",46,Renovación Nacional,RN,3,46
35,José García Ruminot,García,male,"",0,Renovación Nacional,RN,1,""
35,José García Ruminot,García,male,"",50,Renovación Nacional,RN,2,50
35,José García Ruminot,García,male,"",50,Renovación Nacional,RN,3,50
39,Homero Gutiérrez Román,Gutiérrez,male,"",0,Partido Demócrata Cristiano,DC,2,""
39,Homero Gutiérrez Román,Gutiérrez,male,"",37,Partido Demócrata Cristiano,DC,3,37
405,Andrés Allamand Zavala,Allamand,male,"",0,Renovación Nacional,RN,2,""
407,Armando Arancibia Calderón,Arancibia,male,"",0,Partido Socialista,PS,1,""
407,Armando Arancibia Calderón,Arancibia,male,"",6,Partido Socialista,PS,2,6
410,Andrés Aylwin Azocar,Aylwin,male,"",0,Partido Demócrata Cristiano,DC,1,""
410,Andrés Aylwin Azocar,Aylwin,male,"",30,Partido Demócrata Cristiano,DC,2,30
411,Mariana Aylwin Oyarzún,Aylwin,female,"",0,Partido Demócrata Cristiano,DC,2,""
412,Ignacio Balbontín Arteaga,Balbontín,male,"",0,Partido Demócrata Cristiano,DC,2,""
415,Carlos Bombal Otaegui,Bombal,male,"",0,Unión Demócrata Independiente,UDI,1,""
415,Carlos Bombal Otaegui,Bombal,male,"",22,Unión Demócrata Independiente,UDI,2,22
417,Carlos Cantero Ojeda,Cantero,male,"",0,Renovación Nacional,RN,1,""
417,Carlos Cantero Ojeda,Cantero,male,"",3,Renovación Nacional,RN,2,3
42,Miguel Hernández Saffirio,Hernández,male,"",0,Partido Demócrata Cristiano,DC,2,""
42,Miguel Hernández Saffirio,Hernández,male,"",49,Partido Demócrata Cristiano,DC,3,49
424,Andrés Chadwick Piñera,Chadwick,male,"",0,Unión Demócrata Independiente,UDI,1,""
424,Andrés Chadwick Piñera,Chadwick,male,"",33,Unión Demócrata Independiente,UDI,2,33
425,Iván De la Maza Maillet,De la Maza,male,"",0,Partido Demócrata Cristiano,DC,2,""
426,Carlos Dupré Silva,Dupré,male,"",0,Partido Demócrata Cristiano,DC,1,""
426,Carlos Dupré Silva,Dupré,male,"",20,Partido Demócrata Cristiano,DC,2,20
428,Ramón Elizalde Hevia,Elizalde,male,"",0,Partido Demócrata Cristiano,DC,1,""
428,Ramón Elizalde Hevia,Elizalde,male,"",17,Partido Demócrata Cristiano,DC,2,17
43,Francisco Huenchumilla Jaramillo,Huenchumilla,male,"",0,Partido Demócrata Cristiano,DC,1,""
43,Francisco Huenchumilla Jaramillo,Huenchumilla,male,"",50,Partido Demócrata Cristiano,DC,2,50
43,Francisco Huenchumilla Jaramillo,Huenchumilla,male,"",50,Partido Demócrata Cristiano,DC,3,50
433,Jaime Estévez Valencia,Estévez,male,"",0,Partido Socialista,PS,1,""
433,Jaime Estévez Valencia,Estévez,male,"",29,Partido Socialista,PS,2,29
434,Miguel Angel Fantuzzi Hernández,Fantuzzi,male,"",0,Renovación Nacional,RN,1,""
434,Miguel Angel Fantuzzi Hernández,Fantuzzi,male,"",20,Renovación Nacional,RN,2,20
435,Luis Valentín Ferrada Valenzuela,Ferrada,male,"",0,Renovación Nacional,RN,2,""
437,Rubén Gajardo Chacón,Gajardo,male,"",0,Partido Demócrata Cristiano,DC,1,""
437,Rubén Gajardo Chacón,Gajardo,male,"",4,Partido Demócrata Cristiano,DC,2,4
443,José Luis González Rodríguez,González,male,"",0,Partido Por la Democracia,PPD,2,""
445,Mario Hamuy Berr,Hamuy,male,"",0,Partido Demócrata Cristiano,DC,1,""
445,Mario Hamuy Berr,Hamuy,male,"",19,Partido Demócrata Cristiano,DC,2,19
448,José María Hurtado Ruiz-Tagle,Hurtado,male,"",0,Renovación Nacional,RN,1,""
448,José María Hurtado Ruiz-Tagle,Hurtado,male,"",35,Renovación Nacional,RN,2,35
449,Octavio Jara Wolff,Jara,male,"",0,Partido Por la Democracia,PPD,1,""
449,Octavio Jara Wolff,Jara,male,"",47,Partido Por la Democracia,PPD,2,47
452,Harry Jürgensen Caesar,Jürgensen,male,"",0,Renovación Nacional,RN,2,""
453,Vicente Karelovic Vrandecic,Karelovic,male,"",0,Independientes,IND,2,""
463,José Makluf Campos,Makluf,male,"",0,Partido Demócrata Cristiano,DC,2,""
467,Evelyn Matthei Fornet,Matthei,female,"",0,Independientes,IND,1,""
467,Evelyn Matthei Fornet,Matthei,female,"",23,Unión Demócrata Independiente,UDI,2,23
470,Sergio Morales Morales,Morales,male,"",0,Partido Radical Social Demócrata,PRSD,2,""
472,Eugenio Munizaga Rodríguez,Munizaga,male,"",0,Renovación Nacional,RN,1,""
472,Eugenio Munizaga Rodríguez,Munizaga,male,"",7,Renovación Nacional,RN,2,7
485,Jorge Pizarro Soto,Pizarro,male,"",0,Partido Demócrata Cristiano,DC,1,""
485,Jorge Pizarro Soto,Pizarro,male,"",8,Partido Demócrata Cristiano,DC,2,8
489,Romy Rebolledo Leyton,Rebolledo,female,"",0,Partido Por la Democracia,PPD,2,""
49,Tomás Jocelyn-Holt Letelier,Jocelyn-Holt,male,"",0,Partido Demócrata Cristiano,DC,2,""
49,Tomás Jocelyn-Holt Letelier,Jocelyn-Holt,male,"",24,Partido Demócrata Cristiano,DC,3,24
491,Teodoro Ribera Neumann,Ribera,male,"",0,Renovación Nacional,RN,1,""
491,Teodoro Ribera Neumann,Ribera,male,"",51,Renovación Nacional,RN,2,51
493,Claudio Rodríguez Cataldo,Rodríguez,male,"",0,Renovación Nacional,RN,1,""
493,Claudio Rodríguez Cataldo,Rodríguez,male,"",11,Renovación Nacional,RN,2,11
495,Hosain Sabag Castillo,Sabag,male,"",0,Partido Demócrata Cristiano,DC,1,""
495,Hosain Sabag Castillo,Sabag,male,"",42,Partido Demócrata Cristiano,DC,2,42
497,Jorge Schaulsohn Brodsky,Schaulsohn,male,"",0,Partido Por la Democracia,PPD,1,""
497,Jorge Schaulsohn Brodsky,Schaulsohn,male,"",22,Partido Por la Democracia,PPD,2,22
50,Enrique Krauss Rusque,Krauss,male,"",22,Partido Demócrata Cristiano,DC,3,22
500,Valentín Solís Cabezas,Solís,male,"",0,Renovación Nacional,RN,2,""
502,Vicente Sota Barros,Sota,male,"",0,Partido Por la Democracia,PPD,1,""
502,Vicente Sota Barros,Sota,male,"",31,Partido Por la Democracia,PPD,2,31
503,Juan Enrique Taladriz García,Taladriz,male,"",0,Renovación Nacional,RN,1,""
503,Juan Enrique Taladriz García,Taladriz,male,"",53,Renovación Nacional,RN,2,53
504,Isidoro Tohá González,Tohá,male,"",0,Partido Socialista,PS,1,""
504,Isidoro Tohá González,Tohá,male,"",41,Partido Socialista,PS,2,41
507,Raúl Urrutia Avila,Urrutia,male,"",0,Renovación Nacional,RN,1,""
507,Raúl Urrutia Avila,Urrutia,male,"",14,Renovación Nacional,RN,2,14
509,Carlos Valcarce Medina,Valcarce,male,"",0,Renovación Nacional,RN,1,""
509,Carlos Valcarce Medina,Valcarce,male,"",1,Renovación Nacional,RN,2,1
514,José Antonio Viera-Gallo Quesney,Viera-Gallo,male,"",0,Partido Socialista,PS,1,""
514,José Antonio Viera-Gallo Quesney,Viera-Gallo,male,"",44,Partido Socialista,PS,2,44
516,Erick Villegas González,Villegas,male,"",0,Partido Demócrata Cristiano,DC,2,""
519,Martita Wörner Tapia,Wörner,female,"",0,Partido Por la Democracia,PPD,2,""
520,Héctor Zambrano Opazo,Zambrano,male,"",0,Partido Demócrata Cristiano,DC,2,""
603,Hugo Alamos Vásquez,Alamos,male,"",0,Renovación Nacional,RN,1,""
604,Gustavo Alessandri Balmaceda,Alessandri,male,"",0,Renovación Nacional,RN,1,""
607,Nicanor Araya de la Cruz,Araya,male,"",0,Partido Socialista,PS,1,""
612,Hernán Bosselin Correa,Bosselin,male,"",0,Partido Demócrata Cristiano,DC,1,""
614,Jaime Alfonso Campos Quiroga,Campos,male,"",0,Partido Radical Social Demócrata,PRSD,1,""
617,Gustavo Cardemil Alfaro,Cardemil,male,"",0,Partido Demócrata Cristiano,DC,1,""
618,Baldemar Carrasco Muñoz,Carrasco,male,"",0,Partido Demócrata Cristiano,DC,1,""
62,Gutenberg Martínez Ocamica,Martínez,male,"",0,Partido Demócrata Cristiano,DC,1,""
62,Gutenberg Martínez Ocamica,Martínez,male,"",21,Partido Demócrata Cristiano,DC,2,21
62,Gutenberg Martínez Ocamica,Martínez,male,"",21,Partido Demócrata Cristiano,DC,3,21
621,Juan Concha Urbina,Concha,male,"",0,Partido Demócrata Cristiano,DC,1,""
626,Mario Devaud Ojeda,Devaud,male,"",0,Partido Radical Social Demócrata,PRSD,1,""
634,Dionisio Faulbaum Mayorga,Faulbaum,male,"",0,Partido Radical Social Demócrata,PRSD,1,""
639,Pedro Guzmán Alvarez,Guzmán,male,"",0,Unión Demócrata Independiente,UDI,1,""
641,Antonio Horvath Kiss,Horvath,male,"",0,Independientes,IND,1,""
643,Claudio Huepe García,Huepe,male,"",0,Partido Demócrata Cristiano,DC,1,""
645,Sergio Jara Catalán,Jara,male,"",0,Partido Demócrata Cristiano,DC,1,""
649,Vladislav Kuzmicic Calderón,Kuzmicic,male,"",0,Partido Socialista,PS,1,""
65,Iván Mesías Lehú,Mesías,male,"",42,Partido Radical Social Demócrata,PRSD,3,42
652,Luis Leblanc Valenzuela,Leblanc,male,"",0,Partido Demócrata Cristiano,DC,1,""
656,María Maluenda Campos,Maluenda,female,"",0,Partido Por la Democracia,PPD,1,""
658,Juan Martínez Sepúlveda,Martínez,male,"",0,Partido Socialista,PS,1,""
660,Manuel Matta Aragay,Matta,male,manueljose.matta,0,Partido Demócrata Cristiano,DC,1,""
662,Federico Mekis Martínez,Mekis,male,"",0,Renovación Nacional,RN,1,""
664,Jorge Molina Valdivieso,Molina,male,"",0,Partido Por la Democracia,PPD,1,""
666,Jorge Morales Adriasola,Morales,male,"",0,Renovación Nacional,RN,1,""
668,Roberto Muñoz Barra,Muñoz,male,"",0,Partido Por la Democracia,PPD,1,""
67,Luis Monge Sánchez,Monge,male,"",48,Independientes,IND,3,48
671,Luis Navarrete Carvacho,Navarrete,male,"",0,Renovación Nacional,RN,1,""
673,Héctor Olivares Solis,Olivares,male,"",0,Partido Socialista,PS,1,""
675,Eugenio Ortega Riquelme,Ortega,male,"",0,Partido Demócrata Cristiano,DC,1,""
677,Mario Palestro Rojas,Palestro,male,"",0,Partido Socialista,PS,1,""
680,José Apolonio Peña Meza,Peña,male,"",0,Partido Radical Social Demócrata,PRSD,1,""
681,Juan Alberto Pérez Muñoz,Pérez,male,"",0,Renovación Nacional,RN,1,""
684,Sergio Pizarro Mackay,Pizarro,male,"",0,Partido Demócrata Cristiano,DC,1,""
688,Gustavo Ramírez Vergara,Ramírez,male,"",0,Partido Demócrata Cristiano,DC,1,""
693,Federico Ringeling Hunger,Ringeling,male,"",0,Renovación Nacional,RN,1,""
696,José Alfonso Rodríguez Del Río,Rodríguez,male,"",0,Renovación Nacional,RN,1,""
697,Hugo Rodríguez Guerrero,Rodríguez,male,"",0,Partido Demócrata Cristiano,DC,1,""
698,Laura Rodríguez Riccomini,Rodríguez,female,"",0,"","",1,""
699,Hernán Rojo Avendaño,Rojo,male,"",0,Partido Demócrata Cristiano,DC,1,""
700,Julio Rojos Astorga,Rojos,male,"",0,Partido Demócrata Cristiano,DC,1,""
705,Carlos Smok Ubeda,Smok,male,"",0,Partido Socialista,PS,1,""
707,Juan Akin Soto Morales,Soto,male,"",0,Partido Socialista,PS,1,""
708,Andrés Sotomayor Mardones,Sotomayor,male,"",0,Renovación Nacional,RN,1,""
718,Milenko Vilicic Karnincic,Vilicic,male,"",0,Partido Demócrata Cristiano,DC,1,""
720,Guillermo Yunge Bustamante,Yunge,male,"",0,Partido Demócrata Cristiano,DC,1,""
721,Martín Manterola,Manterola,female,"","","","",1,""
74,Jaime Naranjo Ortiz,Naranjo,male,"",0,Partido Socialista,PS,1,""
74,Jaime Naranjo Ortiz,Naranjo,male,"",39,Partido Socialista,PS,2,39
74,Jaime Naranjo Ortiz,Naranjo,male,"",39,Partido Socialista,PS,3,39
76,Juan Núñez Valenzuela,Núñez,male,"",34,Partido Demócrata Cristiano,DC,3,34
79,Jaime Orpis Bouchon,Orpis,male,"",0,Unión Demócrata Independiente,UDI,1,""
79,Jaime Orpis Bouchon,Orpis,male,"",25,Unión Demócrata Independiente,UDI,2,25
79,Jaime Orpis Bouchon,Orpis,male,"",25,Unión Demócrata Independiente,UDI,3,25
8,Rafael Arratia Valdebenito,Arratia,male,"",35,Partido Demócrata Cristiano,DC,3,35
800,Enrique Accorsi Opazo,Accorsi,male,eaccorsi,24,Partido Por la Democracia,PPD,4,24
800,Enrique Accorsi Opazo,Accorsi,male,eaccorsi,24,Partido Por la Democracia,PPD,5,24
800,Enrique Accorsi Opazo,Accorsi,male,eaccorsi,24,Partido Por la Democracia,PPD,6,24
801,René Aedo Ormeño,Aedo,male,raedo,5,Renovación Nacional,RN,5,5
802,Sergio Aguiló Melo,Aguiló,male,saguilo,0,Partido Socialista,PS,1,""
