name,full_name,family_name,given_name,sort_name,party,term,area,area_id,source,image
Edison BAIRD,Edison BAIRD,BAIRD,Edison,"BAIRD, Edison",Anguilla Democratic Party,1999,Road North,5,http://www.caribbeanelections.com/ai/election2015/districts/district05.asp,
Edison BAIRD,Edison BAIRD,BAIRD,Edison,"BAIRD, Edison",Independent,2000,Road North,5,http://www.caribbeanelections.com/ai/election2015/districts/district05.asp,
Edison BAIRD,Edison BAIRD,BAIRD,Edison,"BAIRD, Edison",Anguilla Strategic Alliance,2005,Road North,5,http://www.caribbeanelections.com/ai/election2015/districts/district05.asp,
Edison BAIRD,Edison BAIRD,BAIRD,Edison,"BAIRD, Edison",Anguilla United Movement,2010,Road North,5,http://www.caribbeanelections.com/ai/election2015/districts/district05.asp,
Evalie BRADLEY,Evalie BRADLEY,BRADLEY,Evalie,"BRADLEY, Evalie",Anguilla United Front,2015,Road North,5,http://www.caribbeanelections.com/ai/election2015/districts/district05.asp,http://www.caribbeanelections.com/ai/images/people/Evalie_Bradley_2015_02.jpg
Hubert Benjamin HUGHES,Hubert Benjamin HUGHES,HUGHES,Hubert Benjamin,"HUGHES, Hubert Benjamin",Anguilla United Party,1989,Road South,6,http://www.caribbeanelections.com/ai/election2015/districts/district06.asp,
Hubert Benjamin HUGHES,Hubert Benjamin HUGHES,HUGHES,Hubert Benjamin,"HUGHES, Hubert Benjamin",Anguilla United Party,1994,Road South,6,http://www.caribbeanelections.com/ai/election2015/districts/district06.asp,
Hubert Benjamin HUGHES,Hubert Benjamin HUGHES,HUGHES,Hubert Benjamin,"HUGHES, Hubert Benjamin",Anguilla United Party,1999,Road South,6,http://www.caribbeanelections.com/ai/election2015/districts/district06.asp,
Hubert Benjamin HUGHES,Hubert Benjamin HUGHES,HUGHES,Hubert Benjamin,"HUGHES, Hubert Benjamin",Anguilla United Movement,2000,Road South,6,http://www.caribbeanelections.com/ai/election2015/districts/district06.asp,
Hubert Benjamin HUGHES,Hubert Benjamin HUGHES,HUGHES,Hubert Benjamin,"HUGHES, Hubert Benjamin",Anguilla United Movement,2005,Road South,6,http://www.caribbeanelections.com/ai/election2015/districts/district06.asp,
Hubert Benjamin HUGHES,Hubert Benjamin HUGHES,HUGHES,Hubert Benjamin,"HUGHES, Hubert Benjamin",Anguilla United Movement,2010,Road South,6,http://www.caribbeanelections.com/ai/election2015/districts/district06.asp,
Curtis A. RICHARDSON,Curtis A. RICHARDSON,RICHARDSON,Curtis A.,"RICHARDSON, Curtis A.",Anguilla United Front,2015,Road South,6,http://www.caribbeanelections.com/ai/election2015/districts/district06.asp,http://www.caribbeanelections.com/ai/images/people/Curtis_Richardson_2015_01.jpg
Albert E. HUGHES,Albert E. HUGHES,HUGHES,Albert E.,"HUGHES, Albert E.",Anguilla United Party,1989,West End,7,http://www.caribbeanelections.com/ai/election2015/districts/district07.asp,
Albert E. HUGHES,Albert E. HUGHES,HUGHES,Albert E.,"HUGHES, Albert E.",Anguilla United Party,1994,West End,7,http://www.caribbeanelections.com/ai/election2015/districts/district07.asp,
Albert E. HUGHES,Albert E. HUGHES,HUGHES,Albert E.,"HUGHES, Albert E.",Anguilla United Party,1999,West End,7,http://www.caribbeanelections.com/ai/election2015/districts/district07.asp,
Albert E. HUGHES,Albert E. HUGHES,HUGHES,Albert E.,"HUGHES, Albert E.",Anguilla United Movement,2000,West End,7,http://www.caribbeanelections.com/ai/election2015/districts/district07.asp,
Albert E. HUGHES,Albert E. HUGHES,HUGHES,Albert E.,"HUGHES, Albert E.",Anguilla Strategic Alliance,2005,West End,7,http://www.caribbeanelections.com/ai/election2015/districts/district07.asp,
Walcott RICHARDSON,Walcott RICHARDSON,RICHARDSON,Walcott,"RICHARDSON, Walcott",Anguilla United Movement,2010,West End,7,http://www.caribbeanelections.com/ai/election2015/districts/district07.asp,
Cardigan CONNOR,Cardigan CONNOR,CONNOR,Cardigan,"CONNOR, Cardigan",Anguilla United Front,2015,West End,7,http://www.caribbeanelections.com/ai/election2015/districts/district07.asp,http://www.caribbeanelections.com/ai/images/people/Cardigan_Connor_2015_02.jpg
