id,name,party,image,term,source
gazmend-aliji,Gazmend Aliji,Democratic Party of Albanians,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/Gazmend-Aljiji.jpg,2014,http://sobranie.mk/current-structure-2014-2018-ns_article-gazmend-aliji-2014-2018.nspx
gjoko-kamcev,Gjoko Kamcev,VMRO-DPMNE,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/Gjoko-Kamcev.jpg,2014,http://sobranie.mk/current-structure-2014-2018-ns_article-gjoko-kamcev-2014-en.nspx
gjorgji-kodzabasiev,Gjorgji Kodzabasiev,VMRO-DPMNE,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/Djordji-Kodjabasiev.jpg,2014,http://sobranie.mk/current-structure-2014-2018-ns_article-gjorgji-kodzabasiev-2014-en.nspx
hazbi-ljika,Hazbi LJika,Democratic Union for Integration,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/Hazbi-Lika.jpg,2014,http://sobranie.mk/democratic-union-for-integration-2014-ns_article-hazbi-ljika-2014-en.nspx
ilija-dimovski,Ilija Dimovski,VMRO-DPMNE,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/Ilija-Dimovski.jpg,2014,http://sobranie.mk/current-structure-2014-2018-ns_article-ilija-dimovski-2014-en.nspx
imer-aliu,Imer Aliu,Democratic Party of Albanians,http://www.sobranie.mk/content/images/pratenici%20sliki%2014-18/Imer-Aliu.jpg,2014,http://sobranie.mk/current-structure-2014-2018-ns_article-imer-aliu-2014-eng.nspx
ivan-ivanov,Ivan Ivanov,VMRO-DPMNE,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/Ivan-Ivanov.jpg,2014,http://sobranie.mk/current-structure-2014-2018-ns_article-ivan-ivanov-2014-en.nspx
ivan-stoilkovik,Ivan Stoilkovik,Democratic Party of Serbs in Macedonia,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/Ivan-Stoilkovik.jpg,2014,http://sobranie.mk/current-structure-2014-2018-ns_article-ivan-stoilkovik-2014-en.nspx
jamin-sinani,Jamin Sinani,Democratic Union for Integration,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/Jamin-Sinani.jpg,2014,http://sobranie.mk/current-structure-2014-2018-ns_article-jamin-sinani-2014-en.nspx
jasminka-damceska,Jasminka Damceska,VMRO-DPMNE,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/JasminkaDanceeska.jpg,2014,http://sobranie.mk/current-structure-2014-2018-ns_article-jasminka-damceska-2014-en.nspx
kaltrina-azizi,Kaltrina Azizi,Democratic Union for Integration,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/Kaltrina-Azizi.jpg,2014,http://sobranie.mk/democratic-union-for-integration-2014-ns_article-kaltrina-azizi-2014-en.nspx
kenan-hasipi,Kenan Hasipi,Democratic Part of the Turks in Macedonia,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/Kenan-Hasipi.jpg,2014,http://sobranie.mk/current-structure-2014-2018-ns_article-kenan-hasipi-2014-en.nspx
krsto-mukoski,Krsto Mukoski,VMRO-DPMNE,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/Krsto-Mukoski.jpg,2014,http://sobranie.mk/current-structure-2014-2018-ns_article-krsto-mukoski-2014-en.nspx
liljana-kuzmanovska,Liljana Kuzmanovska,VMRO-DPMNE,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/Liljana-Kuzmanovska.jpg,2014,http://sobranie.mk/current-structure-2014-2018-ns_article-liljana-kuzmanovska-2014-en.nspx
liljana-popovska,Liljana Popovska,Democratic Renewal of Macedonia,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/Liljana--Popovska.jpg,2014,http://sobranie.mk/current-structure-2014-2018-ns_article-liljana-popovska-2014-en.nspx
liljana-zaturovska,Liljana Zaturoska,VMRO-DPMNE,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/Ljiljana-Zaturovska.jpg,2014,http://sobranie.mk/current-structure-2014-2018-ns_article-liljana-zaturovska-2014-en.nspx
ljubica-buralieva,LJubica Buralieva,Independent Members,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/Ljubica-Buralieva.jpg,2014,http://sobranie.mk/independent-members-14-18-ns_article-ljubica-buralieva-2014-en.nspx
ljupco-dimovski,Ljupco Dimovski,Socialist Party of Macedonia,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/Ljupco-Dimovski.jpg,2014,http://sobranie.mk/current-structure-2014-2018-ns_article-ljupco-dimovski-2014-en.nspx
magdalena-manaskova,Magdalena Manaskova,VMRO-DPMNE,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/Magdalena-Manaskova.jpg,2014,http://sobranie.mk/current-structure-2014-2018-ns_article-magdalena-manaskova-2014-en.nspx
marija-angelova,Marija Angelova,VMRO-DPMNE,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/Marija-Angelova.jpg,2014,http://sobranie.mk/current-structure-2014-2018-ns_article-marija-angelova-2014-en.nspx
marjanco-kolevski,Marjanco Kolevski,VMRO-DPMNE,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/Marijanco-Kolevski.jpg,2014,http://sobranie.mk/current-structure-2014-2018-ns_article-marjanco-kolevski-2014-en.nspx
menduh-taci,Menduh Taci,Democratic Party of Albanians,http://www.sobranie.mk/content/images/pratenici%20sliki%2014-18/Menduh-Taci.jpg,2014,http://sobranie.mk/current-structure-2014-2018-ns_article-menduh-taci-2014-eng.nspx
meral-uzeiri-ferati,Meral Uzeiri-Ferati,Democratic Party of Albanians,http://www.sobranie.mk/content/images/pratenici%20sliki%2014-18/Merail-Uzeiri-Ferati.jpg,2014,http://sobranie.mk/current-structure-2014-2018-ns_article-meral-uzeiri-ferati-2014-eng.nspx
mirjana-hadzievska,Mirjana Hadzievska,VMRO-DPMNE,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/mirjana%20hadzievska.jpg,2014,http://sobranie.mk/current-structure-2014-2018-ns_article-mirjana-hadzievska-15-en.nspx
mirsada-emini-asani,Mirsada Emini Asani,Democratic Union for Integration,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/mirsadaeminiasani.jpg,2014,http://sobranie.mk/democratic-union-for-integration-2014-ns_article-mirsada-emini-asani-2014-en.nspx
mirvan-dzemailji,Mirvan DZemailji,Democratic Union for Integration,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/Mevran-Djemaili.jpg,2014,http://sobranie.mk/democratic-union-for-integration-2014-ns_article-mirvan-dzemailji-2014-en.nspx
momcilo-avramoski,Momcilo Avramoski,VMRO-DPMNE,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/Momcilo-Avramovski.jpg,2014,http://sobranie.mk/current-structure-2014-2018-ns_article-momcilo-avramoski-2014-en.nspx
musa-ibraimi,Musa Ibraimi,Democratic Union for Integration,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/MusaIbraimi.jpg,2014,http://sobranie.mk/democratic-union-for-integration-2014-ns_article-musa-ibraimi-2014-en.nspx
nada-cipuseva,Nada Cipuseva,VMRO-DPMNE,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/Nada-Cipuseva.jpg,2014,http://sobranie.mk/current-structure-2014-2018-ns_article-nada-cipuseva-2014-en.nspx
nikola-micevski,Nikola Micevski,VMRO-DPMNE,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/pratenikNIKOLA-MICEVSKI.jpg,2014,http://sobranie.mk/current-structure-2014-2018-ns_article-nikola-micevski-2014-en.nspx
nola-ismajloska,Nola Ismajloska-Starova,VMRO-DPMNE,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/Nola-Ismajloska.jpg,2014,http://sobranie.mk/current-structure-2014-2018-ns_article-nola-ismajloska-2014-en.nspx
nora-aliti,Nora Aliti,Democratic Union for Integration,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/Nora-Aliti.jpg,2014,http://sobranie.mk/current-structure-2014-2018-ns_article-nora-aliti-2014-en.nspx
olga-najdenovska,Olga Najdenovska,VMRO-DPMNE,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/O.Najdenovska.jpg,2014,http://sobranie.mk/current-structure-2014-2018-ns_article-olga-najdenovska-2014-en.nspx
orhan-ibraim,Orhan Ibraim,Democratic Party of Albanians,http://www.sobranie.mk/content/images/pratenici%20sliki%2014-18/Orhan-Ibraim.jpg,2014,http://sobranie.mk/current-structure-2014-2018-ns_article-orhan-ibraim-2014-eng.nspx
pavle-sazdov,Pavle Sazdov,VMRO-DPMNE,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/Pavle-Sazdov.jpg,2014,http://sobranie.mk/current-structure-2014-2018-ns_article-pavle-sazdov-2014-en.nspx
pavle-trajanov,Pavle Trajanov,Democratic Union,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/Pavle-Trajanov.jpg,2014,http://sobranie.mk/current-structure-2014-2018-ns_article-pavle-trajanov-2014-en.nspx
rafis-aljiti,Rafis Aljiti,Democratic Union for Integration,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/Rafiz-Aliti.jpg,2014,http://sobranie.mk/democratic-union-for-integration-2014-ns_article-rafis-aljiti-2014-en.nspx
ramiz-merko,Ramiz Merko,Democratic Union for Integration,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/Ramiz-Merko.jpg,2014,http://sobranie.mk/current-structure-2014-2018-ns_article-ramiz-merko-2014-en.nspx
redzailj-ismaili,Redzailj Ismaili,Democratic Union for Integration,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/Redjail--Ismailjli.jpg,2014,http://sobranie.mk/democratic-union-for-integration-2014-ns_article-redzailj-ismaili-2014-en.nspx
risto-mancev,Risto Mancev,VMRO-DPMNE,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/Risto-Mancev.jpg,2014,http://sobranie.mk/current-structure-2014-2018-ns_article-risto-mancev-2014-en.nspx
roza-topuzova-karevska,Roza Topuzova-Karevska,Liberal - Democratic Party,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/Roza-topuzova-karevska.jpg,2014,http://sobranie.mk/liberal-democratic-party-14-18-en-ns_article-roza-topuzova-karevska-2014-en.nspx
saso-akimoski,Saso Akimoski,VMRO-DPMNE,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/Saso--Akimovski.jpg,2014,http://sobranie.mk/current-structure-2014-2018-ns_article-saso-akimoski-2014-en.nspx
saso-vasilevski,Saso Vasilevski,VMRO-DPMNE,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/Saso-Vasilevski.jpg,2014,http://sobranie.mk/current-structure-2014-2018-ns_article-saso-vasilevski-2014-en.nspx
selvije-saliu,Selvije Saliu,Democratic Union for Integration,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/Selvie-Saliu.jpg,2014,http://sobranie.mk/current-structure-2014-2018-ns_article-selvije-saliu-2014-en.nspx
shpresa-hadri,Shpresa Hadri,Democratic Union for Integration,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/Spresa-Hadri.jpg,2014,http://sobranie.mk/current-structure-2014-2018-ns_article-shpresa-hadri-2014-en.nspx
slagjana-mitovska,Slagjana Mitovska,VMRO-DPMNE,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/Sladjana-Mitovska.jpg,2014,http://sobranie.mk/current-structure-2014-2018-ns_article-slagjana-mitovska-2014-en.nspx
slave-gosev,Slave Gosev,VMRO-DPMNE,http://www.sobranie.mk/content/images/pratenici%20sliki%2014-18/Slave-Gosev.jpg,2014,http://sobranie.mk/current-structure-2014-2018-ns_article-slave-gosev-2014-eng.nspx
solza-grceva,Solza Grceva,Independent Members,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/Solza-Grceva.jpg,2014,http://sobranie.mk/independent-members-14-18-ns_article-solza-grceva-2014-en.nspx
sonja-talevska,Sonja Talevska,VMRO-DPMNE,http://www.sobranie.mk/content/images/pratenici%20sliki%2014-18/Sonja-Talevska.jpg,2014,http://sobranie.mk/current-structure-2014-2018-ns_article-sonja-talevska-2014-eng.nspx
stojan-milanov,Stojan Milanov,Socialist Party of Macedonia,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/Stojan-Milanov.jpg,2014,http://sobranie.mk/current-structure-2014-2018-ns_article-stojan-milanov-2014-en.nspx
suzana-sekulovska,Suzana Sekulovska,VMRO-DPMNE,http://www.sobranie.mk/content/images/pratenici%20sliki%2014-18/Suzana-Sekulovska.jpg,2014,http://sobranie.mk/current-structure-2014-2018-ns_article-suzana-sekulovska-2014-eng.nspx
svetlana-jakimovska,Svetlana Jakimovska,VMRO-DPMNE,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/SvetlanaJakimovska.jpg,2014,http://sobranie.mk/current-structure-2014-2018-ns_article-svetlana-jakimovska-2014-eng.nspx
svetlana-karapetrova,Svetlana Karapetrova,VMRO-DPMNE,http://www.sobranie.mk/content/images/pratenici%20sliki%2014-18/Svetlana-Karapetrova.jpg,2014,http://sobranie.mk/current-structure-2014-2018-ns_article-svetlana-karapetrova-2014-eng.nspx
talat-dzaferi,Talat DZaferi,Democratic Union for Integration,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/Talat-Djaferi.jpg,2014,http://sobranie.mk/democratic-union-for-integration-2014-ns_article-talat-dzaferi-2014-en.nspx
trajco-dimkov,Trajco Dimkov,VMRO-DPMNE,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/Trajco-Dimkov.jpg,2014,http://sobranie.mk/current-structure-2014-2018-ns_article-trajco-dimkov-2014-en.nspx
vasil-pisev,Vasil Pisev,VMRO-DPMNE,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/Vasil-Pisev.jpg,2014,http://sobranie.mk/current-structure-2014-2018-ns_article-vasil-pisev-2014-en.nspx
vasko-naumovski,Vasko Naumovski,VMRO-DPMNE,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/Vasko-Naumovski.jpg,2014,http://sobranie.mk/current-structure-2014-2018-ns_article-vasko-naumovski-2014-en.nspx
vesna-damcevska-ilievska,Vesna Damcevska-Ilievska,VMRO-DPMNE,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/Vesna-Dancevska-Ilievska.jpg,2014,http://sobranie.mk/current-structure-2014-2018-ns_article-vesna-damcevska-ilievska-2014-en.nspx
vesna-pemova,Vesna Pemova,VMRO-DPMNE,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/Vesna-Pemova.jpg,2014,http://sobranie.mk/current-structure-2014-2018-ns_article-vesna-pemova-2014-en.nspx
vjolca-mehmeti-nuredini,Vjolca Mehmeti-Nuredini,Democratic Union for Integration,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/Vojca-Mehmeti-Huredini.jpg,2014,http://sobranie.mk/democratic-union-for-integration-2014-ns_article-vjolca-mehmeti-nuredini-2014-en.nspx
vladanka-avirovik,Vladanka Avirovik,Socialist Party of Macedonia,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/Vladanka-Avirovik.jpg,2014,http://sobranie.mk/current-structure-2014-2018-ns_article-vladanka-avirovik-2014-en.nspx
vladimir-gjorchev,Vladimir Gjorchev,VMRO-DPMNE,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/Vlatko-Djorcev.jpg,2014,http://sobranie.mk/current-structure-2014-2018-ns_article-vladimir-gjorchev-2014.nspx
xhevat-ademi,Xhevat Ademi,Democratic Union for Integration,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/Djevad-Ademi-.jpg,2014,http://sobranie.mk/democratic-union-for-integration-2014-ns_article-xhevat-ademi-2014-en.nspx
zoran-gjorgjievski,Zoran Gjorgjievski,VMRO-DPMNE,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/Zoran-Gjorgjievski.jpg,2014,http://sobranie.mk/current-structure-2014-2018-ns_article-zoran-gjorgjievski-2014-en.nspx
zoran-ilioski,Zoran Ilioski,VMRO-DPMNE,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/Zoran-Ilioski.jpg,2014,http://sobranie.mk/current-structure-2014-2018-ns_article-zoran-ilioski-2014-en.nspx
zulfi-adili,Zulfi Adili,Independent Members,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/Zulfi--Adili.jpg,2014,http://sobranie.mk/current-structure-2014-2018-ns_article-zulfi-adili-2014-en.nspx
