id,name,family_name,given_name,gender,party,faction,faction_id,area_id,area,statut,image,term,source
honfo_charlemagne,Charlemagne HONFO,HONFO,Charlemagne,male,PRD - Parti du renouveau démocratique,PRD - Union fait la Nation,prd_union_fait_la_nation,19,OUEME,Titulaire,http://www.assemblee-nationale.bj/images/comprofiler/790_524d7eeda0007.jpg,6,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/honfo_charlemagne
houangni_parfait,Parfait HOUANGNI,HOUANGNI,Parfait,male,"",Nation et Développement,nation_et_développement,23,Zou,Titulaire,http://www.assemblee-nationale.bj/images/comprofiler/789_524d7dcaabeac.jpg,6,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/houangni_parfait
houngnibo_lucien,Lucien K. HOUNGNIBO,HOUNGNIBO,Lucien K.,male,Union pour le Bénin du futur,"","","","","",http://www.assemblee-nationale.bj/images/comprofiler/822_524db55af0d61.jpg,6,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/houngnibo_lucien
houssou_christophe,Christophe HOUSSOU,HOUSSOU,Christophe,male,"","","","","",Suppléant,http://www.assemblee-nationale.bj/images/comprofiler/826_533d8237b57e0.jpg,6,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/houssou_christophe
issa_salifou,Salifou ISSA,ISSA,Salifou,male,UPR - Union pour la relève,"","",1,ALIBORI,Titulaire,http://www.assemblee-nationale.bj/images/comprofiler/794_524d84c01e891.jpg,6,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/issa_salifou
kakpozannou_babatunde,Babatundé KAKPO ZANNOU,KAKPO ZANNOU,Babatundé,male,FCBE - Force Cauris pour un Bénin émergent,UMPP Unité – Solidarité – Progrès,umpp_unité_solidarité_progrès,22,PLATEAU,Suppléant,http://www.assemblee-nationale.bj/images/comprofiler/793_524d84038200a.jpg,6,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/kakpozannou_babatunde
kekeaholou_helene,Hélène KEKE AHOLOU,KEKE AHOLOU,Hélène,female,FCBE - Force Cauris pour un Bénin émergent,Refondation et Progrès,refondation_et_progrès,20,OUEME,Titulaire,http://www.assemblee-nationale.bj/images/comprofiler/791_524d7faded8fa.jpg,6,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/kekeaholou_helene
kindjanhounde_zephirin,Zéphirin KINDJANHOUNDE,KINDJANHOUNDE,Zéphirin,male,FCBE - Force Cauris pour un Bénin émergent,Refondation et Emergence,refondation_et_emergence,24,ZOU,Titulaire,http://www.assemblee-nationale.bj/images/comprofiler/795_524d863498a9a.jpg,6,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/kindjanhounde_zephirin
koragounou_zime,Zimé KORA GOUNOU,KORA GOUNOU,Zimé,female,"","Refondation, Paix et Développement",refondation_paix_et_développement,7,BORGOU,Titulaire,http://www.assemblee-nationale.bj/images/comprofiler/792_527ce27dc2d64.jpg,6,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/koragounou_zime
lafia_sacca,Sacca LAFIA,LAFIA,Sacca,male,FCBE - Force Cauris pour un Bénin émergent,"Refondation, Paix et Développement",refondation_paix_et_développement,8,BORGOU,Titulaire,http://www.assemblee-nationale.bj/images/comprofiler/797_524d89e0a142a.jpg,6,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/lafia_sacca
laourou_gregoire,Grégoire LAOUROU,LAOUROU,Grégoire,male,FCBE - Force Cauris pour un Bénin émergent,"","",9,COLLINES,"",http://www.assemblee-nationale.bj/images/comprofiler/800_524d8ed1c40d0.jpg,6,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/laourou_gregoire
loko_francis,Francis Frank Sedozan LOKO,LOKO,Francis Frank Sedozan,male,"",Nation et Développement,nation_et_développement,16,LITTORAL,Suppléant,http://www.assemblee-nationale.bj/images/comprofiler/798_524d8c5128dc9.jpg,6,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/loko_francis
malehossou_yacoubou,Yacoubou MALEHOSSOU,MALEHOSSOU,Yacoubou,male,"",Nation et Développement,nation_et_développement,23,ZOU,Suppléant,http://www.assemblee-nationale.bj/images/comprofiler/799_524d8da7ab0ab.jpg,6,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/malehossou_yacoubou
monhoussou_moussou,Moussou MONHOUSSOU,MONHOUSSOU,Moussou,male,FCBE - Force Cauris pour un Bénin émergent,UMPP Unité – Solidarité – Progrès,umpp_unité_solidarité_progrès,12,COUFFO,Titulaire,http://www.assemblee-nationale.bj/images/comprofiler/796_524d88b657940.jpg,6,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/monhoussou_moussou
nago_coffimathurin,Mathurin Coffi NAGO,NAGO,Mathurin Coffi,male,FCBE - Force Cauris pour un Bénin émergent,Autre,autre,"","",Titulaire,http://www.assemblee-nationale.bj/images/comprofiler/733_527cda226af19.jpg,6,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/nago_coffimathurin
orouse_guene,Guéné OROU SE,OROU SE,Guéné,male,FCBE - Force Cauris pour un Bénin émergent,UMPP Unité – Solidarité – Progrès,umpp_unité_solidarité_progrès,7,BORGOU,Titulaire,http://www.assemblee-nationale.bj/images/comprofiler/802_524d91efb84bd.jpg,6,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/orouse_guene
quenum_epiphane,Epiphane QUENUM POSSY BERRY,QUENUM POSSY BERRY,Epiphane,male,"","","",16,LITTORAL,Titulaire,http://www.assemblee-nationale.bj/images/comprofiler/803_527cdf350a59b.jpg,6,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/quenum_epiphane
sado_nazaire,Nazaire SADO,SADO,Nazaire,male,"",Nation et Développement,nation_et_développement,23,ZOU,Suppléant,http://www.assemblee-nationale.bj/images/comprofiler/801_524d90f37840d.jpg,6,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/sado_nazaire
sagui_justin,Justin W. SAGUI Y.,SAGUI Y.,Justin W.,male,UFCDN - Union des forces citoyennes pour le développement,Refondation et Progrès,refondation_et_progrès,4,ATACORA,Titulaire,http://www.assemblee-nationale.bj/images/comprofiler/729_52325a47a64c8.jpg,6,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/sagui_justin
sani_yibatou,Yibatou SANI GLELE,SANI GLELE,Yibatou,female,"",PRD - Union fait la Nation,prd_union_fait_la_nation,19,OUEME,Titulaire,http://www.assemblee-nationale.bj/images/comprofiler/805_524d9c0286ff8.jpg,6,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/sani_yibatou
sanni_ayouba,Ayouba SANNI,SANNI,Ayouba,male,"","Refondation, Paix et Développement",refondation_paix_et_développement,1,ALIBORI,Suppléant,http://www.assemblee-nationale.bj/images/comprofiler/808_524d9f1041d0c.jpg,6,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/sanni_ayouba
