name,id,area,area_id,term,wikidata,source
Cho Jong-sob,14-363,Kwail,363,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Cho Jun-hak,14-407,Koksan,407,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Cho Kil-nyo,14-17,Saemaul,17,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Cho Kum-hui,14-611,Hwadae,611,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Cho Kyong-chol,14-123,Sungrisan,123,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Cho Song-hwan,14-410,Chongbong,410,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Cho Song-yun,14-301,Pyokdong,301,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Cho Won-thaek,14-216,Maengsan,216,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Cho Yon-jun,14-22,Pipha,22,13,Q11727287,"https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Cho Yong-chol,14-418,Changphung,418,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Cho Yong-su,14-297,Taekwan,297,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Cho Yong-su,14-680,Haeun,680,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Choe Chang-son,14-395,Kangan,395,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Choe Chang-son,14-427,Kangkye,427,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Choe Chol,14-531,Kumkol,531,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Choe Chol-hu,14-551,Pujon,551,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Choe Chol-jung,14-66,Hyongjesan,66,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Choe Chun-sik,14-56,Oun,56,13,Q12619902,"https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Choe Hwi,14-171,Subok,171,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Choe Hyon,14-518,Ryujong,518,13,Q8287842,"https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Choe In-ho,14-578,Sangnong,578,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Choe Ji-son,14-173,Ryongak,173,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Choe Jin-su,14-397,Rinsan,397,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Choe Jong-kon,14-292,Chonma,292,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Choe Jong-ryong,14-306,Okkye,306,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Choe Kang,14-266,Wolchon,266,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Choe Ki-jun,14-652,Saengjang,652,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Choe Kwang-chol,14-274,Posok,274,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Choe Kwang-jin,14-178,Sangdok,178,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Choe Kwi-hon,14-557,Kisang,557,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Choe Kyong-nam,14-412,Phyongsan,412,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Choe Myong-chol,14-521,Phungo,521,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Choe Myong-hak,14-47,Chongbaek,47,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
