id,honorific_prefix,name,gender,image
nigel-d-dharamlall,"",Nigel D. Dharamlall,,"http://parliament.gov.gy/images/member_photos/4027/mr._nigel_d._dharamlall,_m.p..jpg"
odinga-lumumba,"",Odinga Lumumba,,http://parliament.gov.gy/images/member_photos/150/odinga_lumumba.jpg
pauline-campbell-sukhai,"",Pauline Campbell-Sukhai,,"http://parliament.gov.gy/images/member_photos/151/ms._pauline_campbell-sukhai,_m.p..jpg"
priya-manickchand,"",Priya D. Manickchand,,http://parliament.gov.gy/images/member_photos/89/priya.jpg
raphael-gctrotman,"",Raphael G.C.Trotman,,http://parliament.gov.gy/images/member_photos/152/raphael_g.c.trotman.jpg
ronald-bulkan,"",Ronald A. Bulkan,,http://parliament.gov.gy/images/member_photos/156/ronald_bulkan.jpg
sheila-veersammy,"",Sheila Veersammy,,http://parliament.gov.gy/images/member_photos/5708/veersammy.jpg
sydney-c-allicock,"",Sydney C. Allicock,,http://parliament.gov.gy/images/member_photos/158/syndney.jpg
valerie-garrido-lowe,"",Valerie Garrido-Lowe,,http://parliament.gov.gy/images/member_photos/123/valerie.jpg
winston-felix,"",Winston Felix,,http://parliament.gov.gy/images/member_photos/160/felix.jpg
yvonne-p-fredericks,"",Yvonne P. Fredericks,,"http://parliament.gov.gy/images/member_photos/4028/mrs._yvonne_pearson-_fredericks,_m.p..jpg"
