id,name,start_date,end_date,term,party_id,party,area_id,area,organisation_name,party_role,organisation_role
51,AHMED MUKHTAR MOHAMMED,2011-05-29,2015-05-29,2011,2909,Peoples Democratic Party,502,Gurara/Suleja/Tafa,House of Representatives,Member,Federal Representative
836,Saidu Yusuf Miga,1979-05-29,1983-05-29,1979,6615,All Progressives Congress (APC),710,Jahun/Miga,House of Representatives,Member,Federal Representative
836,Saidu Yusuf Miga,1983-05-29,1992-05-29,1983,6615,All Progressives Congress (APC),710,Jahun/Miga,House of Representatives,Member,Federal Representative
836,Saidu Yusuf Miga,1992-05-29,1998-05-29,1992,6615,All Progressives Congress (APC),710,Jahun/Miga,House of Representatives,Member,Federal Representative
836,Saidu Yusuf Miga,1998-05-29,1999-05-29,1998,6615,All Progressives Congress (APC),710,Jahun/Miga,House of Representatives,Member,Federal Representative
836,Saidu Yusuf Miga,1999-05-29,2003-05-29,1999,6615,All Progressives Congress (APC),710,Jahun/Miga,House of Representatives,Member,Federal Representative
836,Saidu Yusuf Miga,2003-05-29,2007-05-29,2003,6615,All Progressives Congress (APC),710,Jahun/Miga,House of Representatives,Member,Federal Representative
836,Saidu Yusuf Miga,2007-05-29,2011-05-29,2007,6615,All Progressives Congress (APC),710,Jahun/Miga,House of Representatives,Member,Federal Representative
836,Saidu Yusuf Miga,2011-05-29,2015-05-29,2011,6615,All Progressives Congress (APC),710,Jahun/Miga,House of Representatives,Member,Federal Representative
854,ABAYOMI DAUDA KAKO ARE,1979-05-29,1983-05-29,1979,6657,ACCORD,464,Mushin I Federal Constituency,House of Representatives,Member,Federal Representative
854,ABAYOMI DAUDA KAKO ARE,1983-05-29,1992-05-29,1983,6657,ACCORD,464,Mushin I Federal Constituency,House of Representatives,Member,Federal Representative
854,ABAYOMI DAUDA KAKO ARE,1992-05-29,1998-05-29,1992,6657,ACCORD,464,Mushin I Federal Constituency,House of Representatives,Member,Federal Representative
854,ABAYOMI DAUDA KAKO ARE,1998-05-29,1999-05-29,1998,6657,ACCORD,464,Mushin I Federal Constituency,House of Representatives,Member,Federal Representative
854,ABAYOMI DAUDA KAKO ARE,1999-05-29,2003-05-29,1999,6657,ACCORD,464,Mushin I Federal Constituency,House of Representatives,Member,Federal Representative
854,ABAYOMI DAUDA KAKO ARE,2003-05-29,2007-05-29,2003,6657,ACCORD,464,Mushin I Federal Constituency,House of Representatives,Member,Federal Representative
854,ABAYOMI DAUDA KAKO ARE,2007-05-29,2011-05-29,2007,6657,ACCORD,464,Mushin I Federal Constituency,House of Representatives,Member,Federal Representative
854,ABAYOMI DAUDA KAKO ARE,2011-05-29,2015-05-29,2011,6657,ACCORD,464,Mushin I Federal Constituency,House of Representatives,Member,Federal Representative
868,ABDULMALIK ZUBAIRU BUNGUDU,1979-05-29,1983-05-29,1979,6695,All Progressives Congress (APC),772,Bungudu/Maru,House of Representatives,Member,Federal Representative
868,ABDULMALIK ZUBAIRU BUNGUDU,1983-05-29,1992-05-29,1983,6695,All Progressives Congress (APC),772,Bungudu/Maru,House of Representatives,Member,Federal Representative
868,ABDULMALIK ZUBAIRU BUNGUDU,1992-05-29,1998-05-29,1992,6695,All Progressives Congress (APC),772,Bungudu/Maru,House of Representatives,Member,Federal Representative
868,ABDULMALIK ZUBAIRU BUNGUDU,1998-05-29,1999-05-29,1998,6695,All Progressives Congress (APC),772,Bungudu/Maru,House of Representatives,Member,Federal Representative
868,ABDULMALIK ZUBAIRU BUNGUDU,1999-05-29,2003-05-29,1999,6695,All Progressives Congress (APC),772,Bungudu/Maru,House of Representatives,Member,Federal Representative
868,ABDULMALIK ZUBAIRU BUNGUDU,2003-05-29,2007-05-29,2003,6695,All Progressives Congress (APC),772,Bungudu/Maru,House of Representatives,Member,Federal Representative
868,ABDULMALIK ZUBAIRU BUNGUDU,2007-05-29,2011-05-29,2007,6695,All Progressives Congress (APC),772,Bungudu/Maru,House of Representatives,Member,Federal Representative
868,ABDULMALIK ZUBAIRU BUNGUDU,2011-05-29,2015-05-29,2011,6695,All Progressives Congress (APC),772,Bungudu/Maru,House of Representatives,Member,Federal Representative
62,AKINTOYE ALBERT,2011-05-29,2015-05-29,2011,2914,Peoples Democratic Party,511,Okitipupa/Irele,House of Representatives,Member,Federal Representative
53,AISHA AHMED DAHIRU,2011-05-29,2015-05-29,2011,2911,Peoples Democratic Party,504,Yola North/Yola South/Girei,House of Representatives,Member,Federal Representative
739,SHEHU ALIYU MUSA,1979-05-29,1983-05-29,1979,6362,All Progressives Congress (APC),520,Bauchi,House of Representatives,Member,Federal Representative
739,SHEHU ALIYU MUSA,1983-05-29,1992-05-29,1983,6362,All Progressives Congress (APC),520,Bauchi,House of Representatives,Member,Federal Representative
739,SHEHU ALIYU MUSA,1992-05-29,1998-05-29,1992,6362,All Progressives Congress (APC),520,Bauchi,House of Representatives,Member,Federal Representative
739,SHEHU ALIYU MUSA,1998-05-29,1999-05-29,1998,6362,All Progressives Congress (APC),520,Bauchi,House of Representatives,Member,Federal Representative
739,SHEHU ALIYU MUSA,1999-05-29,2003-05-29,1999,6362,All Progressives Congress (APC),520,Bauchi,House of Representatives,Member,Federal Representative
739,SHEHU ALIYU MUSA,2003-05-29,2007-05-29,2003,6362,All Progressives Congress (APC),520,Bauchi,House of Representatives,Member,Federal Representative
739,SHEHU ALIYU MUSA,2007-05-29,2011-05-29,2007,6362,All Progressives Congress (APC),520,Bauchi,House of Representatives,Member,Federal Representative
739,SHEHU ALIYU MUSA,2011-05-29,2015-05-29,2011,6362,All Progressives Congress (APC),520,Bauchi,House of Representatives,Member,Federal Representative
293,MANSUR FUNTUA,2012-01-12,2013-07-30,2011,2864,Congress for Progressive Change,680,Funtua/Dandume,House of Representatives,Member,Federal Representative
293,MANSUR FUNTUA,2013-07-31,2015-05-09,2011,5711,All Progressives Congress (APC),680,Funtua/Dandume,House of Representatives,Member,Federal Representative
761,BENJAMIN IOREMBER WAYO,1979-05-29,1983-05-29,1979,6416,All Progressives Congress (APC),552,Kwande/Ushongo,House of Representatives,Member,Federal Representative
761,BENJAMIN IOREMBER WAYO,1983-05-29,1992-05-29,1983,6416,All Progressives Congress (APC),552,Kwande/Ushongo,House of Representatives,Member,Federal Representative
761,BENJAMIN IOREMBER WAYO,1992-05-29,1998-05-29,1992,6416,All Progressives Congress (APC),552,Kwande/Ushongo,House of Representatives,Member,Federal Representative
761,BENJAMIN IOREMBER WAYO,1998-05-29,1999-05-29,1998,6416,All Progressives Congress (APC),552,Kwande/Ushongo,House of Representatives,Member,Federal Representative
761,BENJAMIN IOREMBER WAYO,1999-05-29,2003-05-29,1999,6416,All Progressives Congress (APC),552,Kwande/Ushongo,House of Representatives,Member,Federal Representative
761,BENJAMIN IOREMBER WAYO,2003-05-29,2007-05-29,2003,6416,All Progressives Congress (APC),552,Kwande/Ushongo,House of Representatives,Member,Federal Representative
761,BENJAMIN IOREMBER WAYO,2007-05-29,2011-05-29,2007,6416,All Progressives Congress (APC),552,Kwande/Ushongo,House of Representatives,Member,Federal Representative
761,BENJAMIN IOREMBER WAYO,2011-05-29,2015-05-29,2011,6416,All Progressives Congress (APC),552,Kwande/Ushongo,House of Representatives,Member,Federal Representative
49,AHMED FONS NWANGUBI,2011-05-29,2015-05-29,2011,2908,Peoples Democratic Party,500,Mayo Belwa/Ganye/Jada /Toungo,House of Representatives,Member,Federal Representative
134,CHIZOR LAMBERT OBIDIGWE,2011-05-29,2015-05-29,2011,2951,Peoples Democratic Party,564,Oyi/Ayamelum,House of Representatives,Member,Federal Representative
789,ONWUBUARIA KINSLEY OBINNA,1979-05-29,1983-05-29,1979,6483,Peoples Democratic Party,682,Isiala Mbano/Okigwe/Onuimo,House of Representatives,Member,Federal Representative
789,ONWUBUARIA KINSLEY OBINNA,1983-05-29,1992-05-29,1983,6483,Peoples Democratic Party,682,Isiala Mbano/Okigwe/Onuimo,House of Representatives,Member,Federal Representative
789,ONWUBUARIA KINSLEY OBINNA,1992-05-29,1998-05-29,1992,6483,Peoples Democratic Party,682,Isiala Mbano/Okigwe/Onuimo,House of Representatives,Member,Federal Representative
789,ONWUBUARIA KINSLEY OBINNA,1998-05-29,1999-05-29,1998,6483,Peoples Democratic Party,682,Isiala Mbano/Okigwe/Onuimo,House of Representatives,Member,Federal Representative
789,ONWUBUARIA KINSLEY OBINNA,1999-05-29,2003-05-29,1999,6483,Peoples Democratic Party,682,Isiala Mbano/Okigwe/Onuimo,House of Representatives,Member,Federal Representative
789,ONWUBUARIA KINSLEY OBINNA,2003-05-29,2007-05-29,2003,6483,Peoples Democratic Party,682,Isiala Mbano/Okigwe/Onuimo,House of Representatives,Member,Federal Representative
789,ONWUBUARIA KINSLEY OBINNA,2007-05-29,2011-05-29,2007,6483,Peoples Democratic Party,682,Isiala Mbano/Okigwe/Onuimo,House of Representatives,Member,Federal Representative
789,ONWUBUARIA KINSLEY OBINNA,2011-05-29,2015-05-29,2011,6483,Peoples Democratic Party,682,Isiala Mbano/Okigwe/Onuimo,House of Representatives,Member,Federal Representative
39,ADEWUSI TUNDE RAZAQ,2003,2003-05-29,1999,3173,PPN,,,House of Representatives,Member,Federal Representative
39,ADEWUSI TUNDE RAZAQ,2003-05-29,2007-05-29,2003,3173,PPN,,,House of Representatives,Member,Federal Representative
39,ADEWUSI TUNDE RAZAQ,2007-05-29,2011-05-29,2007,3173,PPN,,,House of Representatives,Member,Federal Representative
39,ADEWUSI TUNDE RAZAQ,2011-05-29,2015-05-29,2011,3173,PPN,495,Egbado North/Imeko Afon,House of Representatives,Member,Federal Representative
52,AHMED YUSUF TIJANI,2011-05-29,2015-05-29,2011,2910,Peoples Democratic Party,503,Okene/Ogori-Magogo,House of Representatives,Member,Federal Representative
70,ALI YAKUBU,2011-05-29,2015-05-29,2011,2919,Peoples Democratic Party,516,Nangere/Potiskum,House of Representatives,Member,Federal Representative
47,AHMAD AUDI ZAREWA,2011-05-29,2013-07-30,2011,2797,All Nigeria Peoples Party,498,Karaye/Rogo,House of Representatives,Member,Federal Representative
47,AHMAD AUDI ZAREWA,2013-07-31,2015-05-29,2011,5652,All Progressives Congress (APC),498,Karaye/Rogo,House of Representatives,Member,Federal Representative
91,ARUA ARUNSI,2011-05-29,2015-05-29,2011,2930,Peoples Democratic Party,529,Arochukwu/Ohafia,House of Representatives,Member,Federal Representative
198,GONI BUKAR LAWA,2011-05-29,2013-07-30,2011,2803,All Nigeria Peoples Party,611,Bursari/Geidam/Yunusari,House of Representatives,Member,Federal Representative
198,GONI BUKAR LAWA,2013-07-31,2015-05-29,2011,5658,All Progressives Congress (APC),611,Bursari/Geidam/Yunusari,House of Representatives,Member,Federal Representative
837,SHIDDI USMAN DANJUMA,1979-05-29,1983-05-29,1979,6618,All Progressives Grand Alliance,647,Ibi/Wukari,House of Representatives,Member,Federal Representative
837,SHIDDI USMAN DANJUMA,1983-05-29,1992-05-29,1983,6618,All Progressives Grand Alliance,647,Ibi/Wukari,House of Representatives,Member,Federal Representative
837,SHIDDI USMAN DANJUMA,1992-05-29,1998-05-29,1992,6618,All Progressives Grand Alliance,647,Ibi/Wukari,House of Representatives,Member,Federal Representative
837,SHIDDI USMAN DANJUMA,1998-05-29,1999-05-29,1998,6618,All Progressives Grand Alliance,647,Ibi/Wukari,House of Representatives,Member,Federal Representative
837,SHIDDI USMAN DANJUMA,1999-05-29,2003-05-29,1999,6618,All Progressives Grand Alliance,647,Ibi/Wukari,House of Representatives,Member,Federal Representative
837,SHIDDI USMAN DANJUMA,2003-05-29,2007-05-29,2003,6618,All Progressives Grand Alliance,647,Ibi/Wukari,House of Representatives,Member,Federal Representative
837,SHIDDI USMAN DANJUMA,2007-05-29,2011-05-29,2007,6618,All Progressives Grand Alliance,647,Ibi/Wukari,House of Representatives,Member,Federal Representative
837,SHIDDI USMAN DANJUMA,2011-05-29,2015-05-29,2011,6618,All Progressives Grand Alliance,647,Ibi/Wukari,House of Representatives,Member,Federal Representative
869,AMINU SANI JAJI,1979-05-29,1983-05-29,1979,6697,All Progressives Congress (APC),575,Kaura-Namoda/Birnin Magaji,House of Representatives,Member,Federal Representative
869,AMINU SANI JAJI,1983-05-29,1992-05-29,1983,6697,All Progressives Congress (APC),575,Kaura-Namoda/Birnin Magaji,House of Representatives,Member,Federal Representative
869,AMINU SANI JAJI,1992-05-29,1998-05-29,1992,6697,All Progressives Congress (APC),575,Kaura-Namoda/Birnin Magaji,House of Representatives,Member,Federal Representative
869,AMINU SANI JAJI,1998-05-29,1999-05-29,1998,6697,All Progressives Congress (APC),575,Kaura-Namoda/Birnin Magaji,House of Representatives,Member,Federal Representative
869,AMINU SANI JAJI,1999-05-29,2003-05-29,1999,6697,All Progressives Congress (APC),575,Kaura-Namoda/Birnin Magaji,House of Representatives,Member,Federal Representative
869,AMINU SANI JAJI,2003-05-29,2007-05-29,2003,6697,All Progressives Congress (APC),575,Kaura-Namoda/Birnin Magaji,House of Representatives,Member,Federal Representative
869,AMINU SANI JAJI,2007-05-29,2011-05-29,2007,6697,All Progressives Congress (APC),575,Kaura-Namoda/Birnin Magaji,House of Representatives,Member,Federal Representative
869,AMINU SANI JAJI,2011-05-29,2015-05-29,2011,6697,All Progressives Congress (APC),575,Kaura-Namoda/Birnin Magaji,House of Representatives,Member,Federal Representative
97,AWULU EZEKIEL ADAJI,2011-05-29,2015-05-29,2011,2933,Peoples Democratic Party,534,Otukpo/Ohimini,House of Representatives,Member,Federal Representative
790,SANI UMAR BALA,1979-05-29,1983-05-29,1979,6485,All Progressives Congress (APC),478,Tsanyawa/Kunchi,House of Representatives,Member,Federal Representative
790,SANI UMAR BALA,1983-05-29,1992-05-29,1983,6485,All Progressives Congress (APC),478,Tsanyawa/Kunchi,House of Representatives,Member,Federal Representative
790,SANI UMAR BALA,1992-05-29,1998-05-29,1992,6485,All Progressives Congress (APC),478,Tsanyawa/Kunchi,House of Representatives,Member,Federal Representative
790,SANI UMAR BALA,1998-05-29,1999-05-29,1998,6485,All Progressives Congress (APC),478,Tsanyawa/Kunchi,House of Representatives,Member,Federal Representative
790,SANI UMAR BALA,1999-05-29,2003-05-29,1999,6485,All Progressives Congress (APC),478,Tsanyawa/Kunchi,House of Representatives,Member,Federal Representative
790,SANI UMAR BALA,2003-05-29,2007-05-29,2003,6485,All Progressives Congress (APC),478,Tsanyawa/Kunchi,House of Representatives,Member,Federal Representative
790,SANI UMAR BALA,2007-05-29,2011-05-29,2007,6485,All Progressives Congress (APC),478,Tsanyawa/Kunchi,House of Representatives,Member,Federal Representative
790,SANI UMAR BALA,2011-05-29,2015-05-29,2011,6485,All Progressives Congress (APC),478,Tsanyawa/Kunchi,House of Representatives,Member,Federal Representative
695,MICHAEL IROM ETABA,1979-05-29,1983-05-29,1979,6253,Peoples Democratic Party,657,Obubra/Etung,House of Representatives,Member,Federal Representative
695,MICHAEL IROM ETABA,1983-05-29,1992-05-29,1983,6253,Peoples Democratic Party,657,Obubra/Etung,House of Representatives,Member,Federal Representative
695,MICHAEL IROM ETABA,1992-05-29,1998-05-29,1992,6253,Peoples Democratic Party,657,Obubra/Etung,House of Representatives,Member,Federal Representative
695,MICHAEL IROM ETABA,1998-05-29,1999-05-29,1998,6253,Peoples Democratic Party,657,Obubra/Etung,House of Representatives,Member,Federal Representative
695,MICHAEL IROM ETABA,1999-05-29,2003-05-29,1999,6253,Peoples Democratic Party,657,Obubra/Etung,House of Representatives,Member,Federal Representative
695,MICHAEL IROM ETABA,2003-05-29,2007-05-29,2003,6253,Peoples Democratic Party,657,Obubra/Etung,House of Representatives,Member,Federal Representative
695,MICHAEL IROM ETABA,2007-05-29,2011-05-29,2007,6253,Peoples Democratic Party,657,Obubra/Etung,House of Representatives,Member,Federal Representative
695,MICHAEL IROM ETABA,2011-05-29,2015-05-29,2011,6253,Peoples Democratic Party,657,Obubra/Etung,House of Representatives,Member,Federal Representative
87,ANTHONY MADWATTE,2011-05-29,2015-05-29,2011,2929,Peoples Democratic Party,528,Demsa/Numan/Lamurde,House of Representatives,Member,Federal Representative
78,AMINU KOKO MUSA,2011-05-29,2015-05-29,2011,2923,Peoples Democratic Party,523,Koko-Besse/Maiyama,House of Representatives,Member,Federal Representative
699,DARLINTON NWOKOCHA,1979-05-29,1983-05-29,1979,6263,Peoples Democratic Party,563,Isiala Ngwa North /Isiala Ngwa South,House of Representatives,Member,Federal Representative
699,DARLINTON NWOKOCHA,1983-05-29,1992-05-29,1983,6263,Peoples Democratic Party,563,Isiala Ngwa North /Isiala Ngwa South,House of Representatives,Member,Federal Representative
699,DARLINTON NWOKOCHA,1992-05-29,1998-05-29,1992,6263,Peoples Democratic Party,563,Isiala Ngwa North /Isiala Ngwa South,House of Representatives,Member,Federal Representative
699,DARLINTON NWOKOCHA,1998-05-29,1999-05-29,1998,6263,Peoples Democratic Party,563,Isiala Ngwa North /Isiala Ngwa South,House of Representatives,Member,Federal Representative
699,DARLINTON NWOKOCHA,1999-05-29,2003-05-29,1999,6263,Peoples Democratic Party,563,Isiala Ngwa North /Isiala Ngwa South,House of Representatives,Member,Federal Representative
699,DARLINTON NWOKOCHA,2003-05-29,2007-05-29,2003,6263,Peoples Democratic Party,563,Isiala Ngwa North /Isiala Ngwa South,House of Representatives,Member,Federal Representative
699,DARLINTON NWOKOCHA,2007-05-29,2011-05-29,2007,6263,Peoples Democratic Party,563,Isiala Ngwa North /Isiala Ngwa South,House of Representatives,Member,Federal Representative
699,DARLINTON NWOKOCHA,2011-05-29,2015-05-29,2011,6263,Peoples Democratic Party,563,Isiala Ngwa North /Isiala Ngwa South,House of Representatives,Member,Federal Representative
96,AUWALU DAHIRU SALE,2011-05-29,2013-07-30,2011,2849,Congress for Progressive Change,533,Katagum,House of Representatives,Member,Federal Representative
96,AUWALU DAHIRU SALE,2013-07-31,2015-05-29,2011,5696,All Progressives Congress (APC),533,Katagum,House of Representatives,Member,Federal Representative
81,AMINU SHEHU SHAGARI,2007-05-29,2011-05-29,2007,2926,Peoples Democratic Party,,,House of Representatives,Member,Federal Representative
81,AMINU SHEHU SHAGARI,2011-05-29,2014,2011,2926,Peoples Democratic Party,525,Yabo/Shagari,House of Representatives,Member,Federal Representative
81,AMINU SHEHU SHAGARI,2014,2015-05-29,2011,6607,All Progressives Congress (APC),525,Yabo/Shagari,House of Representatives,Member,Federal Representative
95,ATIKU SHAMAKI,2011-05-29,2013-07-30,2011,2848,Congress for Progressive Change,532,Magama/Rijau,House of Representatives,Member,Federal Representative
95,ATIKU SHAMAKI,2013-07-31,2015-05-29,2011,5695,All Progressives Congress (APC),532,Magama/Rijau,House of Representatives,Member,Federal Representative
267,SEKIBO GEORGE THOMPSON,2003,2003-05-29,1999,3140,Peoples Democratic Party,,,House of Representatives,Member,Federal Representative
267,SEKIBO GEORGE THOMPSON,2003-05-29,2007,2003,3140,Peoples Democratic Party,,,House of Representatives,Member,Federal Representative
83,ANDREW IGBONULE UCHENDU,2003,2003-05-29,1999,2928,Peoples Democratic Party,,,House of Representatives,Member,Federal Representative
83,ANDREW IGBONULE UCHENDU,2003-05-29,2007-05-29,2003,2928,Peoples Democratic Party,,,House of Representatives,Member,Federal Representative
83,ANDREW IGBONULE UCHENDU,2007-05-29,2011-05-29,2007,2928,Peoples Democratic Party,,,House of Representatives,Member,Federal Representative
83,ANDREW IGBONULE UCHENDU,2011-05-29,2015-05-29,2011,2928,Peoples Democratic Party,527,Ikwerre/Emohua,House of Representatives,Member,Federal Representative
102,AYO TAJUDEEN YUSUF,2011-05-29,2015-05-29,2011,2934,Peoples Democratic Party,536,Ijumu/Kabba-Bunu,House of Representatives,Member,Federal Representative
122,BILIYAMINU SHINKAFI YUSUF,2011-05-29,2015-05-29,2011,2945,Peoples Democratic Party,555,Shinkafi/Zurmi,House of Representatives,Member,Federal Representative
112,BASHIR ADAMU,1999,1999-05-29,1998,2938,Peoples Democratic Party,973,Abuja,House of Representatives,Member,Federal Representative
112,BASHIR ADAMU,1999-05-29,2003,1999,2938,Peoples Democratic Party,973,Abuja,House of Representatives,Member,Federal Representative
112,BASHIR ADAMU,2011-05-29,2015-05-29,2011,2938,Peoples Democratic Party,545,Kazaure/Roni/Gwiwa/Yankwashi,House of Representatives,Member,Federal Representative
137,CHRISTINA DEMNENGE ALAAGA,2011-05-29,2015-05-29,2011,2953,Peoples Democratic Party,567,Gwer East/Gwer West,House of Representatives,Member,Federal Representative
107,BADAMASI AYUBA,2007-05-29,2011-05-29,2007,2800,All Nigeria Peoples Party,542,Dabbatta/Makoda,House of Representatives,Member,Federal Representative
107,BADAMASI AYUBA,2011-05-29,2013-07-30,2011,2800,All Nigeria Peoples Party,542,Dabbatta/Makoda,House of Representatives,Member,Federal Representative
107,BADAMASI AYUBA,2013-07-31,2015-05-29,2011,5655,All Progressives Congress (APC),542,Dabbatta/Makoda,House of Representatives,Member,Federal Representative
136,CHRIS EMEKA IFEANYI AZUBOGU,2011-05-29,2015-05-29,2011,2833,All Progressives Grand Alliance,565,Nnewi North/Nnewi South/Ekwusigo,House of Representatives,Member,Federal Representative
146,CYRIL EGWUATU,2011-05-29,2015-05-29,2011,2835,All Progressives Grand Alliance,573,Onitsha North/Onitsha South,House of Representatives,Member,Federal Representative
200,GWANI LUCAS GIDE,2011-05-29,2015-05-29,2011,2982,Peoples Democratic Party,612,Kaura,House of Representatives,Member,Federal Representative
104,BABA BUKAR MACHINAMA,2007-05-29,2011-05-29,2007,2799,All Nigeria Peoples Party,,,House of Representatives,Member,Federal Representative
104,BABA BUKAR MACHINAMA,2011-05-29,2013-07-30,2011,2799,All Nigeria Peoples Party,539,Machina/Nguru/Yusufari/Karasuwa,House of Representatives,Member,Federal Representative
104,BABA BUKAR MACHINAMA,2013-07-31,2015-05-29,2011,5654,All Progressives Congress (APC),539,Machina/Nguru/Yusufari/Karasuwa,House of Representatives,Member,Federal Representative
700,EDIM ETTA MBORA,1979-05-29,1983-05-29,1979,6266,Peoples Democratic Party,721,Calabar Municipal/Odukpani,House of Representatives,Member,Federal Representative
700,EDIM ETTA MBORA,1983-05-29,1992-05-29,1983,6266,Peoples Democratic Party,721,Calabar Municipal/Odukpani,House of Representatives,Member,Federal Representative
700,EDIM ETTA MBORA,1992-05-29,1998-05-29,1992,6266,Peoples Democratic Party,721,Calabar Municipal/Odukpani,House of Representatives,Member,Federal Representative
700,EDIM ETTA MBORA,1998-05-29,1999-05-29,1998,6266,Peoples Democratic Party,721,Calabar Municipal/Odukpani,House of Representatives,Member,Federal Representative
700,EDIM ETTA MBORA,1999-05-29,2003-05-29,1999,6266,Peoples Democratic Party,721,Calabar Municipal/Odukpani,House of Representatives,Member,Federal Representative
700,EDIM ETTA MBORA,2003-05-29,2007-05-29,2003,6266,Peoples Democratic Party,721,Calabar Municipal/Odukpani,House of Representatives,Member,Federal Representative
700,EDIM ETTA MBORA,2007-05-29,2011-05-29,2007,6266,Peoples Democratic Party,721,Calabar Municipal/Odukpani,House of Representatives,Member,Federal Representative
700,EDIM ETTA MBORA,2011-05-29,2015-05-29,2011,6266,Peoples Democratic Party,721,Calabar Municipal/Odukpani,House of Representatives,Member,Federal Representative
106,BABATUNDE OLABODE OGUNOLA,2011-05-29,2013-07-30,2011,2729,Action Congress of Nigeria,541,Ado-Odo/Ota,House of Representatives,Member,Federal Representative
106,BABATUNDE OLABODE OGUNOLA,2013-07-31,2015-05-29,2011,5586,All Progressives Congress (APC),541,Ado-Odo/Ota,House of Representatives,Member,Federal Representative
148,DAKUKU ADOL PETERSIDE,2011-05-29,2015-05-29,2011,2958,Peoples Democratic Party,574,Opobo/Nkoro/Andoni,House of Representatives,Member,Federal Representative
