id,name,constituency,state,chamber,party,party_id,image,term,source,area
581,ABDUL-MALIK ZUBAIRU,Bungudu/Maru,Zamfara State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/581.jpg,2015,http://www.nass.gov.ng/mp/profile/581,"Bungudu/Maru, Zamfara State"
685,ABDULAHI FARUK,B/Kebbi/Kalgo/Bunza,Kebbi State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/685.jpg,2015,http://www.nass.gov.ng/mp/profile/685,"B/Kebbi/Kalgo/Bunza, Kebbi State"
778,Abdullahi Garba,Kontagora/Wushishi/Mariga/Masheg,Niger State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/778.jpg,2015,http://www.nass.gov.ng/mp/profile/778,"Kontagora/Wushishi/Mariga/Masheg, Niger State"
733,ABDULLAHI HASSAN,Bagudo/Suru,Kebbi State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/733.jpg,2015,http://www.nass.gov.ng/mp/profile/733,"Bagudo/Suru, Kebbi State"
569,Abdullahi Mahmud,Alabasu/Gaya/Ajingi,Kano State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/569.jpg,2015,http://www.nass.gov.ng/mp/profile/569,"Alabasu/Gaya/Ajingi, Kano State"
921,ABDULLAHI MOHAMMED,Kware/Wamakko,Sokoto State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/921.jpg,2015,http://www.nass.gov.ng/mp/profile/921,"Kware/Wamakko, Sokoto State"
923,ABDULMUMIN JIBRIN,Bebeji/Kiru,Kano State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/923.jpg,2015,http://www.nass.gov.ng/mp/profile/923,"Bebeji/Kiru, Kano State"
723,ABDULRAZAK NAMDAS,Jada/Ganye/Mayo Belwa/Toungo,Adamawa State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/723.jpg,2015,http://www.nass.gov.ng/mp/profile/723,"Jada/Ganye/Mayo Belwa/Toungo, Adamawa State"
932,ABDUSSAMAD DASUKI,Kebbe/Tambuwal,Sokoto State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/932.jpg,2015,http://www.nass.gov.ng/mp/profile/932,"Kebbe/Tambuwal, Sokoto State"
835,abiodun awoleye,Ibadan North,Oyo State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/835.jpg,2015,http://www.nass.gov.ng/mp/profile/835,"Ibadan North, Oyo State"
