id,name,state_id,state,start_date,end_date
Q2973779,Moore,Q3206,Western Australia,1949,
Q2973781,Moreton,Q36074,Queensland,,
Q2973788,Murray,Q36687,Victoria,,
Q2973794,New England,Q3224,New South Wales,,
Q2973797,O'Connor,Q3206,Western Australia,1980,
Q2973798,Page,Q3224,New South Wales,1984,
Q2973799,Parkes,Q3224,New South Wales,1984,
Q2973800,Parramatta,Q3224,New South Wales,,
Q2973802,Pearce,Q3206,Western Australia,1990,
Q2973806,Perth,Q3206,Western Australia,,
Q2973809,Petrie,Q36074,Queensland,,
Q2973814,Rankin,Q36074,Queensland,1984,
Q2973816,Reid,Q3224,New South Wales,,
Q2973820,Robertson,Q3224,New South Wales,1901,
Q2973824,Ryan,Q36074,Queensland,1984,
Q2973832,Scullin,Q36687,Victoria,,
Q2973851,Shortland,Q3224,New South Wales,,
Q2973852,Solomon,Q3235,Northern Territory,2000,
Q2973853,Stirling,Q3206,Western Australia,,
Q2973854,Sturt,Q35715,South Australia,,
Q2973857,Swan,Q3206,Western Australia,,
Q2973863,North Sydney,Q3224,New South Wales,,
Q2973868,Tangney,Q3206,Western Australia,,
Q2973885,Wannon,Q36687,Victoria,1901,
Q2973888,Watson,Q3224,New South Wales,1992,
Q2973891,Wentworth,Q3224,New South Wales,1901,
Q2973900,Wilmot,Q34366,Tasmania,1903,1984
Q2973901,Werriwa,Q3224,New South Wales,1901,
Q2973903,Wide Bay,Q36074,Queensland,,
Q2973906,Wills,Q36687,Victoria,,
Q2973915,Wright,Q36074,Queensland,2009,
Q2973933,Riverina,Q3224,New South Wales,1992,
Q3032417,Kingston,Q35715,South Australia,1949,
Q368340,Cook,Q3224,New South Wales,1969,
Q509342,Dobell,Q3224,New South Wales,1984,
Q5284496,Bonython,Q35715,South Australia,1955,2004
Q5284500,Burke,Q36687,Victoria,1969,2004
Q5284509,Chisholm,Q36687,Victoria,,
Q5284510,Corinella,Q36687,Victoria,1990,1996
Q5284516,Darling Downs,Q36074,Queensland,1901,1984
Q5284517,Darwin,Q34366,Tasmania,1903,1955
Q5284519,Diamond Valley,Q36687,Victoria,1969,1984
Q5284520,Dundas,Q3224,New South Wales,1977,1996
Q5284529,Gwydir,Q3224,New South Wales,1901,2007
Q5284530,Henty,Q36687,Victoria,1913,1990
Q5284531,Hawker,Q35715,South Australia,1969,1993
Q5284539,Kalgoorlie,Q3206,Western Australia,1901,2010
Q5284542,Lang,Q3224,New South Wales,1901,1977
Q5284553,Namadgi,Q3258,Australian Capital Territory,1996,1998
Q5284556,Northern Territory,Q3235,Northern Territory,1922,2001
Q5284557,Oxley,Q36074,Queensland,1901,1934
Q5284559,Phillip,Q3224,New South Wales,1949,1993
Q5284560,Prospect,Q3224,New South Wales,1969,2010
Q5284562,Riverina-Darling,Q3224,New South Wales,1984,1993
Q5284568,South Sydney,Q3224,New South Wales,1901,1934
Q5284570,St George,Q3224,New South Wales,1949,1993
Q5284571,Streeton,Q36687,Victoria,1984,1990
Q550273,Leichhardt,Q36074,Queensland,1949,
Q577770,Paterson,Q3224,New South Wales,1992,
Q666416,Lowe,Q3224,New South Wales,1949,2010
Q784520,Denison,Q34366,Tasmania,,
Q817830,Bennelong,Q3224,New South Wales,,
Q897736,Brand,Q3206,Western Australia,1984,
Q917665,Brisbane,Q36074,Queensland,,
Q918989,Mackellar,Q3224,New South Wales,,
Q924832,Braddon,Q34366,Tasmania,,
Q966318,Newcastle,Q3224,New South Wales,,
