id,twitter,image,tempname
1978999279,RoosveltRodri,https://pbs.twimg.com/profile_images/378800000633836264/61fc0ffd309c9cc8487269d622efb73d.jpeg,Roosvelt Rodríguez
2157851091,nadiablel,https://pbs.twimg.com/profile_images/943187205132111872/BAkKOJvU.jpg,Nadia Blel Scaff
2177451673,CastillaSenador,https://pbs.twimg.com/profile_images/975868783725293569/n8cghth-.jpg,Alberto Castilla Salazar
2212875043,Luis_Evelis,https://pbs.twimg.com/profile_images/988467164888883200/ZVbaKuOo.jpg,Senador Luis Evelis
2219053756,MusaBesaileFa,https://pbs.twimg.com/profile_images/890358623699959808/yRa72mXy.jpg,Musa Besaile Fayad
2237754745,AGarciaZuccardi,https://pbs.twimg.com/profile_images/990045804952981504/X57clRol.jpg,Andrés García Zuccardi
2249369569,MarioFerAlco,https://pbs.twimg.com/profile_images/835125530278170624/z1ihwZTU.jpg,Mario Fernández
2281216915,SenadoYaminaP,https://pbs.twimg.com/profile_images/798881009911611392/_tHz75Mz.jpg,Yamina Pestana Rojas
2298487140,JTatoAlvarez,https://pbs.twimg.com/profile_images/443079672545292288/Nh_cNZ7T.jpeg,Javier Tato Alvarez
2411541594,ThaniaVegaCD,https://pbs.twimg.com/profile_images/985279588619247616/R_9OG2DF.jpg,ThaniaVega Senadora
2687968392,SusanaCorreaBor,https://pbs.twimg.com/profile_images/869951021329653760/r_q3s_BS.jpg,Susana Correa
2688799753,SenadorSenen,https://pbs.twimg.com/profile_images/981883636881510400/gxr0K0Qx.jpg,Senén Niño
2848989880,senadoramyriamp,https://pbs.twimg.com/profile_images/973529912807186434/KIK0ChnI.jpg,Myriam Paredes Aguirre
2951995276,JaimeAminH,https://pbs.twimg.com/profile_images/974526161203052545/6pi8Isix.jpg,JAIME AMIN
818359970072817664,DelgadoMSenador,https://pbs.twimg.com/profile_images/941329428000493568/4OjwkQTP.jpg,Mauricio Delgado Senador
