id,position,label,description,start_date,term,constituency,election,end_date,replaces,replaced_by
Q13123175,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q13123750,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,,2015 Tanzanian general election,,,
Q13123763,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Kisesa,2015 Tanzanian general election,,,
Q13124326,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q13124521,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Butiama,2015 Tanzanian general election,,,
Q13124686,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q13124687,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Kigoma North,2015 Tanzanian general election,,,
Q13124688,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q13124750,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Busega,2015 Tanzanian general election,,,
Q13124755,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Sumve,2015 Tanzanian general election,,,
Q13124808,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Ubungo,2015 Tanzanian general election,,,
Q13124810,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q13124830,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Meatu,2015 Tanzanian general election,,,
Q13124832,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q13124934,Q16147179,Minister of Water and Irrigation,"","",,,,,,
Q13124934,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q13124943,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q13125160,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Musoma Urban,2015 Tanzanian general election,,,
Q13125162,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Lupa,2015 Tanzanian general election,,,
Q13125250,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q13125252,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Sengerema,2015 Tanzanian general election,,,
Q13125278,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,,2015 Tanzanian general election,,,
Q13125291,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q13639507,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q13647601,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q1397927,Q16147875,Prime Minister of Tanzania,"",1972-02-17,,,,1977-02-13,"",Edward Sokoine
Q1397927,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q1397927,Q6595005,list of Prime Ministers of Tanganyika,Wikimedia list article,"",,,,,,
Q14791534,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q14925565,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q14949085,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q14949590,Q16147348,Minister of Foreign Affairs,Minister of Foreign Affairs in Tanzania,"",,,,,,
Q14949590,Q17599130,Member of the National Assembly of Tanzania,"",2015,11th Parliament of Tanzania,,,,,
Q14949590,Q7169248,Permanent Representative of Tanzania to the United Nations,"","",,,,,,
Q15047198,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q15101327,Q16147337,Minister of Finance,in Tanzania,"",,,,,,
Q15101327,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q15651126,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q15665306,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Mwanakwerekwe,2015 Tanzanian general election,,,
Q15665420,Q17599130,Member of the National Assembly of Tanzania,"",2017,11th Parliament of Tanzania,,,,,
Q16018441,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16019654,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16105431,Q16147337,Minister of Finance,in Tanzania,"",,,,,,
Q16105431,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16105825,Q16147337,Minister of Finance,in Tanzania,"",,,,,,
Q16105825,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16106024,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16107053,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16107505,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16121579,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16121934,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16122590,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q1612942,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Bumbuli,2015 Tanzanian general election,,,
Q16136464,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Nkasi North,2015 Tanzanian general election,,,
Q16145336,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16145341,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16145353,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16145382,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16145530,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16145576,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16145621,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16145843,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16145876,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Tumbe,2015 Tanzanian general election,,,
Q16146018,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Morogoro Urban,2015 Tanzanian general election,,,
Q16146048,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Bahi,2015 Tanzanian general election,,,
Q16146273,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Kiwani,2015 Tanzanian general election,,,
Q16146299,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Wete,2015 Tanzanian general election,,,
Q16147163,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Nyang'hwale,2015 Tanzanian general election,,,
Q16147390,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16149145,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16149733,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16151862,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16151883,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16152051,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Ilala,2015 Tanzanian general election,,,
Q16185539,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16185612,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16186180,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16186325,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16186392,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16186778,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16186796,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16187151,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16187173,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16187237,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Korogwe Rural,2015 Tanzanian general election,2018-07-01,,
Q16187247,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16187295,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Makambako,2015 Tanzanian general election,,,
Q16187296,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16189312,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16189332,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Igunga,2015 Tanzanian general election,,,
Q16189334,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16189341,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16189390,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16192851,Q16915614,,"","",,,,,,
Q16192851,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Malinyi,2015 Tanzanian general election,,,
Q16192912,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16193009,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16193031,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Lulindi,2015 Tanzanian general election,,,
Q16193183,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16193194,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16193252,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16193265,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Amani,2015 Tanzanian general election,,,
Q16193684,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Misungwi,2015 Tanzanian general election,,,
Q16193730,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Tunduru North,2015 Tanzanian general election,,,
Q16193732,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Kwela,2015 Tanzanian general election,,,
Q16193750,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Nkasi South,2015 Tanzanian general election,,,
Q16193885,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16193885,Q19057636,Vice President of Tanzania,"",2015-11-05,,,,,Mohamed Gharib Bilal,
Q16193978,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Kilwa South,2015 Tanzanian general election,,,
Q16194119,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16194217,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16194239,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16194322,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Rombo,2015 Tanzanian general election,,,
Q16194369,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Buchosa,2015 Tanzanian general election,,,
Q16194369,Q54087175,Minister of Agriculture,Tanzanian minister,2017-10,,,,2018-10-11,,Japhet Hasunga
Q16194573,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Konde,2015 Tanzanian general election,,,
Q16194781,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Mtambile,2015 Tanzanian general election,,,
Q16194800,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16195008,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16195127,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16195154,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16195184,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Mwibara,2015 Tanzanian general election,,,
Q16195210,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Mufindi North,2015 Tanzanian general election,,,
Q16195214,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16195227,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16195370,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Mpendae,2015 Tanzanian general election,,,
Q16195564,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16195625,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Nungwi,2015 Tanzanian general election,,,
Q16195672,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Vunjo,2015 Tanzanian general election,,,
Q16195709,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16196108,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Kibaha Urban,2015 Tanzanian general election,,,
Q16196143,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16196171,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16196171,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Iringa Urban,2015 Tanzanian general election,,,
Q16196179,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16196351,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Bukene,2015 Tanzanian general election,,,
Q16196389,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16196527,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16196584,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Mbogwe,2015 Tanzanian general election,,,
Q16196632,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Rorya,2015 Tanzanian general election,,,
Q16197043,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Mkinga,2015 Tanzanian general election,,,
Q16197097,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Kwimba,2015 Tanzanian general election,,,
Q16197150,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16199703,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Mpanda Rural,2015 Tanzanian general election,,,
Q16199711,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16199711,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Kalambo,2015 Tanzanian general election,,,
Q16200074,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Singida East,2015 Tanzanian general election,,,
Q16205730,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Mufindi South,2015 Tanzanian general election,,,
Q16206282,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Kigamboni,2015 Tanzanian general election,,,
Q16207202,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Babati Rural,2015 Tanzanian general election,,,
Q16207710,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16211651,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Kibaha Rural,2015 Tanzanian general election,,,
Q16212523,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16213460,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Busanda,2015 Tanzanian general election,,,
Q16213580,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Micheweni,2015 Tanzanian general election,,,
Q16213626,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16213631,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16213795,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16213952,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16214062,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Mtera,2015 Tanzanian general election,,,
Q16214077,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16214101,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Songwe,2015 Tanzanian general election,,,
Q16214108,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Chemba,2015 Tanzanian general election,,,
Q16214167,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16214437,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Kikwajuni,2015 Tanzanian general election,,,
Q16214447,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Sumbawanga Urban,2015 Tanzanian general election,,,
Q16214458,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Kisarawe,2015 Tanzanian general election,,,
Q16214535,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Wawi,2015 Tanzanian general election,,,
Q16215031,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16215848,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,,2015 Tanzanian general election,,,
Q16215848,Q6866083,Minister of Crown Investments,"",2019-01-08,,,,,,
Q16215870,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16215889,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Arusha Urban,2015 Tanzanian general election,,,
Q16215979,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16217470,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Kawe,2015 Tanzanian general election,,,
Q16217695,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16218586,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Chalinze,2015 Tanzanian general election,,,
Q16218849,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Kishapu,2015 Tanzanian general election,,,
Q16221074,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16221420,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16221446,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Kalenga,2015 Tanzanian general election,,,
Q16221813,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16221829,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Donge,2015 Tanzanian general election,,,
Q16223448,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Momba,2015 Tanzanian general election,,,
Q16231449,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16728905,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16731918,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16732202,Q16147337,Minister of Finance,in Tanzania,"",,,,,,
Q16732202,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16732704,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Kibamba,2015 Tanzanian general election,,,
Q16732939,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16733054,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16733084,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Muleba North,2015 Tanzanian general election,,,
Q16733187,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Arumeru East,2015 Tanzanian general election,,,
Q16733431,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Mtama,2015 Tanzanian general election,,,
Q16733506,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Buhingwe,2015 Tanzanian general election,,,
Q16733513,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16733751,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16864829,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16864891,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16866580,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16873094,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16873347,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16875220,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16875220,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Bukoba Rural,2015 Tanzanian general election,,,
Q16875234,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q19561408,Q17599130,Member of the National Assembly of Tanzania,"",2015-11-05,11th Parliament of Tanzania,,,,,
Q19586123,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q20604882,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,,2015 Tanzanian general election,,,
Q20604892,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,,2015 Tanzanian general election,,,
Q20604937,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Nyasa,2015 Tanzanian general election,,,
Q20604960,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q20605525,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Kasulu Urban,2015 Tanzanian general election,,,
Q20605727,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Mvomero,2015 Tanzanian general election,,,
Q20725579,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q21064101,Q17599130,Member of the National Assembly of Tanzania,"",1985,,,,2010,,
Q21064276,Q17599130,Member of the National Assembly of Tanzania,"",2017,11th Parliament of Tanzania,,,,,
Q21170429,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,,,,,
Q22279305,Q16147337,Minister of Finance,in Tanzania,"",,,,,,
Q22279305,Q17599130,Member of the National Assembly of Tanzania,"",2016,11th Parliament of Tanzania,,,,,
Q22279375,Q17599130,Member of the National Assembly of Tanzania,"",2016,11th Parliament of Tanzania,,,,,
Q22279375,Q60690257,"Minister of Education, Science, Technology and Vocational Training",Tanzanian minister,2016,,,,,,
Q23415088,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Segerea,2015 Tanzanian general election,,,
Q24034414,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,,2015 Tanzanian general election,,,
Q24572780,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Tarime Rural,2015 Tanzanian general election,,,
Q27448088,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Same East,2015 Tanzanian general election,,,
Q27469212,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Ilemela,2015 Tanzanian general election,,,
Q27487938,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Tarime Urban,2015 Tanzanian general election,,,
Q27656841,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Kondoa,2015 Tanzanian general election,,,
Q27734881,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,,2015 Tanzanian general election,,,
Q27734883,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,,2015 Tanzanian general election,,,
Q27999359,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,,2015 Tanzanian general election,,,
Q29579610,Q17599130,Member of the National Assembly of Tanzania,"",2017-01-23,11th Parliament of Tanzania,Dimani,by-election,,,
Q29579658,Q17599130,Member of the National Assembly of Tanzania,"",2017,11th Parliament of Tanzania,,,,,
Q29579700,Q17599130,Member of the National Assembly of Tanzania,"",2017,11th Parliament of Tanzania,,,,,
Q29579700,Q60688958,Minister of Constitutional and Legal Affairs,Tanzanian government minister,2017,,,,,,
Q29904609,Q17599130,Member of the National Assembly of Tanzania,"",2017-05-04,11th Parliament of Tanzania,,,,,
Q30090478,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Magomeni,2015 Tanzanian general election,,,
Q30090479,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Newala Rural,2015 Tanzanian general election,,,
Q30090480,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,,2015 Tanzanian general election,,,
Q30090484,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,,2015 Tanzanian general election,,,
