id,name,start_date,end_date,constituency,constituency_id,party,party_id,term
Q11762,Jürgen Trittin,2017-09-24,"",Göttingen,Q30534944,Alliance '90/The Greens,Q49766,19
Q118115,Martin Patzelt,2017-09-24,"",Frankfurt (Oder) – Oder-Spree,Q30534963,Christian Democratic Union,Q49762,19
Q118715,Karl A. Lamers,2017-09-24,"",Heidelberg,Q30535619,Christian Democratic Union,Q49762,19
Q1201319,Detlef Müller,2017-09-24,"",Chemnitz,Q30535303,Social Democratic Party of Germany,Q49768,19
Q1201365,Detlef Seif,2017-09-24,"",Euskirchen – Rhein-Erft-Kreis II,Q30535058,Christian Democratic Union,Q49762,19
Q120220,Christoph Matschie,2017-09-24,"",Jena – Sömmerda – Weimarer Land I,Q30535383,Social Democratic Party of Germany,Q49768,19
Q121174,Michael Brand,2017-09-24,"",Fulda,Q30535325,Christian Democratic Union,Q49762,19
Q121230,Rüdiger Kruse,2017-09-24,"",Hamburg-Eimsbüttel,Q30534839,Christian Democratic Union,Q49762,19
Q121770,Martin Burkert,2017-09-24,"",Nürnberg-Süd,Q30535547,Social Democratic Party of Germany,Q49768,19
Q122011,Artur Auernhammer,2017-09-24,"",Ansbach,Q30535539,Christian Social Union of Bavaria,Q49763,19
Q1222215,Dieter Janecek,2017-09-24,"",München-West/Mitte,Q30535479,Alliance '90/The Greens,Q49766,19
Q1222886,Dieter Stier,2017-09-24,"",Burgenland – Saalekreis,Q30534987,Christian Democratic Union,Q49762,19
Q1223204,Diether Dehm,2017-09-24,"",Hannover-Land I,Q30534920,Die Linke,Q49764,19
Q1223301,Dietlind Tiemann,2017-09-24,"",Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I,Q30534960,Christian Democratic Union,Q49762,19
Q1223498,Dietmar Nietan,2017-09-24,"",Düren,Q30535056,Social Democratic Party of Germany,Q49768,19
Q1223955,Dietrich Monstadt,2017-09-24,"",Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,Q30534818,Christian Democratic Union,Q49762,19
Q1226300,Jimmy Schulz,2017-09-24,"",München-Land,Q30535483,Free Democratic Party,Q13124,19
Q123171,Christoph Meyer,2017-09-24,"",Berlin-Charlottenburg-Wilmersdorf,Q30535019,Free Democratic Party,Q13124,19
Q1239215,Stephan Kühn,2017-09-24,"",Dresden II – Bautzen II,Q30535301,Alliance '90/The Greens,Q49766,19
Q1240168,Michael Hennrich,2017-09-24,"",Nürtingen,Q30535585,Christian Democratic Union,Q49762,19
Q124019,Otto Fricke,2017-09-24,"",Krefeld I – Neuss II,Q30535112,Free Democratic Party,Q13124,19
Q124581,Evrim Sommer,2017-09-24,"",,,Die Linke,Q49764,19
Q124622,Peter Tauber,2017-09-24,"",Main-Kinzig – Wetterau II – Schotten,Q30535327,Christian Democratic Union,Q49762,19
Q124941,Peter Bleser,2017-09-24,"",Mosel/Rhein-Hunsrück,Q30535435,Christian Democratic Union,Q49762,19
Q1262015,Kerstin Tack,2017-09-24,"",Stadt Hannover I,Q30534911,Social Democratic Party of Germany,Q49768,19
Q1270207,Lothar Riebsamen,2017-09-24,"",Bodensee,Q30535662,Christian Democratic Union,Q49762,19
Q1279621,Elisabeth Winkelmeier-Becker,2017-09-24,"",Rhein-Sieg-Kreis I,Q30535072,Christian Democratic Union,Q49762,19
Q1280872,Patrick Sensburg,2017-09-24,"",Hochsauerlandkreis,Q30535227,Christian Democratic Union,Q49762,19
Q1281759,Eckhard Pols,2017-09-24,"",Lüchow-Dannenberg – Lüneburg,Q30534900,Christian Democratic Union,Q49762,19
Q1281818,Eckhardt Rehberg,2017-09-24,"",Mecklenburgische Seenplatte II – Landkreis Rostock III,Q30534830,Christian Democratic Union,Q49762,19
Q1283882,Edgar Franke,2017-09-24,"",Schwalm-Eder,Q30535320,Social Democratic Party of Germany,Q49768,19
Q12839,Cem Özdemir,2017-09-24,"",Stuttgart I,Q30535576,Alliance '90/The Greens,Q49766,19
Q1285697,Enak Ferlemann,2017-09-24,"",Cuxhaven – Stade II,Q30534862,Christian Democratic Union,Q49762,19
Q1295233,Manfred Todtenhausen,2017-09-24,"",Wuppertal I,Q30535082,Free Democratic Party,Q13124,19
Q1309204,Manuel Sarrazin,2017-09-24,"",Hamburg-Bergedorf – Harburg,Q30534845,Alliance '90/The Greens,Q49766,19
Q1321994,Josef Rief,2017-09-24,"",Biberach,Q30535660,Christian Democratic Union,Q49762,19
Q1327793,Manfred Behrens,2017-09-24,"",Börde – Jerichower Land,Q30534976,Christian Democratic Union,Q49762,19
Q1329144,Volkmar Vogel,2017-09-24,"",Gera – Greiz – Altenburger Land,Q30535400,Christian Democratic Union,Q49762,19
Q1329839,Elisabeth Motschmann,2017-09-24,"",Bremen I,Q30534945,Christian Democratic Union,Q49762,19
Q13533978,Ottmar von Holtz,2017-09-24,"",Hildesheim,Q30534929,Alliance '90/The Greens,Q49766,19
Q1355548,Pascal Kober,2017-09-24,"",Reutlingen,Q30535654,Free Democratic Party,Q13124,19
Q1356102,Pia-Beate Zimmermann,2017-09-24,"",Helmstedt – Wolfsburg,Q30534939,Die Linke,Q49764,19
Q1357855,Ernst Dieter Rossmann,2017-09-24,"",Pinneberg,Q30534806,Social Democratic Party of Germany,Q49768,19
Q1363394,Erwin Rüddel,2017-09-24,"",Neuwied,Q30535422,Christian Democratic Union,Q49762,19
Q13641202,André Berghegger,2017-09-24,"",Osnabrück-Land,Q30534902,Christian Democratic Union,Q49762,19
Q1366360,Max Straubinger,2017-09-24,"",Rottal-Inn,Q30535506,Christian Social Union of Bavaria,Q49763,19
Q1366533,Roman Reusch,2017-09-24,"",,,Alternative for Germany,Q6721203,19
Q1373882,Patrick Schnieder,2017-09-24,"",Bitburg,Q30535438,Christian Democratic Union,Q49762,19
Q1379228,Eva Högl,2017-09-24,"",Berlin-Mitte,Q30534995,Social Democratic Party of Germany,Q49768,19
Q1382932,Ewald Schurer,2017-09-24,"",Erding – Ebersberg,Q30535464,Social Democratic Party of Germany,Q49768,19
Q1403798,Felix Schreiner,2017-09-24,"",Waldshut,Q30535653,Christian Democratic Union,Q49762,19
Q1404562,Michelle Müntefering,2017-09-24,"",Herne – Bochum II,Q30535191,Social Democratic Party of Germany,Q49768,19
Q1411688,Hilde Mattheis,2017-09-24,"",Ulm,Q30535659,Social Democratic Party of Germany,Q49768,19
Q1416148,Markus Tressel,2017-09-24,"",Saarlouis,Q30535672,Alliance '90/The Greens,Q49766,19
Q1421371,Sabine Dittmar,2017-09-24,"",Bad Kissingen,Q30535553,Social Democratic Party of Germany,Q49768,19
Q1426157,Sarah Ryglewski,2017-09-24,"",Bremen I,Q30534945,Social Democratic Party of Germany,Q49768,19
Q1429695,Florian Hahn,2017-09-24,"",München-Land,Q30535483,Christian Social Union of Bavaria,Q49763,19
Q1429938,Florian Toncar,2017-09-24,"",Böblingen,Q30535583,Free Democratic Party,Q13124,19
Q1443404,Frank Heinrich,2017-09-24,"",Chemnitz,Q30535303,Christian Democratic Union,Q49762,19
Q1444160,Frank Schwabe,2017-09-24,"",Recklinghausen I,Q30535139,Social Democratic Party of Germany,Q49768,19
Q1444251,Frank Steffel,2017-09-24,"",Berlin-Reinickendorf,Q30534998,Christian Democratic Union,Q49762,19
Q1461384,Friedrich Ostendorff,2017-09-24,"",Coesfeld – Steinfurt II,Q30535154,Alliance '90/The Greens,Q49766,19
Q1466201,Fritz Felgentreu,2017-09-24,"",Berlin-Neukölln,Q30535032,Social Democratic Party of Germany,Q49768,19
Q1466480,Fritz Güntzler,2017-09-24,"",Göttingen,Q30534944,Christian Democratic Union,Q49762,19
Q1490366,Gabriele Hiller-Ohm,2017-09-24,"",Lübeck,Q30534815,Social Democratic Party of Germany,Q49768,19
Q1492112,Jutta Krellmann,2017-09-24,"",Hameln-Pyrmont – Holzminden,Q30534927,Die Linke,Q49764,19
Q14924803,Beatrix von Storch,2017-09-24,"",Berlin-Mitte,Q30534995,Alternative for Germany,Q6721203,19
Q14943007,Dirk Wiese,2017-09-24,"",Hochsauerlandkreis,Q30535227,Social Democratic Party of Germany,Q49768,19
Q14943234,Ursula Schauws,2017-09-24,"",Krefeld II – Wesel II,Q30535122,Alliance '90/The Greens,Q49766,19
Q14943430,Florian Oßner,2017-09-24,"",Landshut,Q30535498,Christian Social Union of Bavaria,Q49763,19
Q14943496,Karamba Diaby,2017-09-24,"",Halle,Q30534984,Social Democratic Party of Germany,Q49768,19
Q14943609,Volker Michael Ullrich,2017-09-24,"",Augsburg-Stadt,Q30535562,Christian Social Union of Bavaria,Q49763,19
Q14943656,Christian Haase,2017-09-24,"",Höxter – Lippe II,Q30535173,Christian Democratic Union,Q49762,19
Q14943723,Kees de Vries,2017-09-24,"",Anhalt,Q30534982,Christian Democratic Union,Q49762,19
Q1494418,Olav Gutting,2017-09-24,"",Bruchsal – Schwetzingen,Q30535631,Christian Democratic Union,Q49762,19
Q14944335,Sebastian Steineke,2017-09-24,"",Prignitz – Ostprignitz-Ruppin – Havelland I,Q30534947,Christian Democratic Union,Q49762,19
Q14945716,Sybille Benning,2017-09-24,"",Münster,Q30535156,Christian Democratic Union,Q49762,19
Q14946180,Tino Sorge,2017-09-24,"",Magdeburg,Q30534979,Christian Democratic Union,Q49762,19
Q14946186,Marian Wendt,2017-09-24,"",Nordsachsen,Q30535252,Christian Democratic Union,Q49762,19
Q14946405,Karl-Heinz Brunner,2017-09-24,"",Neu-Ulm,Q30535569,Social Democratic Party of Germany,Q49768,19
Q14946974,Klaus-Peter Schulze,2017-09-24,"",Cottbus – Spree-Neiße,Q30534964,Christian Democratic Union,Q49762,19
Q14947102,Stefan Zierke,2017-09-24,"",Uckermark – Barnim I,Q30534951,Social Democratic Party of Germany,Q49768,19
Q14947864,Matthias Bartke,2017-09-24,"",Hamburg-Altona,Q30534837,Social Democratic Party of Germany,Q49768,19
Q1499915,Ralf Kapschack,2017-09-24,"",Ennepe-Ruhr-Kreis II,Q30535176,Social Democratic Party of Germany,Q49768,19
Q15008648,Karsten Möring,2017-09-24,"",Köln I,Q30535060,Christian Democratic Union,Q49762,19
Q15021037,Oswin Veith,2017-09-24,"",Wetterau I,Q30535336,Christian Democratic Union,Q49762,19
Q15027363,Arno Klare,2017-09-24,"",Mülheim – Essen I,Q30535131,Social Democratic Party of Germany,Q49768,19
Q15027368,Albert Weiler,2017-09-24,"",Saalfeld-Rudolstadt – Saale-Holzland-Kreis – Saale-Orla-Kreis,Q30535405,Christian Democratic Union,Q49762,19
Q1502854,Steffi Lemke,2017-09-24,"",Dessau – Wittenberg,Q30534981,Alliance '90/The Greens,Q49766,19
Q15041845,Martin Rabanus,2017-09-24,"",Rheingau-Taunus – Limburg,Q30535343,Social Democratic Party of Germany,Q49768,19
Q1505506,Georg Nüßlein,2017-09-24,"",Neu-Ulm,Q30535569,Christian Social Union of Bavaria,Q49763,19
Q1506477,Stefan Schwartze,2017-09-24,"",Herford – Minden-Lübbecke II,Q30535164,Social Democratic Party of Germany,Q49768,19
Q15091968,Florian Post,2017-09-24,"",München-Nord,Q30535475,Social Democratic Party of Germany,Q49768,19
Q15092002,Detlev Pilger,2017-09-24,"",Koblenz,Q30535433,Social Democratic Party of Germany,Q49768,19
Q15092209,Corinna Rüffer,2017-09-24,"",Trier,Q30535441,Alliance '90/The Greens,Q49766,19
Q15093113,Stephan Albani,2017-09-24,"",Oldenburg – Ammerland,Q30534856,Christian Democratic Union,Q49762,19
Q15114148,Bernd Westphal,2017-09-24,"",Hildesheim,Q30534929,Social Democratic Party of Germany,Q49768,19
Q15114946,Heike Baehrens,2017-09-24,"",Göppingen,Q30535588,Social Democratic Party of Germany,Q49768,19
Q15114982,Ulrike Bahr,2017-09-24,"",Augsburg-Stadt,Q30535562,Social Democratic Party of Germany,Q49768,19
Q15117357,Katarina Barley,2017-09-24,"",Trier,Q30535441,Social Democratic Party of Germany,Q49768,19
Q15120341,Ulli Nissen,2017-09-24,"",Frankfurt am Main II,Q30535363,Social Democratic Party of Germany,Q49768,19
Q15126097,Maik Beermann,2017-09-24,"",Nienburg II – Schaumburg,Q30534907,Christian Democratic Union,Q49762,19
Q1514088,Michael Stübgen,2017-09-24,"",Elbe-Elster – Oberspreewald-Lausitz II,Q30534968,Christian Democratic Union,Q49762,19
Q1514489,Gero Clemens Hocker,2017-09-24,"",Osterholz – Verden,Q30534878,Free Democratic Party,Q13124,19
Q1514515,Gero Storjohann,2017-09-24,"",Segeberg – Stormarn-Mitte,Q30534811,Christian Democratic Union,Q49762,19
Q15230330,Jan Metzler,2017-09-24,"",Worms,Q30535450,Christian Democratic Union,Q49762,19
Q1524836,Harald Ebner,2017-09-24,"",Schwäbisch Hall – Hohenlohe,Q30535599,Alliance '90/The Greens,Q49766,19
Q15262812,Lars Castellucci,2017-09-24,"",Rhein-Neckar,Q30535626,Social Democratic Party of Germany,Q49768,19
Q15263649,Norbert Müller,2017-09-24,"",Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II,Q30534961,Die Linke,Q49764,19
Q15272462,Andreas Nick,2017-09-24,"",Montabaur,Q30535445,Christian Democratic Union,Q49762,19
Q15273689,Bernhard Daldrup,2017-09-24,"",Warendorf,Q30535157,Social Democratic Party of Germany,Q49768,19
Q1527508,Thomas Sattelberger,2017-09-24,"",München-Süd,Q30535477,Free Democratic Party,Q13124,19
Q15275916,Daniela De Ridder,2017-09-24,"",Mittelems,Q30534866,Social Democratic Party of Germany,Q49768,19
Q15391841,Marie-Agnes Strack-Zimmermann,2017-09-24,"",Düsseldorf I,Q30535103,Free Democratic Party,Q13124,19
Q15432230,Claudia Tausend,2017-09-24,"",München-Ost,Q30535476,Social Democratic Party of Germany,Q49768,19
Q15433061,Gabi Weber,2017-09-24,"",Montabaur,Q30535445,Social Democratic Party of Germany,Q49768,19
Q15433139,Thomas Hitschler,2017-09-24,"",Südpfalz,Q30535462,Social Democratic Party of Germany,Q49768,19
Q15433815,Dagmar Schmidt,2017-09-24,"",Lahn-Dill,Q30535323,Social Democratic Party of Germany,Q49768,19
Q15433827,Irene Mihalic,2017-09-24,"",Gelsenkirchen,Q30535141,Alliance '90/The Greens,Q49766,19
Q15434186,Martin Rosemann,2017-09-24,"",Tübingen,Q30535658,Social Democratic Party of Germany,Q49768,19
Q15434284,Katja Leikert,2017-09-24,"",Hanau,Q30535358,Christian Democratic Union,Q49762,19
Q15434294,Georg Kippels,2017-09-24,"",Rhein-Erft-Kreis I,Q30535057,Christian Democratic Union,Q49762,19
Q15434300,Johannes Fechner,2017-09-24,"",Emmendingen – Lahr,Q30535641,Social Democratic Party of Germany,Q49768,19
Q15434319,Jana Schimke,2017-09-24,"",Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I,Q30534962,Christian Democratic Union,Q49762,19
Q15434412,Hubertus Zdebel,2017-09-24,"",Münster,Q30535156,Die Linke,Q49764,19
Q15434455,Alexander Neu,2017-09-24,"",Rhein-Sieg-Kreis I,Q30535072,Die Linke,Q49764,19
Q15434496,Cansel Kiziltepe,2017-09-24,"",Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost,Q30535037,Social Democratic Party of Germany,Q49768,19
Q15434520,Sebastian Hartmann,2017-09-24,"",Rhein-Sieg-Kreis I,Q30535072,Social Democratic Party of Germany,Q49768,19
Q15434565,Andreas Schwarz,2017-09-24,"",Bamberg,Q30535527,Social Democratic Party of Germany,Q49768,19
Q15434567,Matern von Marschall,2017-09-24,"",Freiburg,Q30535636,Christian Democratic Union,Q49762,19
Q15434637,Hermann Färber,2017-09-24,"",Göppingen,Q30535588,Christian Democratic Union,Q49762,19
Q15451431,Martin Reichardt,2017-09-24,"",,,Alternative for Germany,Q6721203,19
Q1555983,Gustav Herzog,2017-09-24,"",Kaiserslautern,Q30535457,Social Democratic Party of Germany,Q49768,19
Q1557103,Katja Hessel,2017-09-24,"",Nürnberg-Nord,Q30535544,Free Democratic Party,Q13124,19
Q1560111,Gülistan Yüksel,2017-09-24,"",Mönchengladbach,Q30535108,Social Democratic Party of Germany,Q49768,19
Q15606894,Yasmin Fahimi,2017-09-24,"",Stadt Hannover II,Q30534917,Social Democratic Party of Germany,Q49768,19
Q1560703,Günter Krings,2017-09-24,"",Mönchengladbach,Q30535108,Christian Democratic Union,Q49762,19
Q15613500,Dennis Rohde,2017-09-24,"",Oldenburg – Ammerland,Q30534856,Social Democratic Party of Germany,Q49768,19
Q1562647,Michaela Noll,2017-09-24,"",Mettmann I,Q30535098,Christian Democratic Union,Q49762,19
Q15644592,Silke Launert,2017-09-24,"",Bayreuth,Q30535528,Christian Social Union of Bavaria,Q49763,19
Q15644594,Andrea Lindholz,2017-09-24,"",Aschaffenburg,Q30535552,Christian Social Union of Bavaria,Q49763,19
Q1564660,Tabea Rößner,2017-09-24,"",Mainz,Q30535448,Alliance '90/The Greens,Q49766,19
Q15647562,Yvonne Magwas,2017-09-24,"",Vogtlandkreis,Q30535315,Christian Democratic Union,Q49762,19
Q15648956,Mahmut Özdemir,2017-09-24,"",Duisburg II,Q30535124,Social Democratic Party of Germany,Q49768,19
Q1565606,Matthias Zimmer,2017-09-24,"",Frankfurt am Main I,Q30535362,Christian Democratic Union,Q49762,19
Q1566498,Michael Frieser,2017-09-24,"",Nürnberg-Süd,Q30535547,Christian Social Union of Bavaria,Q49763,19
Q1568404,Sylvia Kotting-Uhl,2017-09-24,"",Karlsruhe-Stadt,Q30535610,Alliance '90/The Greens,Q49766,19
Q1577056,Hans-Georg von der Marwitz,2017-09-24,"",Märkisch-Oderland – Barnim II,Q30534957,Christian Democratic Union,Q49762,19
Q1577305,Hans-Joachim Fuchtel,2017-09-24,"",Calw,Q30535633,Christian Democratic Union,Q49762,19
Q1577714,Hans-Jürgen Irmer,2017-09-24,"",Lahn-Dill,Q30535323,Christian Democratic Union,Q49762,19
Q15782057,Albert Stegemann,2017-09-24,"",Mittelems,Q30534866,Christian Democratic Union,Q49762,19
Q15782242,Alexander Hoffmann,2017-09-24,"",Main-Spessart,Q30535555,Christian Social Union of Bavaria,Q49763,19
Q15783327,Andreas Lenz,2017-09-24,"",Erding – Ebersberg,Q30535464,Christian Social Union of Bavaria,Q49763,19
Q15783337,Andreas Rimkus,2017-09-24,"",Düsseldorf II,Q30535104,Social Democratic Party of Germany,Q49768,19
Q15783504,Anja Karliczek,2017-09-24,"",Steinfurt III,Q30535155,Christian Democratic Union,Q49762,19
Q15783644,Antje Lezius,2017-09-24,"",Kreuznach,Q30535437,Christian Democratic Union,Q49762,19
Q15792620,Bernd Rützel,2017-09-24,"",Main-Spessart,Q30535555,Social Democratic Party of Germany,Q49768,19
Q15792684,Bettina Müller,2017-09-24,"",Main-Kinzig – Wetterau II – Schotten,Q30535327,Social Democratic Party of Germany,Q49768,19
Q15793659,Carsten Körber,2017-09-24,"",Zwickau,Q30535311,Christian Democratic Union,Q49762,19
Q15794238,Christian Petry,2017-09-24,"",St. Wendel,Q30535673,Social Democratic Party of Germany,Q49768,19
Q15795521,Katharina Dröge,2017-09-24,"",Köln III,Q30535067,Alliance '90/The Greens,Q49766,19
Q15795921,Matthias Gastel,2017-09-24,"",Nürtingen,Q30535585,Alliance '90/The Greens,Q49766,19
Q15804500,Daniel Föst,2017-09-24,"",München-Nord,Q30535475,Free Democratic Party,Q13124,19
Q15805255,Julia Verlinden,2017-09-24,"",Lüchow-Dannenberg – Lüneburg,Q30534900,Alliance '90/The Greens,Q49766,19
Q15806072,Dirk Heidenblut,2017-09-24,"",Essen II,Q30535137,Social Democratic Party of Germany,Q49768,19
Q15806084,Dirk Vöpel,2017-09-24,"",Oberhausen – Wesel III,Q30535127,Social Democratic Party of Germany,Q49768,19
Q15808359,Erich Irlstorfer,2017-09-24,"",Freising,Q30535467,Christian Social Union of Bavaria,Q49763,19
Q15810123,Frank Junge,2017-09-24,"",Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I,Q30534821,Social Democratic Party of Germany,Q49768,19
Q15811213,Gabriela Heinrich,2017-09-24,"",Nürnberg-Nord,Q30535544,Social Democratic Party of Germany,Q49768,19
Q15811216,Gabriele Katzmarek,2017-09-24,"",Rastatt,Q30535618,Social Democratic Party of Germany,Q49768,19
Q15813082,Saskia Esken,2017-09-24,"",Calw,Q30535633,Social Democratic Party of Germany,Q49768,19
Q15813103,Ursula Schulte,2017-09-24,"",Borken II,Q30535151,Social Democratic Party of Germany,Q49768,19
Q15813108,Uli Grötsch,2017-09-24,"",Weiden,Q30535526,Social Democratic Party of Germany,Q49768,19
Q15813111,Udo Schiefner,2017-09-24,"",Viersen,Q30535118,Social Democratic Party of Germany,Q49768,19
