id,name,sort_name,party,constituency,area,term,wikiname,source,notes,end_date,start_date,death_date
göke_frerichs,Göke Frerichs,Frerichs!,CDU,"",Nordrhein-Westfalen,5,Göke Frerichs,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),,,,
martin_frey,Martin Frey,Frey!,CDU,"",Nordrhein-Westfalen,5,Martin Frey,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),,,,
brigitte_freyh,Brigitte Freyh,Freyh!,SPD,Frankfurt II,Hessen,5,Brigitte Freyh,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),,,,
hans_friderichs,Hans Friderichs,Friderichs!,FDP,"",Rheinland-Pfalz,5,Hans Friderichs,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),,,,
heinz_frieler,Heinz Frieler,Frieler!,CDU,Oldenburg,Niedersachsen,5,Heinz Frieler,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),,,,
walter_fritsch_(politiker),Walter Fritsch,Fritsch !,SPD,"",Bayern,5,Walter Fritsch (Politiker),https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),,,,
friedrich_fritz_(politiker),Friedrich Fritz,"Fritz, Friedrich!",CDU,Waiblingen,Baden-Württemberg,5,Friedrich Fritz (Politiker),https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),,,,
karl-walter_fritz,Karl-Walter Fritz,"Fritz, Karl!",SPD,Wiesbaden,Hessen,5,Karl-Walter Fritz,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),,,,
liselotte_funcke,Liselotte Funcke,Funcke!,FDP,"",Nordrhein-Westfalen,5,Liselotte Funcke,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),,,,
hans_furler,Hans Furler,Furler!,CDU,Offenburg,Baden-Württemberg,5,Hans Furler,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),,,,
