id,name,position_id,position,label,start_date,end_date,ordinal
Q58298,Alexandru Marghiloman,Q58298-62ED497F-C48E-493E-A4DA-434790085CAB,Q15304810,Prime Minister of Romania,1918-03-18,1918-10-23,0
Q58298,Alexandru Marghiloman,Q58298-e2071fe0-45e6-a496-8138-349ee19b3300,Q21503673,Minister of Foreign Affairs of Romania,1900-07-20,1901-02-26,0
Q591587,Attila Korodi,Q591587-fee69ee3-49da-66c2-5ebc-390d2ba63506,Q21504155,Minister of the Environment and Climate Change,2012-04-10,2012-05-07,0
Q591587,Attila Korodi,Q591587-f696fa28-4b10-f966-3e87-0c9ff786030c,Q21504155,Minister of the Environment and Climate Change,2014-03-05,2014-12-13,0
Q613397,Barbu Știrbey,Q613397-EDF2AC88-33CD-4CCB-80E9-C139B7DFC85C,Q15304810,Prime Minister of Romania,"","",0
Q622305,Alexandru Vaida-Voevod,Q622305-50F60D24-0D36-4DC7-9AEE-85ED5E34C6C4,Q15304810,Prime Minister of Romania,1919-01-01,1920-01-01,0
Q622305,Alexandru Vaida-Voevod,Q622305-a5d0326e-4ece-a2fb-eb05-86fc28f05c43,Q15304810,Prime Minister of Romania,1931-01-01,1932-01-01,0
Q622305,Alexandru Vaida-Voevod,Q622305-598e773c-4bc6-58c7-c358-183c0786e63f,Q15304810,Prime Minister of Romania,1933-01-01,1933-01-01,0
Q622305,Alexandru Vaida-Voevod,Q622305-338cac74-440f-7180-9fe1-3bb61e861e8e,Q17578116,interior minister,1928-11-10,1930-06-07,0
Q622305,Alexandru Vaida-Voevod,Q622305-71fb97eb-42d5-da95-04b7-dd69f9d37d66,Q7330070,foreign minister,1919-12-01,1920-03-13,0
Q6659788,Liviu Dragnea,Q6659788-d8e1da4c-4c6b-6a99-dc4b-10d210ba72f0,Q21503762,Minister of Development and Administration,2012-12-21,2014-12-17,0
Q6659788,Liviu Dragnea,Q6659788-41b65ee9-4b4f-9637-dedf-6794d93c50f3,Q21504201,Minister of Internal Affairs,2009-01-20,2009-02-11,0
Q6872988,Mircea Ciumara,Q6872988-e53a3e45-43eb-38f1-d79c-171ba21d08d6,Q21504216,Minister of Public Finance,1996-12-12,1997-12-05,0
Q7029304,Nicolae Petrescu-Comnen,Q7029304-3cfe357f-44f2-2159-3546-a83fe089a8ca,Q21503673,Minister of Foreign Affairs of Romania,1938-03-30,1939-01-31,0
Q705500,Nicolae Golescu,Q705500-F516AE98-FC33-404B-B86D-738D79727E61,Q15304810,Prime Minister of Romania,1868-01-01,1868-01-01,0
Q711113,Ion Emanuel Florescu,Q711113-A68FD40C-D996-462F-BF53-E3C93F2CDCCA,Q15304810,Prime Minister of Romania,"","",0
Q719016,Mona Muscă,Q719016-0039dbe9-4342-f5d6-344e-1126d0b803c7,Q21503769,Minister of Culture,"","",0
Q745963,Alexandru G. Golescu,Q745963-1E1A3773-7228-466C-AD56-0547CBBA2E12,Q15304810,Prime Minister of Romania,1870-01-01,1870-01-01,0
Q747255,Attila Cseke,Q747255-73847815-442f-c261-8c76-4243eff54805,Q20885066,Minister of Health of Romania,2009-12-23,2011-08-17,0
Q781476,Nicolae Titulescu,Q781476-9f403e3b-4cc6-9cdd-1d4d-23b6d7e8a006,Q21503673,Minister of Foreign Affairs of Romania,1927-11-24,1928-11-09,0
Q838996,Lucrețiu Pătrășcanu,Q838996-CAFE11AC-7A72-442C-BE61-3871F40B467E,Q21159939,Minister of Justice of Romania,"","",0
Q868829,Constantin Angelescu,Q868829-DB71F750-65EB-4DB5-A740-8257B5A86245,Q15304810,Prime Minister of Romania,1933-01-01,1934-01-01,0
Q868829,Constantin Angelescu,Q868829-a058f89d-4ed9-4521-fb8a-e4503f93c1fa,Q21503769,Minister of Culture,"","",0
Q921959,Ion Gigurtu,Q921959-E5C86FC3-DEEE-45E7-BF48-9E7542C679D5,Q15304810,Prime Minister of Romania,"","",0
Q923357,Hunor Kelemen,Q923357-a009aa78-4b65-895d-8621-ae75dcb8f5bc,Q21503769,Minister of Culture,2009-12-23,2012-04-27,0
Q927758,Gheorghe Mironescu,Q927758-596F9870-8966-4B36-A790-D32629550360,Q15304810,Prime Minister of Romania,1930-01-01,1930-01-01,0
Q927758,Gheorghe Mironescu,Q927758-5e87bf54-4481-0561-e984-703221ba78ca,Q15304810,Prime Minister of Romania,1930-01-01,1931-01-01,0
Q928939,Theodor Rosetti,Q928939-AEF77998-265D-4C7E-A5DA-1CFEBA794821,Q15304810,Prime Minister of Romania,"","",0
Q956953,Manolache Costache Epureanu,Q956953-4C205482-D4D2-4B29-9894-1BE94F03EDE7,Q15304810,Prime Minister of Romania,1870-01-01,1870-01-01,0
