statement,id,name,constituency_id,constituency,party_id,party,start_date,end_date,term,identifier__wikidata
Q21747035-2d7833fa-4f5b-23b1-db5c-21dfda2b4fce,Q21747035,Mihai Niță,Q188945,Olt County,Q26934816,Alliance of Liberals and Democrats Party,2016-12-21,"",8,Q21747035
Q21747040-429aa0e0-40d6-3cc2-7ff1-f8d94f64842d,Q21747040,Emil-Marius Pașcan,Q190711,Mureș County,Q15732550,People's Movement Party,2016-12-21,"",8,Q21747040
Q21747052-79c340e4-41c9-0087-79c8-a7ab42198b76,Q21747052,Ioan Sorin Roman,Q179588,Bihor County,Q752435,Social Democratic Party,2016-12-20,"",8,Q21747052
Q21747064-dbbfa6ed-47fa-e177-98df-335a8a60b732,Q21747064,Matei Suciu,Q185586,Timiș County,Q752435,Social Democratic Party,2017-01-16,"",8,Q21747064
Q23930757-79aa06e0-4a02-7262-536b-c19f5cc8e68d,Q23930757,Iulian Iacomi,Q188948,Călărași County,Q752435,Social Democratic Party,2016-12-20,2017-06-01,8,Q23930757
Q24027545-684337d5-4b66-536e-e894-baad37c75ade,Q24027545,Angelica Fădor,Q181209,Suceava County,Q686228,National Liberal Party,2016-12-21,"",8,Q24027545
Q24206527-f333da70-494b-6895-6d22-dddafcbc8472,Q24206527,Constantin Trușcă,Q191717,Mehedinți County,Q752435,Social Democratic Party,2016-12-21,2017-06-01,8,Q24206527
Q25948072-5c692a5a-4840-4306-053b-ceeebf2bd1b6,Q25948072,Corneliu Olar,Q45868,Alba,Q686228,National Liberal Party,2016-12-21,"",8,Q25948072
Q26272205-3dbb4db4-40b4-2031-bc5f-7d3b5e50a352,Q26272205,Petru-Sorin Marica,Q191071,Hunedoara County,Q752435,Social Democratic Party,2016-12-20,"",8,Q26272205
Q27956305-886b61c5-4b2c-55f0-3dc4-bed322020b87,Q27956305,Cătălin Drulă,Q185586,Timiș County,Q27108508,Save Romania Union,2016-12-21,"",8,Q27956305
Q28035046-ed248c54-463e-e452-897f-aa8a3d309861,Q28035046,Gabriel Petrea,Q19660,Bucharest,Q752435,Social Democratic Party,2016-12-20,"",8,Q28035046
Q28035084-1b453373-46f7-389e-9d77-2c363613c4fc,Q28035084,Oana-Consuela Florea,Q19660,Bucharest,Q752435,Social Democratic Party,2016-12-20,"",8,Q28035084
Q28035088-5e4445e9-4799-606a-4dfc-f044550d4429,Q28035088,Mihăiță Vârză,Q19660,Bucharest,Q752435,Social Democratic Party,2016-12-20,"",8,Q28035088
Q28035133-4ac6df33-4a09-e524-2b2a-7870cf0031e1,Q28035133,Beatrice Tudor,Q19660,Bucharest,Q752435,Social Democratic Party,2016-12-20,"",8,Q28035133
Q28035137-78e0d379-44b3-8033-a4be-5a862b676669,Q28035137,Liviu Pleșoianu,Q19660,Bucharest,Q752435,Social Democratic Party,2016-12-20,"",8,Q28035137
Q28035151-a6e4cdde-4e8c-26c0-0ba2-2ef07af0b172,Q28035151,Mirela Furtună,,,Q752435,Social Democratic Party,2016-12-20,"",8,Q28035151
Q28035160-48ad169d-4b63-970e-6a4e-50d756304300,Q28035160,Petre-Florin Manole,Q19660,Bucharest,Q752435,Social Democratic Party,2016-12-20,"",8,Q28035160
Q28035173-072c2932-4fd0-37bd-5298-dce1af5b9986,Q28035173,Aida-Cristina Căruceru,,,Q752435,Social Democratic Party,2016-12-20,"",8,Q28035173
Q28035327-0aec0fd8-4500-fcc4-66a3-54bdc19c18e7,Q28035327,Cristian Seidler,Q19660,Bucharest,Q27108508,Save Romania Union,2016-12-20,"",8,Q28035327
Q28035341-017b4680-4e20-a3da-32ff-cbd1240a4bc6,Q28035341,Oana Bîzgan,Q19660,Bucharest,Q27108508,Save Romania Union,2016-12-20,"",8,Q28035341
Q28035488-f17f537d-44ed-be58-60e9-c50f112f2ebb,Q28035488,Matei-Adrian Dobrovie,Q19660,Bucharest,Q27108508,Save Romania Union,2016-12-20,"",8,Q28035488
Q28035503-e66f3fc7-4e04-0e51-d900-300e8250889e,Q28035503,Claudiu Năsui,Q19660,Bucharest,Q27108508,Save Romania Union,2016-12-20,"",8,Q28035503
Q28035524-a858b5cc-4305-f982-7724-feb5b3706cd6,Q28035524,Cristina Mădălina Prună,Q19660,Bucharest,Q27108508,Save Romania Union,2016-12-20,"",8,Q28035524
Q28035544-4ada5cc8-43e1-97fa-2d99-0884b80a9d44,Q28035544,Tudor Rareș Pop,Q19660,Bucharest,Q27108508,Save Romania Union,2016-12-20,"",8,Q28035544
Q28035736-8451448e-4ad2-024f-0702-4fabc61adec1,Q28035736,Florin Roman,Q45868,Alba,Q686228,National Liberal Party,2016-12-20,"",8,Q28035736
Q28035744-e299614c-47bd-3441-2b35-88488cb0699d,Q28035744,Claudiu Vasile Răcuci,Q45868,Alba,Q686228,National Liberal Party,2016-12-20,"",8,Q28035744
Q28035747-81acb0c2-4ced-bb13-18ee-741e6d6567af,Q28035747,Sorin Bumb,Q45868,Alba,Q686228,National Liberal Party,2016-12-20,"",8,Q28035747
Q28035752-7529f04e-4e43-75a2-749f-f0276a18e5e3,Q28035752,Florin Dan Tripa,Q179559,Arad County,Q752435,Social Democratic Party,2016-12-20,"",8,Q28035752
Q28035755-abb6feec-4683-44c1-50b2-7a1dc2b8e178,Q28035755,Adrian Todor,Q179559,Arad County,Q752435,Social Democratic Party,2016-12-20,"",8,Q28035755
Q28035762-d273531a-4f28-ac9e-63cc-2dcd1322433a,Q28035762,Glad Aurel Varga,Q179559,Arad County,Q686228,National Liberal Party,2016-12-20,"",8,Q28035762
Q28035798-2d58fe18-4e0b-47c0-a768-0b3ed892ab3b,Q28035798,Sergiu Cosmin Vlad,Q179559,Arad County,Q27108508,Save Romania Union,2016-12-20,"",8,Q28035798
Q28035812-ea208b89-4e84-c27f-699d-b434d27cd6d1,Q28035812,Petru Farago,Q179559,Arad County,Q266582,Democratic Union of Hungarians in Romania,2016-12-20,"",8,Q28035812
Q28035827-fae37fe8-4d34-9572-4f17-bc0efdd38b04,Q28035827,Nicolae Georgescu,Q179567,Argeș County,Q752435,Social Democratic Party,2016-12-20,"",8,Q28035827
Q28035831-dd54abb1-48d3-e620-ec4f-0faa4b0d75dc,Q28035831,Nicolae Velcea,Q179567,Argeș County,Q752435,Social Democratic Party,2016-12-20,"",8,Q28035831
Q28035857-4446441b-4c51-a742-57cf-4152d1e77981,Q28035857,Dănuț Bica,Q179567,Argeș County,Q686228,National Liberal Party,2016-12-20,"",8,Q28035857
Q28035866-095686a9-4489-64b6-19c6-f8f81dcc29ab,Q28035866,Liviu-Ionuț Moșteanu,Q179567,Argeș County,Q27108508,Save Romania Union,2016-12-20,"",8,Q28035866
Q28035888-9eb8e98f-41f7-5f90-8ca5-0c84ef626ea9,Q28035888,Theodora Șotcan,Q179779,Bacău County,Q752435,Social Democratic Party,2016-12-20,"",8,Q28035888
Q28035899-d07c526f-4606-383f-e998-445a0de49933,Q28035899,Ionel Floroiu,Q179779,Bacău County,Q752435,Social Democratic Party,2016-12-20,"",8,Q28035899
Q28035918-acdd665e-4a22-92f1-ecd7-ab51f9d8d5c4,Q28035918,Claudiu Augustin Ilișanu,Q179779,Bacău County,Q752435,Social Democratic Party,2016-12-20,"",8,Q28035918
Q28035928-b94ef61a-457c-bf3c-3e6a-913606195a39,Q28035928,Costel Neculai Dunava,Q179779,Bacău County,Q752435,Social Democratic Party,2016-12-20,"",8,Q28035928
Q28036004-6e5e0b55-4fc5-487e-39d5-9334b9b72488,Q28036004,Tudorița Lungu,Q179779,Bacău County,Q686228,National Liberal Party,2016-12-20,"",8,Q28036004
Q28036017-cfdd89e4-42ab-b12f-292b-a1b977f6aab1,Q28036017,Lucian-Daniel Stanciu-Viziteu,Q179779,Bacău County,Q27108508,Save Romania Union,2016-12-20,"",8,Q28036017
Q28038657-714b627e-46f1-b44f-29cc-eddc7d223695,Q28038657,Marina Coste,Q179588,Bihor County,Q752435,Social Democratic Party,2016-12-20,2017-08-13,8,Q28038657
Q28038726-b450eed0-4695-9ef5-86e9-b15dcb65a469,Q28038726,Silviu Dehelean,Q179588,Bihor County,Q27108508,Save Romania Union,2016-12-20,"",8,Q28038726
Q28038884-778df443-46f5-d891-1978-37dbfe164e0c,Q28038884,Robert Sighiartău,Q181513,Bistrița-Năsăud County,Q686228,National Liberal Party,2016-12-20,"",8,Q28038884
Q28038891-5736cf44-467e-4a42-d928-d8b5a6b47d87,Q28038891,Cristina-Ionela Iurișniți,Q181513,Bistrița-Năsăud County,Q27108508,Save Romania Union,2016-12-20,"",8,Q28038891
Q28038915-74d5af15-497f-e237-4d91-6dacde46b6f7,Q28038915,Ionuț Simionca,Q181513,Bistrița-Năsăud County,Q15732550,People's Movement Party,2016-12-20,"",8,Q28038915
Q28038935-4e10e8b5-4186-9cee-32fa-8935f4851749,Q28038935,Mihaela Huncă,Q178861,Botoșani County,Q752435,Social Democratic Party,2016-12-20,"",8,Q28038935
Q28038940-0299e099-4973-acf7-7cc0-bc99b30bc8a1,Q28038940,Marius-Constantin Budăi,Q178861,Botoșani County,Q752435,Social Democratic Party,2016-12-20,"",8,Q28038940
Q28038946-424f83f8-4877-024a-90a8-c0572d4785c7,Q28038946,Răzvan Ilie Rotaru,Q178861,Botoșani County,Q752435,Social Democratic Party,2016-12-20,"",8,Q28038946
Q28038952-18f2ff2d-4491-228c-ec2f-70b539a19275,Q28038952,Costel Lupașcu,Q178861,Botoșani County,Q752435,Social Democratic Party,2016-12-20,"",8,Q28038952
Q28038964-ad035cb9-4500-30d6-b291-558e6084a14a,Q28038964,Vasile-Cristian Achiței,Q178861,Botoșani County,Q686228,National Liberal Party,2016-12-20,"",8,Q28038964
Q28039511-c0d42e31-4db7-0f0b-77de-bd8875cc8110,Q28039511,Nicu Niță,Q188503,Brăila County,Q752435,Social Democratic Party,2016-12-20,"",8,Q28039511
Q28039534-03eca81e-4bb5-7111-710a-9bbc78e74983,Q28039534,Marilena Emilia Meiroșu,Q188503,Brăila County,Q752435,Social Democratic Party,2016-12-20,"",8,Q28039534
Q28039540-481cadf7-4849-48db-1242-ef10fb115d09,Q28039540,Antoneta Ioniță,Q188503,Brăila County,Q686228,National Liberal Party,2016-12-20,"",8,Q28039540
Q28039579-8967f59d-49d6-ae18-acc6-498f85365f1f,Q28039579,Mihai Valentin Popa,Q182614,Brașov County,Q752435,Social Democratic Party,2016-12-20,"",8,Q28039579
Q28039595-11e5d169-4b23-19e7-32fa-6f5d9ff1e02d,Q28039595,Roxana Mânzatu,Q182614,Brașov County,Q752435,Social Democratic Party,2016-12-20,"",8,Q28039595
Q28039632-49054e47-4466-05ae-4c71-a412e5ba05ac,Q28039632,Mara Mareș,Q182614,Brașov County,Q686228,National Liberal Party,2016-12-20,"",8,Q28039632
Q28039706-be4e0d18-4b4d-16c3-7c6a-6db70430bcf1,Q28039706,Tudor Benga,Q182614,Brașov County,Q27108508,Save Romania Union,2016-12-20,"",8,Q28039706
Q28039717-5c091eab-40af-5e5d-f471-a8d11051b0f8,Q28039717,Remus Borza,Q182614,Brașov County,Q26934816,Alliance of Liberals and Democrats Party,2016-12-20,"",8,Q28039717
Q28039728-277d4b52-4b9d-e67e-a53d-c7de2e9df348,Q28039728,Izabella-Agnes Ambrus,Q182614,Brașov County,Q266582,Democratic Union of Hungarians in Romania,2016-12-20,"",8,Q28039728
Q28039779-75c7cecf-4b43-b89f-13a5-29db1a8e09e8,Q28039779,Sorin Lazăr,Q185309,Buzău County,Q752435,Social Democratic Party,2016-12-20,"",8,Q28039779
Q28039786-a1e6574e-45a4-cdf4-7de6-3997434b7f5e,Q28039786,Ionela-Viorela Dobrică,Q185309,Buzău County,Q752435,Social Democratic Party,2016-12-20,"",8,Q28039786
Q28039797-8b160ce9-413f-f549-f465-d0e4a51a6b31,Q28039797,Nicolaie-Sebastian-Valentin Radu,Q185309,Buzău County,Q752435,Social Democratic Party,2016-12-20,"",8,Q28039797
Q28039805-56439882-4747-4737-5209-a4fe12ec9f50,Q28039805,Dănuț Păle,Q185309,Buzău County,Q752435,Social Democratic Party,2016-12-20,"",8,Q28039805
Q28039817-f6c87722-4b65-6c4a-dbc0-933de8cb23af,Q28039817,Cristinel Romanescu,Q185309,Buzău County,Q686228,National Liberal Party,2016-12-20,"",8,Q28039817
Q28041695-ac18ca96-4d4e-d9fe-0681-f21f3dc993a6,Q28041695,Ion Spânu,Q187925,Caraș-Severin County,Q752435,Social Democratic Party,2016-12-20,"",8,Q28041695
Q28041706-12d8bb3c-45f4-59b7-6716-6ba4260b1a9b,Q28041706,Luminița-Maria Jivan,Q187925,Caraș-Severin County,Q752435,Social Democratic Party,2016-12-20,"",8,Q28041706
Q28041762-0c46fc59-408b-d3d0-29da-b5537fbf6b40,Q28041762,Gabriel Horia Nasra,Q182624,Cluj County,Q752435,Social Democratic Party,2016-12-20,"",8,Q28041762
Q28041772-90d21814-4c15-197a-eb36-f7c05810d1aa,Q28041772,Cristina Burciu,Q182624,Cluj County,Q752435,Social Democratic Party,2016-12-20,"",8,Q28041772
Q28041792-0d0fd1e1-4290-459f-49d9-73d214efcaf6,Q28041792,Vasile Florin Stamatian,Q182624,Cluj County,Q686228,National Liberal Party,2016-12-20,"",8,Q28041792
Q28041810-acee77de-4a3a-1a3a-529d-c48c7c532df3,Q28041810,Sorin Dan Moldovan,,,Q686228,National Liberal Party,2016-12-20,"",8,Q28041810
Q28041843-ac05cd07-46fc-81e0-6f81-e26de9c4d215,Q28041843,Emanuel-Dumitru Ungureanu,Q182624,Cluj County,Q27108508,Save Romania Union,2016-12-20,"",8,Q28041843
Q28041854-aef62b90-4e9e-1468-b89b-4f0b7b915e8b,Q28041854,Adrian-Octavian Dohotaru,Q182624,Cluj County,Q27108508,Save Romania Union,2016-12-20,"",8,Q28041854
Q28041865-fcd3f5c3-41ff-6732-b0b2-7e5b79f2ea57,Q28041865,Botond Csoma,Q182624,Cluj County,Q266582,Democratic Union of Hungarians in Romania,2016-12-20,"",8,Q28041865
Q28044992-19d6e436-43b5-773a-6c2c-0d93f403105c,Q28044992,George-Gabriel Vișan,Q188505,Constanța County,Q752435,Social Democratic Party,2016-12-20,"",8,Q28044992
Q28045049-02a29460-4115-b242-ba69-cec6995d3665,Q28045049,Antal István-János,Q188505,Constanța County,Q266582,Democratic Union of Hungarians in Romania,2016-12-21,"",8,Q28045049
Q28045077-1610c667-4c05-c128-48e0-94d29c35cf21,Q28045077,Bogdan-Iulian Huțucă,Q188505,Constanța County,Q686228,National Liberal Party,2016-12-20,"",8,Q28045077
Q28045085-6a97f200-4c82-55c7-c7b0-8551ab08ad64,Q28045085,Aurel-Robert Boroianu,Q188505,Constanța County,Q686228,National Liberal Party,2016-12-20,"",8,Q28045085
Q28045113-61c3a862-4f42-5ee2-aaaa-4d40d3e466cd,Q28045113,Stelian-Cristian Ion,Q188505,Constanța County,Q27108508,Save Romania Union,2016-12-20,"",8,Q28045113
Q28045135-2eeb758d-4bbc-558e-3ea5-77b2f333468c,Q28045135,Erika Benkő,Q188959,Covasna County,Q266582,Democratic Union of Hungarians in Romania,2016-12-20,"",8,Q28045135
Q28045363-e7eb0946-42e1-197d-ba26-e401c51f33fb,Q28045363,József-György Kulcsár-Terza,Q188959,Covasna County,Q266582,Democratic Union of Hungarians in Romania,2016-12-20,"",8,Q28045363
Q28045371-73895a40-4a8e-8c09-a41f-2dbf2f135b12,Q28045371,Octavian Goga,Q188959,Covasna County,Q15732550,People's Movement Party,2016-12-20,"",8,Q28045371
Q28045411-616ab3af-42df-e899-069a-2c59e2d7d79d,Q28045411,Georgeta-Carmen Holban,Q188797,Dâmbovița County,Q752435,Social Democratic Party,2016-12-20,"",8,Q28045411
Q28045417-1219b807-4b03-9135-da41-4bfd47594198,Q28045417,Corneliu Ștefan,Q188797,Dâmbovița County,Q752435,Social Democratic Party,2016-12-20,"",8,Q28045417
Q28045419-8b315835-45ab-aa47-d8a4-60b9e88491d6,Q28045419,Oana-Silvia Vlăducă,Q188797,Dâmbovița County,Q752435,Social Democratic Party,2016-12-20,"",8,Q28045419
Q28045453-e7590a3e-4498-9d03-fcd6-400846a429f7,Q28045453,Dumitru Lupescu,Q188797,Dâmbovița County,Q27108508,Save Romania Union,2016-12-20,"",8,Q28045453
Q28045602-bc9a41ee-46ca-aa06-90dc-36870f741c90,Q28045602,Alina-Elena Tănăsescu,Q191065,Dolj County,Q752435,Social Democratic Party,2016-12-20,"",8,Q28045602
Q28045611-bdfdee53-40d9-63ca-c671-9f782da9f4d9,Q28045611,Alexandra Presură,Q191065,Dolj County,Q752435,Social Democratic Party,2016-12-20,"",8,Q28045611
Q28045613-3b3b48d6-4245-b2a4-8677-fbaf793db99c,Q28045613,Florinel Stancu,Q191065,Dolj County,Q752435,Social Democratic Party,2016-12-20,"",8,Q28045613
Q28045615-c0749b50-4358-c812-c86b-f8babcafe5d3,Q28045615,Eliza-Mădălina Peța,Q191065,Dolj County,Q752435,Social Democratic Party,2016-12-20,"",8,Q28045615
Q28045620-511930ef-481c-68d9-8a99-30736323fea7,Q28045620,Nicolae Giugea,Q191065,Dolj County,Q686228,National Liberal Party,2016-12-20,"",8,Q28045620
Q28045622-e39d2f59-4f5c-a81e-0b17-e53399c497b2,Q28045622,Adrian-Claudiu Prisnel,Q191065,Dolj County,Q27108508,Save Romania Union,2016-12-20,"",8,Q28045622
Q28045648-2fc8bb08-41a0-d154-8e94-ce5d8ee9be1e,Q28045648,Florin Popa,Q188796,Galați County,Q752435,Social Democratic Party,2016-12-20,"",8,Q28045648
Q28045654-2489c9e5-4bab-5871-2d2f-2c15918ff99a,Q28045654,Mitică-Marius Mărgărit,Q188796,Galați County,Q752435,Social Democratic Party,2016-12-20,"",8,Q28045654
Q28045667-2e11af1d-4937-96af-c8cc-66046e4d1a85,Q28045667,Bogdan-Ionel Rodeanu,Q188796,Galați County,Q27108508,Save Romania Union,2016-12-20,"",8,Q28045667
Q28050317-c511f558-458c-5cc0-270c-fe43e70e538d,Q28050317,Cătălin Cristache,Q188796,Galați County,Q15732550,People's Movement Party,2016-12-20,"",8,Q28050317
Q28050341-9f75f4e5-435a-af1c-c5af-0124289e2e07,Q28050341,Răzvan-Alexandru Cuc,Q193055,Giurgiu County,Q752435,Social Democratic Party,2016-12-20,"",8,Q28050341
Q28050350-ed9caba7-44c4-14c8-f97d-2f2db10fa419,Q28050350,Alexandru-Ioan Andrei,Q193055,Giurgiu County,Q752435,Social Democratic Party,2016-12-20,"",8,Q28050350
Q28050355-8cb4f956-4235-64eb-68fc-63048c2eb3b3,Q28050355,Cristina-Elena Dinu,Q193055,Giurgiu County,Q752435,Social Democratic Party,2016-12-20,"",8,Q28050355
Q28050361-69fc4d12-48cb-0916-56e7-ab7e1f3fce4a,Q28050361,Toma-Florin Petcu,Q193055,Giurgiu County,Q26934816,Alliance of Liberals and Democrats Party,2016-12-20,"",8,Q28050361
Q28055984-635e57ee-4a7c-574c-4f79-0c994cb567ef,Q28055984,Victoria Longher,Q3395424,Poles in Romania,Q2989342,Minorities of Romania,2016-12-21,"",8,Q28055984
Q28084513-c194a231-4b2a-a678-daf7-72722d2a2a5e,Q28084513,Alin-Vasile Văcaru,Q190406,Gorj County,Q752435,Social Democratic Party,2016-12-20,"",8,Q28084513
Q28084536-13d2c0e6-4a4c-db55-dc43-5ea9f10e0833,Q28084536,Elvira Șarapatin,Q190406,Gorj County,Q752435,Social Democratic Party,2016-12-20,"",8,Q28084536
Q28084569-fc596380-4aef-c376-fd85-7b86e71af22b,Q28084569,Dan Vîlceanu,Q190406,Gorj County,Q686228,National Liberal Party,2016-12-20,"",8,Q28084569
Q28085058-b2d33adf-4097-c98f-1a7f-52e8e887d237,Q28085058,Sándor Bende,Q190702,Harghita County,Q266582,Democratic Union of Hungarians in Romania,2016-12-20,"",8,Q28085058
Q28085130-966efa30-4387-b78b-f812-c6bd77731d50,Q28085130,Zacharie Benedek,Q190702,Harghita County,Q266582,Democratic Union of Hungarians in Romania,2016-12-21,"",8,Q28085130
Q28085159-b518fbe8-4238-a2b1-4ddb-8d96168a460e,Q28085159,Csaba-István Sebestyén,Q190702,Harghita County,Q266582,Democratic Union of Hungarians in Romania,2016-12-20,"",8,Q28085159
Q28085425-9ae9b573-4567-5716-285c-b34c17e87118,Q28085425,Ilie Toma,Q191071,Hunedoara County,Q752435,Social Democratic Party,2016-12-20,"",8,Q28085425
Q28085727-4ba51aa9-4e58-66e4-b5b1-7da56ac19f1d,Q28085727,Lucian-Ovidiu Heiuș,Q191071,Hunedoara County,Q686228,National Liberal Party,2016-12-20,"",8,Q28085727
Q28085754-7c22f0ba-4927-9463-368d-c9a42efe67a7,Q28085754,Marius-Gheorghe Surgent,Q191071,Hunedoara County,Q26934816,Alliance of Liberals and Democrats Party,2016-12-20,"",8,Q28085754
Q28085796-c021f491-4fd5-45e9-44cd-8bc465d07496,Q28085796,Ștefan Mușoiu,Q193044,Ialomița County,Q752435,Social Democratic Party,2016-12-20,"",8,Q28085796
Q28085800-1cda8a01-446c-5abb-3913-e881b2492349,Q28085800,Andrei Pop,Q193044,Ialomița County,Q752435,Social Democratic Party,2016-12-20,"",8,Q28085800
