name,image,term,area,party
Andrew Victor Lungay,http://www.parliament.gov.sl/dnn5/portals/0/Images/MPs/HON%20ANDREW%20VICTOR%20LUNGAY%20CONST%2012%20KENEMA%20DISTRICT%20ID%2012.JPG,2-4,"Kenema District, Eastern Region",SLPP
Dr. Bernadette Lahai,http://www.parliament.gov.sl/dnn5/portals/0/Images/MPs/HON%20DR%20BERNADETTE%20LAHAI%20MINORITY%20LEADER%20%20CONST%2013%20KENEMA%20DISTRICT%20ID%2013.JPG,2-4,"Kenema District, EASTERN",SLPP
Francis Amara Konuwa,http://www.parliament.gov.sl/dnn5/portals/0/Images/MPs/HON%20FRANCIS%20%20AMARA%20KONUMA%20CONST%2014%20KENEMA%20DISTRICT%20ID%2014.JPG,2-4,"Kenema District, EASTERN",SLPP
Leonard Fofana,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/Leonard%2520Fofana.JPG,2-4,"Kenema District, Eastern Region",APC
Samuel H. Brima,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520SAMUEL%2520.H.%2520BRIMA%2520%2520CONST%252016.JPG,2-4,"Kenema District, Eastern Region",SLPP
Habib B. Munda,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520HABIB%2520BAKARR%2520MUNDA.JPG,2-4,"Kenema District, Eastern Region",SLPP
Lansana I. kemokai,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520LANSANA%2520IBRIHIM%2520KEMOKAI.JPG,2-4,"Kenema District, Eastern Region",SLPP
Alusine Kanneh,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520ALUSINE%2520KANNEH%2520CONST%252019%2520KENEMA.JPG,2-4,"Kenema District, Eastern Region",SLPP
Dr. Aiah Dabundeh,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520DR%2520AIAH%2520DABUNDEH%2520CONST%252020%2520KONO.JPG,2-4,"Kono District, Eastern Region",APC
Tamba Entochema Ebba,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520TAMBA%2520ENTOCHEMA%2520EBBA%2520CONST%252021.JPG,2-4,"Kono District, Eastern Region",APC
Saah Sangbah,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520SAAH%2520SANGBAH%2520CONST%2520022%2520KONO%2520DISTRICT%2520EASTREN%2520REGION.JPG,2-4,"Kono District, Eastern Region",APC
Frederick S. Sourie,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520FREDERICK%2520SANDY%2520SOURIE%2520CONST%2520023%2520KONO%2520DISTRICT.JPG,2-4,"Kono District, Eastern Region",APC
Rosky Momokani Mbayo,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520ROSKY%2520MOMOKANI%2520MBAYO%2520CONST%252024%2520KONO.JPG,2-4,"Kono District, Eastern Region",APC
Augustine B. Torto,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520AUGUSTINE%2520BOCKARIE%2520TORTO%2520CONST%252025.JPG,2-4,"Kono District, Eastern Region",APC
Komba E. S. Boyah,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520KOMBA%2520.E.S.%2520BOYAH%2520CONST%252026%2520KONO%2520DISTRICT.JPG,2-4,"Kono District, Eastern Region",APC
Komba Eric Koedeyoma,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520ERIC%2520KOEDOYOMA%2520CONST%2520027%2520KONO.JPG,2-4,"Kono District, Eastern Region",SLPP
Mabinty Kadijah Sillah,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520MABINTY%2520KADIJAH%2520SILLAH%2520CONST%2520028.JPG,2-4,"Bombali District, Northern Region",APC
Sallieu Osman Sesay,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520SALLIEU%2520OSMAN%2520SESAY%2520CONST%2520029%2520BAMBALI.JPG,2-4,"Bombali District, Northern Region",APC
Dr. Thomas Mark Turay,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520DR%2520THOMAS%2520MARK%2520TURAY%2520CONST%2520030%2520BAMBALI.JPG,2-4,"Bombali District, Northern Region",APC
Ibrahim Matin Bangura,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520IBRAHIM%2520MATIN%2520BANGURA%2520CONST%2520031%2520BAMBALI.JPG,2-4,"Bombali District, Northern Region",APC
Dan Y. Sesay,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520DAN%2520Y.%2520SESAY%2520CONST%2520032%2520BAMBALI%2520DISTRICT.JPG,2-4,"Bombali District, Northern Region",APC
Sulaiman Muluku Sisay,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520SULIAMAN%2520MULUKU%2520SISAY%2520CONST%252033%2520BOMBALI%2520DISTRICT%2520ID%252033.JPG,2-4,"Bombali District, Northern Region",APC
Albert Deen Kamara,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520ALBERT%2520DEEN%2520KAMARA%2520CONST%2520034%2520BAMBALI.JPG,2-4,"Bombali District, Northern Region",APC
Thomus Borbor Turay,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520THOMAS%2520BORBOR%2520TURAY%2520CONST%2520035.JPG,2-4,"Bombali District, Northern Region",APC
Dr. Roland Foday Kargbo,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520DR%2520ROLAND%2520FODAY%2520KARGBO%2520CONST%2520036%2520BAMBALI%2520DISTRICt.JPG,2-4,"Bombali District, Northern Region",APC
Patricia Brown,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/Patricia%2520Brown.JPG,2-4,"Kambia District, Northern Region",APC
Alieu Badara K. Munu,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520ALIEU%2520BADDARA%2520.K.%2520MUNU%2520CONST%252038%2520KAMBIA%2520DISTRICT%2520ID%252038.JPG,2-4,"Kambia District, Northern region",APC
Patrick Lahai Kargbo,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520PATRICK%2520LAHAI%2520M.%2520KARGBO%2520CONST%2520039%2520KAMBIA.JPG,2-4,"Kambia District, Northern Region",APC
Dr. Foday I. Suma,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520DR%2520FODAY%2520I.%2520SUMA%2520CONST%2520040%2520KAMBIA%2520DISTRICT.JPG,2-4,"Kambia District, Northern Region",APC
Radder Henneh,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/Hon%2520Radder%2520Henneh%2520Con41.JPG,2-4,"Kambia District, Northern Region",APC
Mabinty H. Bangura,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520MABINTY%2520.H.%2520BANGURA%2520CONST%252042%2520KAMBIA%2520DISTRICT%2520ID%252042.JPG,2-4,"Kambia District, Northern Region",APC
Kusan Sesay,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520KUSAN%2520SESAY%2520CONST%252043%2520KOINADUGU%2520DISTRICT%2520ID%252043.JPG,2-4,"Koinadugu District, Northern Region",APC
Alusine Marrah,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520ALUSINE%2520MARAH%2520CONST%2520044%2520KOINADUGU.JPG,2-4,"Koinadugu District, Northern Region",APC
Lahai Marrah,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520LAHAI%2520MARAH%2520CONST%2520045%2520KAINADUGU.JPG,2-4,"Koinadugu District, Northern Region",APC
Daniel B. Koroma,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520DANIEL%2520BRIMA%2520KOROMA%2520CONST%2520046%2520KOINADUGU.JPG,2-4,"Koinadugu District, Northern Region",APC
Mohamed L. Mansaray,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520MOHAMED%2520LAMIN%2520MANSARAY%2520CONST%252047%2520KOINADUGU%2520DISTRICT%2520ID%252047.JPG,2-4,"Koinadugu District, Northern Region",APC
Alhassan Jero Kamara,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520ALHASSAN%2520%2520JERO%2520KAMARA%2520CONST%252048%2520KOINADUGU%2520DISTRICT%2520ID%252048.JPG,2-4,"Koinadugu District, Northern Region",APC
Alhaji Serray Dumbuya,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520ALHAJI%2520SERRAY%2520DUMBUYA%2520CONST%2520049%2520PORT%2520LOKO%2520DISTRICT.JPG,2-4,"Portloko District, Northern Region",APC
Isata Kabia,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520ISATA%2520KABIA%2520CONST%252050%2520PORT%2520LOKO%2520DISTRICT%2520ID%252050.JPG,2-4,"Portloko District, Northern Region",APC
Abi Kalokoh,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520ABI%2520KALOKOH%2520CONST%252051%2520P0RT%2520L0K0%2520DISTRICT%2520ID%252051.JPG,2-4,"Portloko District, Northern Region",APC
Ibrahim Rassin Bundu,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520IBRAHIM%2520RASSIN%2520BUNDU%2520MAJORITY%2520DEPUTY%2520LEADER%2520CONST%252052%2520PORT%2520LOKO%2520DISTRICT.JPG,2-4,"Portloko District, Northern",APC
Hassan B. Sheriff,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520SHERIFF%2520.B.%2520HASSAN%2520CONST%252053%2520PORT%2520LOKO%2520DISTRICT%2520ID%252053.JPG,2-4,"Portloko District, Northern Region",APC
Nicholas Kamara,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520NICHOLAS%2520ALIMAMY%2520KAMARA%2520CONST%2520054%2520PORT%2520LOKO%2520DISTRICT.JPG,2-4,"Portloko District, Northern Region",APC
Benneh Bangura,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520BENNEH%2520BANGURA%2520CONST%252055%2520PORT%2520LOKO%2520DISTRICT%2520ID%252055.JPG,2-4,"Portloko District, NORTHERN",APC
Kombor Kamara,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520KOMBOR%2520KAMARA%2520CONST%252056%2520POTR%2520LOKO%2520DISTRICT%2520ID%252056.JPG,2-4,"Portloko District, NORTHERN",APC
Abubakarr Koroma,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520ABU%2520BAKARR%2520KOROMA%2520CONST%2520057%2520PORT.JPG,2-4,"Portloko District, Northern Region",APC
Saidu Babah Kamara,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520SAIDU%2520BABAH%2520KAMARA%2520CONST%2520058%2520PORT.JPG,2-4,"PortlokoDistrict, Northern Region",APC
Hassan Abdul sesay,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520HASSAN%2520ABDUL%2520SESAY%2520CONST%2520059.JPG,2-4,"Tonkolili District, Northern Region",APC
Mohamed Kamara,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520MOHAMED%2520KAMARA%2520CONST%2520060%2520TONKOLILI.JPG,2-4,"Tonkolili District, Northern Region",APC
Songowa Bundu,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520SONGOWA%2520BUNDU%2520CONST%252061%2520TONKOLILI%2520DISTRICT%2520ID%252061.JPG,2-4,"Tonkolili District, Northern Region",APC
Aaron Aruna Koroma,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520AaronARUNA%2520KOROMA%2520%2520CONST%2520062%2520TONKOLILI%2520DISTRICT%2520NORTHERN%2520REGION%2520APC8.JPG,2-4,"Tonkolili District, Northern Region",APC
Abdulai Sesay,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520ABDULAI%2520DENIEL%2520SESAY%2520CONST%252063%2520TONKOLILI%2520DISTRICT%2520ID63.JPG,2-4,"Tonkolili District, Northern Region",APC
Bai J. Kaloko,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520BAI%2520J.%2520KALAKO%2520CONST%2520064%2520TONKOLILI%2520DISTRICT.JPG,2-4,"Tonkolili District, Northern Region",APC
Mabinty Fornah,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520MABINTY%2520FUNNA.JPG,2-4,"Tonkolili District, Northern Region",APC
Tara-Taworo Koroma,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520TAWARO.JPG,2-4,"Tonkolili District, Northern Region",APC
Sualiho M. Koroma,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520SUALIHO%2520MONYABA%2520KOROMA%2520CONST%2520067%2520BO%2520DISRICT.JPG,2-4,"Bo District, Southern Region",SLPP
Foday Rado Yokie,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520FODAY%2520RADO%2520YOKIE%2520CONST%2520068%2520BO%2520DISTRICT.JPG,2-4,"Bo District, Nouthern Region",SLPP
Umar Paran Tarawally,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520UMAR%2520PARAN%2520TARAWALLY%2520CONST%2520069%2520BO.JPG,2-4,"Bo District, Southern Region",SLPP
Mohamed K. Tholley,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520MOHAMED%2520K%2520THOLLEY%2520CONST%252070%2520BO%2520DISTRICT%2520ID%252070.JPG,2-4,"Bo District, Nouthern Region",SLPP
Frank Kposowa,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520FRANK%2520KPOSOWA%2520CONST%252071%2520BO%2520DISTRICT%2520ID%252071.JPG,2-4,"Bo District, Southern Region",SLPP
Bashiru Silikie,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520BASHIRU%2520SILIKIE%2520CONST%2520072%2520BO%2520DISTRICT.JPG,2-4,"Bo District, Southern",SLPP
Jusufu B. Mansaray,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520JUSUFU%2520BARRY%2520MANSARAY%2520DEPUTY%2520MINORITY%2520WHIP%2520CONST%252073%2520BO%2520DISTRICT%2520ID%252073.JPG,2-4,"Bo District, Southern region",SLPP
Moses A. Swarray,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520MOSES%2520ALLIEU%2520SWARAY%2520CONST%252074%2520BO%2520DISTRICT%2520ID%252074.JPG,2-4,"Bo District, Southern region",SLPP
Helen Kuyembeh,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520HELLEN%2520KUYEMBEH%2520CONST%2520075%2520BO.JPG,2-4,"Bo District, Southern Region",SLPP
Emma J. Kowa,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/EMMA%2520KOWA%2520CONST%252076.JPG,2-4,"Bo District, Southern Region",SLPP
Alfred Brima Katta,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/H0N%2520ALFRED%2520BRIMA%2520KATTA%2520CONST%252077%2520BO%2520DISTRICT%2520ID%252077.JPG,2-4,"Bo District, Southern Region",SLPP
Segepoh Solomon Thomas,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520SEGEPOH%2520SOLOMON%2520THOMAS%2520CONST%252078%2520BONTH%2520DISTRICT%2520ID%252078.JPG,2-4,"Bonthe District, Southern Region",SLPP
Brima Conteh,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520BRIMA%2520CONTEH.CONST%2520O79%2520BONTHE.JPG,2-4,"Bonthe District, Southern Region",SLPP
Moses Baimba Jorkie,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520MOSES%2520BAIMBA%2520JORKIE%2520CONST%252080%2520BONTH.JPG,2-4,"Bonthe District, Southern Region",SLPP
James N. D Alie,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520JAMES%2520N.%2520D.%2520ALLIE%2520CONST%252021%2520MOYAMBA%2520DISTRICT%2520ID%252021.JPG,2-4,"Moyamba District, Southern Region",SLPP
Gladys Gbappy Brima,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520GLADYS%2520GBEMOH%2520GBAPPY%2520BRIMA%2520CONST%2520082MOYAMBA%2520DISTRICT.JPG,2-4,"Moyamba District, Southern Region",SLPP
Edward S. Jengo,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520EDWARD%2520S.%2520JENGO%2520CONST%252083%2520MOYAMBA%2520DISTRICT.JPG,2-4,"Moyamba District, Southern Region",SLPP
Mima Yema M. Stephens,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520MIMA%2520YEMA%2520MIMI%2520%2520SOBBA%2520STEPHENS%2520%2520CONST%2520084.JPG,2-4,"Moyamba District, Southern Region",SLPP
Veronica Kadie Sesay,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520VERONICA%2520KADIE%2520SESAT%2520CONST%252085%2520MAYAMBA%2520DISTRICT%2520ID%252085.JPG,2-4,"Moyamba District, Southern Region",SLPP
Amadu Kanu,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520AMAU%2520MOHAMED%2520KANU%2520CONST%252086%2520MOYAMBA%2520DISTRICT%2520ID%252086.JPG,2-4,"Moyamba District, Southern Region",APC
Ansumana Jaia Kaikai,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520ANSUMANA%2520%2520JAIA%2520KAIKAI%2520DEPUTY%2520MINORITY%2520LEADER%2520%2520CONST%252087%2520PUJEHUN%2520DISTRICT%2520ID%252087.JPG,2-4,"Pujehun District, Southern Region",SLPP
Dauda D. Fawundu,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520DAUDA%2520D.%2520FAWUNDU%2520CONST%252088%2520PUJEHUN%2520DISTRICT%2520ID%252088.JPG,2-4,"Pujehun District, Southern Region",SLPP
Dickson M. Rogers,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520DICKSON%2520M.%2520ROGERS%2520CONST%2520089%2520PUJEHUN%2520DISTRICT.JPG,2-4,"Pujehun District, Southern Region",SLPP
Fawudu Senesie,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520SENESIE%2520FAWUDU%2520CONST%252090%2520PUJEHUN%2520DISTRICT%2520ID%252090.JPG,2-4,"Pujehun District, Southern Region",SLPP
Mohamed Sidie Tunis,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520SIDIE%2520MOHAMED%2520TUNIS%2520CONST%2520091%2520PUJEHUN.JPG,2-4,"Pujehun District, Southern Region",SLPP
Ibrahim Parteh Bah,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520IBRAHIM%2520PARTEH%2520BAH%2520CONTS%252092%2520WESTERN%2520AREA%2520RURAL%2520ID%252092.JPG,2-4,"Western Rural, Western Area",APC
Dauda J.B. Kallon,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520DAUDA%2520.J.B.%2520KALLON%2520CONST%252093%2520WESTERN%2520AREA%2520RURAL%2520ID%252093.JPG,2-4,"Western Rural, Western Area",APC
Kemokoh Conteh,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520KEMOKEH%2520CONTEH%2520CONST%252094%2520WESTERN%2520RURAL%2520ID%252094.JPG,2-4,"Western Rural, Western Area",APC
Claude D.M Kamanda,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520CLAUDE%2520D.M.%2520KAMANDA%2520MAJORITY%2520WHIP%2520%2520CONST%252095%2520WESTERN%2520AREA%2520RURAL%2520ID%252095.JPG,2-4,"Western Rural, Western Area",APC
Alhassan kamara,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520ALHASSAN%2520KAMARA%2520CONST.JPG,2-4,"Western Urban, Western Area",APC
Ibrahim Nox Sankoh,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520IBRAHIM%2520NOX%2520SANKOH%2520CONST%2520097%2520WESTERN%2520URBAN.JPG,2-4,"Western Urban, WESTERN AREA",APC
Karifala Sheku Conteh,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520KARIFALA%2520SHEKU%2520CONTEH%2520CONST%2520098%2520WESTERN%2520AREA.JPG,2-4,"Western Urban, Western Area",APC
Alimamy G. Kargbo,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520ALIMAMY%2520G.%2520KARGBO%2520CONST%2520099%2520WESTERN.JPG,2-4,"Western Urban, Western Area",APC
Mohamed J. Kamara,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON.%2520MOHAMED%2520J%2520KAMARA.JPG,2-4,"Western Urban, Western Area",APC
Abdul Salaam Kanu,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520ABDUL%2520SALAAM%2520KANU%2520CONST%2520101%2520WESTERN%2520URBAN.JPG,2-4,"Western Urban, Western Area",APC
Alie Kaloko,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520ALIE%2520KALOKOH%2520CONST%2520102%2520WESTERN%2520AREA%2520URBAN%2520ID%2520102.JPG,2-4,"Western Urban, Western Area",APC
Rosaline J. Smith,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/ROSALINE%2520J.%2520SMITH%2520CONST%2520103%2520APC.JPG,2-4,"Western Urban, Western Area",APC
Tunde Alpha B. Lewally,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/LEWALLY%2520B.%2520ALPHA%2520CONST%2520104%2520APC.JPG,2-4,"Western Urban, Western Area",APC
