id,name,province_en,province,area,party,website,source,blog,facebook,role,other-role
S-KH-002,محمدعلی عبدالله زاده,South Khorasan,خراسان جنوبی,فردوس/ طبس/‌ بشرويه/ سرايان,جبهه متحد - اصلاح طلب ,http://www.dr-abdolahzade.ir,,,,عضو کمیسیون برنامه و بودجه و محاسبات,عضو کمیسیون تحقیق
S-KH-003,مراد هاشم زهی,South Khorasan,خراسان جنوبی,نهبندان و سربيشه,مستقل,http://m-hashemzehi.ir,,,,نایب رئیس اول کمیسیون بهداشت و درمان,
S-KH-004,جواد هروی,South Khorasan,خراسان جنوبی,قائنات,مستقل,http://heravijavad.ir,,,,عضو کمیسیون آموزش و تحقیقات,
SEM-001,کاظم جلالی,Semnan,سمنان,شاهرود,جبهه متحد – جبهه ایستادگی,http://www.kazemjalali.com,,,,عضو کمیسیون امنیت ملی و سیاست خارجی,
SEM-002,علی رضا خسروی,Semnan,سمنان,سمنان/ مهديشهر ,جبهه متحد - جبهه پایداری ,http://www.khosravee.ir,,,,عضو کمیسیون عمران,
SEM-003,عبدالرحمن رستمیان,Semnan,سمنان,دامغان,مستقل,http://www.drrostamian.ir,,,,نایب رئیس دوم کمیسیون بهداشت و درمان,
SEM-004,غلام رضا کاتب,Semnan,سمنان,گرمسار ، آرادان,جبهه ایستادگی,http://katebgh.ir,,,,نایب رئیس اول کمیسیون تدوین آیین‌نامه داخلی مجلس,سخنگو کمیسیون برنامه و بودجه و محاسبات
SIS-001, محمد سعید اربابی,Sistan and Baluchestan,سیستان و بلوچستان, ایرانشهرو سربازو فنوج,مستقل,http://ms-arbabei.ir,,,,دبیر دوم کمیسیون اقتصادی,
SIS-002,حمید رضا پشنگ,Sistan and Baluchestan,سیستان و بلوچستان,ﺧﺎش و بخش های ﻧﺼﺮت آﺑﺎد و ﻣﻴﺮﺟﺎوه و ﻛﻮرﻳﻦ,جبهه ایستادگی – اصلاح طلب,http://pashangrigi.ir,,,,دبیر دوم کمیسیون عمران,
SIS-003,یعقوب جدگال,Sistan and Baluchestan,سیستان و بلوچستان,چابهار و کنارک و نیک‌شهر,مستقل,http://www.y-jadgal.ir,,,,عضو کمیسیون شوراها و امور داخلی کشور,
SIS-004,سيدباقرحسيني,Sistan and Baluchestan,سیستان و بلوچستان, زابل و زهک و ﻣﻴﺎﻧﻜﻨﮕﻲ,مستقل,http://drhoseiny.ir,,,,دبیر دوم کمیسیون امنیت ملی و سیاست خارجی,
SIS-005,حسینعلی شهریاری,Sistan and Baluchestan,سیستان و بلوچستان,زاهدان,جبهه متحد  ,,,,,رئیس کمیسیون بهداشت و درمان,
SIS-006,حلیمه عالی,Sistan and Baluchestan,سیستان و بلوچستان,زابل و زهك و ﻣﻴﺎﻧﻜﻨﮕﻲ,مستقل,,,,,عضو کمیسیون بهداشت و درمان,
SIS-007,هدایت اله میرمرادزهی,Sistan and Baluchestan,سیستان و بلوچستان,سراوان، سيب، سوران و زابلی,جبهه متحد – جبهه ایستادگی,http://mirmoradzahi.iran.sc,,,,دبیر اول کمیسیون کشاورزی، آب و منابع طبیعی,
SIS-008, ناصر کاشانی,Sistan and Baluchestan,سیستان و بلوچستان,زاهدان,مستقل,,,,,عضو کمیسیون اجتماعی,
TEH-001,مرتضی آقا تهرانی,Tehran,تهران,اسلامشهر / تهران / ری / شمیرانات,جبهه پایداری,http://aghatehrani.ir,,,,نایب رئیس اول کمیسیون فرهنگی,
TEH-002,فاطمه آلیا,Tehran,تهران,اسلامشهر / تهران / ری / شمیرانات,جبهه متحد – جبهه پایداری  ,http://fatemehalia.blogfa.com,,,,عضو کمیسیون اجتماعی,
TEH-003,سید محمدحسن ابوترابی‌فرد,Tehran,تهران,اسلامشهر / تهران / ری / شمیرانات,جبهه متحد- جبهه ایستادگی ,http://www.aboutorabi.ir,,,,عضو کمیسیون تدوین آیین‌نامه داخلی مجلس,عضو کمیسیون شوراها و امور داخلی کشور
TEH-004,لاله افتخاری,Tehran,تهران,اسلامشهر / تهران / ری / شمیرانات,جبهه متحد – جبهه ایستادگی,,,,,دبیر دوم کمیسیون فرهنگی,
TEH-005,محمدرضا باهنر,Tehran,تهران,اسلامشهر / تهران / ری / شمیرانات,جبهه متحد- جبهه ایستادگی ,http://bahonar.org,,,,عضو کمیسیون تدوین آیین‌نامه داخلی مجلس,دبیر اول کمیسیون اصل نودم قانون اساسی مجلس
TEH-006,مهرداد بذرپاش,Tehran,تهران,اسلامشهر / تهران / ری / شمیرانات,جبهه متحد- جبهه ایستادگی ,http://www.bazrpash.ir,,,,عضو کمیسیون صنایع و معادن,
TEH-007,فرهاد بشیری,Tehran,تهران,پاکدشت,جبهه متحد – جبهه پایداری  ,http://www.bashiry.com,,,,عضو کمیسیون آموزش و تحقیقات,
TEH-008,احمد توکلی,Tehran,تهران,اسلامشهر / تهران / ری / شمیرانات,جبهه متحد,,,,,عضو کمیسیون برنامه و بودجه و محاسبات,
TEH-009,غلامعلی حداد عادل,Tehran,تهران,اسلامشهر / تهران / ری / شمیرانات,جبهه متحد – جبهه پایداری  ,http://haddadadel.ir,,,,عضو کمیسیون آموزش و تحقیقات,
TEH-010, روح الله حسینیان,Tehran,تهران,اسلامشهر / تهران / ری / شمیرانات,جبهه متحد – جبهه پایداری  ,,,,,,
TEH-011,مجتبی رحماندوست,Tehran,تهران,اسلامشهر / تهران / ری / شمیرانات,جبهه متحد,http://rahmandoost.ir,,,,عضو کمیسیون اجتماعی,
TEH-012,حمید رسایی,Tehran,تهران,اسلامشهر / تهران / ری / شمیرانات,جبهه متحد – جبهه پایداری  ,http://rasaee.ir,,,,عضو کمیسیون اصل نودم قانون اساسی مجلس,
TEH-013,فاطمه رهبر,Tehran,تهران,اسلامشهر / تهران / ری / شمیرانات,جبهه متحد – جبهه ایستادگی,,,,,نایب رئیس دوم کمیسیون اصل نودم قانون اساسی مجلس,
TEH-014,علی اصغر زارعی,Tehran,تهران,اسلامشهر / تهران / ری / شمیرانات,جبهه متحد – جبهه پایداری  ,,,,,نایب رئیس دوم کمیسیون آموزش و تحقیقات,
TEH-015,علی رضا زاکانی,Tehran,تهران,اسلامشهر / تهران / ری / شمیرانات,جبهه متحد,,,,,عضو کمیسیون شوراها و امور داخلی کشور,
TEH-016,محمد سلیمانی,Tehran,تهران,اسلامشهر / تهران / ری / شمیرانات,جبهه متحد – جبهه پایداری – جبهه ایستادگی,http://www.drsoleimani.ir,,,,عضو کمیسیون صنایع و معادن,
TEH-017, زهره طبیب‌زاده ‌نوری,Tehran,تهران,اسلامشهر / تهران / ری / شمیرانات,جبهه متحد – جبهه پایداری  ,,,,,عضو کمیسیون آموزش و تحقیقات,
TEH-018,حسین طلا,Tehran,تهران,اسلامشهر / تهران / ری / شمیرانات,جبهه متحد – جبهه پایداری  ,http://www.drtala.com,,,,عضو کمیسیون اجتماعی,
TEH-019,حسین گروسی,Tehran,تهران,شهر قدس / شهریار / ملارد,مستقل,http://garoosi.ir,,,,عضو کمیسیون صنایع و معادن,
TEH-020, علی رضا محجوب,Tehran,تهران,اسلامشهر / تهران / ری / شمیرانات,جبهه متحد – صدای ملت – اصلاح طلب    ,http://alirezamahjoub.ir,,,,عضو کمیسیون اجتماعی,
TEH-021,سید علی رضا مرندی,Tehran,تهران,اسلامشهر / تهران / ری / شمیرانات,جبهه متحد – جبهه پایداری  ,http://www.dr-marandi.ir,,,,عضو کمیسیون بهداشت و درمان,
TEH-022,غلامرضا مصباحی مقدم,Tehran,تهران,اسلامشهر / تهران / ری / شمیرانات,جبهه متحد- جبهه ایستادگی ,,,,,رئیس کمیسیون برنامه و بودجه و محاسبات,
TEH-023,علی مطهری,Tehran,تهران,اسلامشهر / تهران / ری / شمیرانات,جبهه متحد – جبهه ایستادگی- صدای ملت – اصلاح طلب,http://alimotahari.ir,,,,عضو کمیسیون فرهنگی,
TEH-024,حسین مظفر,Tehran,تهران,اسلامشهر / تهران / ری / شمیرانات,جبهه متحد- جبهه ایستادگی ,,,,,عضو کمیسیون اجتماعی,
TEH-025,سید مسعود میرکاظمی,Tehran,تهران,اسلامشهر / تهران / ری / شمیرانات,جبهه متحد – جبهه پایداری  ,,,,,رئیس کمیسیون انرژی,
TEH-026,الیاس نادران,Tehran,تهران,اسلامشهر / تهران / ری / شمیرانات,جبهه متحد- جبهه ایستادگی ,,,,,نایب رئیس دوم کمیسیون برنامه و بودجه و محاسبات,
TEH-027,سید محمود نبویان,Tehran,تهران,اسلامشهر / تهران / ری / شمیرانات,جبهه متحد – جبهه پایداری  ,http://nabaviyan.com,,,,عضو کمیسیون آموزش و تحقیقات,عضو کمیسیون تحقیق
TEH-028,حسین نجابت,Tehran,تهران,اسلامشهر / تهران / ری / شمیرانات,جبهه متحد,,,,,عضو کمیسیون انرژی,
TEH-029,سید حسین نقوی حسینی,Tehran,تهران,ورامین/ قرچک/ پیشوا,مستقل,http://drnaghavi.ir,,,,سخنگو کمیسیون امنیت ملی و سیاست خارجی,
TEH-030,بیژن نوباوه وطن,Tehran,تهران,اسلامشهر / تهران / ری / شمیرانات,جبهه متحد – جبهه پایداری  ,,,,,نایب رئیس دوم کمیسیون فرهنگی,
TEH-031,ابراهیم نکو,Tehran,تهران,رباط‌كريم/ بهارستان,مستقل,http://www.nekou.ir,,,,دبیر اول کمیسیون اقتصادی,
TEH-032,سید مهدی هاشمی,Tehran,تهران,اسلامشهر / تهران / ری / شمیرانات,جبهه متحد – جبهه پایداری  ,,,,,رئیس کمیسیون عمران,
TEH-033,اسماعیل کوثری,Tehran,تهران,اسلامشهر / تهران / ری / شمیرانات,جبهه متحد – جبهه پایداری – جبهه ایستادگی,http://kothari.ir,,,,عضو کمیسیون امنیت ملی و سیاست خارجی,
TEH-034,مهدی کوچک زاده,Tehran,تهران,اسلامشهر / تهران / ری / شمیرانات,جبهه متحد – جبهه پایداری  ,,,,,عضو کمیسیون آموزش و تحقیقات,عضو کمیسیون اصل نودم قانون اساسی مجلس
TEH-035,حمیدرضا مشهدی عباسی,Tehran,تهران,دماوند، فیروزکوه,N/A,http://m-abbasi.com,,,,عضو کمیسیون اجتماعی,
TEH-036,یوناتن بت‌کلیا,,تهران,مسیحیان آشوری / کلدانی,مستقل,,,,,عضو کمیسیون عمران,
TEH-037,کارن خانلری,,تهران,مسیحیان ارامنه شمال کشور,مستقل,,,,,عضو کمیسیون آموزش و تحقیقات,
TEH-038, اسفندیار اختیاری کسنویه,,تهران,زرتشتیان,مستقل,http://www.eekhtiyari.ir,,,,عضو کمیسیون آموزش و تحقیقات,
TEH-039,سیامک مره صدق,,تهران,کلیمیان,مستقل,,,,,عضو کمیسیون بهداشت و درمان,
W-AZ-001,علی اکبر آقایی مغانجویی,West Azerbaijan,آذربایجان غربی,سلماس,جبهه متحد,http://aghai.ir/,,,,نایب رئیس اول کمیسیون عمران,
W-AZ-002,عثمان احمدی,West Azerbaijan,آذربایجان غربی,مهاباد,مستقل,http://o-ahmadi.ir/FA/Default.aspx,,,,عضو کمیسیون اقتصادی,
