id,type,start_date,name__fr,name__en,name__zh,name__zh_hant,name__ja,name__pl,identifier__freebase,replaces,name__ru,name__bn,name__ms,name__vi,end_date,replaced_by,name__zh_cn,name__ar,name__de,name__it,name__nl,name__sc,name__ca,name__zh_hans,name__en_ca,name__en_gb,website,name__zh_hk,name__zh_sg,name__sv,name__zh_tw,name__id,name__gd,identifier__geonames
Q1074059,division of the Australian House of Representatives,1937,circonscription de Deakin,Deakin,迪金,迪金,,Okręg wyborczy Deakin,/m/047yls,,,,,,,,,,Deakin,,,,,迪金,,,,迪金,迪金,,,,,
Q1074066,division of the Australian House of Representatives,1984,circonscription de Lindsay,Lindsay,林賽,林賽,,Okręg wyborczy Lindsay,/m/06rpp1,,,,,,,,,,Lindsay,,,,,林赛,,,,林賽,林赛,,,,,
Q1074082,division of the Australian House of Representatives,1949,circonscription de McMillan,McMillan,麥美倫,麥美倫,,Okręg wyborczy McMillan,/m/06q_r8,,,,,,2019,Monash,,,McMillan,,,,,麦美伦,,,,麥美倫,麦美伦,,,,,
Q1074088,division of the Australian House of Representatives,1984-12-01,circonscription de Mayo,Mayo,梅約,梅約,メイヨー選挙区,Okręg wyborczy Mayo,/m/0528bp,,,,,,,,,,Mayo,,,,,梅约,,,,梅約,梅约,,,,,
Q1074102,division of the Australian House of Representatives,1984,circonscription d'Aston,Aston,阿斯頓,阿斯頓,,Okręg wyborczy Aston,/m/0455m5,,,,,,,,,,Aston,,,,,阿斯顿,,,,阿斯頓,阿斯顿,Division of Aston,,,,
Q1074115,division of the Australian House of Representatives,1969,circonscription de Berowra,Berowra,貝羅拉,貝羅拉,,Okręg wyborczy Berowra,/m/04409w,,,,,,,,,,,divisione di Berowra,Berowra,divisione de Berowra,,贝罗拉,,,,貝羅拉,贝罗拉,,,,,
Q1074124,division of the Australian House of Representatives,1901,circonscription de Hunter,Hunter,亨特,亨特,ハンター選挙区,Okręg wyborczy Hunter,/m/06n6s8,,,,,,,,,,Hunter,divisione di Hunter,Hunter,divisione de Hunter,,亨特,,,,亨特,亨特,,,,,
Q1074129,division of the Australian House of Representatives,1934,circonscription de Griffith,Griffith,格里菲斯,格里菲斯,グリフィス選挙区,Okręg wyborczy Griffith,/m/04g0vn,Oxley,,,,,,,,غريفيث,,divisione di Griffith,Griffith,divisione de Griffith,Griffith,格里菲斯,,,,格里菲斯,格里菲斯,,,,,
Q1074143,division of the Australian House of Representatives,1949,circonscription de Blaxland,Blaxland,巴拉斯蘭,巴拉斯蘭,ブラックランド,Okręg wyborczy Blaxland,/m/0440b6,,,,,,,,,,,divisione di Blaxland,Blaxland,divisione de Blaxland,,巴拉斯兰,,,,巴拉斯蘭,巴拉斯兰,,,,,
Q1074151,division of the Australian House of Representatives,1922,circonscription de Barton,Barton,巴頓,巴頓,,Okręg wyborczy Barton,/m/04408f,,,,,,,,,,,divisione di Barton,Barton,divisione de Barton,,巴顿,,,,巴頓,巴顿,,,,,
Q1074167,division of the Australian House of Representatives,1984,circonscription de McEwen,McEwen,麥克尤恩,麥克尤恩,,Okręg wyborczy McEwen,/m/06q_1y,,,,,,,,,,McEwen,,,,,麦克尤恩,,,,麥克尤恩,麦克尤恩,,,,,
Q1074189,division of the Australian House of Representatives,1949,circonscription de Bradfield,Bradfield,布拉德菲爾德,布拉德菲爾德,,Okręg wyborczy Bradfield,/m/0440bk,,,,,,,,,,,divisione di Bradfield,Bradfield,divisione de Bradfield,,布拉德菲尔德,,,,布拉德菲爾德,布拉德菲尔德,,,,,
Q1074192,division of the Australian House of Representatives,1984,circonscription de Charlton,Charlton,查爾頓,查爾頓,,Okręg wyborczy Charlton,/m/0440cl,,,,,,2016,,,,,divisione di Charlton,Charlton,divisione de Charlton,,查尔顿,,,,查爾頓,查尔顿,,,,,
Q1074235,division of the Australian House of Representatives,1901,circonscription de Cowper,Cowper,庫珀,庫珀,,Okręg wyborczy Cowper,/m/044167,,,,,,,,,,Cowper,divisione di Cowper,Cowper,divisione de Cowper,,库珀,,,,庫珀,库珀,,,,,
Q1074900,division of the Australian House of Representatives,1949,circonscription d'Oxley,Oxley,奧克斯利,奧克斯利,オックスレイ選挙区,Okręg wyborczy Oxley,/m/05t6n0,,,,,,,,,,,,,,,奥克斯利,,,,奧克斯利,奥克斯利,,,,,
Q1075639,division of the Australian House of Representatives,1968,circonscription de Sydney,Sydney,悉尼,悉尼,シドニー,Okręg wyborczy Sydney,/m/06s498,,,,,,,,,,,,,,,悉尼,,,,悉尼,悉尼,,雪梨,Division of Sydney,,
Q1079471,division of the Australian House of Representatives,1949,circonscription de Dawson,Dawson,道森,道森,,Okręg wyborczy Dawson,/m/04fztf,,,,,,,,,,Dawson,,,,,道森,,,,道森,道森,,,,,
Q1079489,division of the Australian House of Representatives,1949,circonscription de Grayndler,Grayndler,格賴恩德勒,格賴恩德勒,,Okręg wyborczy Grayndler,/m/045x7v,,,,,,,,,,Grayndler,,,,,格赖恩德勒,,,,格賴恩德勒,格赖恩德勒,,,,,
Q1079523,division of the Australian House of Representatives,1984,circonscription de Dunkley,Dunkley,鄧克利,鄧克利,,Okręg wyborczy Dunkley,/m/047ypr,,,,,,,,,,Dunkley,,,,,邓克利,,,,鄧克利,邓克利,,,,,
Q15730216,division of the Australian House of Representatives,1922,,Martin,,,,,,,,,,,1955,,,,,,,,,,,,,,,,,,,
Q1635847,division of the Australian House of Representatives,1901,circonscription de Melbourne,Melbourne,墨爾本,墨爾本,,Okręg wyborczy Melbourne,/m/04wfmg,,Мельбурн,,,Đơn vị bầu cử Melbourne,,,,,Melbourne,,,,,墨尔本,,,,墨爾本,墨尔本,,,,,
Q178752,division of the Australian House of Representatives,1984,circonscription de Menzies,Menzies,孟席斯,孟席斯,,Okręg wyborczy Menzies,/m/06qd0w,Diamond Valley,,,,,,,,,Menzies,,,,,,,,,,,,,,,
Q182615,division of the Australian House of Representatives,1949,circonscription de Cunningham,Cunningham,坎寧安,坎寧安,カニンガム地区,Okręg wyborczy Cunningham,/m/044185,,,,,,,,,كونينغهام,Cunningham,divisione di Cunningham,Cunningham,divisione de Cunningham,,,,,,,,,,,,
Q1878928,division of the Australian House of Representatives,1984,circonscription de Lyons,Lyons,萊恩斯,萊恩斯,,Okręg wyborczy Lyons,/m/065m67,Wilmot,,,,,,,,,Lyons (Wahlkreis),,,,,,,,,,,,,,,
Q23019675,division of the Australian House of Representatives,2016,,Burt,伯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q23055249,division of the Australian House of Representatives,2016,Whitlam,Whitlam,,,,Okręg wyborczy Whitlam,,Throsby,,,,,,,,,,,,,,,,,,,,,,,,
Q23646678,division of the Australian House of Representatives,2016-01-28,,Fenner,,,,,,Fraser,,,,,,,,,,,,,,,,,,,,,,,,
Q2411395,division of the Australian House of Representatives,1984,circonscription de Throsby,Throsby,索羅斯比,,,,,,,,,,2016,Whitlam,,,Throsby,,,,,,,,,,,,,,,
Q2423795,division of the Australian House of Representatives,1949,circonscription de Port Adélaïde,Port Adelaide,阿德萊德港,阿德萊德港,,Okręg wyborczy Port Adelaide,,,,,,,2019,,,,,,,,,,,,,,,,,,,
Q2425863,division of the Australian House of Representatives,1949,circonscription de Banks,Banks,班克斯,班克斯,,Okręg wyborczy Banks,/m/044082,,Бэнкс,,,,,,,,,divisione di Banks,Banks,divisione de Banks,,班克斯,,,,班克斯,班克斯,,,,,
Q2887271,division of the Australian House of Representatives,1903,circonscription de Bass,Bass,巴斯,巴斯,,Okręg wyborczy Bass,,Tasmania,,,,,,,,,,,,,,,,,,,,,,,,
Q2973361,division of the Australian House of Representatives,1903,circonscription d'Adélaïde,Adelaide,阿德萊德 (澳大利亞國會選區),阿德萊德,,Okręg wyborczy Adelaide,/m/0468pl,South Australia,,,,,,,,,Adelaide,,,,,,,,,,,,,,Adelaide,
Q2973414,division of the Australian House of Representatives,1903,circonscription d'Hindmarsh,Hindmarsh,欣德馬什 (澳大利亞國會選區),欣德馬什,,Okręg wyborczy Hindmarsh,/m/049xhk,South Australia,,,,,,,,,Hindmarsh,,,,,,,,,,,,,,,
Q2973417,division of the Australian House of Representatives,1901,circonscription d'Indi,Indi,因代 (澳大利亞國會選區),英迪選區,,Okręg wyborczy Indi,,,,,,,,,英迪选区议员,,,,,,,,,,,,,,,,,
Q2973418,division of the Australian House of Representatives,1969,circonscription d'Isaacs,Isaacs,伊薩克斯 (澳大利亞國會選區),伊薩克斯,,Okręg wyborczy Isaacs,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2973434,division of the Australian House of Representatives,1901,circonscription de Ballarat,Ballarat,巴拉臘特,巴拉臘特,,Okręg wyborczy Ballarat,,,,,,,,,,,Ballarat,,,,,,,,,,,,,,,
Q2973436,division of the Australian House of Representatives,1903-12-16,circonscription de Barker,Barker,巴克 (澳大利亞國會選區),巴克,ディヴィジョン・オブ・バーカー,,,South Australia,,,,,,,,,,,,,,,,,,,,,,,,
Q2973440,division of the Australian House of Representatives,1906,circonscription de Batman,Batman,巴特曼,巴特曼,,Batman,/m/0455tz,Northern Melbourne,,,,,2019,Cooper,,,,,,,,巴特曼,Batman,Batman,,,,,,,,2176624
Q2973455,division of the Australian House of Representatives,1901,circonscription de Bendigo,Bendigo,班迪哥 (澳大利亞國會選區),班迪哥,,Okręg wyborczy Bendigo,/m/0455zc,,,,,,,,,,,,,,,,,,,,,,,,,
Q2973464,division of the Australian House of Representatives,1998,circonscription de Blair,Blair,布萊爾 (澳大利亞國會選區),布萊爾,,Okręg wyborczy Blair,/m/049_29,,,,,,,,,,,,,,,,,,,,,,,,,
Q2973466,division of the Australian House of Representatives,2004,circonscription de Bonner,Bonner,邦納 (澳大利亞國會選區),,,Okręg wyborczy Bonner,/m/05ff5_,,,,,,,,,,,,,,,,,,,,,,,,,
Q2973469,division of the Australian House of Representatives,1903,circonscription de Boothby,Boothby,布斯比 (澳大利亞國會選區),布斯比,,,/m/049xbs,South Australia,,,,,,,,,Wahlbezirk Boothby,,,,,,,,,,,,,,,
Q2973472,division of the Australian House of Representatives,1949,circonscription de Bowman,Bowman,鮑曼 (澳大利亞國會選區),,,Okręg wyborczy Bowman,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2973477,division of the Australian House of Representatives,1955,circonscription de Bruce,Bruce,布魯斯 (澳大利亞國會選區),布魯斯,,Okręg wyborczy Bruce,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2973482,division of the Australian House of Representatives,1974,circonscription de Canberra,Canberra,坎培拉,坎培拉,,Okręg wyborczy Canberra,,,,,,,,,堪培拉选区,,,,,,,,,,,,,,,,,
Q2973484,division of the Australian House of Representatives,1984,circonscription de Calwell,Calwell,卡魏爾 (澳大利亞國會選區),卡魏爾,,Okręg wyborczy Calwell,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2973485,division of the Australian House of Representatives,1949,circonscription de Canning,Canning,坎寧 (澳大利亞國會選區),坎寧,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2973486,division of the Australian House of Representatives,1901,circonscription de Capricornia,Capricornia,南回歸線 (澳大利亞國會選區),,,Okręg wyborczy Capricornia,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2973490,division of the Australian House of Representatives,1969,circonscription de Casey,Casey,凱西 (澳大利亞國會選區),,,Okręg wyborczy Casey,,,,,,,,,,,Division of Casey,,,,,,,,,,,,,,,
Q2973504,division of the Australian House of Representatives,1901,circonscription de Corio,Corio,科里奧 (澳大利亞國會選區),科里奧,,Okręg wyborczy Corio,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2973505,division of the Australian House of Representatives,1901,circonscription de Corangamite,Corangamite,科藍加 (澳大利亞國會選區),科藍加,,Okręg wyborczy Corangamite,,,,,,,,,,,Corangamite,,,,,,,,,,,,,,,
Q2973507,division of the Australian House of Representatives,1984,circonscription de Cowan,Cowan,科文 (澳大利亞國會選區),科文,,Okręg wyborczy Cowan,,,,,,,,,,,Cowan,,,,,,,,,,,,,,,
Q2973513,division of the Australian House of Representatives,1949,circonscription de Curtin,Curtin,科廷 (澳大利亞國會選區),科廷,カーテン選挙区,Okręg wyborczy Curtin,/m/05j0j2,,,,,,,,,,Curtin (Wahlkreis),,,,,,,,,,,,,,,
Q2973551,division of the Australian House of Representatives,1992,circonscription de Dickson,Dickson,迪克森 (澳大利亞國會選區),,,Okręg wyborczy Dickson,,,,,,,,,,,Dickson,,,,,,,,,,,,,,,
Q2973561,division of the Australian House of Representatives,2008,circonscription de Durack,Durack,杜拉克 (澳大利亞國會選區),杜拉克,,Okręg wyborczy Durack,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2973562,division of the Australian House of Representatives,1977,circonscription de Fadden,Fadden,法登 (澳大利亞國會選區),法登,,Okręg wyborczy Fadden,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2973565,division of the Australian House of Representatives,1984,circonscription de Fairfax,Fairfax,費爾法克斯 (澳大利亞國會選區),,,Okręg wyborczy Fairfax,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2973569,division of the Australian House of Representatives,1949,circonscription de Fisher,Fisher,費希爾 (澳大利亞國會選區),,,Okręg wyborczy Fisher,/m/04f_qx,,,,,,,,,,,,,,,,,,,,,,,,,
Q2973570,division of the Australian House of Representatives,1901,circonscription de Flinders,Flinders,弗林德斯 (澳大利亞國會選區),弗林德斯,,Okręg wyborczy Flinders,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2973571,division of the Australian House of Representatives,2006,circonscription de Flynn,Flynn,弗林 (澳大利亞國會選區),,,Okręg wyborczy Flynn,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2973572,division of the Australian House of Representatives,1984,circonscription de Forde,Forde,福德 (澳大利亞國會選區),,,Okręg wyborczy Forde,,,,,Bahagian Forde,,,,,,,,,,,,,,,,,,,,,
Q2973574,division of the Australian House of Representatives,1922,circonscription de Forrest,Forrest,福雷斯特 (澳大利亞國會選區),福雷斯特,,Okręg wyborczy Forrest,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2973575,division of the Australian House of Representatives,1984,circonscription de Fowler,Fowler,福勒 (澳大利亞國會選區),福勒,,Okręg wyborczy Fowler,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2973578,division of the Australian House of Representatives,1903,circonscription de Franklin,Franklin,富蘭克林,富蘭克林,フランクリン地区,Okręg wyborczy Franklin,,Tasmania,,,,,,,,,,,,,,,,,,,,,,,,
Q2973584,division of the Australian House of Representatives,1974,circonscription de Fraser,Fraser,弗雷澤 (澳大利亞國會選區),弗雷澤,,Okręg wyborczy Fraser,/m/043z5z,Australian Capital Territory,,,,,2016,Fenner,,,,,,,,,,,,,,,,,,
Q2973587,division of the Australian House of Representatives,1901,circonscription de Fremantle,Fremantle,費利曼圖 (澳大利亞國會選區),費利曼圖,,Okręg wyborczy Fremantle,/m/05l0jw,,,,,,,,,,Fremantle,,,,,,,,,,,,,,,
Q2973604,division of the Australian House of Representatives,1949,circonscription de Gellibrand,Gellibrand,吉利布蘭 (澳大利亞國會選區),吉利布蘭,,Okręg wyborczy Gellibrand,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2973616,division of the Australian House of Representatives,1984,circonscription de Gilmore,Gilmore,吉爾摩 (澳大利亞國會選區),吉爾摩,,Okręg wyborczy Gilmore,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2973620,division of the Australian House of Representatives,1901,circonscription de Gippsland,Gippsland,吉普斯蘭 (澳大利亞國會選區),吉普斯蘭,,Okręg wyborczy Gippsland,/m/05l0sz,,,,,,,,,,,,,,,,,,,,,,,,,
Q2973625,division of the Australian House of Representatives,1984,circonscription de Goldstein,Goldstein,戈爾茨坦 (澳大利亞國會選區),,,Okręg wyborczy Goldstein,/m/05l0wq,Balaclava,,,,,,,,,,,,,,,,,,,,,,,,
Q2973629,division of the Australian House of Representatives,2004,circonscription de Gorton,Gorton,戈頓 (澳大利亞國會選區),,,Okręg wyborczy Gorton,/m/05w90r,,,,,,,,,,,,,,,,,,,,,,,,,
Q2973632,division of the Australian House of Representatives,1984,circonscription de Greenway,Greenway,格林威 (澳大利亞國會選區),格林威,,Okręg wyborczy Greenway,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2973634,division of the Australian House of Representatives,1903-12-16,circonscription de Grey,Grey,格雷 (澳大利亞國會選區),格雷,グレイ選挙区,Okręg wyborczy Grey,,South Australia,,,,,,,,,,,,,,,,,https://www.aec.gov.au/profiles/sa/grey.htm,,,,,,,
Q2973635,division of the Australian House of Representatives,1984,circonscription de Groom,Groom,格魯姆 (澳大利亞國會選區),,,Okręg wyborczy Groom,,Darling Downs,,,,,,,,,,,,,,,,,,,,,,,,
Q2973646,division of the Australian House of Representatives,2001,circonscription de Hasluck,Hasluck,哈斯勒克 (澳大利亞國會選區),哈斯勒克,,Okręg wyborczy Hasluck,/m/05qfhz,,,,,,,,,,,,,,,,,,,,,,,,,
Q2973647,division of the Australian House of Representatives,1901,circonscription de Herbert,Herbert,赫伯特 (澳大利亞國會選區),,,Okręg wyborczy Herbert,/m/04g0ys,,,,,,,,,,,,,,,,,,,,,,,,,
Q2973648,division of the Australian House of Representatives,1949,circonscription de Higgins,Higgins,希金斯 (澳大利亞國會選區),,,Okręg wyborczy Higgins,,,,,,,,,,هيغينز,,,,,,,,,,,,,,,,
Q2973649,division of the Australian House of Representatives,1984,circonscription de Hinkler,Hinkler,欣克勒 (澳大利亞國會選區),,,Okręg wyborczy Hinkler,,,,,,,,,,هينكلر,,,,,,,,,,,,,,,,
Q2973650,division of the Australian House of Representatives,1969,circonscription de Holt,Holt,霍爾特 (澳大利亞國會選區),,,Okręg wyborczy Holt,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2973653,division of the Australian House of Representatives,1969,circonscription de Hotham,Hotham,霍瑟姆 (澳大利亞國會選區),,,Okręg wyborczy Hotham,/m/03w55s,Higinbotham,,,,,,,,,,,,,,,,,,,,,,,,
Q2973656,division of the Australian House of Representatives,1955,circonscription de Hughes,Hughes,休斯 (澳大利亞國會選區),休斯,,Okręg wyborczy Hughes,/m/05w9tp,,,,,,,,,,,,,,,,,,,,,,,,,
Q2973659,division of the Australian House of Representatives,1901,circonscription de Hume,Hume,休謨 (澳大利亞國會選區),休謨,ヒューム選挙区,Okręg wyborczy Hume,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2973662,division of the Australian House of Representatives,1984,circonscription de Jagajaga,Jagajaga,傑格傑格 (澳大利亞國會選區),,,Okręg wyborczy Jagajaga,,Diamond Valley,,,,,,,,,,,,,,,,,,,,,,,,
Q2973687,division of the Australian House of Representatives,1901,circonscription de Kennedy,Kennedy,肯尼迪 (澳大利亞國會選區),,,Okręg wyborczy Kennedy,,,Кеннеди,,,,,,,,,,,,,,,,,,,,,,,
Q2973695,division of the Australian House of Representatives,1949,circonscription de Kingsford Smith,Kingsford Smith,金斯福德·史密斯 (澳大利亞國會選區),金斯福德·史密斯,,Okręg wyborczy Kingsford Smith,,,,কিংসফোর্ড স্মিথ,Bahagian Kingsford Smith,,,,,,,,,,,,,,,,,,,,,
Q2973706,division of the Australian House of Representatives,1901,circonscription de Kooyong,Kooyong,庫揚 (澳大利亞國會選區),,,Okręg wyborczy Kooyong,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2973715,division of the Australian House of Representatives,1949,circonscription de La Trobe,La Trobe,拉籌伯 (澳大利亞國會選區),拉籌伯,,Okręg wyborczy La Trobe,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2973718,division of the Australian House of Representatives,1913,circonscription de Lilley,Lilley,利利 (澳大利亞國會選區),,,Okręg wyborczy Lilley,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2973722,division of the Australian House of Representatives,2000,circonscription de Lingiari,Lingiari,林吉阿里,林吉阿里,Lingiari地域,,,Northern Territory,,,,,,,,,,,,,,,,,,,,,,,,
Q2973723,division of the Australian House of Representatives,1996,circonscription de Longman,Longman,朗文 (澳大利亞國會選區),朗文,,Okręg wyborczy Longman,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2973724,division of the Australian House of Representatives,1949,circonscription de Lyne,Lyne,萊恩 (澳大利亞國會選區),萊恩,,Okręg wyborczy Lyne,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2973728,division of the Australian House of Representatives,1949,circonscription de Macarthur,Macarthur,麥克亞瑟 (澳大利亞國會選區),麥克亞瑟,,Okręg wyborczy Macarthur,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2973735,division of the Australian House of Representatives,1984,circonscription de Makin,Makin,馬金 (澳大利亞國會選區),馬金,,Okręg wyborczy Makin,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2973737,division of the Australian House of Representatives,1949,circonscription de Mallee,Mallee,馬利 (澳大利亞國會選區),,,Okręg wyborczy Mallee,/m/06rbpq,,,,,,,,,,,,,,,,,,,,,,,,,
Q2973739,division of the Australian House of Representatives,1901,circonscription de Maranoa,Maranoa,馬拉諾亞 (澳大利亞國會選區),,,Okręg wyborczy Maranoa,/m/05t29c,,,,,,,,,,,,,,,,,,,,,,,,,
Q2973742,division of the Australian House of Representatives,1906,circonscription de Maribyrnong,Maribyrnong,瑪利拜朗 (澳大利亞國會選區),瑪利拜朗,,Okręg wyborczy Maribyrnong,/m/06qdml,,,,,Đơn vị bầu cử Maribyrnong,,,,,,,,,,,,,,,,,,,,
Q2973755,division of the Australian House of Representatives,1901,circonscription de Melbourne Ports,Melbourne Ports,墨爾本港,墨爾本港,,Okręg wyborczy Melbourne Ports,,,,,,,2019,Macnamara,,,,,,,,,,,,,,,,,,
Q2973776,division of the Australian House of Representatives,1949,circonscription de Mitchell,Mitchell,米切爾 (澳大利亞國會選區),,,Okręg wyborczy Mitchell,/m/06rqcg,,,,,,,,,,,,,,,,,,,,,,,,,
Q2973778,division of the Australian House of Representatives,1984,circonscription de Moncrieff,Moncrieff,蒙克利夫 (澳大利亞國會選區),,,Okręg wyborczy Moncrieff,/m/05t37k,,,,Bahagian Moncrieff,,,,,,,,,,,,,,,,,,,,,
Q2973779,division of the Australian House of Representatives,1949,circonscription de Moore,Moore,摩爾 (澳大利亞國會選區),摩爾,,,/m/06sm_9,,,,,,,,,,,,,,,,,,,,,,,,,
Q2973781,division of the Australian House of Representatives,1901,circonscription de Moreton,Moreton,莫頓 (澳大利亞國會選區),,,Okręg wyborczy Moreton,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2973788,division of the Australian House of Representatives,1949,circonscription de Murray,Murray,墨累 (澳大利亞國會選區),墨累,,Okręg wyborczy Murray,,,,,,,2019,Nicholls,墨累选区,,,,,,,,,,,,,,,,,
Q2973794,division of the Australian House of Representatives,1901,circonscription de New England,New England,新英格蘭 (澳大利亞國會選區),新英格蘭,,Okręg wyborczy New England,/m/06p8sw,,,,,,,,,نيو إنجلند,,,,,,,,,,,,,,,,
Q2973797,division of the Australian House of Representatives,1980,circonscription de O'Connor,O'Connor,奧康納 (澳大利亞國會選區),奧康納,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2973798,division of the Australian House of Representatives,1984,circonscription de Page,Page,佩奇 (澳大利亞國會選區),,,Okręg wyborczy Page,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2973799,division of the Australian House of Representatives,1984,circonscription de Parkes,Parkes,帕克斯 (澳大利亞國會選區),,,Okręg wyborczy Parkes,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2973800,division of the Australian House of Representatives,1901,circonscription de Parramatta,Parramatta,帕拉瑪塔 (澳大利亞國會選區),,,Okręg wyborczy Parramatta,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2973802,division of the Australian House of Representatives,1990,circonscription de Pearce,Pearce,皮爾斯 (澳大利亞國會選區),皮爾斯,,Okręg wyborczy Pearce,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2973806,division of the Australian House of Representatives,1901,circonscription de Perth,Perth,珀斯 (澳大利亞國會選區),珀斯,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2973809,division of the Australian House of Representatives,1949,circonscription de Petrie,Petrie,皮特里 (澳大利亞國會選區),,,Okręg wyborczy Petrie,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2973814,division of the Australian House of Representatives,1984,circonscription de Rankin,Rankin,蘭金 (澳大利亞國會選區),,,Okręg wyborczy Rankin,/m/05tck3,,,,,,,,,,,,,,,,,,,,,,,,,
