name,sort_name,given_name,party,area_id,area,term,source
Anerood Jugnauth,"Jugnauth, Anerood",Anerood,Alliance LEPEP,7,Piton/Rivière-du-Rempart,2014,http://www.lexpress.mu/resultats
Seetanah (Vishnu) Lutchmeenaraidoo,"Lutchmeenaraidoo, Seetanah (Vishnu)",Seetanah (Vishnu),Alliance LEPEP,7,Piton/Rivière-du-Rempart,2014,http://www.lexpress.mu/resultats
Satyaprakashsing (Ravi) Rutnah,"Rutnah, Satyaprakashsing (Ravi)",Satyaprakashsing (Ravi),Alliance LEPEP,7,Piton/Rivière-du-Rempart,2014,http://www.lexpress.mu/resultats
Leela Devi Dookun-Luchoomun,"Dookun-Luchoomun, Leela Devi",Leela Devi,Alliance LEPEP,8,Quartier Militaire/Moka,2014,http://www.lexpress.mu/resultats
Pravind Kumar Jugnauth,"Jugnauth, Pravind Kumar",Pravind Kumar,Alliance LEPEP,8,Quartier Militaire/Moka,2014,http://www.lexpress.mu/resultats
Yogida Sawmynaden,"Sawmynaden, Yogida",Yogida,Alliance LEPEP,8,Quartier Militaire/Moka,2014,http://www.lexpress.mu/resultats
Jayeshwur Raj Dayal,"Dayal, Jayeshwur Raj",Jayeshwur Raj,Alliance LEPEP,9,Flacq/Bon Accueil,2014,http://www.lexpress.mu/resultats
Rajcoomar (Raj) Rampertab,"Rampertab, Rajcoomar (Raj)",Rajcoomar (Raj),Alliance LEPEP,9,Flacq/Bon Accueil,2014,http://www.lexpress.mu/resultats
Prithvirajsing (Pradeep) Roopun,"Roopun, Prithvirajsing (Pradeep)",Prithvirajsing (Pradeep),Alliance LEPEP,9,Flacq/Bon Accueil,2014,http://www.lexpress.mu/resultats
Dharmendar (Sudhir) Sesungkur,"Sesungkur, Dharmendar (Sudhir)",Dharmendar (Sudhir),Alliance LEPEP,10,Montagne-Blanche-GRSE,2014,http://www.lexpress.mu/resultats
Soomilduth Bholah,"Bholah, Soomilduth",Soomilduth,Alliance LEPEP,10,Montagne-Blanche-GRSE,2014,http://www.lexpress.mu/resultats
Kalyan Tarolah,"Tarolah, Kalyan",Kalyan,Alliance LEPEP,10,Montagne-Blanche-GRSE,2014,http://www.lexpress.mu/resultats
Mahen Kumar Seeruttun,"Seeruttun, Mahen Kumar",Mahen Kumar,Alliance LEPEP,11,Vieux Grand-Port/Rose-Belle,2014,http://www.lexpress.mu/resultats
Deveena (Sandhya) Boygah,"Boygah, Deveena (Sandhya)",Deveena (Sandhya),Alliance LEPEP,11,Vieux Grand-Port/Rose-Belle,2014,http://www.lexpress.mu/resultats
Premdut Koonjoo,"Koonjoo, Premdut",Premdut,Alliance LEPEP,11,Vieux Grand-Port/Rose-Belle,2014,http://www.lexpress.mu/resultats
Mahendranuth Sharma (Bobby) Hurreeram,"Hurreeram, Mahendranuth Sharma (Bobby)",Mahendranuth Sharma (Bobby),Alliance LEPEP,12,Mahebourg/Plaine-Magnien,2014,http://www.lexpress.mu/resultats
Purmanund (Mahen) Jhugroo,"Jhugroo, Purmanund (Mahen)",Purmanund (Mahen),Alliance LEPEP,12,Mahebourg/Plaine-Magnien,2014,http://www.lexpress.mu/resultats
Dhananjay (Ritish) Ramful,"Ramful, Dhananjay (Ritish)",Dhananjay (Ritish),PTr-MMM,12,Mahebourg/Plaine-Magnien,2014,http://www.lexpress.mu/resultats
Maneesh Gobin,"Gobin, Maneesh",Maneesh,Alliance LEPEP,13,Souillac/Rivière-des-Anguilles,2014,http://www.lexpress.mu/resultats
Zouberr Houssein Issa Joomaye,"Joomaye, Zouberr Houssein Issa",Zouberr Houssein Issa,PTr-MMM,13,Souillac/Rivière-des-Anguilles,2014,http://www.lexpress.mu/resultats
Ahmad Bashir Jahangeer,"Jahangeer, Ahmad Bashir",Ahmad Bashir,Alliance LEPEP,13,Souillac/Rivière-des-Anguilles,2014,http://www.lexpress.mu/resultats
Alan Ganoo,"Ganoo, Alan",Alan,PTr-MMM,14,Savanne/Rivière-Noire,2014,http://www.lexpress.mu/resultats
Georges Pierre (Joe) Lesjongard,"Lesjongard, Georges Pierre (Joe)",Georges Pierre (Joe),PTr-MMM,14,Savanne/Rivière-Noire,2014,http://www.lexpress.mu/resultats
Ezra Seewoosunkur Jhuboo,"Jhuboo, Ezra Seewoosunkur",Ezra Seewoosunkur,PTr-MMM,14,Savanne/Rivière-Noire,2014,http://www.lexpress.mu/resultats
Toolsyraj Benydin,"Benydin, Toolsyraj",Toolsyraj,Alliance LEPEP,15,La Caverne/Phoenix,2014,http://www.lexpress.mu/resultats
Showkutally Soodhun,"Soodhun, Showkutally",Showkutally,Alliance LEPEP,15,La Caverne/Phoenix,2014,http://www.lexpress.mu/resultats
Marie Cyril Eddy Boissézon,"Boissézon, Marie Cyril Eddy",Marie Cyril Eddy,Alliance LEPEP,15,La Caverne/Phoenix,2014,http://www.lexpress.mu/resultats
Nandcoomar Bodha,"Bodha, Nandcoomar",Nandcoomar,Alliance LEPEP,16,Vacoas/Floréal,2014,http://www.lexpress.mu/resultats
Santaram Baboo,"Baboo, Santaram",Santaram,Alliance LEPEP,16,Vacoas/Floréal,2014,http://www.lexpress.mu/resultats
Marie Joseph Noël Etienne Ghislain Sinatambou,"Sinatambou, Marie Joseph Noël Etienne Ghislain",Marie Joseph Noël Etienne Ghislain,Alliance LEPEP,16,Vacoas/Floréal,2014,http://www.lexpress.mu/resultats
Adrien Charles Duval,"Duval, Adrien Charles",Adrien Charles,Alliance LEPEP,17,Curepipe/Midlands,2014,http://www.lexpress.mu/resultats
Jean Christophe Stephan Toussaint,"Toussaint, Jean Christophe Stephan",Jean Christophe Stephan,Alliance LEPEP,17,Curepipe/Midlands,2014,http://www.lexpress.mu/resultats
Malini Sewocksingh,"Sewocksingh, Malini",Malini,Alliance LEPEP,17,Curepipe/Midlands,2014,http://www.lexpress.mu/resultats
Charles Gaëtan Xavier-Luc Duval,"Duval, Charles Gaëtan Xavier-Luc",Charles Gaëtan Xavier-Luc,Alliance LEPEP,18,Belle-Rose/Quatre-Bornes,2014,http://www.lexpress.mu/resultats
Sudarshan (Roshi) Bhadain,"Bhadain, Sudarshan (Roshi)",Sudarshan (Roshi),Alliance LEPEP,18,Belle-Rose/Quatre-Bornes,2014,http://www.lexpress.mu/resultats
Kavydass Ramano,"Ramano, Kavydass",Kavydass,PTr-MMM,18,Belle-Rose/Quatre-Bornes,2014,http://www.lexpress.mu/resultats
Ivan Leslie Collendavelloo,"Collendavelloo, Ivan Leslie",Ivan Leslie,Alliance LEPEP,19,Stanley/Rose-Hill,2014,http://www.lexpress.mu/resultats
Fazila Daureeawoo,"Daureeawoo, Fazila",Fazila,Alliance LEPEP,19,Stanley/Rose-Hill,2014,http://www.lexpress.mu/resultats
Paul Raymond Bérenger,"Bérenger, Paul Raymond",Paul Raymond,PTr-MMM,19,Stanley/Rose-Hill,2014,http://www.lexpress.mu/resultats
Rajesh Anand Bhagwan,"Bhagwan, Rajesh Anand",Rajesh Anand,PTr-MMM,20,Beau-Bassin/Petite Rivière,2014,http://www.lexpress.mu/resultats
Anil Kumarsingh Gayan,"Gayan, Anil Kumarsingh",Anil Kumarsingh,Alliance LEPEP,20,Beau-Bassin/Petite Rivière,2014,http://www.lexpress.mu/resultats
Jean-Nel Alain Aliphon,"Aliphon, Jean-Nel Alain",Jean-Nel Alain,Alliance LEPEP,20,Beau-Bassin/Petite Rivière,2014,http://www.lexpress.mu/resultats
Francisco François,"François, Francisco",Francisco,OPR,21,Rodrigues,2014,http://www.lexpress.mu/resultats
Buisson Leopold,"Leopold, Buisson",Buisson,OPR,21,Rodrigues,2014,http://www.lexpress.mu/resultats
