wikipedia_name,term,wikipedia,name,group,family_name,given_name,sort_name,death_date
,7,,J L Baldachino,Gibraltar Socialist Labour Party,Baldachino,Joseph Louis,"Baldachino, Joseph Louis",
,7,,J C Perez,Gibraltar Socialist Labour Party,Perez,Juan Carlos,"Perez, Juan Carlos",
,7,,R Mor,Gibraltar Socialist Labour Party,Mor,Robert,"Mor, Robert",
,7,,M A Feetham,Gibraltar Socialist Labour Party,Feetham,Michael Alfred,"Feetham, Michael Alfred",
,7,,M I Montegriffo,Gibraltar Socialist Labour Party,Montegriffo,Maria Isabel,"Montegriffo, Maria Isabel",
,7,,J L Moss,Gibraltar Socialist Labour Party,Moss,Joseph Louis,"Moss, Joseph Louis",
,7,,J E Pilcher,Gibraltar Socialist Labour Party,Pilcher,Joseph Ernest,"Pilcher, Joseph Ernest",
Peter Caruana,7,https://en.wikipedia.org/wiki/Peter_Caruana,P R Caruana,Gibraltar Social Democrats,Caruana,Peter Richard,"Caruana, Peter Richard",
,7,,F Vasquez,Gibraltar Social Democrats,Vasquez,Freddie,"Vasquez, Freddie",
,7,,H A Corby,Gibraltar Social Democrats,Corby,Hubert Alfred,"Corby, Hubert Alfred",
,7,,E M Britto,Gibraltar Social Democrats,Britto,Ernest Michael,"Britto, Ernest Michael",
,7,,P Cumming,Gibraltar Social Democrats,Cumming,Peter,"Cumming, Peter",
,7,,L H Francis,Gibraltar Social Democrats,Francis,Lewis Henry,"Francis, Lewis Henry",
,7,,M Ramagge,Gibraltar Social Democrats,Ramagge,Maurice,"Ramagge, Maurice",
,8,,P C Montegriffo,Gibraltar Social Democrats,Montegriffo,Peter Cecil,"Montegriffo, Peter Cecil",
Peter Caruana,8,https://en.wikipedia.org/wiki/Peter_Caruana,P R Caruana,Gibraltar Social Democrats,Caruana,Peter Richard,"Caruana, Peter Richard",
,8,,B A Linares,Gibraltar Social Democrats,Linares,Bernard Anthony,"Linares, Bernard Anthony",
,8,,H A Corby,Gibraltar Social Democrats,Corby,Hubert Alfred,"Corby, Hubert Alfred",
Keith Azopardi,8,https://en.wikipedia.org/wiki/Keith_Azopardi,K Azopardi,Gibraltar Social Democrats,Azopardi,Keith,"Azopardi, Keith",
Joe Holliday,8,https://en.wikipedia.org/wiki/Joe_Holliday,J J Holliday,Gibraltar Social Democrats,Holliday,Joseph John,"Holliday, Joseph John",
,8,,E M Britto,Gibraltar Social Democrats,Britto,Ernest Michael,"Britto, Ernest Michael",
,8,,J J Netto,Gibraltar Social Democrats,Netto,James Joseph,"Netto, James Joseph",
Joe Bossano,8,https://en.wikipedia.org/wiki/Joe_Bossano,J J Bossano,Gibraltar Socialist Labour Party,Bossano,Joseph John,"Bossano, Joseph John",
,8,,J L Baldachino,Gibraltar Socialist Labour Party,Baldachino,Joseph Louis,"Baldachino, Joseph Louis",
,8,,M I Montegriffo,Gibraltar Socialist Labour Party,Montegriffo,Maria Isabel,"Montegriffo, Maria Isabel",
Albert Isola,8,https://en.wikipedia.org/wiki/Albert_Isola,A Isola,Gibraltar Socialist Labour Party,Isola,Albert,"Isola, Albert",
,8,,J Gabay,Gibraltar Socialist Labour Party,Gabay,Joshua,"Gabay, Joshua",
,8,,R Mor,Gibraltar Socialist Labour Party,Mor,Robert,"Mor, Robert",
,8,,J C Perez,Gibraltar Socialist Labour Party,Perez,Juan Carlos,"Perez, Juan Carlos",
Peter Caruana,9,https://en.wikipedia.org/wiki/Peter_Caruana,P R Caruana,Gibraltar Social Democrats,Caruana,Peter Richard,"Caruana, Peter Richard",
,9,,B A Linares,Gibraltar Social Democrats,Linares,Bernard Anthony,"Linares, Bernard Anthony",
Keith Azopardi,9,https://en.wikipedia.org/wiki/Keith_Azopardi,K Azopardi,Gibraltar Social Democrats,Azopardi,Keith,"Azopardi, Keith",
Joe Holliday,9,https://en.wikipedia.org/wiki/Joe_Holliday,J J Holliday,Gibraltar Social Democrats,Holliday,Joseph John,"Holliday, Joseph John",
,9,,E M Britto,Gibraltar Social Democrats,Britto,Ernest Michael,"Britto, Ernest Michael",
,9,,H A Corby,Gibraltar Social Democrats,Corby,Hubert Alfred,"Corby, Hubert Alfred",
,9,,J J Netto,Gibraltar Social Democrats,Netto,James Joseph,"Netto, James Joseph",
Yvette Del Agua,9,https://en.wikipedia.org/wiki/Yvette_Del_Agua,Y Del Agua,Gibraltar Social Democrats,Del Agua,Yvette,"Del Agua, Yvette",
Joe Bossano,9,https://en.wikipedia.org/wiki/Joe_Bossano,J J Bossano,Gibraltar Socialist Labour Party / Gibraltar Liberal Party,Bossano,Joseph John,"Bossano, Joseph John",
Joseph Garcia (Gibraltarian politician),9,https://en.wikipedia.org/wiki/Joseph_Garcia_(Gibraltarian_politician),J J Garcia,Gibraltar Socialist Labour Party / Gibraltar Liberal Party,Garcia,Joseph John,"Garcia, Joseph John",
,9,,J L Baldachino,Gibraltar Socialist Labour Party / Gibraltar Liberal Party,Baldachino,Joseph Louis,"Baldachino, Joseph Louis",
,9,,M I Montegriffo,Gibraltar Socialist Labour Party / Gibraltar Liberal Party,Montegriffo,Maria Isabel,"Montegriffo, Maria Isabel",
Reggie Valarino,9,https://en.wikipedia.org/wiki/Reggie_Valarino,R G Valarino,Gibraltar Socialist Labour Party / Gibraltar Liberal Party,Valarino,Reginald G,"Valarino, Reginald G",
,9,,J C Perez,Gibraltar Socialist Labour Party / Gibraltar Liberal Party,Perez,Juan Carlos,"Perez, Juan Carlos",
Steven Linares,9,https://en.wikipedia.org/wiki/Steven_Linares,S E Linares,Gibraltar Socialist Labour Party / Gibraltar Liberal Party,Linares,Steven Ernest,"Linares, Steven Ernest",
Paul Balban,12,https://en.wikipedia.org/wiki/Paul_Balban,P J Balban,Gibraltar Socialist Labour Party,Balban,Paul John,"Balban, Paul John",
Joe Bossano,12,https://en.wikipedia.org/wiki/Joe_Bossano,J J Bossano,Gibraltar Socialist Labour Party,Bossano,Joseph John,"Bossano, Joseph John",
Damon Bossino,12,https://en.wikipedia.org/wiki/Damon_Bossino,D J Bossino,Gibraltar Social Democrats,Bossino,Damon James,"Bossino, Damon James",
Peter Caruana,12,https://en.wikipedia.org/wiki/Peter_Caruana,P R Caruana,Gibraltar Social Democrats,Caruana,Peter Richard,"Caruana, Peter Richard",
John Cortes,12,https://en.wikipedia.org/wiki/John_Cortes,J E Cortes,Gibraltar Socialist Labour Party,Cortes,John Emmanuel,"Cortes, John Emmanuel",
Neil Costa,12,https://en.wikipedia.org/wiki/Neil_Costa,N F Costa,Gibraltar Liberal Party,Costa,Neil Francis,"Costa, Neil Francis",
Isobel Ellul-Hammond,12,https://en.wikipedia.org/wiki/Isobel_Ellul-Hammond,I M Ellul-Hammond,Gibraltar Social Democrats,Ellul-Hammond,Isobel Marie,"Ellul-Hammond, Isobel Marie",
Daniel Feetham,12,https://en.wikipedia.org/wiki/Daniel_Feetham,D A Feetham,Gibraltar Social Democrats,Feetham,Daniel Anthony,"Feetham, Daniel Anthony",
,12,,S M Figueras,Gibraltar Social Democrats,Figueras,Selwyn Matthew,"Figueras, Selwyn Matthew",
Joseph Garcia (Gibraltarian politician),12,https://en.wikipedia.org/wiki/Joseph_Garcia_(Gibraltarian_politician),J J Garcia,Gibraltar Liberal Party,Garcia,Joseph John,"Garcia, Joseph John",
Albert Isola,12,https://en.wikipedia.org/wiki/Albert_Isola,A Isola,Gibraltar Socialist Labour Party,Isola,Albert,"Isola, Albert",
Gilbert Licudi,12,https://en.wikipedia.org/wiki/Gilbert_Licudi,G H Licudi,Gibraltar Socialist Labour Party,Licudi,Gilbert Horace,"Licudi, Gilbert Horace",
Steven Linares,12,https://en.wikipedia.org/wiki/Steven_Linares,S E Linares,Gibraltar Liberal Party,Linares,Steven Ernest,"Linares, Steven Ernest",
,12,,J J Netto,Gibraltar Social Democrats,Netto,James Joseph,"Netto, James Joseph",
Fabian Picardo,12,https://en.wikipedia.org/wiki/Fabian_Picardo,F R Picardo,Gibraltar Socialist Labour Party,Picardo,Fabian Raymond,"Picardo, Fabian Raymond",
Edwin Reyes,12,https://en.wikipedia.org/wiki/Edwin_Reyes,E J Reyes,Gibraltar Social Democrats,Reyes,Edwin Joseph,"Reyes, Edwin Joseph",
Samantha Sacramento,12,https://en.wikipedia.org/wiki/Samantha_Sacramento,S J Sacramento,Gibraltar Socialist Labour Party,Sacramento,Samantha Jane,"Sacramento, Samantha Jane",
Charles Bruzon,12,https://en.wikipedia.org/wiki/Charles_Bruzon,C A Bruzon,Gibraltar Socialist Labour Party,Bruzon,Charles Arthur,"Bruzon, Charles Arthur",2013-04-16
