id,position,label,description,start_date,end_date,replaces,replaced_by,term,election
Q6210376,Q28331905,Member of the Parliament of Gibraltar,"",2007-10-11,2011-12-08,,,1st Gibraltar Parliament,"Gibraltar general election, 2007"
Q6210376,Q61937752,Member of the Gibraltar House of Assembly,"",1996-05-02,2000-06-28,,,8th Gibraltar House of Assembly,"Gibraltar general election, 1996"
Q6210376,Q61937752,Member of the Gibraltar House of Assembly,"",2000-06-28,2003-11-28,,,9th Gibraltar House of Assembly,"Gibraltar general election, 2000"
Q6210376,Q61937752,Member of the Gibraltar House of Assembly,"",2003-11-28,2007-10-11,,,10th Gibraltar House of Assembly,"Gibraltar general election, 2003"
Q6384005,Q61937752,Member of the Gibraltar House of Assembly,"",1996-05-02,2000-06-28,,,8th Gibraltar House of Assembly,"Gibraltar general election, 1996"
Q6384005,Q61937752,Member of the Gibraltar House of Assembly,"",2000-06-28,2003-11-28,,,9th Gibraltar House of Assembly,"Gibraltar general election, 2000"
Q7308321,Q61937752,Member of the Gibraltar House of Assembly,"",1976-09-29,1977,,,3rd Gibraltar House of Assembly,"Gibraltar general election, 1976"
Q7308321,Q61937752,Member of the Gibraltar House of Assembly,"",1977,1980-02-06,,,3rd Gibraltar House of Assembly,"Gibraltar general election, 1976"
Q7308321,Q61937752,Member of the Gibraltar House of Assembly,"",1980-02-06,1984-01-26,,,4th Gibraltar House of Assembly,"Gibraltar general election, 1980"
Q7308321,Q61937752,Member of the Gibraltar House of Assembly,"",1984-01-26,1988-03-24,,,5th Gibraltar House of Assembly,"Gibraltar general election, 1984"
Q7308321,Q61937752,Member of the Gibraltar House of Assembly,"",1988-03-24,1992-01-16,,,6th Gibraltar House of Assembly,"Gibraltar general election, 1988"
Q7308321,Q61937752,Member of the Gibraltar House of Assembly,"",2000-06-28,2003-11-28,,,9th Gibraltar House of Assembly,"Gibraltar general election, 2000"
