term,side,role,start_date,end_date,honorific_suffix,id,honorific_prefix,name
4,Government,Minister for Education,"","",ED,23,Major,F J Dellipiani
4,Government,Minister for Municipal Services,"","","",26,Dr,R G Valarino
4,Government,Minister for Medical and Health Services,"","","",27,,J B Perez
4,Government,Attorney General,"","","",29,,D Hull
4,Government,Financial & Development Secretary,"","",CMG OBE,30,,R J Wallace
4,Opposition,Leader of the Opposition,"","",OBE,10,,P J Isola
4,Opposition,,"","","",28,,G T Restano
4,Opposition,,"","","",1,Major,R J Peliza
4,Opposition,,"","","",31,,W T Scott
4,Opposition,,"","","",32,,A T Loddo
4,Opposition,,"","","",33,,A J Haynes
4,Opposition,,"","","",22,,J J Bossano
5,Government,Chief Minister,"","",CBE MVO QC JP,11,Sir,Joshua Hassan
5,Government,Minister for Economic Development and Trade,"","","",18,,A J Canepa
5,Government,Minister for Public Works,"","","",15,,M K Featherstone
5,Government,Minister for Tourism,"","","",19,,H J Zammitt
5,Government,"Minister for Housing, Labour & Social Security","","",ED,23,Major,F J Dellipiani
5,Government,Minister for Municipal Services,"","","",26,Dr.,R G Valarino
5,Government,Minister for Education and Health,"","","",27,,J B Perez
5,Government,Minister for Sport and Postal Services,"","","",34,,G Mascarenhas
5,Government,Acting Attorney General,"","","",35,,E Thistlethwaite
5,Government,Financial & Development Secretary,"","","",36,,B Traynor
5,Opposition,Leader of the Opposition,"","","",22,,J J Bossano
5,Opposition,,"","","",37,,J E Pilcher
5,Opposition,,"","","",38,,M A Feetham
5,Opposition,,"","","",39,Miss,M I Montegriffo
5,Opposition,,"","","",40,,J C Perez
5,Opposition,,"","","",41,,J L Baldachino
5,Opposition,,"","","",42,,R Mor
6,Government,Chief Minister,"","","",22,,J J Bossano
6,Government,Minister for GSL and Tourism,"","","",37,,J E Pilcher
6,Government,Minister for Housing,"","","",41,,J L Baldachino
6,Government,Minister for Trade & Industry,"","","",38,,M A Feetham
6,Government,Minister for Government Services,"","","",40,,J C Perez
6,Government,Minister for Medical Services and Sport,"","","",39,Miss,M I Montegriffo
6,Government,Minister for Labour and Social Security,"","","",42,,R Mor
6,Government,"Minister for Education, Culture & Youth Affairs","","","",43,,J L Moss
6,Government,Attorney General,"","",QC,35,,E Thistlethwaite
6,Government,Financial & Development Secretary,"","","",36,,B Traynor
6,Opposition,Leader of the Opposition,"","","",18,,A J Canepa
6,Opposition,,"","","",44,,P C Montegriffo
6,Opposition,,"","",OBE,15,,M K Featherstone
6,Opposition,,"","","",26,Dr.,R G Valarino
6,Opposition,,"","","",34,,G Mascarenhas
6,Opposition,,"","",OBE ED,45,Lt. Col.,E M Britto
6,Opposition,,"","","",46,,K B Anthony
7,Government,Chief Minister,"","","",22,,J J Bossano
7,Government,Minister for Tourism,"","","",37,,J E Pilcher
7,Government,Minister for Housing,"","","",41,,J L Baldachino
7,Government,Minister for Trade & Industry,"","","",38,,M A Feetham
7,Government,Minister for Government Services,"","","",40,,J C Perez
7,Government,Minister for Medical Services and Sport,"","","",39,Miss,M I Montegriffo
7,Government,Minister for Labour and Social Security,"","","",42,,R Mor
7,Government,"Minister for Education, Culture and Youth Affairs","","","",43,,J L Moss
7,Government,Attorney General,"","",QC,47,,K W Harris
7,Government,Financial & Development Secretary,"","","",48,,P J Brooke
7,Opposition,Leader of the Opposition,"","","",49,,P R Caruana
7,Opposition,,"","",OBE ED,45,Lt. Col,E M Britto
7,Opposition,,"","","",50,,F Vasquez
7,Opposition,,"","","",51,,H A Corby
7,Opposition,,"","","",52,,P Cumming
7,Opposition,,"","","",53,,L H Francis
7,Opposition,,"","","",54,,M Ramagge
8,Government,Chief Minister,"","","",49,,P R Caruana
8,Government,Minister for Trade & Industry,"","","",44,,P C Montegriffo
8,Government,"Minister for Education, the Disabled, Youth & Consumer Affairs","","","",55,Dr,B A Linares
8,Government,Minister for Government Services and Sport,"","",OBE ED,45,Lt. Col.,E M Britto
8,Government,"Minister for Tourism, Commercial Affairs and the Port","","","",56,,J J Holliday
8,Government,Minister for Social Affairs,"","","",51,,H A Corby
8,Government,Minister for Employment & Training and Buildings & Works,"","","",57,,J J Netto
8,Government,Minister for the Environment and Health,"","","",58,,K Azopardi
8,Government,Attorney General,"","","",59,Miss,K Dawson
8,Government,Financial & Development Secretary,"","","",36,,B Traynor
8,Opposition,Leader of the Opposition,"","","",22,,J J Bossano
8,Opposition,,"","","",41,,J L Baldachino
8,Opposition,,"","","",39,Miss,M I Montegriffo
8,Opposition,,"","","",60,,A J Isola
8,Opposition,,"","","",61,,J Gabay
8,Opposition,,"","","",42,,R Mor
8,Opposition,,"","","",40,,J C Perez
8,Opposition,,"","","",62,Dr,J J Garcia
9,Government,Chief Minister,"","",QC,49,,P R Caruana
9,Government,"Minister for Trade, Industry and Telecommunications","","","",58,,K Azopardi
9,Government,"Minister for Education, Training, Culture and Health","","","",55,Dr,B A Linares
9,Government,Minister for Tourism and Transport,"","","",56,,J J Holliday
9,Government,"Minister for Public Services, the Environment, Sports and Leisure","","",OBE ED,45,Lt-Col,E M Britto
9,Government,Minister for Housing,"","","",57,,J J Netto
9,Government,Minister for Employment and Consumer Affairs,"","","",51,,H A Corby
9,Government,Minister for Social Affairs,"","","",63,Mrs,Y Del Agua
9,Government,Attorney General,"","",QC,64,,R R Rhoda
9,Government,Financial and Development Secretary,"","","",65,,T J Bristow
9,Opposition,Leader of the Opposition,"","","",22,,J J Bossano
9,Opposition,,"","","",62,Dr,J J Garcia
9,Opposition,,"","","",41,,J L Baldachino
9,Opposition,,"","","",39,Miss,M I Montegriffo
9,Opposition,,"","","",26,Dr,R G Valarino
9,Opposition,,"","","",40,,J C Perez
9,Opposition,,"","","",66,,S E Linares
10,Government,Chief Minister,"","",QC,49,,P R Caruana
10,Government,"Minister for Trade, Industry, and Communications","","","",56,,J J Holliday
10,Government,"Minister for Education, Employment and Training","","","",55,Dr,B A Linares
10,Government,Minister for Health,"","",OBE ED,45,Lt-Col,E M Britto
10,Government,Minister for Housing,"","","",57,,J J Netto
10,Government,Minister for Social and Civic Affairs,"","","",63,Mrs,Y Del Agua
10,Government,"Minister for Heritage, Culture, Youth and Sport","","","",67,,C Beltran
10,Government,"Minister for the Environment, Roads and Utilities","","","",68,,F Vinet
10,Government,Attorney General,"","",QC,64,,R R Rhoda
10,Government,Financial and Development Secretary,"","","",65,,T J Bristow
10,Opposition,Leader of the Opposition,"","","",22,,J J Bossano
10,Opposition,,"","","",62,Dr,J J Garcia
10,Opposition,,"","","",69,,F R Picardo
10,Opposition,,"","","",70,,C A Bruzon
10,Opposition,,"","","",66,,S E Linares
10,Opposition,,"","","",39,Miss,M I Montegriffo
10,Opposition,,"","","",71,,L A Randall
11,Government,Chief Minister,"","",QC,49,,P R Caruana
11,Government,"Minister for Enterprise, Development and Technology and Deputy Chief Minister","","","",72,,J J Holiday
11,Government,"Minister for the Environment, Traffic and Transport","","",OBE ED,45,Lt-Col,E M Britto
11,Government,Minister for Housing,"","","",68,,F Vinet
11,Government,"Minister for Family, Youth and Community Affairs","","","",57,,J J Netto
11,Government,Minister for Health and Civil Protection,"","","",63,Mrs,Y Del Agua
11,Government,Minister for Justice,"","","",73,,D A Feetham
11,Government,"Minister for Employment, Labour and Industrial Relations","","","",74,,L Montiel
11,Government,Minister for Education and Training,"","","",67,,C Beltran
11,Government,"Minister for Culture, Heritage, Sport and Leisure","","","",75,,E J Reyes
11,Opposition,Leader of the Opposition,"","","",22,,J J Bossano
11,Opposition,,"","","",69,,F R Picardo
11,Opposition,,"","","",62,Dr,J J Garcia
11,Opposition,,"","","",76,,G H Licudi
11,Opposition,,"","","",70,,C A Bruzon
11,Opposition,,"","","",77,,N F Costa
11,Opposition,,"","","",66,,S E Linares
12,Government,Chief Minister,"","","",69,,F R Picardo
12,Government,Deputy Chief Minister,"","","",62,Dr,J J Garcia
12,Government,Minister for Health and Environment,"","",MBE,78,Dr,J E Cortes
12,Government,Minister for Housing and the Elderly,"","","",70,,C A Bruzon
12,Government,Minister for Equality and Social Services,"","","",79,Miss,S J Sacramento
12,Government,"Minister for Education, Financial Services, Gaming, Telecommunications and Justice","","",QC,76,,G H Licudi
12,Government,"Minister for Enterprise, Training and Employment","","","",22,,J J Bossano
12,Government,"Minister for Tourism, Public Transport and the Port","","","",77,,N F Costa
12,Government,"Minister for Traffic, Health & Safety and Technical Services","","","",80,,P J Balban
12,Government,"Minister for Sports, Culture, Heritage and Youth","","","",66,,S E Linares
12,Opposition,Leader of the Opposition,"","",QC,49,,P R Caruana
12,Opposition,,"","","",73,,D A Feetham
12,Opposition,,"","",MBE,81,Mrs,I M Ellul-Hammond
12,Opposition,,"","","",82,,D J Bossino
12,Opposition,,"","","",75,,E J Reyes
12,Opposition,,"","","",57,,J J Netto
12,Opposition,,"","","",83,,S M Figueras
13,Opposition,Leader of the Opposition,"","","",73,,D A Feetham
13,Opposition,,"","","",84,Ms,M D Hassan Nahon
13,Opposition,,"","","",85,,E J Phillips
13,Opposition,,"","","",75,,E J Reyes
13,Opposition,,"","","",86,,R M Clinton
13,Opposition,,"","","",87,,T N Hammond
13,Opposition,,"","","",88,,L F Llamas
13,Government,Chief Minister,"","",QC,69,,F R Picardo
13,Government,Deputy Chief Minister,"","","",62,Dr,J J Garcia
13,Government,"Minister for the Environment, Energy, Climate Change and Climate Education","","",MBE,78,Dr,J E Cortes
13,Government,"Minister for Tourism, Employment, Commercial Aviation and the Port","","",QC,76,,G H Licudi
13,Government,Minister for Commerce,"","","",60,,A J Isola
13,Government,"Minister for Health, Care and Justice","","","",77,,N F Costa
13,Government,Minister for Housing and Equality,"","","",79,Miss,S J Sacramento
13,Government,"Minister for Culture, the Media, Youth and Sport","","","",66,,S E Linares
13,Government,Minister for Infrastructure and Planning,"","","",80,,P J Balban
13,Government,"Minister for Economic Development, Telecommunications & the GSB","","","",22,,J J Bossano
