id,uuid,wikidata
fadden,e81398ee-0d29-4576-abb7-a240e95d9daa,Q2973562
fairfax,b6244741-871c-4506-917a-9aa03cfdee36,Q2973565
fisher,8caedcd6-5abd-43b2-808c-4b6a862e0db7,Q2973569
flynn,9617e580-cabd-4363-b78a-ff7ca9ac6fb6,Q2973571
forde,7d7f73fc-67e9-4425-82f8-23e10bef2cac,Q2973572
griffith,4cb375c3-9663-4c6c-9783-f3747779f484,Q1074129
groom,46ad252c-4034-4d9a-be97-398f4813b440,Q2973635
herbert,d3c445d6-321c-42e9-8963-3f7533202804,Q2973647
hinkler,1bef5ab1-3af0-476f-b9ab-9a6931c93e14,Q2973649
kennedy,be95eaff-fb4f-43bd-932c-a61204900228,Q2973687
leichhardt,e9828bb9-5d23-404e-ae5f-489975c8ed5a,Q550273
lilley,c60c7363-20eb-4b45-b3b4-9d406c3c9c0a,Q2973718
longman,a2458ea8-a108-4a3b-a340-bb16a9ebc5c5,Q2973723
maranoa,d36b767b-9e66-413c-aa17-0ae745ab99f6,Q2973739
mcpherson,a693bc50-dedb-4b39-9ed4-be18a0b8778c,Q1074030
moncrieff,23f93910-ccde-458c-b602-937f76903697,Q2973778
moreton,ee84d4df-4bf6-4130-87d0-ceda08c3057c,Q2973781
oxley,2e141184-88b8-4900-9bb0-11fab9db2921,Q1074900
petrie,7942fc0a-369d-43d5-bcdb-cd7b60ab981a,Q2973809
rankin,473023a9-dc80-4746-b99f-700ab96641c7,Q2973814
ryan,b074cbf2-a578-48ef-bf7d-9929c92620fb,Q2973824
wide_bay,6548fd47-1101-4729-9e54-45836e46d269,Q2973903
wright,bda3a3df-b7d8-461d-822c-02a44ac9e998,Q2973915
adelaide,b1567adc-5995-4521-a51c-bf96d91f439d,Q2973361
barker,ebb14c2a-7be7-4d7d-9a1b-a8085462f7a2,Q2973436
boothby,4dfe1052-0a68-42bd-a78d-11939ba348c4,Q2973469
grey,2ee11c11-75d8-4ed3-8a35-aa3dd77e6b86,Q2973634
hindmarsh,c8acc345-7a03-4090-b000-727ac3049e9a,Q2973414
kingston,ca613f9d-7dc1-42f1-b683-f338a433cbd8,Q3032417
makin,93bda494-b876-405d-bc6c-3be5e418bc70,Q2973735
mayo,980bdce3-52bd-42ff-bf95-4c0d0e6cc772,Q1074088
port_adelaide,02500c2c-b818-4153-9a0f-8994f89b9266,Q2423795
sturt,68f2899f-d512-482d-93d1-f0949bc73927,Q2973854
wakefield,93360b74-fcd3-4dc4-b0cc-f84c97c26e26,Q1073964
bass,9561831b-b45e-4784-9294-5ca4c18226ad,Q2887271
braddon,0692df0b-f27e-4109-8f29-672308aac49f,Q924832
denison,9b240005-7ad5-4a1c-a962-9618f6995af8,Q784520
franklin,76ed1a34-502e-427a-8df4-6ff097fb1640,Q2973578
lyons,23af6b6f-0d56-464e-a801-1941e7863abe,Q1878928
aston,38605590-2f3c-44ec-b614-123eb14e89aa,Q1074102
ballarat,12d6cc51-a593-47c1-a874-8d7af57fd6b3,Q2973434
batman,3a418d26-de6f-4154-a5e4-eb2a7199bde0,Q2973440
bendigo,40176b77-bb59-4fd7-b6f1-f8e6c2142e0a,Q2973455
bruce,f8740c3e-c099-4167-a22d-9a099ccbcc17,Q2973477
calwell,4a62acd3-577b-4723-8750-817052c25c07,Q2973484
casey,63525e8c-d446-44f3-84b3-09ed1e8fa0a9,Q2973490
chisholm,ba6f716d-17e0-4804-bca0-711d6c333348,Q5284509
corangamite,af20f32b-1bda-4e92-82f5-198608838268,Q2973505
corio,e4abc45a-d4ad-4ecb-a2e9-fa71c7d7aaee,Q2973504
deakin,1284a7f6-589d-4916-a0ff-9b6ce583c968,Q1074059
dunkley,85034b42-83f5-4e46-bad7-218a102dd51f,Q1079523
flinders,7ddb386c-5a3f-4286-b187-f9cebf5cfdae,Q2973570
gellibrand,88f525ad-0cb1-45de-9391-5c5037a1aa61,Q2973604
gippsland,afbb290d-7581-44f4-90de-a1392ec4a390,Q2973620
goldstein,e8328cb2-f6de-4db1-94d9-a42e13e98266,Q2973625
gorton,05b4e19e-c77e-4af6-85bd-7720f1f47cbb,Q2973629
higgins,d1dd2950-ef5a-4e46-8d07-0dde2d8db1d8,Q2973648
holt,d460a325-ae66-4543-aa8c-af28e5b57974,Q2973650
hotham,90831cde-c748-4914-82e0-435e949d3aab,Q2973653
indi,a36f1a36-f9df-4ee0-9e4e-956cbbe12346,Q2973417
isaacs,f147aeab-456b-41ef-b152-d3ccd30ba3d8,Q2973418
jagajaga,7137d813-ee6c-4995-9ba9-3701f0413e60,Q2973662
kooyong,c2fc97dc-17c6-4402-b98c-2bf93653900c,Q2973706
la_trobe,a7ab3efb-5ce9-4a8d-b2fa-2072b29b92a7,Q2973715
lalor,da63da89-66e7-419e-971b-4ad2c7c449a3,Q1073721
mallee,c46ec3dc-2629-49f4-8440-08f80d4df8b5,Q2973737
maribyrnong,8a28ea17-b6f9-47a5-8740-e487397c8b98,Q2973742
mcewen,73717feb-e50d-408e-af1a-59c68b60b1ac,Q1074167
mcmillan,54446485-91db-4921-8f8d-b2a9af106eeb,Q1074082
melbourne,7fe105e9-fbfc-4925-8119-d03aed53c33b,Q1635847
melbourne_ports,30001675-1d2e-4158-a7cf-e729026f5af6,Q2973755
menzies,a902d522-10bd-49b8-afeb-39b8929b76cd,Q178752
murray,b4c73e87-8f84-4d44-9561-6b602dbd37a1,Q2973788
scullin,fcf403ea-c3f8-40a3-aa3c-dd1c1929c278,Q2973832
wannon,9bfefcd6-bd98-4515-a040-ef049585cc1e,Q2973885
wills,5af0678d-a192-4b9e-82bb-b96175fdaf21,Q2973906
brand,51a66d3c-899d-4f30-9016-d5c69a54d193,Q897736
canning,200f9062-a2ef-4c0e-af8a-78b650bb8760,Q2973485
cowan,8da2f3b6-582c-48ba-a622-21ecb1638fc5,Q2973507
curtin,b271cf44-2c9c-43c3-8f72-ece729de9cb8,Q2973513
durack,12faa8e2-0058-4d93-9c00-a61baedfed2d,Q2973561
forrest,7ac9d52d-d059-4977-b175-e76edeefadc9,Q2973574
fremantle,abe44654-c37b-47ab-b228-107d2a3248f2,Q2973587
hasluck,725a9ff5-2fd7-46cc-bef4-d4d04b7633f6,Q2973646
moore,24f3ba63-aa13-417c-9c6e-f5565b4f8ded,Q2973779
o'connor,2977113e-d940-4e91-9248-93aba7ad8a09,Q2973797
pearce,ea91f409-037d-4a23-9d12-293d17943300,Q2973802
perth,24147a0a-72fd-4434-8c4e-5b98b08eead9,Q2973806
stirling,a9745197-021e-4126-9894-5e0f86852906,Q2973853
swan,3a9d35c5-25d9-41af-bc57-8851456d20b3,Q2973857
tangney,eb9d468d-7b08-4bf0-9d7d-bcf571a97666,Q2973868
canberra,2ce86d87-3150-4567-a693-ff4f2b854b15,Q2973482
fraser,b4d3be76-ca07-43af-b107-485e3bf1c33e,Q2973584
lingiari,26f43c99-067f-45b1-a921-d716bdcdd267,Q2973722
solomon,b7155554-a35e-447c-b020-4eea6cd2553e,Q2973852
