id,name,sort_name,family_name,given_name,area,party,image,term,source
9666,Jacques Lalie,"Lalie, Jacques",Lalie,Jacques,Province des îles loyauté,UC-FLNKS et Nationalistes,http://www.congres.nc/wp-content/uploads/2015/01/lalie.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9668,Monique Jandot,"Jandot, Monique",Jandot,Monique,Province Sud,CE,http://www.congres.nc/wp-content/uploads/2015/01/jandot.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9669,Nina Lucas-Julie,"Lucas-Julie, Nina",Lucas-Julie,Nina,Province Sud,CE,http://www.congres.nc/wp-content/uploads/2015/01/julie.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9670,Caroline Machoro-Reigner,"Machoro-Reigner, Caroline",Machoro-Reigner,Caroline,Province Nord,UC-FLNKS et Nationalistes,http://www.congres.nc/wp-content/uploads/2015/01/machro-reigner.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9671,Louis Mapou,"Mapou, Louis",Mapou,Louis,Province Sud,UNI,http://www.congres.nc/wp-content/uploads/2015/01/mapou.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9672,Harold Martin,"Martin, Harold",Martin,Harold,Province Sud,Les Républicains,http://www.congres.nc/wp-content/uploads/2015/01/martin.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9673,Nicolas Metzdorf,"Metzdorf, Nicolas",Metzdorf,Nicolas,Province Sud,CE,http://www.congres.nc/wp-content/uploads/2015/01/metzdorf.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9674,Philippe Michel,"Michel, Philippe",Michel,Philippe,Province Sud,CE,http://www.congres.nc/wp-content/uploads/2015/01/michel.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9675,Dominique Mole,"Mole, Dominique",Mole,Dominique,Province Sud,CE,http://www.congres.nc/wp-content/uploads/2015/01/mole.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9676,Paul Neaoutyine,"Neaoutyine, Paul",Neaoutyine,Paul,Province Nord,UNI,http://www.congres.nc/wp-content/uploads/2015/01/Neaoutyine.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9677,Émile Nechero,"Nechero, Émile",Nechero,Émile,Province Nord,UNI,http://www.congres.nc/wp-content/uploads/2015/01/nechero.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9678,Sylvain Pabouty,"Pabouty, Sylvain",Pabouty,Sylvain,Province Sud,UC-FLNKS et Nationalistes,http://www.congres.nc/wp-content/uploads/2015/01/pabouty.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9679,Gérard Poadja,"Poadja, Gérard",Poadja,Gérard,Province Nord,CE,http://www.congres.nc/wp-content/uploads/2015/01/poadja.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9680,Monique Poithily,"Poithily, Monique",Poithily,Monique,Province Sud,UNI,http://www.congres.nc/wp-content/uploads/2015/01/poithily.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9681,Nicole Robineau,"Robineau, Nicole",Robineau,Nicole,Province Sud,CE,http://www.congres.nc/wp-content/uploads/2015/01/robineau.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9682,Rusmaeni Sanmohamat,"Sanmohamat, Rusmaeni",Sanmohamat,Rusmaeni,Province Sud,Les Républicains,http://www.congres.nc/wp-content/uploads/2015/01/sanmohamat.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9683,Thierry Santa,"Santa, Thierry",Santa,Thierry,Province Sud,Les Républicains,http://www.congres.nc/wp-content/uploads/2015/01/santa.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9684,Sutita Sio-Lagadec,"Sio-Lagadec, Sutita",Sio-Lagadec,Sutita,Province Sud,CE,http://www.congres.nc/wp-content/uploads/2015/01/sio-lagadec.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9685,Henriette Tidjine-Hmae,"Tidjine-Hmae, Henriette",Tidjine-Hmae,Henriette,Province Nord,UC-FLNKS et Nationalistes,http://www.congres.nc/wp-content/uploads/2015/01/tdjine-hame.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9686,Ithupane Tieoue,"Tieoue, Ithupane",Tieoue,Ithupane,Province Sud,UNI,http://www.congres.nc/wp-content/uploads/2015/01/ithupane.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9687,Pierre-Chanel Tutugoro,"Tutugoro, Pierre-Chanel",Tutugoro,Pierre-Chanel,Province Nord,UC-FLNKS et Nationalistes,http://www.congres.nc/wp-content/uploads/2015/01/tutugoro.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9688,Louis Kotra Uregei,"Uregei, Louis Kotra",Uregei,Louis Kotra,Province des îles loyauté,UC-FLNKS et Nationalistes,http://www.congres.nc/wp-content/uploads/2015/01/kotra-ureigei.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9689,Corinne Voisin,"Voisin, Corinne",Voisin,Corinne,Province Sud,CE,http://www.congres.nc/wp-content/uploads/2015/01/voisin.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9690,Nadeige Wackenthaler-Faivre,"Wackenthaler-Faivre, Nadeige",Wackenthaler-Faivre,Nadeige,Province Nord,UNI,http://www.congres.nc/wp-content/uploads/2015/01/wackenthaler-faivre.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9692,Roch Wamytan,"Wamytan, Roch",Wamytan,Roch,Province Sud,UC-FLNKS et Nationalistes,http://www.congres.nc/wp-content/uploads/2015/01/rock-wamytan.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9694,Mathias Waneux,"Waneux, Mathias",Waneux,Mathias,Province des îles loyauté,UC-FLNKS et Nationalistes,http://www.congres.nc/wp-content/uploads/2015/01/waneux.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9695,Charles Washetine,"Washetine, Charles",Washetine,Charles,Province des îles loyauté,PALIKA,http://www.congres.nc/wp-content/uploads/2015/01/washetine.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9696,Gaël Yanno,"Yanno, Gaël",Yanno,Gaël,Province Sud,"",http://www.congres.nc/wp-content/uploads/2015/01/yanno.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9699,Hervé Tein-Taouva,"Tein-Taouva, Hervé",Tein-Taouva,Hervé,Province Nord,UC-FLNKS et Nationalistes,"",4,http://www.congres.nc/assemblee/les-elus/?panel=5
