id,name,sort_name,family_name,given_name,area,party,image,source,term
9664,Isabelle Kaloi-Bearune,"Kaloi-Bearune, Isabelle",Kaloi-Bearune,Isabelle,Province des îles loyauté,UC-FLNKS et Nationalistes,http://www.congres.nc/wp-content/uploads/2015/01/kaloi-bearune.jpg,http://www.congres.nc/assemblee/les-elus/?panel=5,4
9665,Isabelle Lafleur,"Lafleur, Isabelle",Lafleur,Isabelle,Province Sud,Les Républicains calédoniens,http://www.congres.nc/wp-content/uploads/2015/01/lafleur.jpg,http://www.congres.nc/assemblee/les-elus/?panel=5,4
9666,Jacques Lalie,"Lalie, Jacques",Lalie,Jacques,Province des îles loyauté,UC-FLNKS et Nationalistes,http://www.congres.nc/wp-content/uploads/2015/01/lalie.jpg,http://www.congres.nc/assemblee/les-elus/?panel=5,4
9668,Monique Jandot,"Jandot, Monique",Jandot,Monique,Province Sud,CE,http://www.congres.nc/wp-content/uploads/2015/01/jandot.jpg,http://www.congres.nc/assemblee/les-elus/?panel=5,4
9669,Nina Julié,"Julié, Nina",Julié,Nina,Province Sud,CE,http://www.congres.nc/wp-content/uploads/2015/01/julie.jpg,http://www.congres.nc/assemblee/les-elus/?panel=5,4
9670,Caroline Machoro-Reignier,"Machoro-Reignier, Caroline",Machoro-Reignier,Caroline,Province Nord,UC-FLNKS et Nationalistes,http://www.congres.nc/wp-content/uploads/2015/01/machro-reigner.jpg,http://www.congres.nc/assemblee/les-elus/?panel=5,4
9671,Louis Mapou,"Mapou, Louis",Mapou,Louis,Province Sud,UNI,http://www.congres.nc/wp-content/uploads/2015/01/mapou.jpg,http://www.congres.nc/assemblee/les-elus/?panel=5,4
9672,Harold Martin,"Martin, Harold",Martin,Harold,Province Sud,Les Républicains calédoniens,http://www.congres.nc/wp-content/uploads/2015/01/martin.jpg,http://www.congres.nc/assemblee/les-elus/?panel=5,4
9673,Léonard Sam,"Sam, Léonard",Sam,Léonard,Province Sud,CE,http://www.congres.nc/wp-content/uploads/2015/01/sam.jpg,http://www.congres.nc/assemblee/les-elus/?panel=5,4
9674,Philippe Michel,"Michel, Philippe",Michel,Philippe,Province Sud,CE,http://www.congres.nc/wp-content/uploads/2015/01/michel.jpg,http://www.congres.nc/assemblee/les-elus/?panel=5,4
9675,Dominique Mole,"Mole, Dominique",Mole,Dominique,Province Sud,CE,http://www.congres.nc/wp-content/uploads/2015/01/mole.jpg,http://www.congres.nc/assemblee/les-elus/?panel=5,4
9676,Paul Neaoutyine,"Neaoutyine, Paul",Neaoutyine,Paul,Province Nord,UNI,http://www.congres.nc/wp-content/uploads/2015/01/Neaoutyine.jpg,http://www.congres.nc/assemblee/les-elus/?panel=5,4
9677,Émile Nechero,"Nechero, Émile",Nechero,Émile,Province Nord,UNI,http://www.congres.nc/wp-content/uploads/2015/01/nechero.jpg,http://www.congres.nc/assemblee/les-elus/?panel=5,4
9678,Sylvain Pabouty,"Pabouty, Sylvain",Pabouty,Sylvain,Province Sud,UC-FLNKS et Nationalistes,http://www.congres.nc/wp-content/uploads/2015/01/pabouty.jpg,http://www.congres.nc/assemblee/les-elus/?panel=5,4
9679,Gérard Poadja,"Poadja, Gérard",Poadja,Gérard,Province Nord,CE,http://www.congres.nc/wp-content/uploads/2015/01/poadja.jpg,http://www.congres.nc/assemblee/les-elus/?panel=5,4
9680,Monique Poithily,"Poithily, Monique",Poithily,Monique,Province Nord,UNI,http://www.congres.nc/wp-content/uploads/2015/01/poithily.jpg,http://www.congres.nc/assemblee/les-elus/?panel=5,4
9681,Nicole Robineau,"Robineau, Nicole",Robineau,Nicole,Province Sud,CE,http://www.congres.nc/wp-content/uploads/2015/01/robineau.jpg,http://www.congres.nc/assemblee/les-elus/?panel=5,4
9682,Rusmaeni Sanmohamat,"Sanmohamat, Rusmaeni",Sanmohamat,Rusmaeni,Province Sud,Les Républicains Rassemblement – MPC,http://www.congres.nc/wp-content/uploads/2015/01/sanmohamat.jpg,http://www.congres.nc/assemblee/les-elus/?panel=5,4
9683,Thierry Santa,"Santa, Thierry",Santa,Thierry,Province Sud,Les Républicains Rassemblement – MPC,http://www.congres.nc/wp-content/uploads/2015/01/santa.jpg,http://www.congres.nc/assemblee/les-elus/?panel=5,4
9684,Sutita Sio-Lagadec,"Sio-Lagadec, Sutita",Sio-Lagadec,Sutita,Province Sud,CE,http://www.congres.nc/wp-content/uploads/2015/01/sio-lagadec.jpg,http://www.congres.nc/assemblee/les-elus/?panel=5,4
9685,Henriette Tidjine-Hmae,"Tidjine-Hmae, Henriette",Tidjine-Hmae,Henriette,Province Nord,UC-FLNKS et Nationalistes,http://www.congres.nc/wp-content/uploads/2015/01/tdjine-hame.jpg,http://www.congres.nc/assemblee/les-elus/?panel=5,4
9686,Ithupane Tieoue,"Tieoue, Ithupane",Tieoue,Ithupane,Province Sud,UNI,http://www.congres.nc/wp-content/uploads/2015/01/ithupane.jpg,http://www.congres.nc/assemblee/les-elus/?panel=5,4
9687,Pierre-Chanel Tutugoro,"Tutugoro, Pierre-Chanel",Tutugoro,Pierre-Chanel,Province Nord,UC-FLNKS et Nationalistes,http://www.congres.nc/wp-content/uploads/2015/01/tutugoro.jpg,http://www.congres.nc/assemblee/les-elus/?panel=5,4
9688,Louis Kotra Uregei,"Uregei, Louis Kotra",Uregei,Louis Kotra,Province des îles loyauté,sans étiquette,http://www.congres.nc/wp-content/uploads/2015/01/kotra-ureigei.jpg,http://www.congres.nc/assemblee/les-elus/?panel=5,4
9689,Corinne Voisin,"Voisin, Corinne",Voisin,Corinne,Province Sud,CE,http://www.congres.nc/wp-content/uploads/2015/01/voisin.jpg,http://www.congres.nc/assemblee/les-elus/?panel=5,4
9690,Nadeige Faivre,"Faivre, Nadeige",Faivre,Nadeige,Province Nord,UNI,http://www.congres.nc/wp-content/uploads/2015/01/wackenthaler-faivre.jpg,http://www.congres.nc/assemblee/les-elus/?panel=5,4
9692,Roch Wamytan,"Wamytan, Roch",Wamytan,Roch,Province Sud,UC-FLNKS et Nationalistes,http://www.congres.nc/wp-content/uploads/2015/01/rock-wamytan.jpg,http://www.congres.nc/assemblee/les-elus/?panel=5,4
9694,Mathias Waneux,"Waneux, Mathias",Waneux,Mathias,Province des îles loyauté,UC-FLNKS et Nationalistes,http://www.congres.nc/wp-content/uploads/2015/01/waneux.jpg,http://www.congres.nc/assemblee/les-elus/?panel=5,4
9695,Charles Washetine,"Washetine, Charles",Washetine,Charles,Province des îles loyauté,PALIKA,http://www.congres.nc/wp-content/uploads/2015/01/washetine.jpg,http://www.congres.nc/assemblee/les-elus/?panel=5,4
9696,Gaël Yanno,"Yanno, Gaël",Yanno,Gaël,Province Sud,sans étiquette,http://www.congres.nc/wp-content/uploads/2015/01/yanno.jpg,http://www.congres.nc/assemblee/les-elus/?panel=5,4
