statement,id,name,start_date,end_date,wikidata
Q4640529-1AB92535-38C9-48BE-A3F7-A47BD75EB7CE,54,54th United States Congress,1895-03-04,1897-03-04,Q4640529
Q4640668-209E365A-C3CF-48C0-BAD1-7AAAA5579812,55,55th United States Congress,1897-03-04,1899-03-04,Q4640668
Q4640768-B73A5CF7-B77C-42AD-A33A-D17C132D1279,56,56th United States Congress,1899-03-04,1901-03-04,Q4640768
Q4640851-200E7A77-D0F0-4517-A01A-CCD4FFB747AD,57,57th United States Congress,1901-03-04,1903-03-04,Q4640851
Q4640944-9C92AEAF-2448-485B-B0A9-95CA7BE979CA,58,58th United States Congress,1903-03-04,1905-03-04,Q4640944
Q4641029-E5E57BFF-CAD5-4E8D-BFC3-87418844B831,59,59th United States Congress,1905-03-04,1907-03-04,Q4641029
Q4641729-D30D789B-35B5-4EBD-ABB3-6D56EB86F554,60,60th United States Congress,1907-03-04,1909-03-04,Q4641729
Q4641826-26DA7275-9778-40FB-824E-E15AE96085C5,61,61st United States Congress,1909-03-04,1911-03-04,Q4641826
Q4641903-B532544E-9BB4-4EF6-BB90-6A94D27BAD41,62,62nd United States Congress,1911-03-04,1913-03-04,Q4641903
Q4641992-2B4A83B1-C70F-41DE-BACD-7A90035F5654,63,63rd United States Congress,1913-03-04,1915-03-04,Q4641992
Q4642071-9693593E-7311-41BF-997D-3C2CAC7C62D4,64,64th United States Congress,1915-03-04,1917-03-04,Q4642071
Q4642149-1722452E-9756-496C-BED9-2E0F19C15018,65,65th United States Congress,1917-03-04,1919-03-04,Q4642149
Q4642234-7F4FE565-30D4-45BD-B99E-900E857013FC,66,66th United States Congress,1919-03-04,1921-03-04,Q4642234
Q4642306-E26DE908-B8E0-407A-846B-6B939679AF95,67,67th United States Congress,1921-03-04,1923-03-04,Q4642306
Q4642363-01EEEE0E-A043-43B3-A890-B61377EAD553,68,68th United States Congress,1923-03-04,1925-03-04,Q4642363
Q4642425-8BA6F25C-464B-4B2A-A721-6B195257715C,69,69th United States Congress,1925-03-04,1927-03-04,Q4642425
Q4643047-B222D56E-A647-4A91-AD5E-A46C097E8D9E,70,70th United States Congress,1927-03-04,1929-03-04,Q4643047
Q4643135-91512D79-AA68-4F4E-B827-4DCD4E739D3E,71,71st United States Congress,1929-03-04,1931-03-04,Q4643135
Q4643234-70483605-B8E9-40CC-91AE-3704CA867AA4,72,72nd United States Congress,1931-03-04,1933-03-04,Q4643234
Q4643305-B7AB361F-5324-42AC-88D6-3BA850B82D18,73,73rd United States Congress,1933-03-04,1935-01-03,Q4643305
Q4643381-B03BC319-9597-4A95-9179-8D285D764487,74,74th United States Congress,1935-01-03,1937-01-03,Q4643381
Q4643468-B75329E2-31AB-451D-98A9-724191FEBD68,75,75th United States Congress,1937-01-03,1939-01-03,Q4643468
Q4643534-CC0E3388-0F2A-44E2-9F25-4AEA3FF5DC3B,76,76th United States Congress,1939-01-03,1941-01-03,Q4643534
Q4643615-94E41369-7BD1-429C-BCDA-9DAB1812FBB0,77,77th United States Congress,1941-01-03,1943-01-03,Q4643615
Q4643704-024AFF9C-D133-46F6-AAA6-D813B0F16F9F,78,78th United States Congress,1943-01-03,1945-01-03,Q4643704
Q4643765-D0C9C836-A866-4665-B634-67937FD67BDE,79,79th United States Congress,1945-01-03,1947-01-03,Q4643765
Q3387124-AD82DB75-2B06-47CF-8E3D-AD4B7B7BF99C,80,80th United States Congress,1947-01-03,1949-01-03,Q3387124
Q4644572-6165FB97-AD65-4313-ABE3-291FEBFDC673,81,81st United States Congress,1949-01-03,1951-01-03,Q4644572
Q4644671-6169AC1B-B0AD-446C-8E9B-3C0D4F25266A,82,82nd United States Congress,1951-01-03,1953-01-03,Q4644671
Q4644742-9D7C82FE-0323-4F64-9C80-95A5FB9D6C0D,83,83rd United States Congress,1953-01-03,1955-01-03,Q4644742
Q4644820-609FDFDB-75B8-4C6A-B675-9D6DB9D22947,84,84th United States Congress,1955-01-03,1957-01-03,Q4644820
Q4644880-EAA65166-8CB0-47C2-8E04-F428DDEE4BB3,85,85th United States Congress,1957-01-03,1959-01-03,Q4644880
Q4644951-4227A658-180D-45A7-9617-7B80039D8FAD,86,86th United States Congress,1959-01-03,1961-01-03,Q4644951
Q4645016-7C9F5866-2091-4FCD-B850-D3297F3ACD76,87,87th United States Congress,1961-01-03,1963-01-03,Q4645016
Q4645092-8C43C180-4560-458D-B4BC-1BE0979F6DD0,88,88th United States Congress,1963-01-03,1965-01-03,Q4645092
Q4645160-2CE0AD9F-B286-4016-B139-F7565890477E,89,89th United States Congress,1965-01-03,1967-01-03,Q4645160
Q4645677-FF9E097E-AD56-4006-990F-8DF9274C2BB4,90,90th United States Congress,1967-01-03,1969-01-03,Q4645677
Q4645770-08F3731A-574B-40F6-8902-CA537E3AE179,91,91st United States Congress,1969-01-03,1971-01-03,Q4645770
Q4645850-DD401403-21FA-4A31-A042-C7552B0E068C,92,92nd United States Congress,1971-01-03,1973-01-03,Q4645850
Q4645925-515E7ECF-9BA8-427A-9C53-5D7CEFC8133F,93,93rd United States Congress,1973-01-03,1975-01-03,Q4645925
Q16147858-1019ADBA-CAC0-4F00-95F3-1F081D69B24A,94,94th United States Congress,1975-01-03,1977-01-03,Q16147858
Q4646042-D88AAA40-71BC-4D13-B424-8CA3D39C9A7F,95,95th United States Congress,1977-01-03,1979-01-03,Q4646042
Q4646121-8E93494B-4C43-497E-8BC9-FCBCFECF462F,96,96th United States Congress,1979-01-03,1981-01-03,Q4646121
Q4646187-CBD23CFA-88ED-4537-BB1D-7FBCFD97BABA,97,97th United States Congress,1981-01-03,1983-01-03,Q4646187
Q4646254-9B34D260-3DD0-481E-ADB1-41BD68695A33,98,98th United States Congress,1983-01-03,1983-01-03,Q4646254
Q4646349-7B52448A-618C-4B53-8E3B-595FBF52C93B,99,99th United States Congress,1985-01-03,1987-01-03,Q4646349
Q4546248-191E97B9-76F6-40DC-A239-B9B354A38F86,100,100th United States Congress,1987-01-03,1989-01-03,Q4546248
Q4546373-1333DE26-61CB-4311-92B8-29A4615102C4,101,101st United States Congress,1989-01-03,1991-01-03,Q4546373
Q347346-8C869ED4-0CF7-4B90-BBFD-C6EEC83D1899,102,102nd United States Congress,1991-01-03,1993-01-03,Q347346
Q3556780-CE93B0C4-3475-4434-A52B-D192DA5928FC,103,103rd United States Congress,1993-01-03,1995-01-03,Q3556780
Q3596857-bb479e98-4ac6-6036-1728-1cac85c8e650,104,104th United States Congress,1995-01-03,1997-01-03,Q3596857
Q3596884-3BCF69AA-196E-492B-B19F-286621B30DA7,105,105th United States Congress,1997-01-03,1999-01-03,Q3596884
Q3596897-8C2D32C4-1D3B-4431-9413-1B8A889B292D,106,106th United States Congress,1999-01-03,2001-01-03,Q3596897
Q2057259-e8d2cf2d-493f-4531-ac2a-d49d6cf930f2,107,107th United States Congress,2001-01-03,2003-01-03,Q2057259
Q168504-6FE0E566-64D1-430D-889F-C0F1AC782536,108,108th United States Congress,2003-01-03,2005-01-03,Q168504
Q168778-441FB425-3548-4853-BEB0-9585BDCA1CF0,109,109th United States Congress,2005-01-03,2007-01-03,Q168778
Q170018-8E538E8C-E8B0-4DBF-936D-DCAFCA6B096C,110,110th United States Congress,2007-01-03,2009-01-03,Q170018
Q170375-af71070b-4e91-6d4c-bec9-27a227941621,111,111th United States Congress,2009-01-03,2011-01-03,Q170375
Q170447-4819dee6-4e0c-74fc-83b7-5bcf64b77c8f,112,112th United States Congress,2011-01-03,2013-01-03,Q170447
Q71871-3b0a2b95-4347-11ef-b820-be1174f6aa12,113,113th United States Congress,2013-01-03,2015-01-03,Q71871
Q16146771-91b261c1-4ef0-a02e-a985-6137fe453a64,114,114th United States Congress,2015-01-03,2017-01-03,Q16146771
Q18740945-358f4ac8-4a63-fb8f-f2e9-32fa2731ef0e,115,115th United States Congress,2017-01-03,2019-01-03,Q18740945
Q28227688-73e13bd5-4c56-76f6-b6ec-89c8f7a9cb3f,116,116th United States Congress,2019-01-03,2021-01-03,Q28227688
