statement,id,constituency_id,party_id,start_date,end_date,term
Q12360203-31AC0D68-DE34-4DAB-834A-A9E89E4A4FE7,Q12360203,,Q913551,2014-03-27,2015-03-23,12
Q12360203-f5c5f350-487e-7389-2316-7469648acb54,Q12360203,Q3025278,Q913551,2016-11-24,2018-11-26,13
Q12360203-d16bd0d6-4b01-73ab-55cc-70f95e308b12,Q12360203,Q3025278,Q913551,2018-11-27,"",13
Q12363563-37B603FF-7453-489B-BCB1-6D45B2463D5A,Q12363563,Q3352911,Q928652,2015-03-30,"",13
Q12363563-2D17BB81-76A0-4484-904B-124A689093F4,Q12363563,,Q928652,2011-03-27,2015-03-23,12
Q12364480-DB74BD31-4DE0-4941-A054-A55097CDB78B,Q12364480,Q3025278,Q738947,2015-04-09,2016-11-23,13
Q12364480-B69ECE09-A60A-4585-8BEC-38E59E6B4C27,Q12364480,,Q738947,2011-04-06,2015-03-23,12
Q12364487-f0de585c-4956-a27a-e156-5b4cde7c793a,Q12364487,Q3352911,Q913551,2016-11-25,"",13
Q12364487-74e1ffe4-421d-eb84-88c7-22a5968c4ee3,Q12364487,,Q327591,2012-04-09,2015-03-23,12
Q12364487-AA4DA7C7-587F-4A8A-98FD-3EF449F55A7D,Q12364487,,Q928652,2011-03-27,2012-04-08,12
Q12364518-64FB5184-BEB2-44B2-8A39-B340B33A7C7C,Q12364518,,Q163347,2011-03-27,2011-12-05,12
Q12364933-71BC0992-E1D8-46FE-AF2B-20A349B319BB,Q12364933,,Q913551,2011-03-27,2015-03-23,12
Q12365130-706D918C-5AC2-4240-BF46-D37017C987AF,Q12365130,Q3479058,Q913551,2015-03-30,2015-09-14,13
Q12365130-76b2b77c-4a77-96bd-5f87-5ea00ca551ff,Q12365130,Q3479058,Q913551,2018-05-03,"",13
Q12365130-13EB4B2C-6D3F-4188-A881-0BEF3366550F,Q12365130,,Q913551,2011-03-27,2014-03-26,12
Q12365540-06CDAE3F-31EE-4F68-B01E-418E1A655A7A,Q12365540,,Q163347,2011-04-06,2014-03-26,12
Q12365796-E03324B5-37C5-4187-B8FA-2EE6F06777C7,Q12365796,Q3032626,Q19276353,2015-03-30,"",13
Q12366112-F8C1D4AB-2089-4554-957C-91C09C3A5F21,Q12366112,,Q163347,2013-01-22,2014-03-26,12
Q12366123-1CCC4240-6886-4449-B718-1D95C8F1486F,Q12366123,,Q913551,2011-03-27,2013-11-12,12
Q12366157-4C594E47-FF13-4CB1-A573-C4E360C689AF,Q12366157,Q2972997,Q913551,2015-09-16,2016-11-23,13
Q12366157-4F348FA5-4E0A-448B-B6DC-C35F91558B41,Q12366157,,Q913551,2011-03-27,2015-03-23,12
Q12366158-229E12E3-0B7E-401F-9636-BCD419DF70EF,Q12366158,Q3402163,Q928652,2015-03-30,2015-04-23,13
Q12366158-628AEDF0-203A-4D10-B75A-A1B4668691B8,Q12366158,,Q928652,2011-03-27,2015-03-23,12
Q12366228-67224091-BB6E-4625-AF76-058E41E88BDD,Q12366228,,Q738947,2011-03-27,2015-03-23,12
Q12366238-D4C692A4-34DD-4C11-87A0-DBC87B8A8B54,Q12366238,Q3032626,Q163347,2015-04-09,2017-06-12,13
Q12366252-48B424BD-2724-41FE-92E9-68D0820C118A,Q12366252,,Q738947,2014-11-19,2015-03-23,12
Q12366267-ABF80D1A-D312-4D6D-8049-5E3F7B075EEC,Q12366267,,Q913551,2011-03-27,2015-03-23,12
Q12366267-FA08460E-062A-4169-BF8D-50A35273DE1B,Q12366267,Q3352911,Q913551,2015-03-30,"",13
Q12366820-6DDD9569-84F0-49CB-8046-CAF11811B3B2,Q12366820,Q3142965,Q928652,2015-03-30,"",13
Q12368506-1EE4A96C-95A1-4EA6-88EE-17CCBCBBE885,Q12368506,,Q928652,2011-03-27,2012-04-08,12
Q12368506-33c5c37b-4035-3c58-f13f-37f703405a3f,Q12368506,,Q327591,2012-04-09,2015-03-23,12
Q12368739-33DCEBD4-07CB-4861-93E2-CB960427A1EF,Q12368739,,Q163347,2011-04-06,2015-03-23,12
Q12368739-74255f60-473b-2506-052e-d1e196614b6b,Q12368739,,Q163347,2017-06-01,2017-06-02,13
Q12369791-E1ACCF06-1788-40CF-AD9F-D6C7DE88F102,Q12369791,Q3338787,Q928652,2015-03-30,"",13
Q12369791-54BB71C7-C084-4DAC-BC81-C419463DA6CB,Q12369791,,Q928652,2011-03-27,2015-03-23,12
Q12369838-97939D81-E101-4A00-876D-EE53BDE614AC,Q12369838,Q3038253,Q913551,2015-04-09,2016-11-24,13
Q12369879-BA448F59-8CA2-4414-9497-988ADFC672B0,Q12369879,,Q913551,2011-11-04,2015-03-23,12
Q12369884-70BF96A8-D013-40A7-858F-66AB90FED99B,Q12369884,Q2420663,Q163347,2015-04-09,"",13
Q12369884-CDF90DB6-BAA3-46EA-8A3B-5178DBCF6FE6,Q12369884,,Q163347,2012-05-12,2014-03-26,12
Q12369924-52579F75-81A2-4A86-A194-6A62651B1C52,Q12369924,Q2420663,Q794028,2015-03-30,"",13
Q12369932-4CA6D43A-514E-4D67-A0F9-30D30E115B53,Q12369932,Q2420663,Q738947,2015-03-30,2016-07-06,13
Q12369996-3DF4D66E-6D46-42ED-A3C4-C7F235684EC6,Q12369996,Q3338787,Q738947,2015-04-09,2016-11-23,13
Q12369996-78C2E181-7050-453F-8A44-EDF04821C58A,Q12369996,,Q738947,2011-03-27,2014-11-17,12
Q12369996-8436b91d-4bee-b833-f07f-4566b07dfd6e,Q12369996,,Q738947,2018-09-05,"",13
Q12370075-6804CEBC-6A79-4A14-85FB-1C28EC55C365,Q12370075,,Q738947,2011-03-27,2015-03-23,12
Q12370075-C3AEC243-DAE5-4450-A4DC-D8B1EFC55764,Q12370075,Q3352911,Q738947,2015-04-09,"",13
Q12370316-D954D451-B321-4B47-B646-A6085A92B0A0,Q12370316,Q3032626,Q913551,2015-03-30,2016-06-07,13
Q12370928-371175AB-1FF3-4551-87AB-20D9D2F994B2,Q12370928,Q2972997,Q913551,2015-09-15,2015-09-16,13
Q12370928-AA518C52-7833-48B4-8921-903346DA4AB9,Q12370928,,Q913551,2011-03-27,2015-03-23,12
Q12371428-832A6267-B8B2-41ED-B441-846111C2E858,Q12371428,,Q928652,2011-03-27,2015-03-23,12
Q12371725-3aaaf33e-4b52-85c0-cb94-bc74e70b712f,Q12371725,Q3413626,Q928652,2015-11-21,"",13
Q12372175-4F0DB2ED-CB54-4BEF-B1C2-7BA024967600,Q12372175,Q3025278,Q928652,2015-08-18,"",13
Q12372206-376775D3-0806-4F6E-8E8F-18A7F81F0B23,Q12372206,,Q163347,2011-04-06,2015-03-23,12
Q12372254-37C979D2-8D37-4290-8C06-492C5841C034,Q12372254,,Q928652,2011-03-27,2015-03-23,12
Q12372781-5AE763A3-BE02-4C1D-BF13-B62B92613241,Q12372781,Q3142965,Q928652,2015-03-30,2015-11-18,13
Q12372781-7A366568-2584-490B-8E81-8B7D0452D871,Q12372781,,Q928652,2011-03-27,2015-03-23,12
Q12372782-FB9718B8-461B-46CF-9538-1241E37E8B1D,Q12372782,,Q163347,2011-03-27,2015-03-23,12
Q12372782-AB42684F-832A-47B4-9D76-3B5EBD5398AA,Q12372782,Q3352911,Q163347,2015-03-30,"",13
Q12373456-C52B1024-FBDE-4707-B6C9-CF5AF13260C1,Q12373456,Q2420663,Q913551,2015-03-30,"",13
Q12373456-25c65f8f-4d29-ecf4-242c-c1033fd40f2b,Q12373456,,Q327591,2012-04-09,2015-03-23,12
Q12373456-68760F8E-D238-400E-A4EB-B766F3845C28,Q12373456,,Q928652,2011-03-27,2012-04-08,12
Q12373459-F1B0FAC4-0852-406D-B43C-4E6983EDDAB8,Q12373459,Q2972997,Q163347,2015-03-30,"",13
Q12373563-09796D69-E7FC-4B6B-B6F2-7A4AE91E0FC9,Q12373563,,Q913551,2011-03-27,2015-03-23,12
Q12373774-959B37FA-D9C9-46DF-900C-6DB888064405,Q12373774,Q2420663,Q928652,2015-03-30,2016-12-05,13
Q12373839-05D564AD-2F67-4E0D-BD22-0044D1AC50E4,Q12373839,Q3402163,Q738947,2015-03-30,2018-05-06,13
Q12373839-8DC1D4EB-EA80-44EF-BE35-236A946A8D8B,Q12373839,,Q738947,2011-03-27,2015-03-23,12
Q12374975-20BE51E9-D17D-4CDB-BB17-2CC2EF0BBDAF,Q12374975,,Q163347,2011-04-06,2014-03-26,12
Q12375092-fa2a9041-4e1a-c4c4-bf50-44e550a5e4b3,Q12375092,Q3485728,Q928652,2015-03-30,"",13
Q12375092-F4D42BC6-6E36-49E1-82D9-AF6A6686436C,Q12375092,,Q928652,2014-07-01,2015-03-23,12
Q12376325-252D7FC1-C7BF-495E-B228-127C8BEAFD96,Q12376325,Q3338787,Q913551,2015-03-30,"",13
Q12376370-F02EBDA0-8086-40C2-8562-EFBA767A4D64,Q12376370,,Q738947,2013-12-05,2015-03-23,12
Q12376376-E042B8FE-D7C9-45D0-9BB8-1DF1B63E1D24,Q12376376,Q3352911,Q928652,2015-03-30,2016-12-10,13
Q12376376-138F554B-EE10-419B-8F39-69057E068EFE,Q12376376,,Q928652,2011-04-08,2015-03-23,12
Q12376579-C02CC831-7D99-43C3-90AD-757CD625AF44,Q12376579,,Q913551,2014-03-27,2015-03-23,12
Q12376881-508BDAD3-4F8D-4D82-A952-E35DED10142E,Q12376881,,Q738947,2012-12-12,2015-03-23,12
Q12376940-133321fc-4faa-31d2-49b8-5c8272f6dc06,Q12376940,,Q913551,2014-03-26,2015-03-23,12
Q12376940-E7871F55-953A-4D63-94CF-36D0C6F576D0,Q12376940,,Q913551,2013-03-15,2013-06-17,12
Q12376941-e1ad44e4-4040-1647-046a-2132d233229e,Q12376941,Q2420663,Q928652,2016-11-24,"",13
Q12377090-9371A95B-3CDB-4D4E-BD6B-12EC12447649,Q12377090,Q3038253,Q738947,2015-03-30,"",13
Q12378637-F55E6FAA-A45E-4ACF-A654-698C671FF6BB,Q12378637,Q3402163,Q928652,2015-03-30,"",13
Q12378637-9EFDA0C0-D3EC-42C9-B542-D1A69EFABC9B,Q12378637,,Q928652,2011-03-27,2015-03-23,12
Q12378980-DB84B0F4-557C-4C5C-BA78-B6EC5067F007,Q12378980,,Q738947,2011-03-27,2015-03-23,12
Q12379326-1911067B-52E3-4CB7-BBD8-0A917B5C75C1,Q12379326,,Q928652,2011-03-27,2015-03-23,12
Q12379326-66b9fd88-43cb-063c-267b-2c91d6e4ba3a,Q12379326,Q3479058,Q928652,2015-03-30,2015-03-27,13
Q12379639-52657A46-48E4-4C99-958C-5DA421C1A46F,Q12379639,,Q163347,2011-04-06,2014-03-26,12
Q13234758-39FF69C7-61C3-4FF8-9231-532D7437ACCF,Q13234758,,Q913551,2011-03-27,2014-03-26,12
Q13234758-B4FE8D44-B4D7-4CAD-9280-E1424DFDA16C,Q13234758,Q3025278,Q913551,2015-03-30,2016-11-23,13
Q13234758-bb03c355-457d-ec52-2d40-6208603524f7,Q13234758,Q3025278,Q913551,2018-11-26,2018-11-27,13
Q13570003-34AD02C8-A3B5-4DD7-9781-7C401615ED6D,Q13570003,Q3038253,Q928652,2015-03-30,2016-11-23,13
Q13570003-83C6ABBA-76FA-4321-9E24-88A0DA993351,Q13570003,,Q928652,2011-03-27,2015-03-23,12
Q13603999-6517957D-FC92-400D-A7A1-D69D98BAA04E,Q13603999,,Q163347,2011-03-27,2015-03-23,12
Q13605609-5E334CAB-CA3E-4768-B16E-A42E29B62771,Q13605609,,Q738947,2011-04-06,2014-11-04,12
Q13607430-36360B33-0FAF-431A-B715-F1C5A291B2D3,Q13607430,,Q738947,2011-03-27,2014-04-08,12
Q13607430-4128c0fa-440d-ee33-4669-91d36b90c762,Q13607430,Q3032626,Q738947,2015-03-30,2015-03-27,13
Q13608080-DD2E87BF-E9E8-4F22-84D3-F59985C6D765,Q13608080,,Q738947,2011-03-27,2015-03-23,12
Q13608089-ECFB7182-D650-42AB-8B45-0C7C8D0C8F88,Q13608089,Q3338787,Q163347,2015-03-30,"",13
Q13608089-3B72BF6A-7E0D-4866-B3E0-1780D34C6DA7,Q13608089,,Q163347,2011-03-27,2015-03-23,12
Q13628736-44C02333-5FB9-41B1-9957-DC7DEECA24E1,Q13628736,,Q913551,2011-03-27,2014-03-26,12
Q13628736-A4C40F6A-B329-4358-9E3D-B5525CE6EDA9,Q13628736,Q3142965,Q913551,2015-03-30,"",13
Q13629005-BFCE39B4-E92D-4035-BF0E-860F8F8F18D2,Q13629005,,Q928652,2011-04-02,2015-03-23,12
Q13629005-B56989FC-A40D-4359-AE21-40D4B09F98FF,Q13629005,Q3402163,Q928652,2015-03-30,2015-11-20,13
Q1375483-3DF03364-F51D-499B-AFBE-30E660F82116,Q1375483,,Q738947,2011-03-27,2015-03-23,12
Q1385792-A129DC7E-EC48-47B4-867A-4E4DD25F6737,Q1385792,,Q163347,2011-03-27,2011-04-05,12
Q1385792-6fe9ff7f-4085-d8d4-0540-8f005035b22e,Q1385792,,Q163347,2014-03-26,2015-03-23,12
Q1385792-63F249EC-1552-429F-BD52-B7C837C08637,Q1385792,Q3402163,Q163347,2015-03-30,2017-06-01,13
Q1398025-D5C0B351-4548-4403-94D7-CB4369E04FF0,Q1398025,Q3352911,Q913551,2015-03-30,2017-11-07,13
Q1398025-26C74C53-AE97-4861-9B3B-C6296721B441,Q1398025,,Q913551,2011-03-27,2011-04-01,12
Q1399189-72de67c6-4a0d-d987-f0b3-3adca35a3f43,Q1399189,Q3485728,Q163347,2017-06-12,"",13
Q1399189-9A10B279-BD8D-4C84-AC42-795EEA8CE53E,Q1399189,Q3485728,Q163347,2015-03-30,2015-04-08,13
Q1399189-EE9254E3-9BBD-46CF-8C2B-2512BFA3F3C6,Q1399189,,Q163347,2011-03-27,2015-03-23,12
Q1399218-A8E43380-57A3-4E3B-AA1B-1DAFBBE32C5C,Q1399218,,Q738947,2011-03-27,2011-04-05,12
Q1399218-074058d8-4674-ce06-4c09-59850ba6892f,Q1399218,Q3352911,Q738947,2015-03-30,2015-04-08,13
Q1399218-2301a0ec-4379-2dc5-47c6-b106ced3374e,Q1399218,Q3352911,Q738947,2016-11-23,"",13
Q1410118-6A4CEDA7-066E-4AE1-8EB5-CF5CAD83AA41,Q1410118,Q3142965,Q913551,2015-03-30,"",13
Q14188964-D6799AF5-661D-4E71-886E-FAF776C48F56,Q14188964,,Q738947,2011-03-27,2015-03-23,12
Q14191221-0B6A8F32-E49D-46BC-9EB4-F4EB5E407D3A,Q14191221,Q2972997,Q738947,2015-03-30,"",13
Q14191221-152B4F54-EAAB-4844-B03A-5919E68D1DC2,Q14191221,,Q738947,2011-03-27,2015-03-23,12
Q14483307-B8572C3C-D8E0-4A7F-85EB-52D1643F08B0,Q14483307,Q3032626,Q913551,2015-03-30,"",13
Q14483307-FA917119-6E71-41AD-87C9-704E1AE7C9F8,Q14483307,,Q913551,2011-03-27,2015-03-23,12
Q1453245-a96b0c73-4e10-1ef3-84aa-46957e52cb99,Q1453245,Q3038253,Q794028,2015-03-30,"",13
Q14542629-e46a1284-4464-3a07-fd9c-a665c5a6c160,Q14542629,,Q913551,2017-11-08,2018-05-02,13
Q14542629-A6A8D14A-B531-45D6-AB38-B1E804967064,Q14542629,,Q913551,2011-04-02,2015-03-23,12
Q15983657-24113EDA-349D-465B-8F34-8588184A2783,Q15983657,Q3032626,Q738947,2015-03-30,"",13
Q16402978-ACCE4952-3C52-4494-897F-A6ECEA999047,Q16402978,Q3142965,Q738947,2015-03-30,"",13
Q16403371-068B0934-D1F1-4946-B604-4A547E8C6A83,Q16403371,Q3485728,Q913551,2015-03-30,2015-04-08,13
Q16403371-E4580CB7-935C-4173-AF7B-58933D23DC33,Q16403371,,Q913551,2011-03-27,2015-03-23,12
Q16403439-d3f1f13e-4fa2-a235-58cf-97fbea305c83,Q16403439,,Q19276353,2019-01-11,"",13
Q16403448-7865286c-400b-859e-a673-4b7b8d881bc6,Q16403448,,Q163347,2013-06-13,2015-03-23,12
Q16403448-CB5E664F-5928-4293-8467-673AAB745EAC,Q16403448,,Q163347,2011-04-06,2012-05-12,12
Q16403802-01563D4C-8A6F-4416-85ED-F929835C2F42,Q16403802,Q3413626,Q738947,2015-03-30,"",13
Q16404003-df91934c-4986-5271-2616-331d6caf0276,Q16404003,Q2420663,Q928652,2016-12-05,2016-12-06,13
Q16404020-24501ea8-4c1d-d35c-5368-7d26a4a4ad1d,Q16404020,Q3025278,Q928652,2017-06-12,"",13
Q16404020-6D1CE10E-5295-4F91-B403-E3C5FA134232,Q16404020,Q3025278,Q928652,2015-03-30,2016-11-23,13
Q16404020-F324B8B1-9B7D-4CB9-9651-3AB4025822F2,Q16404020,,Q928652,2011-03-27,2015-03-23,12
Q16404281-A594120E-36C2-4C3C-860A-1B554EEC4A31,Q16404281,Q3032626,Q19276353,2015-03-30,"",13
Q16404443-763c38d0-4db0-4be9-7d76-cd7f56aa69be,Q16404443,Q3402163,Q163347,2017-06-02,"",13
Q16404493-FBDE3E58-515E-471B-A4FE-57E6EE2F090B,Q16404493,Q3402163,Q738947,2015-03-30,"",13
Q16404500-6B273D0D-E728-4387-986F-C3CE2A653BCD,Q16404500,,Q738947,2011-04-06,2014-03-26,12
Q16404500-a5e3d3b1-4773-15fb-7ff9-78ff9f194b50,Q16404500,,Q738947,2014-06-18,2015-03-23,12
Q16404500-52106640-EBA7-47DF-9B97-03372FC0C88D,Q16404500,Q3413626,Q738947,2015-04-09,2016-11-23,13
Q16405090-68A7DA27-E6DE-4ED1-904C-C69E53A358D2,Q16405090,Q3413626,Q794028,2015-03-30,"",13
Q16405149-8051D22C-1D48-4AE9-9C3F-BA61DA765EB4,Q16405149,Q3402163,Q928652,2015-03-30,2017-11-10,13
Q16405217-D35DAD54-31EA-4D59-9FEB-4C09D3E1EB5D,Q16405217,Q3402163,Q19276353,2015-03-30,2019-01-11,13
Q16405450-0AE52BEA-4753-4A8B-8063-62347B3FE800,Q16405450,Q3025278,Q163347,2015-03-30,"",13
Q16405534-CBF006EC-7929-4CEE-8A80-DA11B51FC07F,Q16405534,,Q913551,2014-03-27,2015-03-23,12
Q16405534-057630b3-40ed-b9ef-c14b-3b3a76ffcd3c,Q16405534,,Q913551,2015-09-15,2015-09-16,13
Q16405538-588865CD-3B07-4E5F-BA1F-259232F07A8B,Q16405538,Q3402163,Q928652,2015-03-30,"",13
Q16405768-2F2870E1-8CEA-4A06-B34D-4F6C7BAF827F,Q16405768,Q2420663,Q738947,2015-03-30,2016-09-12,13
Q16405768-8afbc1ff-4fff-b48d-e6c6-c229e9ce0921,Q16405768,Q2420663,Q738947,2016-11-23,"",13
Q16406074-F1F18144-0685-4AC9-B2EE-E12715262FAF,Q16406074,Q3413626,Q19276353,2015-03-30,"",13
Q16406537-DBB2D70B-B035-460F-BBAD-965822179C04,Q16406537,Q3025278,Q928652,2015-03-30,"",13
Q16406782-2D8EDF72-542E-465C-923A-A0FF6A18FF2D,Q16406782,,Q928652,2011-03-27,2014-09-07,12
Q16406782-f9772ad7-45e8-6a4d-a5f7-6204f0ce8029,Q16406782,,Q327591,2014-09-08,2015-03-23,12
Q16407052-F08EFEF9-1004-4C56-B37F-2453F5A85154,Q16407052,,Q163347,2011-03-27,2014-01-13,12
Q16407052-f3362a88-4dbc-fa87-6bf9-c95f4a7b4d04,Q16407052,,Q163347,2014-06-02,2015-03-23,12
Q16407309-5AA75E5F-C792-45CA-B850-DD45BF1CCBA9,Q16407309,Q3338787,Q738947,2015-03-30,"",13
Q16407309-c16e3925-47fc-e3f8-cbab-177c4c5a4706,Q16407309,,Q738947,2014-01-01,2015-03-23,12
Q16407309-026A14AA-F6A7-4854-A8F6-47545A3F0783,Q16407309,,Q738947,2011-11-14,2012-12-10,12
Q16407380-8c5b91e4-4f1d-4e11-f559-905b0ee0b1ca,Q16407380,,Q913551,2016-11-24,2016-11-25,13
Q16407757-3F0C0DAF-3B66-448F-A7A3-9760BBF47EBB,Q16407757,,Q913551,2013-11-13,2015-03-23,12
Q16407871-b0a662ff-4d25-ab0f-2ffc-f81843bc52ce,Q16407871,Q3142965,Q928652,2016-11-24,"",13
Q1676747-E4C6D568-FA25-4913-ACE3-D3FE1C9638DA,Q1676747,,Q913551,2011-03-27,2015-03-23,12
Q17446896-58D0A7DD-4669-4C09-9970-75B9B2AAEC8D,Q17446896,Q3413626,Q738947,2015-03-30,"",13
Q17446918-8da8b201-4e92-a863-5516-789d25458fa5,Q17446918,Q2972997,Q913551,2016-11-23,"",13
Q17446918-BF502DED-E783-4037-9ACC-0EF578486EA9,Q17446918,Q2972997,Q913551,2015-03-30,2015-09-14,13
Q17446941-55214D0E-57DB-4F5E-85EB-0C24188FF28B,Q17446941,,Q738947,2012-06-19,2012-07-01,12
Q17446941-65333db3-433e-697d-297c-f9a88f72b765,Q17446941,,Q738947,2014-06-18,2015-03-23,12
Q17447264-1D9E667E-EAC0-4706-9F18-7B386695AF0E,Q17447264,,Q928652,2013-10-31,2015-03-23,12
Q17447338-51698E00-6622-4A93-9477-8CF80F6DB576,Q17447338,Q3485728,Q163347,2015-04-09,2017-06-12,13
Q1789192-0efbbf4c-4f8b-1ea2-e1aa-fd1c6a3ee8e2,Q1789192,Q3402163,Q738947,2016-11-23,"",13
Q1789192-B4D024D3-CBF5-41DE-9F6C-D161EEFB17A7,Q1789192,Q3402163,Q738947,2015-03-30,2015-04-08,13
Q1789192-99b86f31-4360-c4df-5135-e445d86aab29,Q1789192,,Q738947,2012-12-11,2015-03-23,12
Q1789192-B8A12F4A-A137-4F70-996F-8824EE58F95A,Q1789192,,Q738947,2011-03-27,2011-04-05,12
Q18753049-143E55EF-F6E8-416D-ADA3-3BE9F14CB927,Q18753049,,Q738947,2014-04-09,2015-03-23,12
Q1900847-755C55A3-26EC-4FC8-BB8B-9D5C3069A9DB,Q1900847,,Q163347,2011-03-27,2015-03-23,12
Q1900847-3E38ED33-530F-450D-A180-2A0BD8D3D31D,Q1900847,Q3413626,Q163347,2015-03-30,"",13
Q19725706-1EFFD8DB-A1B6-486D-A412-F98E90D2D762,Q19725706,Q3142965,Q794028,2015-03-30,"",13
Q2000385-21A653A4-0A4D-4C04-B48E-481B99C655B9,Q2000385,,Q928652,2011-03-27,2012-04-08,12
Q2000385-9f866ea2-44fd-6d60-ff2f-20ec4d8a2090,Q2000385,,Q327591,2012-04-09,2015-03-23,12
Q2000385-8C755BED-0D83-49CB-A11C-703B9D0B7D34,Q2000385,Q3479058,Q738947,2015-03-30,2018-08-01,13
Q2012757-0C102A40-11FB-48BE-9920-7AEEA206AEA7,Q2012757,,Q163347,2013-01-22,2013-01-23,12
Q20528288-054e4a55-49f7-0929-74c9-7c3e1fc9444b,Q20528288,Q3413626,Q163347,2016-12-16,"",13
Q20528341-190DE8CF-3AA5-4232-AEBC-30550751C6C3,Q20528341,Q3352911,Q794028,2015-03-30,"",13
Q20528366-04046E4D-A12C-41A5-84D5-1933DA728BD2,Q20528366,Q2972997,Q19276353,2015-03-30,2018-04-04,13
Q20528493-2F9D84A1-2DC6-40F7-854A-CB7345784BD5,Q20528493,Q2420663,Q928652,2015-03-30,"",13
Q20528676-28C2B0FB-95AD-438A-9E10-1A7B8FFEEE30,Q20528676,Q3025278,Q19276353,2015-03-30,"",13
Q20528880-F7DC88B8-6026-4149-9161-988F93C3AA6F,Q20528880,,Q738947,2014-10-14,2015-03-23,12
Q2063457-8206E7A9-C644-4109-B1E6-04A7D4EDFBD5,Q2063457,,Q928652,2011-03-27,2015-03-23,12
Q2067037-A7DE49E6-5F84-4A2E-85EF-E1128E57C341,Q2067037,,Q738947,2011-03-27,2015-03-23,12
Q2067037-5173443e-4d1e-bae2-ee54-0e4b7a8ab288,Q2067037,Q3142965,Q738947,2016-07-07,2016-11-23,13
Q2067037-87b2cede-4ea6-5e35-6c20-f60a5944408d,Q2067037,Q3142965,Q738947,2018-05-07,"",13
Q20933454-44C331EA-DF2E-441F-8D24-5C2B4BC42E2A,Q20933454,Q3352911,Q794028,2015-03-30,"",13
Q20933467-F969AD4C-1F83-4243-8350-867B2FE8A471,Q20933467,Q3479058,Q928652,2015-03-30,"",13
Q20933507-490148BF-8A22-471E-87B2-FF235729BBD6,Q20933507,Q2972997,Q928652,2015-04-27,"",13
Q20933509-A720405F-52AC-4071-ABEA-02479EF79AC7,Q20933509,Q3352911,Q738947,2015-03-30,"",13
Q20933524-08E0927D-81AF-44C9-A193-6A968044F522,Q20933524,Q3142965,Q738947,2015-04-09,2016-11-23,13
Q20933540-DC2C41FA-CE15-490B-B006-0A7823351FB3,Q20933540,Q3038253,Q163347,2015-03-30,"",13
Q20933554-71603B82-7E04-4007-A384-E1C6BDFB7DB2,Q20933554,Q3338787,Q794028,2015-03-30,"",13
