id,name,image,area,area_id,party,party_id,term,source,last_seen
379,ABREU JESÚS ANTONIO,http://www.asambleanacional.gob.ve/uploads/diputado/dip_1b09178955ea8e88cd11acd496e083ec2305ae6d.jpg,Distrito Capital,5,MUD,21,4,http://www.asambleanacional.gob.ve/diputado/id/379,2016-07-28
380,SALANOVA RUEDA KARÍN ARIETA,http://www.asambleanacional.gob.ve/uploads/diputado/dip_4445af90d3b44da610ca2b463e0f308d75715a6a.jpg,Aragua,2,MUD,21,4,http://www.asambleanacional.gob.ve/diputado/id/380,2016-07-28
381,PAZ FUENMAYOR MILAGROS DE,http://www.asambleanacional.gob.ve/uploads/diputado/dip_be1515c130122162f81d05b53387b831c07ee1fb.jpg,Sucre,9,MUD,21,4,http://www.asambleanacional.gob.ve/diputado/id/381,2016-07-28
382,VALERO VELANDRIA ADDY COROMOTO,http://www.asambleanacional.gob.ve/uploads/diputado/dip_c329739f526ce36d2ae9c27e7f133ef3937775e0.jpg,Mérida,14,MUD,21,4,http://www.asambleanacional.gob.ve/diputado/id/382,2016-07-28
383,ANTONIO MARÍA BARRETO SIRA,http://www.asambleanacional.gob.ve/uploads/diputado/dip_14d7fba25cbb1ef1e7a626b5645dcb802e5966ce.jpg,Anzoátegui,13,MUD,21,4,http://www.asambleanacional.gob.ve/diputado/id/383,2016-07-28
384,GUÉDEZ DE RIERA MARIBEL,http://www.asambleanacional.gob.ve/uploads/diputado/dip_88a9b2e0b991b6d17d3121307aeabc957eb54d22.jpg,Barinas,21,MUD,21,4,http://www.asambleanacional.gob.ve/diputado/id/384,2016-07-28
385,PADILLA VILLALBA LUIS CARLOS,http://www.asambleanacional.gob.ve/uploads/diputado/dip_ba590f47772f360bfb97209394114c795f70dc95.jpg,Anzoátegui,13,MUD,21,4,http://www.asambleanacional.gob.ve/diputado/id/385,2016-07-28
386,SUCRE GIFFUNI FRANCISCO JOSÉ,http://www.asambleanacional.gob.ve/uploads/diputado/dip_bdfd0cef7d5445a21e480e4825bbc70c7149d815.jpg,Bolivar,17,MUD,21,4,http://www.asambleanacional.gob.ve/diputado/id/386,2016-07-28
387,PAREDES FISCHER MELVA MATUCHA,http://www.asambleanacional.gob.ve/uploads/diputado/dip_43055fa6df6e283f1e7355cf1bfd1124d0e5cc91.jpg,Aragua,2,MUD,21,4,http://www.asambleanacional.gob.ve/diputado/id/387,2016-07-28
388,DE GRAZIA VELTRI AMÉRIGO,http://www.asambleanacional.gob.ve/uploads/diputado/dip_6731a5ec28f579eb294a0cec7112f70200a022a5.jpg,Bolivar,17,MUD,21,4,http://www.asambleanacional.gob.ve/diputado/id/388,2016-07-28
390,ARMAS CUARTÍN ARMANDO,http://www.asambleanacional.gob.ve/uploads/diputado/dip_f737f6d7401219d942b716f03df1a47d9387fff6.jpg,Anzoátegui,13,MUD,21,4,http://www.asambleanacional.gob.ve/diputado/id/390,2016-07-28
391,BORGES JUNYENT JULIO ANDRÉS,http://www.asambleanacional.gob.ve/uploads/diputado/dip_ec2579d559c0b1996fb1112cb55b37b171258464.jpg,Miranda,8,MUD,21,4,http://www.asambleanacional.gob.ve/diputado/id/391,2016-07-28
392,BOZO TAMAYO MARCO ANTONIO,http://www.asambleanacional.gob.ve/uploads/diputado/dip_0b14c78eda627cf74eb9b7c0f7170116baee608a.jpg,Carabobo,6,MUD,21,4,http://www.asambleanacional.gob.ve/diputado/id/392,2016-07-28
393,TROCONIZ AVILIO ANTONIO,http://www.asambleanacional.gob.ve/uploads/diputado/dip_9853a2efb03f9864f4d59f3af2ba6f47f688012b.jpg,Zulia,15,MUD,21,4,http://www.asambleanacional.gob.ve/diputado/id/393,2016-07-28
394,ALEMÁN PÉREZ HERNÁN CLARET,http://www.asambleanacional.gob.ve/uploads/diputado/dip_e0040aa39110c10b786ded6cde6a9ccd10a8e56e.jpg,Zulia,15,MUD,21,4,http://www.asambleanacional.gob.ve/diputado/id/394,2016-07-28
395,MÁRQUEZ PÉREZ ENRIQUE OCTAVIO,http://www.asambleanacional.gob.ve/uploads/diputado/dip_b784b3bd3bf3032cdaf759b0e53e775589314eaa.jpg,Zulia,15,MUD,21,4,http://www.asambleanacional.gob.ve/diputado/id/395,2016-07-28
396,PIZARRO RODRÍGUEZ MIGUEL ALEJANDRO,http://www.asambleanacional.gob.ve/uploads/diputado/dip_a492754576a4348614334f4a35100f1234d7c8eb.jpg,Miranda,8,MUD,21,4,http://www.asambleanacional.gob.ve/diputado/id/396,2016-07-28
397,TRUJILLO VERA JOSÉ BENILDE,http://www.asambleanacional.gob.ve/uploads/diputado/dip_4e6c41f1291ea85f26ef78ad17ffa5568c27d7bf.jpg,Aragua,2,MUD,21,4,http://www.asambleanacional.gob.ve/diputado/id/397,2016-07-28
398,OLIVARES MARQUINA JOSÉ MANUEL,http://www.asambleanacional.gob.ve/uploads/diputado/dip_b13551f774249707ad75590869c390b13a219a64.jpg,Vargas,23,MUD,21,4,http://www.asambleanacional.gob.ve/diputado/id/398,2016-07-28
399,REQUESENS MARTÍNEZ JUAN CARLOS,http://www.asambleanacional.gob.ve/uploads/diputado/dip_07b312cbfd354ea39fc235d3846aa2c4def09931.jpg,Táchira,1,MUD,21,4,http://www.asambleanacional.gob.ve/diputado/id/399,2016-07-28
400,VELAZCO QUINTERO JUAN CARLOS,http://www.asambleanacional.gob.ve/uploads/diputado/dip_2be7d7e5a66add6b54b1333ca6160c30cd392c6a.jpg,Zulia,15,MUD,21,4,http://www.asambleanacional.gob.ve/diputado/id/400,2016-07-28
401,BARRIENTOS  VICUÑA WILLIAM,http://www.asambleanacional.gob.ve/uploads/diputado/dip_7d7cdc0fd6e577deaff39ad9749c60a77442e4ef.jpg,Zulia,15,MUD,21,4,http://www.asambleanacional.gob.ve/diputado/id/401,2016-07-28
402,SUPERLANO SALINAS FREDDY FRANCISCO,http://www.asambleanacional.gob.ve/uploads/diputado/dip_7989192025348f259e980fdc93a7e44666367d66.jpg,Barinas,21,MUD,21,4,http://www.asambleanacional.gob.ve/diputado/id/402,2016-07-28
403,SUÁREZ LUCENA BOLIVIA MILAGRO,http://www.asambleanacional.gob.ve/uploads/diputado/dip_f9b752194f3b734893ffd35d0df3d484c82560ed.jpg,Lara,7,MUD,21,4,http://www.asambleanacional.gob.ve/diputado/id/403,2016-07-28
404,APARICIO FIGUEROA JOSÉ GREGORIO,http://www.asambleanacional.gob.ve/uploads/diputado/dip_7a09aea0204ef9ced3f080a4ae8055fd45479a3e.jpg,Monagas,18,MUD,21,4,http://www.asambleanacional.gob.ve/diputado/id/404,2016-07-28
405,PERÉZ GONZÁLEZ MARÍA TERESA,http://www.asambleanacional.gob.ve/uploads/diputado/dip_b68c4cac7b5ac63355ba005eff7f978ef29f3e97.jpg,Lara,7,MUD,21,4,http://www.asambleanacional.gob.ve/diputado/id/405,2016-07-28
406,BLANCO CABRERA RICHARD JOSÉ,http://www.asambleanacional.gob.ve/uploads/diputado/dip_3c3582fe4526398a8cb1779d50be22acba9d11ce.jpg,Distrito Capital,5,MUD,21,4,http://www.asambleanacional.gob.ve/diputado/id/406,2016-07-28
407,GARCÍA CANALES JUAN PABLO,http://www.asambleanacional.gob.ve/uploads/diputado/dip_c27789320e3c1dc554992269aa2cb9ec8f05fecc.jpg,Monagas,18,MUD,21,4,http://www.asambleanacional.gob.ve/diputado/id/407,2016-07-28
408,PAPARONI RAMÍREZ CARLOS ALBERTO,http://www.asambleanacional.gob.ve/uploads/diputado/dip_b2e2d7a885a607b1ddd062c023c5a0095e5490d1.jpg,Mérida,14,MUD,21,4,http://www.asambleanacional.gob.ve/diputado/id/408,2016-07-28
409,BUCARAN PARAGUÁN CHAÍM JOSÉ,http://www.asambleanacional.gob.ve/uploads/diputado/dip_4e32ec0792bd732c3ba4088aef7bf70fa8e2deb0.jpg,Anzoátegui,13,MUD,21,4,http://www.asambleanacional.gob.ve/diputado/id/409,2016-07-28
410,FLORIDO BARRETO  LUIS,http://www.asambleanacional.gob.ve/uploads/diputado/dip_f811a93526d92af83262e3b95c01d49fe22a8aea.jpg,Lara,7,MUD,21,4,http://www.asambleanacional.gob.ve/diputado/id/410,2016-07-28
412,DÁVILA BARRIOS WILLIAMS DANIEL,http://www.asambleanacional.gob.ve/uploads/diputado/dip_d52c672234e5145367a3ff01e64fe3266d8bbd87.jpg,Mérida,14,MUD,21,4,http://www.asambleanacional.gob.ve/diputado/id/412,2016-07-28
413,ZAMBRANO GUÉDEZ  TIMOTEO,http://www.asambleanacional.gob.ve/uploads/diputado/dip_8a1bbcec7ac59677f08cf99dffd4ce2a00840723.jpg,Zulia,15,MUD,21,4,http://www.asambleanacional.gob.ve/diputado/id/413,2016-07-28
414,GUEVARA CORTÉZ FREDDY ALEJANDRO,http://www.asambleanacional.gob.ve/uploads/diputado/dip_003cbb0a1a3c04195a1358aa1824c192cd8d7936.jpg,Miranda,8,MUD,21,4,http://www.asambleanacional.gob.ve/diputado/id/414,2016-07-28
416,ARTEGAGA BLAKMA RICHARD ELOY,http://www.asambleanacional.gob.ve/uploads/diputado/dip_96193bd1311b12af7aea4b7822ca4084f972f763.jpg,Anzoátegui,13,MUD,21,4,http://www.asambleanacional.gob.ve/diputado/id/416,2016-07-28
