id,name,party,area,term,source
32,LENGOMAS MATOMBI Gilbert,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
33,MABALA Martin,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
34,MAGANGA MANFOUMBI Justin,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
35,MAGANGA MOUSSAVOU Albertine,PSD,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
36,MAKUNGU Alain Patrick,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
37,MALONGA-MOUELET Gabriel,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
38,MARAT ABYLA Luc,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
39,MASSALA TSAMBA Narcisse,UPNR,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
40,MASSIMA Jean,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
41,MAVOUNGOU BOUYOU Vincent,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
42,MAWOBO LENDOYE Fernando,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
43,MBA ABESSOLE Paul,RPG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
44,MBADINGA MOMBO Ferdinand,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
45,MBONDZI Solange,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
46,MBOUMBA Joseph,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
47,MBOUMBOU MIYAKOU Edgard Anicet,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
48,MBOUMI Michel,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
49,MBOUMI NZINZI Jean Claude,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
50,MENGA M’ESSONE Michel,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
51,MIKANGA SEMBA Philippe Romain,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
52,MOMOADJAMBO Sylvain,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
53,MOUBAMBA MOUKETOU Aloïse,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
54,MOUDOUMA Apollinaire Adonis,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
55,MOULENGUI MABENDE Martin,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
56,MOUNGUENGUI KOUMBA Guy François,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
57,MOUSSAVOU Louis Marie,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
58,MOUTSINGA Juliette,PDG/PGCI,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
59,MPONO Jean Claude,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
60,MVE-EBANG Marcellin,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
61,NANG NDONG Paul,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
62,NDAKI Bernabé,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
63,NDEKAYINO Marguerite,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
64,NDEMEZO’O OBIANG René,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
65,NDJAMONO François,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
66,NDJAVE NDJOY Albert,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
67,NDONG NGUEMA Paul,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
68,NDONG OBIANG Albert,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
69,NDOUTOUME ESSONE Jean Marie,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
70,NDZIAMI Jacques,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
71,NDZOUMBA Bernard,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
72,NGARI Idriss,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
73,NGOMA Angélique,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
74,NGOMBELA Raymond,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
75,NGONDJIGA Ludovic,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
76,NGOU-MVE Nicolas,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
77,NGOZO ISSONDOU Maxime-Laurent,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
78,NGUEMA ESSONO Jacques,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
79,NGUEMA MBA Alexandre,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
80,NGUEMA NDONG Jean Marie,RPG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
81,NGUIMBI André Christ,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
82,NKERO MOUGNOKO Charlotte,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
83,NKOGHE ESSINGONE Adrien,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
84,NONGOU MOUNDOUNGA Pauline Olive épse LOUEMBET,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
85,NTIMEDJIARA Rachel,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
86,NTOLO EYA’A Francis,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
87,NTOUTOUME MEBIAME Aurélien,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
88,NTOUTOUME Robert,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
89,NYINGONE ANDA Marie-Madeleine,RPG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
90,NZE-MOUENIDIAMBOU Joséphine,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
91,NZENGUE MAYILA Philippe,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
92,NZIENGUI MIHINDOU,CLR,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
93,NZOUBA-NDAMA Guy,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
94,OBAME ONDO Jean Marie,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
95,OGOUEBANDJA OGOUEMPONO Jules Marius,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
96,OGOULA Philomène,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
97,ONDIMBA Maxime,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
98,ONOUVIET Richard-Auguste,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
99,ONTSOUGOU Faustin,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
100,OSSAGOU Guy Christian,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
101,OTANDO Charles,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
102,OWONO NDONG Edgard,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
104,PAÏENI Paulette épse KOHO,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
105,RETENO André Jules,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
106,ROYEMBO Albert Richard,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
107,SIMEPOUNGOU Jean Claude,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
108,SYLONG Jean Richard,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
109,TALI Nicolas,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
110,TOUNGUI Paul,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
111,YAMI Laurent,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
112,YOUBANGOYE MBILA Alexandre,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
113,ZIBI ABEGHE Bertrand,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
114,ZOUGA AKI Esther,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
