id,name,name__ru,party,party__ru,image,term,source
31666,Artykbaev Osmonbek Mambetzhanovich,Артыкбаев Осмонбек Мамбетжанович,SDPK,СДПК,"",6,http://www.kenesh.kg/RU/Articles/31666-Artykbaev_Osmonbek_Mambetzhanovich__Frakciya_SDPK.aspx
31667,Artykov Anvar,Артыков Анвар,SDPK,СДПК,"",6,http://www.kenesh.kg/RU/Articles/31667-Artykov_Anvar__Frakciya_SDPK.aspx
31668,Asylbaeva Gyulshat Kadyrovna,Асылбаева Гюльшат Кадыровна,OnuguuProgress,«Өнүгүү-Прогресс»,"",6,http://www.kenesh.kg/RU/Articles/31668-Asylbaeva_Gyulshat_Kadyrovna__Frakciya_OnuguuProgress.aspx
31669,Asylbek uulu Damirbek,Асылбек уулу Дамирбек,Kyrgyzstan,«Кыргызстан»,http://www.kenesh.kg/MyFiles/image/_MG_8455.JPG,6,http://www.kenesh.kg/RU/Articles/31669-Asylbek_uulu_Damirbek__Frakciya_Kyrgyzstan.aspx
31670,Attokurov Daniyar Beksultanovich,Аттокуров Данияр Бексултанович,SDPK,СДПК,"",6,http://www.kenesh.kg/RU/Articles/31670-Attokurov_Daniyar_Beksultanovich__Frakciya_SDPK.aspx
31671,Baatyrbekov Almazbek Baatyrbekovich,Баатырбеков Алмазбек Баатырбекович,Kyrgyzstan,«Кыргызстан»,"",6,http://www.kenesh.kg/RU/Articles/31671-Baatyrbekov_Almazbek_Baatyrbekovich__Frakciya_Kyrgyzstan.aspx
31672,Babanov Omurbek Toktogulovich,Бабанов Омурбек Токтогулович,Respublika Ata ZHurt,«Республика - Ата Журт»,"",6,http://www.kenesh.kg/RU/Articles/31672-Babanov_Omurbek_Toktogulovich__Frakciya_Respublika__Ata_ZHurt.aspx
31673,Bajbakpaev Ekmat Dzhurukpaevich,Байбакпаев Экмат Джурукпаевич,RespublikaAta ZHurt,«Республика-Ата Журт»,"",6,http://www.kenesh.kg/RU/Articles/31673-Bajbakpaev_Ekmat_Dzhurukpaevich__Frakciya_RespublikaAta_ZHurt.aspx
31674,Bajmuratov Kaldarbek SHakirovich,Баймуратов Калдарбек Шакирович,Respublika Ata ZHurt,«Республика - Ата Журт»,"",6,http://www.kenesh.kg/RU/Articles/31674-Bajmuratov_Kaldarbek_SHakirovich__Frakciya_Respublika__Ata_ZHurt.aspx
31675,Bakirov Mirlan Isakbekovich,Бакиров Мирлан Исакбекович,OnuguuProgress,«Өнүгүү-Прогресс»,"",6,http://www.kenesh.kg/RU/Articles/31675-Bakirov_Mirlan_Isakbekovich__Frakciya_OnuguuProgress.aspx
31676,Bakchiev Dzhanybek Abdukaparovich,Бакчиев Джаныбек Абдукапарович,Bir Bol,«Бир Бол»,"",6,http://www.kenesh.kg/RU/Articles/31676-Bakchiev_Dzhanybek_Abdukaparovich__Frakciya_Bir_Bol.aspx
31677,Bekeshev Dastan Dalabajevich,Бекешев Дастан Далабайевич,SDPK,СДПК,"",6,http://www.kenesh.kg/RU/Articles/31677-Bekeshev_Dastan_Dalabajevich__Frakciya_SDPK_.aspx
31679,Bokoev Kenzhebek Satymkulovich,Бокоев Кенжебек Сатымкулович,Respublika Ata ZHurt,«Республика - Ата Журт»,"",6,http://www.kenesh.kg/RU/Articles/31679-Bokoev_Kenzhebek_Satymkulovich__Frakciya_Respublika__Ata_ZHurt.aspx
31680,Dzhakupova CHolpon Idinovna,Джакупова Чолпон Идиновна,Bir Bol,«Бир Бол»,"",6,http://www.kenesh.kg/RU/Articles/31680-Dzhakupova_CHolpon_Idinovna__Frakciya_Bir_Bol.aspx
31682,Dzhetigenov Bakytbek Dzhenishbekovich,Джетигенов Бакытбек Дженишбекович,SDPK,СДПК,"",6,http://www.kenesh.kg/RU/Articles/31682-Dzhetigenov_Bakytbek_Dzhenishbekovich__Frakciya_SDPK.aspx
31683,Dzhumabekov Dastanbek Artisbekovich,Джумабеков Дастанбек Артисбекович,Kyrgyzstan,«Кыргызстан»,http://www.kenesh.kg/MyFiles/image/%D0%96%D1%83%D0%BC%D0%B0%D0%B1%D0%B5%D0%BA%D0%BE%D0%B2%20%D0%94_%20%D0%90_.JPG,6,http://www.kenesh.kg/RU/Articles/31683-Dzhumabekov_Dastanbek_Artisbekovich__Frakciya_Kyrgyzstan_.aspx
31686,Dzhuraev Sajdolimzhon Marufovich,Джураев Сайдолимжон Маруфович,SDPK,СДПК,"",6,http://www.kenesh.kg/RU/Articles/31686-Dzhuraev_Sajdolimzhon_Marufovich__Frakciya_SDPK.aspx
31689,ZHamaldinov Ziyadin Islamovich,Жамалдинов Зиядин Исламович,OnuguuProgress,«Өнүгүү-Прогресс»,"",6,http://www.kenesh.kg/RU/Articles/31689-ZHamaldinov_Ziyadin_Islamovich__Frakciya_OnuguuProgress.aspx
31690,ZHamangulov Akylbek ZHekshenovich,Жамангулов Акылбек Жекшенович,Respublika Ata ZHurt,«Республика - Ата Журт»,"",6,http://www.kenesh.kg/RU/Articles/31690-ZHamangulov_Akylbek_ZHekshenovich__Frakciya_Respublika__Ata_ZHurt.aspx
31691,ZHaparov Akylbek Usenbekovich,Жапаров Акылбек Усенбекович,Bir Bol,«Бир Бол»,"",6,http://www.kenesh.kg/RU/Articles/31691-ZHaparov_Akylbek_Usenbekovich__Frakciya_Bir_Bol_.aspx
31692,ZHeenchoroev Mirlan Kanatbekovich,Жеенчороев Мирлан Канатбекович,Respublika Ata ZHurt,«Республика - Ата Журт»,"",6,http://www.kenesh.kg/RU/Articles/31692-ZHeenchoroev_Mirlan_Kanatbekovich__Frakciya_Respublika__Ata_ZHurt.aspx
31693,ZHoldoshbaev Kamchybek,Жолдошбаев Камчыбек,OnuguuProgress,«Өнүгүү-Прогресс»,"",6,http://www.kenesh.kg/RU/Articles/31693-ZHoldoshbaev_Kamchybek__Frakciya_OnuguuProgress.aspx
31706,ZHumaliev Kubanychbek Myrzabekovich,Жумалиев Кубанычбек Мырзабекович,Bir Bol,«Бир Бол»,"",6,http://www.kenesh.kg/RU/Articles/31706-ZHumaliev_Kubanychbek_Myrzabekovich__Frakciya_Bir_Bol.aspx
31707,ZHunus uulu Adyl,Жунус уулу Адыл,Respublika Ata ZHurt,«Республика - Ата Журт»,"",6,http://www.kenesh.kg/RU/Articles/31707-ZHunus_uulu_Adyl__Frakciya_Respublika__Ata_ZHurt.aspx
31709,ZHunus uulu Altynbek,Жунус уулу Алтынбек,OnuguuProgress,«Өнүгүү-Прогресс»,"",6,http://www.kenesh.kg/RU/Articles/31709-ZHunus_uulu_Altynbek__Frakciya_OnuguuProgress.aspx
31710,ZHutanov Almaz Toktonazarovich,Жутанов Алмаз Токтоназарович,OnuguuProgress,«Өнүгүү-Прогресс»,"",6,http://www.kenesh.kg/RU/Articles/31710-ZHutanov_Almaz_Toktonazarovich__Frakciya_OnuguuProgress.aspx
31712,ZHylkybaev Uzarbek Kazievich,Жылкыбаев Узарбек Казиевич,SDPK,СДПК,"",6,http://www.kenesh.kg/RU/Articles/31712-ZHylkybaev_Uzarbek_Kazievich__Frakciya_SDPK.aspx
31713,ZHeenbekov Asylbek SHaripovich,Жээнбеков Асылбек Шарипович,SDPK,СДПК,"",6,http://www.kenesh.kg/RU/Articles/31713-ZHeenbekov_Asylbek_SHaripovich__Frakciya_SDPK.aspx
31715,Zulpukarov Torobaj Zakirovich,Зулпукаров Торобай Закирович,SDPK,СДПК,"",6,http://www.kenesh.kg/RU/Articles/31715-Zulpukarov_Torobaj_Zakirovich__Frakciya_SDPK.aspx
31716,Zulushev Kurmankul Toktoralyevich,Зулушев Курманкул Токторалыевич,Respublika Ata ZHurt,«Республика - Ата Журт»,http://www.kenesh.kg/MyFiles/image/_MG_6778a(1).jpg,6,http://www.kenesh.kg/RU/Articles/31716-Zulushev_Kurmankul_Toktoralyevich__Frakciya_Respublika__Ata_ZHurt.aspx
31719,Ikramov Tazabek Ikramovich,Икрамов Тазабек Икрамович,OnuguuProgress,«Өнүгүү-Прогресс»,"",6,http://www.kenesh.kg/RU/Articles/31719-Ikramov_Tazabek_Ikramovich__Frakciya_OnuguuProgress.aspx
31722,Imanaliev Kanybek Kapashovich,Иманалиев Каныбек Капашович,Ata Meken,«Ата Мекен»,"",6,http://www.kenesh.kg/RU/Articles/31722-Imanaliev_Kanybek_Kapashovich__Frakciya_Ata_Meken.aspx
31725,Iminov Farxat Azhmuxanbetovich,Иминов Фархат Ажмуханбетович,RespublikaAta ZHurt,«Республика-Ата Журт»,"",6,http://www.kenesh.kg/RU/Articles/31725-Iminov_Farxat_Azhmuxanbetovich__Frakciya_RespublikaAta_ZHurt.aspx
31726,Isaev Kanatbek Kedejkanovich,Исаев Канатбек Кедейканович,Kyrgyzstan,«Кыргызстан»,http://www.kenesh.kg/MyFiles/image/%D0%98%D1%81%D0%B0%D0%B5%D0%B2%20%D0%9A.%20%D0%9A.(3).JPG,6,http://www.kenesh.kg/RU/Articles/31726-Isaev_Kanatbek_Kedejkanovich__Frakciya_Kyrgyzstan.aspx
31731,Isaev Tilektesh Karimovich,Исаев Тилектеш Каримович,SDPK,СДПК,"",6,http://www.kenesh.kg/RU/Articles/31731-Isaev_Tilektesh_Karimovich__Frakciya_SDPK.aspx
31733,Isaeva Dinara SHertaevna,Исаева Динара Шертаевна,Respublika Ata ZHurt,«Республика - Ата Журт»,"",6,http://www.kenesh.kg/RU/Articles/31733-Isaeva_Dinara_SHertaevna__Frakciya_Respublika__Ata_ZHurt.aspx
32544,Isakunova Taalajkul Bazarkulovna,Исакунова Таалайкул Базаркуловна,Kyrgyzstan,«Кыргызстан»,http://www.kenesh.kg/MyFiles/image/_MG_7526a.jpg,6,http://www.kenesh.kg/RU/Articles/32544-Isakunova_Taalajkul_Bazarkulovna__Frakciya_Kyrgyzstan.aspx
31734,Ismailova Aida ZHekshenbaevna,Исмаилова Аида Жекшенбаевна,Respublika Ata ZHurt,«Республика - Ата Журт»,http://www.kenesh.kg/MyFiles/image/_MG_1756.JPG,6,http://www.kenesh.kg/RU/Articles/31734-Ismailova_Aida_ZHekshenbaevna__Frakciya_Respublika__Ata_ZHurt.aspx
31737,Kadyrkulov Iskender Anarbekovich,Кадыркулов Искендер Анарбекович,SDPK,СДПК,"",6,http://www.kenesh.kg/RU/Articles/31737-Kadyrkulov_Iskender_Anarbekovich__Frakciya_SDPK.aspx
31739,Kazakbaev Ruslan Ajtbaevich,Казакбаев Руслан Айтбаевич,Respublika Ata ZHurt,«Республика - Ата Журт»,"",6,http://www.kenesh.kg/RU/Articles/31739-Kazakbaev_Ruslan_Ajtbaevich__Frakciya_Respublika__Ata_ZHurt.aspx
31741,Kalmamatov ZHyrgalbek Ajtievich,Калмаматов Жыргалбек Айтиевич,Kyrgyzstan,«Кыргызстан»,http://www.kenesh.kg/MyFiles/image/_MG_7457(1).JPG,6,http://www.kenesh.kg/RU/Articles/31741-Kalmamatov_ZHyrgalbek_Ajtievich__Frakciya_Kyrgyzstan_.aspx
31743,Karimov Nodirbek Toxtosinovich,Каримов Нодирбек Тохтосинович,SDPK,СДПК,"",6,http://www.kenesh.kg/RU/Articles/31743-Karimov_Nodirbek_Toxtosinovich__Frakciya_SDPK.aspx
31745,Koduranova Asel Soyuzbekovna,Кодуранова Асель Союзбековна,SDPK,СДПК,"",6,http://www.kenesh.kg/RU/Articles/31745-Koduranova_Asel_Soyuzbekovna__Frakciya_SDPK.aspx
31748,Konushbaev Tynchtykbek Kadyrbekovich,Конушбаев Тынчтыкбек Кадырбекович,Kyrgyzstan,«Кыргызстан»,http://kenesh.kg/MyFiles/image/_MG_5827.JPG,6,http://www.kenesh.kg/RU/Articles/31748-Konushbaev_Tynchtykbek_Kadyrbekovich__Frakciya_Kyrgyzstan.aspx
31749,Kulbarakov Abtandil Ilduzovich,Кулбараков Абтандил Илдузович,SDPK,СДПК,"",6,http://www.kenesh.kg/RU/Articles/31749-Kulbarakov_Abtandil_Ilduzovich__Frakciya_SDPK.aspx
31752,Kydyraliev Umbetaly Toktoralievich,Кыдыралиев Умбеталы Токторалиевич,Respublika Ata ZHurt,«Республика - Ата Журт»,"",6,http://www.kenesh.kg/RU/Articles/31752-Kydyraliev_Umbetaly_Toktoralievich__Frakciya_Respublika__Ata_ZHurt.aspx
31644,Mavlyanova Maxabat Ergeshovna,Мавлянова Махабат Эргешовна,Respublika Ata ZHurt,"""Республика - Ата Журт""","",6,http://www.kenesh.kg/RU/Articles/31644-Mavlyanova_Maxabat_Ergeshovna__Frakciya_Respublika__Ata_ZHurt.aspx
31645,Mademinov Muradyl Ganyevich,Мадеминов Мурадыл Ганыевич,SDPK,СДПК,"",6,http://www.kenesh.kg/RU/Articles/31645-Mademinov_Muradyl_Ganyevich__Frakciya_SDPK.aspx
31646,Makeev Nurlanbek Kadykeevich,Макеев Нурланбек Кадыкеевич,Kyrgyzstan,"""Кыргызстан""","",6,http://www.kenesh.kg/RU/Articles/31646-Makeev_Nurlanbek_Kadykeevich_Frakciya_Kyrgyzstan.aspx
33761,Mamatov Abdimuktar Mamatovich frakciya Ata Meken,Маматов Абдимуктар Маматович,"",фракция «Ата Мекен»,"",6,http://www.kenesh.kg/RU/Articles/33761-Mamatov_Abdimuktar_Mamatovich_frakciya_Ata_Meken.aspx
31647,Mamashova Ajsuluu Turusbekovna,Мамашова Айсулуу Турусбековна,Ata Meken,«Ата Мекен»,"",6,http://www.kenesh.kg/RU/Articles/31647-Mamashova_Ajsuluu_Turusbekovna__Frakciya_Ata_Meken.aspx
31650,Mamytov Talant Turdumamatovich,Мамытов Талант Турдумаматович,Respublika Ata ZHurt,"""Республика - Ата Журт""","",6,http://www.kenesh.kg/RU/Articles/31650-Mamytov_Talant_Turdumamatovich__Frakciya_Respublika__Ata_ZHurt.aspx
31656,Mannanov Ilxom Abdukaxarovich,Маннанов Ильхом Абдукахарович,SDPK,СДПК,"",6,http://www.kenesh.kg/RU/Articles/31656-Mannanov_Ilxom_Abdukaxarovich__Frakciya_SDPK.aspx
31660,Masabirov Talajbek Ajtmamatovich,Масабиров Талайбек Айтмаматович,Kyrgyzstan,"""Кыргызстан""","",6,http://www.kenesh.kg/RU/Articles/31660-Masabirov_Talajbek_Ajtmamatovich__Frakciya_Kyrgyzstan.aspx
31661,Masaliev Isxak Absamatovich,Масалиев Исхак Абсаматович,OnuguuProgress,"""Өнүгүү-Прогресс""","",6,http://www.kenesh.kg/RU/Articles/31661-Masaliev_Isxak_Absamatovich__Frakciya_OnuguuProgress.aspx
31662,Matraimov Iskender Ismailovich,Матраимов Искендер Исмаилович,SDPK,СДПК,"",6,http://www.kenesh.kg/RU/Articles/31662-Matraimov_Iskender_Ismailovich__Frakciya_SDPK.aspx
31663,Miskenbaev Meerbek Dzhajloobaevich,Мискенбаев Меербек Джайлообаевич,SDPK,СДПК,"",6,http://www.kenesh.kg/RU/Articles/31663-Miskenbaev_Meerbek_Dzhajloobaevich_Frakciya_SDPK.aspx
31664,Moldobekova Gulkan Sakinovna,Молдобекова Гулкан Сакиновна,SDPK,СДПК,"",6,http://www.kenesh.kg/RU/Articles/31664-Moldobekova_Gulkan_Sakinovna__Frakciya_SDPK.aspx
